#  aims_uuid : BFD204DD-BB33-4075-A8DE-E6786CBBB968                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.130426 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.86957427        0.64390136        0.00469020        0.59218811        0.04234018        0.00468286
       -4.85956426        0.62602006        0.00371430        0.57145582        0.04525927        0.00559066
       -4.84955425        0.46913300        0.00452252        0.42785127        0.03225736        0.00450184
       -4.83954424        0.44166313        0.00513689        0.41361951        0.01972993        0.00317680
       -4.82953423        0.73893917        0.00869164        0.69345074        0.03209127        0.00470553
       -4.81952422        0.25686267        0.00804756        0.22862653        0.01807075        0.00211783
       -4.80951421        0.32620409        0.01015475        0.28692962        0.02641615        0.00270357
       -4.79950420        0.41044589        0.01307612        0.35931468        0.03477236        0.00328273
       -4.78949419        0.49491788        0.01665644        0.43519049        0.03954776        0.00352319
       -4.77948418        0.23303467        0.00294475        0.21073435        0.01761201        0.00174356
       -4.76947417        0.30488898        0.00404590        0.27602798        0.02254443        0.00227068
       -4.75946416        1.16603682        0.01926262        1.08225854        0.05685463        0.00766102
       -4.74945415        0.42801507        0.00655380        0.39789678        0.02076909        0.00279540
       -4.73944414        0.56783929        0.00638391        0.52992924        0.02777885        0.00374729
       -4.72943413        0.41942935        0.00201075        0.39415784        0.02036677        0.00289400
       -4.71942412        0.36248162        0.00216441        0.34117903        0.01667692        0.00246126
       -4.70941411        0.32815664        0.00231612        0.30765589        0.01579492        0.00238971
       -4.69940410        0.28827642        0.00229256        0.26901220        0.01469456        0.00227710
       -4.68939409        0.24561728        0.00211538        0.22809686        0.01328738        0.00211765
       -4.67938408        0.20017920        0.00178459        0.18490986        0.01157338        0.00191136
       -4.66937407        0.32967858        0.00417511        0.30298492        0.01918946        0.00332908
       -4.65936406        0.44876362        0.00495676        0.41404394        0.02488603        0.00487689
       -4.64935405        0.89023233        0.01096128        0.82314150        0.04628534        0.00984421
       -4.63934404        0.76077000        0.01203756        0.69673135        0.04286688        0.00913421
       -4.62933403        1.12990270        0.01776521        1.03227066        0.06582997        0.01403685
       -4.61932402        0.46725282        0.00818186        0.41977351        0.03337249        0.00592495
       -4.60931401        0.44445164        0.00809235        0.39677507        0.03405225        0.00553197
       -4.59930400        0.44219566        0.00804037        0.39424820        0.03448129        0.00542579
       -4.58929399        0.45676701        0.00792845        0.40890311        0.03443572        0.00549974
       -4.57928398        0.51314866        0.00790525        0.46455843        0.03471880        0.00596618
       -4.56927397        0.67575857        0.01087104        0.61622441        0.04119873        0.00746439
       -4.55926396        0.54454265        0.01058552        0.50321426        0.02608764        0.00465523
       -4.54925395        0.62923804        0.01349747        0.58382754        0.02722764        0.00468539
       -4.53924394        1.13807566        0.02549162        1.06227139        0.04266884        0.00764381
       -4.52923393        0.60010056        0.01233865        0.55450075        0.02855897        0.00470218
       -4.51922392        0.63095404        0.01191778        0.58172801        0.03222943        0.00507882
       -4.50921391        0.71829181        0.01176005        0.65615079        0.04399722        0.00638375
       -4.49920390        0.78214967        0.01046319        0.71129449        0.05294236        0.00744963
       -4.48919389        0.82589666        0.00568209        0.75022374        0.06165046        0.00834037
       -4.47918388        0.41107664        0.00515532        0.37192074        0.02971032        0.00429026
       -4.46917387        0.48542459        0.00590229        0.43713565        0.03677431        0.00561234
       -4.45916386        0.58180221        0.00701418        0.52407277        0.04367831        0.00703694
       -4.44915385        0.66390626        0.00820715        0.60006219        0.04747752        0.00815939
       -4.43914384        0.54027376        0.00561569        0.49030598        0.03793699        0.00641511
       -4.42913383        0.65033477        0.00575440        0.59541522        0.04225229        0.00691287
       -4.41912382        0.52068481        0.00480787        0.47936391        0.03128840        0.00522463
       -4.40911381        0.33693396        0.00377191        0.31212780        0.01798113        0.00305312
       -4.39910380        0.38466677        0.00528341        0.35289568        0.02192802        0.00455966
       -4.38909379        0.64028504        0.00812689        0.58320336        0.04093477        0.00802002
       -4.37908378        1.09956572        0.01183903        0.99314841        0.08017707        0.01440121
       -4.36907377        1.14563983        0.01565829        1.05063746        0.06732699        0.01201708
       -4.35906376        0.22325103        0.00600579        0.20453614        0.01066012        0.00204898
       -4.34905375        0.19847796        0.00738038        0.17687879        0.01207075        0.00214805
       -4.33904374        0.69705260        0.01671506        0.63461210        0.03874399        0.00698145
       -4.32903373        0.97874529        0.02246282        0.89867142        0.04842408        0.00918697
       -4.31902372        1.07010802        0.02708669        0.98531877        0.04876769        0.00893487
       -4.30901371        0.29854049        0.00840076        0.27569444        0.01208196        0.00236332
       -4.29900370        0.06394622        0.00149744        0.05923084        0.00277358        0.00044436
       -4.28899369        0.16545254        0.00258344        0.15536480        0.00601609        0.00148821
       -4.27898368        0.31348724        0.00449103        0.29640061        0.00993929        0.00265631
       -4.26897367        0.49740930        0.00707376        0.47213298        0.01434718        0.00385537
       -4.25896366        0.63741512        0.00849204        0.60064057        0.02316882        0.00511369
       -4.24895365        0.50531222        0.00630858        0.47278403        0.02155823        0.00466137
       -4.23894364        0.46932255        0.00557548        0.44115095        0.01858704        0.00400908
       -4.22893363        0.17675439        0.00163539        0.16313662        0.01035900        0.00162338
       -4.21892362        0.09245532        0.00103942        0.08474044        0.00588333        0.00079213
       -4.20891361        0.14644617        0.00138331        0.13611099        0.00782910        0.00112276
       -4.19890360        0.26838802        0.00351537        0.24965180        0.01327316        0.00194768
       -4.18889359        0.50765099        0.00688357        0.47148556        0.02515519        0.00412668
       -4.17888358        0.74262753        0.00744610        0.69051839        0.03753033        0.00713271
       -4.16887357        0.61765060        0.00616272        0.57692473        0.02915389        0.00540926
       -4.15886356        0.56553735        0.00630036        0.52939045        0.02545886        0.00438768
       -4.14885355        0.64980052        0.00733973        0.60811188        0.02951807        0.00483083
       -4.13884354        1.80487874        0.02398815        1.68079223        0.08649005        0.01360831
       -4.12883353        0.51067852        0.00634360        0.47860801        0.02187054        0.00385638
       -4.11882352        0.55166445        0.00618499        0.51607270        0.02503426        0.00437250
       -4.10881351        0.68484353        0.00698623        0.63947804        0.03264071        0.00573854
       -4.09880350        0.92566435        0.00986497        0.86385570        0.04419329        0.00775038
       -4.08879349        1.21807423        0.01475812        1.13649062        0.05702984        0.00979565
       -4.07878348        1.24361188        0.01921977        1.15836713        0.05639645        0.00962853
       -4.06877347        0.64895049        0.01339099        0.59969854        0.03055088        0.00531008
       -4.05876346        0.87521720        0.01870038        0.80493621        0.04320203        0.00837859
       -4.04875345        0.51725153        0.00667183        0.47078253        0.03377034        0.00602682
       -4.03874344        0.89667296        0.01087803        0.81252028        0.06273426        0.01054039
