#  aims_uuid : D11E3412-9ACB-447D-ADD9-2BC886449E8E                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.38495790        0.01908958        0.33823311        0.02524823        0.00220044        0.00018654
       -9.98998999        0.56375181        0.03808133        0.48676236        0.03507950        0.00357483        0.00025379
       -9.97997998        2.28434703        0.18838104        1.94692699        0.13215988        0.01614171        0.00073741
       -9.96996997        0.53696821        0.03489887        0.46370939        0.03402364        0.00415173        0.00018458
       -9.95995996        1.31868296        0.11152952        1.12377226        0.07287254        0.00932425        0.00118439
       -9.94994995        0.46955170        0.03780355        0.41071622        0.01800277        0.00261760        0.00041155
       -9.93993994        2.17378683        0.19968180        1.85941936        0.10158054        0.01212906        0.00097607
       -9.92992993        0.16725678        0.00756732        0.15094416        0.00798263        0.00067348        0.00008919
       -9.91991992        1.51392040        0.09672637        1.33677682        0.07072137        0.00832255        0.00137330
       -9.90990991        1.33853917        0.09610662        1.16184758        0.07180394        0.00804649        0.00073453
       -9.89989990        1.78621356        0.16909004        1.50579025        0.10072925        0.00970826        0.00089575
       -9.88988989        0.57749779        0.04857937        0.48939849        0.03538023        0.00378350        0.00035621
       -9.87987988        1.98133002        0.23561248        1.60079896        0.13042630        0.01298059        0.00151169
       -9.86986987        0.49171945        0.06479184        0.39622632        0.02678891        0.00369940        0.00021298
       -9.85985986        1.11086874        0.11300128        0.92494805        0.06573559        0.00652437        0.00065946
       -9.84984985        2.22645360        0.24833196        1.86625279        0.09926037        0.01161305        0.00099543
       -9.83983984        2.26643262        0.28078212        1.87294103        0.09855687        0.01264487        0.00150773
       -9.82982983        5.73253080        0.53842240        4.89520319        0.26879633        0.02748956        0.00261932
       -9.81981982        2.49868817        0.21677288        2.13966871        0.12658482        0.01422846        0.00143329
       -9.80980981        2.42695335        0.23715012        2.07365603        0.10299549        0.01178406        0.00136766
       -9.79979980        1.25974536        0.12358804        1.06681020        0.06139165        0.00693692        0.00101856
       -9.78978979        2.55250077        0.23811521        2.15388305        0.14095911        0.01770949        0.00183392
       -9.77977978        0.39726724        0.04174749        0.34160468        0.01160577        0.00198441        0.00032490
       -9.76976977        2.57710411        0.22338046        2.25110766        0.08918811        0.01190157        0.00152630
       -9.75975976        1.19853662        0.07243998        1.07245963        0.04762223        0.00512376        0.00089102
       -9.74974975        1.53294695        0.11829534        1.31777604        0.08689217        0.00864776        0.00133563
       -9.73973974        1.28370011        0.07825703        1.12438835        0.07302339        0.00691292        0.00111841
       -9.72972973        1.71856464        0.16243404        1.47192800        0.07338072        0.00940363        0.00141825
       -9.71971972        1.00140049        0.08117610        0.86026351        0.05225993        0.00671326        0.00098769
       -9.70970971        1.00606706        0.06779015        0.87926308        0.05152784        0.00652604        0.00095995
       -9.69969970        0.56523158        0.02073078        0.50305076        0.03651416        0.00422275        0.00071313
       -9.68968969        1.55736718        0.06119483        1.38899326        0.09407834        0.01125493        0.00184582
       -9.67967968        0.86376935        0.05606825        0.75100043        0.04976419        0.00598706        0.00094943
       -9.66966967        1.56153319        0.11394784        1.35886114        0.07501867        0.01172382        0.00198173
       -9.65965966        1.44517732        0.10831427        1.25026949        0.07394287        0.01100343        0.00164726
       -9.64964965        1.08295538        0.09514247        0.93121770        0.04818569        0.00748145        0.00092806
       -9.63963964        1.25577441        0.11970314        1.07427249        0.05128546        0.00937499        0.00113834
       -9.62962963        0.47994827        0.05490621        0.39180843        0.02784013        0.00489993        0.00049358
       -9.61961962        0.18605590        0.01803268        0.15349350        0.01228306        0.00204016        0.00020649
       -9.60960961        0.87891286        0.10120953        0.73285422        0.03632216        0.00793444        0.00059251
       -9.59959960        0.55477292        0.04542892        0.46871677        0.03361777        0.00638595        0.00062350
       -9.58958959        0.54569826        0.03612417        0.47185031        0.03216305        0.00501054        0.00055019
       -9.57957958        0.21790533        0.01791399        0.18925080        0.00939425        0.00116996        0.00017634
       -9.56956957        1.09023947        0.04454443        1.01010617        0.02913066        0.00584351        0.00061470
       -9.55955956        0.49711749        0.02753368        0.45014673        0.01603903        0.00293920        0.00045885
       -9.54954955        0.40585806        0.02395140        0.36415706        0.01445427        0.00278650        0.00050883
       -9.53953954        0.55986181        0.03607183        0.50043339        0.01893929        0.00380065        0.00061665
       -9.52952953        0.67177405        0.03602825        0.60958547        0.02147198        0.00399751        0.00069083
       -9.51951952        0.73940678        0.03337172        0.67663428        0.02439773        0.00424784        0.00075522
       -9.50950951        0.60566086        0.02910258        0.55126930        0.02090026        0.00378232        0.00060638
       -9.49949950        0.50818269        0.02392733        0.46152025        0.01834562        0.00375991        0.00062957
       -9.48948949        0.69077431        0.02141256        0.63166648        0.03098039        0.00578830        0.00092658
       -9.47947948        0.63681733        0.01654766        0.58157323        0.03228340        0.00536491        0.00104813
