#  aims_uuid : 34653003-6707-4EE7-AEAC-FAD57EDF1893                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.38934458        0.03381343        0.33753492        0.01502004        0.00275293        0.00022326
       -9.98998999        0.27043241        0.02405517        0.23356442        0.01066584        0.00198628        0.00016070
       -9.97997998        2.07603991        0.19307916        1.76432761        0.09917887        0.01803609        0.00141818
       -9.96996997        0.37064134        0.04174458        0.30497788        0.02074118        0.00299591        0.00018179
       -9.95995996        1.81147297        0.15893403        1.55732121        0.08069942        0.01253713        0.00198117
       -9.94994995        0.23480907        0.01641147        0.20256351        0.01395811        0.00159480        0.00028118
       -9.93993994        2.21133353        0.17284932        1.90266543        0.12057888        0.01360752        0.00163238
       -9.92992993        0.26841305        0.02460439        0.22732595        0.01424148        0.00208056        0.00016067
       -9.91991992        1.79685817        0.15617718        1.53086600        0.09786112        0.01078720        0.00116668
       -9.90990991        0.49684010        0.06156232        0.40544363        0.02596605        0.00356158        0.00030653
       -9.89989990        1.89009452        0.14834768        1.60963632        0.11636342        0.01357398        0.00217312
       -9.88988989        0.36540216        0.03821023        0.30787873        0.01702073        0.00222855        0.00006392
       -9.87987988        1.76222181        0.21520981        1.45579652        0.07901654        0.01040598        0.00179296
       -9.86986987        0.38414136        0.03260887        0.32701606        0.02210038        0.00221926        0.00019680
       -9.85985986        1.59070938        0.13293367        1.35919320        0.08805920        0.00992046        0.00060285
       -9.84984985        1.57147310        0.13298045        1.33185134        0.09632527        0.00949421        0.00082184
       -9.83983984        1.80761151        0.12216509        1.56752386        0.10657224        0.01004160        0.00130872
       -9.82982983        2.54301477        0.24706719        2.15043661        0.13058428        0.01395351        0.00097319
       -9.81981982        1.69501884        0.11674523        1.47844066        0.08994500        0.00853086        0.00135709
       -9.80980981        1.66788349        0.12973570        1.44934577        0.07928910        0.00811446        0.00139847
       -9.79979980        1.16352409        0.09343376        1.00012013        0.06260140        0.00649424        0.00087457
       -9.78978979        3.11963861        0.24713212        2.70366942        0.14545810        0.02071969        0.00265928
       -9.77977978        0.20182115        0.02098945        0.17033157        0.00951170        0.00089115        0.00009727
       -9.76976977        2.66690277        0.19395947        2.34230544        0.11552496        0.01292678        0.00218612
       -9.75975976        1.06084698        0.06053103        0.94787043        0.04687225        0.00451509        0.00105817
       -9.74974975        2.13854321        0.17261301        1.86931146        0.08454784        0.01017838        0.00189253
       -9.73973974        1.33546046        0.08590506        1.19741451        0.04542600        0.00538810        0.00132680
