#  aims_uuid : 581738C0-FC9E-485D-A86B-94FC3D003F6D                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.822886 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.17711435        0.17976489        0.00351567        0.01918139        0.15560270        0.00115260        0.00031252
       -4.16710434        0.29284368        0.00861039        0.03728597        0.24427320        0.00212287        0.00055125
       -4.15709433        0.66592264        0.02192107        0.08397545        0.55273817        0.00610116        0.00118678
       -4.14708432        1.92232974        0.09515021        0.24720297        1.56013410        0.01682345        0.00301901
       -4.13707431        1.70032372        0.09619177        0.31393400        1.26979131        0.01709570        0.00331093
       -4.12706430        2.08305444        0.15595363        0.50729579        1.39651214        0.01974623        0.00354665
       -4.11705429        1.72897618        0.09596103        0.32703074        1.28314304        0.01908317        0.00375819
       -4.10704428        3.39794193        0.21469463        0.62160039        2.50947654        0.04624086        0.00592951
       -4.09703427        1.95488736        0.19113860        0.39635154        1.33944928        0.02370153        0.00424641
       -4.08702426        2.65329690        0.30997055        0.47209944        1.83410231        0.03221053        0.00491407
       -4.07701425        1.91406044        0.18759099        0.27196940        1.42365885        0.02747412        0.00336709
       -4.06700424        2.34388061        0.42426064        0.56042251        1.30925900        0.04347063        0.00646783
       -4.05699423        1.58018330        0.33914015        0.40076893        0.80949521        0.02635089        0.00442812
       -4.04698422        2.80439788        0.50365912        0.82310622        1.42062116        0.04844340        0.00856799
       -4.03697421        1.47160924        0.33094305        0.24022124        0.87197049        0.02512945        0.00334500
       -4.02696420        3.11123036        0.59307977        0.60591477        1.84623281        0.06022259        0.00578043
       -4.01695419        0.90996990        0.12829707        0.18683485        0.57269200        0.02076325        0.00138272
       -4.00694418        0.84131469        0.15943186        0.14270341        0.51799321        0.01946659        0.00171962
       -3.99693417        0.61230163        0.09330866        0.10624546        0.39935717        0.01218244        0.00120789
       -3.98692416        1.41870683        0.17242053        0.21249509        1.00503535        0.02673692        0.00201894
       -3.97691415        0.82598722        0.13149293        0.12384870        0.55282014        0.01637623        0.00144923
       -3.96690414        1.01951464        0.22107094        0.15015531        0.62928886        0.01664121        0.00235831
       -3.95689413        1.20599061        0.26620998        0.22766623        0.68951316        0.01929293        0.00330831
       -3.94688412        1.01031485        0.15027456        0.20407782        0.63260471        0.02079863        0.00255914
       -3.93687411        0.78496152        0.06397112        0.12886978        0.57273952        0.01744677        0.00193433
       -3.92686410        0.63257603        0.06191868        0.09494907        0.45989275        0.01414978        0.00166575
       -3.91685409        0.49035347        0.07204670        0.08743548        0.31764166        0.01189010        0.00133954
       -3.90684408        0.80267021        0.15157621        0.11161953        0.52261571        0.01520921        0.00164954
       -3.89683407        0.76142076        0.13498992        0.07435616        0.53918786        0.01147909        0.00140772
       -3.88682406        0.91334572        0.15596335        0.10276289        0.63694851        0.01592142        0.00174955
       -3.87681405        0.78186929        0.12333831        0.10202358        0.53792332        0.01704426        0.00153982
       -3.86680404        0.61121342        0.08141164        0.07729316        0.43743616        0.01391265        0.00115980
       -3.85679403        0.46124329        0.04911711        0.05569271        0.34583183        0.00981333        0.00078830
       -3.84678402        0.48938257        0.04494318        0.05718244        0.37586908        0.01057610        0.00081176
       -3.83677401        0.56427491        0.04099876        0.06417236        0.44409971        0.01413889        0.00086518
       -3.82676400        0.51524812        0.02423388        0.05214768        0.42455457        0.01364671        0.00066528
       -3.81675399        0.68934747        0.05662483        0.04698537        0.56973805        0.01491123        0.00108799
       -3.80674398        0.20929158        0.01547691        0.01846874        0.17077535        0.00424692        0.00032366
       -3.79673397        0.25597354        0.02453443        0.01942713        0.20718260        0.00439429        0.00043509
       -3.78672396        0.28054369        0.03356729        0.01904929        0.22319258        0.00419646        0.00053805
       -3.77671395        0.45461535        0.04202337        0.03095199        0.37372987        0.00709982        0.00081029
       -3.76670394        0.65953829        0.05128331        0.06062916        0.53607897        0.01025180        0.00129504
       -3.75669393        0.64039795        0.05863120        0.05838914        0.51314266        0.00883108        0.00140388
       -3.74668392        0.56079570        0.06406172        0.04010415        0.44875128        0.00658463        0.00129391
       -3.73667391        0.57720646        0.06871353        0.03823810        0.46273542        0.00613420        0.00138520
       -3.72666390        0.45429062        0.05010942        0.03053022        0.36800101        0.00452203        0.00112794
       -3.71665389        0.53328318        0.03245800        0.08069523        0.41124474        0.00758892        0.00129629
       -3.70664388        0.78747663        0.03645726        0.09073572        0.64372298        0.01499069        0.00156998
       -3.69663387        0.61509516        0.03945336        0.06626948        0.49871893        0.00924102        0.00141237
       -3.68662386        0.33578002        0.00374737        0.04245487        0.28028689        0.00878381        0.00050709
       -3.67661385        0.28215017        0.00479239        0.02823485        0.24181372        0.00687822        0.00043099
       -3.66660384        0.31060688        0.00627096        0.02425389        0.27218247        0.00742130        0.00047826
       -3.65659383        0.35217259        0.01059835        0.02246280        0.31052928        0.00797692        0.00060524
       -3.64658382        0.78064466        0.02944624        0.03527972        0.69713708        0.01719279        0.00158883
       -3.63657381        0.26150516        0.01365230        0.01987103        0.22236125        0.00501367        0.00060691
