#  aims_uuid : 581738C0-FC9E-485D-A86B-94FC3D003F6D                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.822886 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.17711435        0.12214285        0.01368257        0.10151489        0.00621409        0.00070104        0.00003026
       -4.16710434        0.20567632        0.02234331        0.17217459        0.00997843        0.00111905        0.00006094
       -4.15709433        0.45684377        0.04278455        0.38679359        0.02448782        0.00253428        0.00024353
       -4.14708432        1.51927635        0.15821528        1.28614914        0.06632764        0.00783053        0.00075375
       -4.13707431        1.72897543        0.17354312        1.46529757        0.08097212        0.00823938        0.00092324
       -4.12706430        3.19746088        0.34605924        2.71028418        0.12517194        0.01400829        0.00193723
       -4.11705429        1.90849009        0.19183891        1.61303457        0.09165112        0.01116373        0.00080176
       -4.10704428        4.11105845        0.36637696        3.55646181        0.16252111        0.02279718        0.00290140
       -4.09703427        1.82413961        0.14739084        1.56864136        0.09628791        0.01083309        0.00098640
       -4.08702426        2.83971815        0.22117274        2.45244240        0.14661696        0.01771887        0.00176718
       -4.07701425        2.21666539        0.16275113        1.92945239        0.11176625        0.01148909        0.00120653
       -4.06700424        2.73169638        0.21255137        2.35881201        0.14370029        0.01472855        0.00190416
       -4.05699423        1.38295235        0.13385204        1.15960638        0.07644195        0.01098010        0.00207188
       -4.04698422        2.96969401        0.26369069        2.51318065        0.16912662        0.02109840        0.00259765
       -4.03697421        1.51383831        0.10634157        1.30251429        0.09314596        0.01038108        0.00145540
       -4.02696420        3.47365631        0.27775688        3.01181126        0.16110300        0.01928265        0.00370252
       -4.01695419        1.08128074        0.06611688        0.95760923        0.05071807        0.00553624        0.00130032
       -4.00694418        1.00062286        0.07941679        0.86608223        0.04827030        0.00567978        0.00117376
       -3.99693417        1.17218719        0.11404009        1.00864871        0.04395779        0.00486203        0.00067857
       -3.98692416        2.24698684        0.22196602        1.92956204        0.08373944        0.01029334        0.00142600
       -3.97691415        1.09654866        0.09573231        0.94911365        0.04499699        0.00573600        0.00096972
       -3.96690414        1.00026054        0.07869009        0.85920955        0.05369034        0.00754375        0.00112681
       -3.95689413        1.11068316        0.09290895        0.94545276        0.06190330        0.00928064        0.00113750
