#  aims_uuid : 6623877E-C8E5-4810-AAA5-D6ED591B8071                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.28848146        0.00352655        0.03156570        0.24206957        0.01131964
       -9.98998999        0.20279934        0.00347390        0.03309374        0.15820512        0.00802659
       -9.97997998        0.13624566        0.00320528        0.03072386        0.09700238        0.00531415
       -9.96996997        0.08882041        0.00272067        0.02445606        0.05846137        0.00318231
       -9.95995996        0.06728536        0.00232109        0.01895585        0.04379539        0.00221303
       -9.94994995        0.06013384        0.00223558        0.01828236        0.03745520        0.00216069
       -9.93993994        0.54465180        0.02084836        0.20342287        0.29916873        0.02121185
       -9.92992993        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.91991992        0.28791751        0.00420704        0.03524834        0.24299130        0.00547083
       -9.90990991        1.88975700        0.01080923        0.06014796        1.78957505        0.02922477
       -9.89989990        0.63590528        0.01082452        0.05026141        0.56769865        0.00712069
       -9.88988989        0.13201784        0.00425694        0.03371312        0.09021982        0.00382796
       -9.87987988        1.24811222        0.04456962        0.14528252        1.02680156        0.03145851
       -9.86986987        0.54405417        0.00750945        0.07038834        0.45606787        0.01008852
       -9.85985986        0.00252710        0.00006341        0.00162465        0.00075292        0.00008612
       -9.84984985        0.66350617        0.00405077        0.05306738        0.58579580        0.02059221
       -9.83983984        0.29986069        0.00284290        0.03811005        0.25134474        0.00756299
       -9.82982983        0.37711295        0.00311989        0.04232473        0.32227044        0.00939788
       -9.81981982        0.50684486        0.00400786        0.05019004        0.43981575        0.01283121
       -9.80980981        0.64476117        0.00439756        0.05302322        0.57024808        0.01709232
       -9.79979980        0.78635975        0.00430541        0.05099389        0.70886986        0.02219059
       -9.78978979        0.70505108        0.00407731        0.05196027        0.63359137        0.01542214
       -9.77977978        0.95228664        0.00832008        0.10208215        0.81919386        0.02269055
       -9.76976977        0.95426688        0.00839963        0.10467394        0.82074979        0.02044352
       -9.75975976        0.72366929        0.00550181        0.07134731        0.63362713        0.01319304
       -9.74974975        0.74652506        0.00545906        0.07085195        0.65775330        0.01246075
       -9.73973974        0.44851640        0.00474022        0.06259595        0.37038169        0.01079854
       -9.72972973        0.45604958        0.00494847        0.06714100        0.37335591        0.01060421
