#  aims_uuid : 6623877E-C8E5-4810-AAA5-D6ED591B8071                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.691607 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.30839314        0.21729903        0.00546439        0.18143787        0.02664898        0.00374779
       -5.29838313        0.19875271        0.00279371        0.17057214        0.02200651        0.00338035
       -5.28837312        0.15865912        0.00098956        0.13823109        0.01667155        0.00276693
       -5.27836311        0.09701825        0.00005192        0.08441471        0.01064411        0.00190750
       -5.26835310        0.05290789       -0.00010106        0.04492223        0.00677794        0.00130878
       -5.25834309        0.05312930       -0.00011409        0.04553529        0.00641550        0.00129260
       -5.24833308        0.60334488       -0.00094397        0.53020621        0.06146238        0.01262025
       -5.23832307        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.22831306        0.54782617        0.00205619        0.51430715        0.02161799        0.00984485
       -5.21830305        1.56631724        0.04066309        1.34295514        0.15736598        0.02533302
       -5.20829304        0.27202904        0.00037476        0.22262253        0.03881015        0.01022160
       -5.19828303        0.08717685        0.00003643        0.05684230        0.02753422        0.00276391
       -5.18827302        0.51899017        0.00563374        0.41056136        0.08200610        0.02078897
       -5.17826301        0.23339825        0.00503756        0.15427009        0.06730777        0.00678284
       -5.16825300        0.00080794        0.00000013        0.00043283        0.00036204        0.00001295
       -5.15824299        0.48433866        0.03059312        0.38760508        0.05916448        0.00697598
       -5.14823298        0.12661457        0.00619437        0.09901786        0.01885725        0.00254511
       -5.13822297        0.14624653        0.00571031        0.11639150        0.02092561        0.00321912
       -5.12821296        0.19762145        0.00597437        0.15719587        0.02994424        0.00450697
       -5.11820295        0.26181746        0.00620497        0.21187279        0.03765481        0.00608488
       -5.10819294        0.33922375        0.00642712        0.28077946        0.04410944        0.00790774
       -5.09818293        0.30292408        0.00632199        0.24080099        0.04794138        0.00785973
       -5.08817292        0.36856969        0.00624915        0.29206345        0.06047668        0.00978040
       -5.07816291        0.32893022        0.00515690        0.25875828        0.05643339        0.00858165
       -5.06815290        0.31647876        0.00549509        0.25594372        0.04671233        0.00832761
       -5.05814289        0.33755644        0.00563387        0.27401165        0.04898119        0.00892974
       -5.04813288        0.25608933        0.00616078        0.20198828        0.04396469        0.00397558
       -5.03812287        0.28568535        0.00725104        0.22563419        0.04859320        0.00420692
       -5.02811286        0.31804741        0.00847840        0.25142151        0.05374179        0.00440572
       -5.01810285        0.35317552        0.00984285        0.27935025        0.05941044        0.00457198
       -5.00809284        0.28395168        0.00765214        0.22604599        0.04649166        0.00376190
       -4.99808283        0.23856347        0.00742947        0.18889224        0.03920267        0.00303910
       -4.98807282        0.26626508        0.00858177        0.21155540        0.04298476        0.00314316
       -4.97806281        0.29616439        0.00984124        0.23598125        0.04711037        0.00323153
       -4.96805280        0.43596500        0.01386221        0.34795563        0.06523871        0.00890844
       -4.95804279        0.39864183        0.02008572        0.29305704        0.07259916        0.01289991
       -4.94803278        0.36241373        0.02371088        0.25318814        0.07696281        0.00855190
       -4.93802277        0.25641227        0.01404807        0.18147063        0.05404116        0.00685241
       -4.92801276        0.17928850        0.00737171        0.12870143        0.03777783        0.00543752
       -4.91800275        0.16525091        0.00425785        0.11955428        0.03612153        0.00531726
       -4.90799274        0.44941581        0.02526938        0.30239955        0.10932479        0.01242208
       -4.89798273        0.90449364        0.06703004        0.58497909        0.23714109        0.01534342
       -4.88797272        0.93389131        0.07170957        0.60134093        0.24624434        0.01459648
       -4.87796271        0.21358373        0.01279523        0.14740989        0.04944028        0.00393833
       -4.86795270        0.27362672        0.01619258        0.19245501        0.06023272        0.00474641
       -4.85794269        0.50913857        0.03188836        0.35291861        0.11697672        0.00735488
       -4.84793268        0.65796108        0.04264026        0.45279580        0.15334792        0.00917709
       -4.83792267        0.50986916        0.02854593        0.36820434        0.10453821        0.00858069
       -4.82791266        0.42256679        0.01655491        0.33211296        0.06473773        0.00916120
       -4.81790265        0.37735252        0.00979877        0.31547389        0.04230570        0.00977416
       -4.80789264        0.34919545        0.00572295        0.30446684        0.02884867        0.01015698
       -4.79788263        0.29184136        0.00409174        0.25785194        0.02173368        0.00816400
       -4.78787262        0.31166681        0.00368591        0.27673320        0.02156638        0.00968132
       -4.77786261        0.19463946        0.00292990        0.17164602        0.01473687        0.00532666
       -4.76785260        0.17294977        0.00246533        0.15270226        0.01277086        0.00501132
       -4.75784259        0.14959927        0.00203836        0.13194999        0.01094494        0.00466598
       -4.74783258        0.12458797        0.00164899        0.10938921        0.00925913        0.00429064
       -4.73782257        0.09791586        0.00129723        0.08501991        0.00771341        0.00388531
       -4.72781256        0.10543139        0.00184822        0.08391711        0.01559070        0.00407536
       -4.71780255        0.16157904        0.00322946        0.11970223        0.03341833        0.00522901
       -4.70779254        0.21929413        0.00399151        0.16248698        0.04626010        0.00655553
       -4.69778253        0.29870008        0.00414225        0.22886016        0.05684875        0.00884892
       -4.68777252        0.36314234        0.00369678        0.28463977        0.06505089        0.00975490
       -4.67776251        0.42397058        0.00263489        0.34460718        0.06579002        0.01093848
       -4.66775250        0.46467789        0.00189140        0.40625313        0.04620747        0.01032589
       -4.65774249        1.45674293        0.00459395        1.29878726        0.12548393        0.02787778
       -4.64773248        1.42247732        0.00473552        1.31447319        0.07462294        0.02864568
       -4.63772247        0.72818646        0.00215249        0.64506601        0.06386621        0.01710175
       -4.62771246        0.34609533        0.00081890        0.30269626        0.03564023        0.00693994
       -4.61770245        0.38820678        0.00046770        0.33216244        0.04804554        0.00753109
       -4.60769244        0.34563801        0.00084063        0.29256024        0.04353899        0.00869814
       -4.59768243        0.66824003        0.00154699        0.56528019        0.08607299        0.01533985
       -4.58767242        0.70237255        0.00108050        0.54133494        0.13586376        0.02409334
       -4.57766241        0.38205750        0.00347519        0.29979045        0.06507410        0.01371775
       -4.56765240        0.24470652        0.00021404        0.20178733        0.03440874        0.00829642
       -4.55764239        0.25917569        0.00101263        0.19612969        0.04915298        0.01288040
       -4.54763238        0.06007659        0.00022678        0.03721647        0.01853904        0.00409430
       -4.53762237        0.09061036        0.00027296        0.05267710        0.03205943        0.00560089
