#  aims_uuid : 0B3E2B87-C1E5-428C-A960-5EF80F5B98F4                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.32442945        0.00571832        0.30522647        0.01148941        0.00199524
       -9.98998999        0.27693946        0.00486653        0.26070124        0.00974134        0.00163035
       -9.97997998        0.23033537        0.00399836        0.21692145        0.00810822        0.00130733
       -9.96996997        0.18461717        0.00311381        0.17388712        0.00659005        0.00102620
       -9.95995996        0.13978487        0.00221287        0.13159823        0.00518682        0.00078694
       -9.94994995        0.11610399        0.00155688        0.10909771        0.00470334        0.00074606
       -9.93993994        0.25437999        0.00320990        0.23937306        0.01011407        0.00168296
       -9.92992993        0.43566247        0.00583877        0.41118574        0.01620189        0.00243606
       -9.91991992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.90990991        1.73879552        0.01156575        1.64513943        0.06797398        0.01411636
       -9.89989990        0.19381263        0.00077906        0.18201497        0.01017869        0.00083991
       -9.88988989        0.01028172        0.00000137        0.00981791        0.00043378        0.00002865
       -9.87987988        0.80903832        0.01476418        0.71468207        0.07023581        0.00935625
       -9.86986987        0.40054334        0.00727147        0.35194512        0.03733259        0.00399416
       -9.85985986        0.02117189        0.00238237        0.01823961        0.00044493        0.00010499
       -9.84984985        1.76820654        0.03818262        1.65823204        0.05155844        0.02023345
       -9.83983984        0.22137200        0.00457512        0.20517321        0.00940585        0.00221782
       -9.82982983        0.28928700        0.00515474        0.26751023        0.01373054        0.00289150
       -9.81981982        0.46468410        0.00765562        0.42744318        0.02537350        0.00421180
       -9.80980981        0.67105892        0.01073343        0.61728031        0.03728136        0.00576382
       -9.79979980        0.87301118        0.01375198        0.80591913        0.04601567        0.00732441
       -9.78978979        0.64288608        0.01074627        0.57816272        0.04782886        0.00614823
       -9.77977978        0.67933043        0.01066599        0.60852246        0.05315712        0.00698485
       -9.76976977        0.58839826        0.00886715        0.52442393        0.04842523        0.00668194
       -9.75975976        0.48986930        0.00586180        0.43991865        0.03828721        0.00580164
       -9.74974975        0.32909095        0.00460825        0.29363112        0.02753607        0.00331551
       -9.73973974        0.32401889        0.00451939        0.28817809        0.02794227        0.00337914
       -9.72972973        0.31892012        0.00446722        0.28262394        0.02841377        0.00341519
       -9.71971972        0.31379462        0.00445172        0.27696867        0.02895057        0.00342367
       -9.70970971        0.30864240        0.00447290        0.27121228        0.02955266        0.00340456
       -9.69969970        0.30346347        0.00453077        0.26535477        0.03022006        0.00335787
       -9.68968969        0.29825781        0.00462531        0.25939614        0.03095275        0.00328361
       -9.67967968        0.20969812        0.00097018        0.18671317        0.02024320        0.00177157
       -9.66966967        0.08274495        0.00064377        0.07203864        0.00931304        0.00074950
       -9.65965966        0.08251288        0.00055298        0.07203864        0.00918857        0.00073269
       -9.64964965        0.32486885        0.00095025        0.28656719        0.03076131        0.00659010
       -9.63963964        0.28487682        0.00122591        0.25194349        0.02645474        0.00525268
       -9.62962963        0.28763450        0.00107271        0.25756248        0.02463509        0.00436422
       -9.61961962        0.31495039        0.00088252        0.28437074        0.02598638        0.00371075
