#  aims_uuid : 0B3E2B87-C1E5-428C-A960-5EF80F5B98F4                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -6.385835 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -3.61416485        0.32522939        0.00574718        0.30602635        0.01146186        0.00199399
       -3.60415484        0.27790698        0.00490934        0.26167935        0.00969685        0.00162145
       -3.59414483        0.23131071        0.00404434        0.21791400        0.00805743        0.00129494
       -3.58413482        0.18544058        0.00315218        0.17473032        0.00654361        0.00101447
       -3.57412481        0.14029659        0.00223287        0.13212830        0.00515539        0.00078003
       -3.56411480        0.11599897        0.00153770        0.10900477        0.00470520        0.00075129
       -3.55410479        0.25331397        0.00311753        0.23832407        0.01016297        0.00170941
       -3.54409478        0.43491367        0.00574273        0.41049186        0.01622098        0.00245811
       -3.53408477        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.52407476        1.73542748        0.01158652        1.64147757        0.06824279        0.01412059
       -3.51406475        0.19204882        0.00078350        0.17995978        0.01046140        0.00084414
       -3.50405474        0.01017471        0.00000133        0.00969357        0.00045089        0.00002892
       -3.49404473        0.80716187        0.01433699        0.71306500        0.07037984        0.00938005
       -3.48403472        0.39539671        0.00643368        0.34741048        0.03752903        0.00402351
       -3.47402471        0.01322119        0.00122528        0.01109107        0.00076590        0.00013893
       -3.46401470        1.75319175        0.03658928        1.64454170        0.05181527        0.02024550
       -3.45400469        0.21038890        0.00298184        0.19529722        0.00984609        0.00226375
       -3.44399468        0.27763619        0.00345289        0.25703685        0.01420535        0.00294110
       -3.43398467        0.45312855        0.00590687        0.41714585        0.02581493        0.00426091
       -3.42397466        0.65992096        0.00901356        0.60741542        0.03768124        0.00581074
       -3.41396465        0.86253248        0.01214076        0.79664081        0.04638278        0.00736813
       -3.40395464        0.63338459        0.00931879        0.56970078        0.04817724        0.00618778
       -3.39394463        0.67101136        0.00950447        0.60098825        0.05349839        0.00702025
       -3.38393462        0.58215538        0.00803627        0.51870518        0.04870427        0.00670966
       -3.37392461        0.48657336        0.00541784        0.43692239        0.03841657        0.00581657
       -3.36391460        0.32875217        0.00460986        0.29327718        0.02754750        0.00331764
       -3.35390459        0.32365568        0.00452222        0.28779437        0.02795786        0.00338122
       -3.34389458        0.31857669        0.00447103        0.28225703        0.02843172        0.00341691
       -3.33388457        0.31351519        0.00445628        0.27666515        0.02896907        0.00342469
       -3.32387456        0.30847119        0.00447797        0.27101874        0.02956990        0.00340457
       -3.31386455        0.30344468        0.00453611        0.26531780        0.03023422        0.00335655
       -3.30385454        0.29843566        0.00463069        0.25956232        0.03096204        0.00328062
       -3.29384453        0.21011897        0.00097596        0.18711877        0.02025780        0.00176644
       -3.28383452        0.08265303        0.00064689        0.07192865        0.00932735        0.00075014
       -3.27382451        0.08245356        0.00055503        0.07196672        0.00919863        0.00073317
       -3.26381450        0.32485413        0.00095079        0.28654102        0.03077119        0.00659113
       -3.25380449        0.28490399        0.00122578        0.25196154        0.02646288        0.00525379
       -3.24379448        0.28769182        0.00107365        0.25761382        0.02463949        0.00436485
       -3.23378447        0.31503814        0.00088353        0.28445201        0.02599103        0.00371157
       -3.22377446        0.32759653        0.00068871        0.29700353        0.02578738        0.00411691
       -3.21376445        0.41612176        0.00094224        0.37808269        0.03130690        0.00578993
       -3.20375444        0.50530416        0.00160467        0.45858113        0.03760622        0.00751214
       -3.19374443        0.85588571        0.00249764        0.77922381        0.06267633        0.01148792
       -3.18373442        0.19855228        0.00060764        0.17770642        0.01702242        0.00321580
       -3.17372441        0.20269120        0.00088384        0.18054268        0.01770209        0.00356259
       -3.16371440        0.26529190        0.00369025        0.23221539        0.02447714        0.00490911
       -3.15370439        0.25239873        0.00275906        0.22186934        0.02296893        0.00480140
       -3.14369438        0.27917216        0.00258727        0.25026546        0.02143060        0.00488882
       -3.13368437        0.31987560        0.00265931        0.29144270        0.02062073        0.00515287
       -3.12367436        0.34566361        0.00254332        0.31721331        0.02048749        0.00541950
       -3.11366435        0.35457175        0.00222667        0.32574790        0.02092036        0.00567683
       -3.10365434        0.34660001        0.00170937        0.31704647        0.02191934        0.00592483
       -3.09364433        0.14818629        0.00104834        0.13659410        0.00844189        0.00210196
       -3.08363432        0.13637040        0.00085569        0.12517651        0.00828959        0.00204861
       -3.07362431        0.12540036        0.00068394        0.11464356        0.00808082        0.00199205
       -3.06361430        0.11527618        0.00053310        0.10499523        0.00781558        0.00193227
       -3.05360429        0.10599786        0.00040317        0.09623154        0.00749387        0.00186929
       -3.04359428        0.09756539        0.00029414        0.08835249        0.00711568        0.00180309
       -3.03358427        0.13283359        0.00099059        0.12147706        0.00828055        0.00208539
       -3.02357426        0.20649573        0.00235449        0.19071330        0.01075323        0.00267472
       -3.01356425        0.27813492        0.00364588        0.25835558        0.01290179        0.00323167
       -3.00355424        0.37539424        0.00487922        0.34872138        0.01747647        0.00431717
       -2.99354423        0.43590927        0.00600257        0.40613832        0.01951271        0.00425566
       -2.98353422        0.49014249        0.00703572        0.45857951        0.02028661        0.00424064
       -2.97352421        0.33411121        0.00393792        0.30952725        0.01768535        0.00296069
       -2.96351420        0.42638750        0.00391145        0.39480600        0.02377931        0.00389074
       -2.95350419        0.59366908        0.00404565        0.54770869        0.03614650        0.00576825
       -2.94349418        0.30973194        0.00198498        0.28387219        0.02100087        0.00287391
       -2.93348417        0.25759533        0.00221735        0.23605631        0.01720306        0.00211861
       -2.92347416        0.33201206        0.00448673        0.30331444        0.02166195        0.00254894
       -2.91346415        0.43334318        0.00826932        0.39024066        0.03124176        0.00359144
       -2.90345414        0.66127095        0.01577361        0.58700374        0.05168157        0.00681203
       -2.89344413        0.90591750        0.01660228        0.81291928        0.06743525        0.00896069
       -2.88343412        1.61341800        0.02711352        1.46239428        0.10929830        0.01461190
       -2.87342411        1.68561684        0.03647804        1.49653894        0.13541652        0.01718335
       -2.86341410        1.49853392        0.03946881        1.31404961        0.12637001        0.01864549
       -2.85340409        0.39511342        0.00275555        0.34775145        0.03792809        0.00667832
       -2.84339408        0.36007758        0.00329183        0.31151870        0.03666564        0.00860141
       -2.83338407        0.27924388        0.00293250        0.24650976        0.02612896        0.00367267
       -2.82337406        0.32485330        0.00470829        0.28871705        0.02763525        0.00379271
       -2.81336405        0.37860057        0.00725894        0.33848227        0.02898837        0.00387100
       -2.80335404        0.44048571        0.01058443        0.39580540        0.03018833        0.00390754
       -2.79334403        0.51050870        0.01468478        0.46068646        0.03123513        0.00390234
       -2.78333402        0.73767388        0.03431753        0.66722497        0.03162063        0.00451074
       -2.77332401        0.64020707        0.02873346        0.58110643        0.02678043        0.00358675
       -2.76331400        0.33875612        0.00312214        0.30892380        0.02371388        0.00299629
       -2.75330399        0.31260467        0.00209037        0.28550853        0.02202831        0.00297746
       -2.74329398        0.29762708        0.00237388        0.27223010        0.02008371        0.00293939
       -2.73328397        0.93657075        0.03979481        0.85971024        0.03143664        0.00562905
       -2.72327396        0.52867648        0.01584729        0.48887732        0.01993543        0.00401644
       -2.71326395        0.80531584        0.02244925        0.74902743        0.02689041        0.00694876
       -2.70325394        0.53612578        0.01823355        0.49810720        0.01588434        0.00390069
       -2.69324393        0.49149543        0.01350362        0.45560439        0.01828997        0.00409745
       -2.68323392        0.69509337        0.01477738        0.64374207        0.03005015        0.00652377
       -2.67322391        0.67949726        0.01513945        0.62944990        0.02865781        0.00625010
       -2.66321390        0.72048776        0.01672436        0.66747774        0.02992382        0.00636184
       -2.65320389        0.61422986        0.01529260        0.56502335        0.02817574        0.00573817
       -2.64319388        0.61404839        0.01601735        0.56280425        0.02948144        0.00574535
       -2.63318387        0.63521933        0.01970233        0.58325051        0.02698974        0.00527674
       -2.62317386        0.71936538        0.02554018        0.66054180        0.02777408        0.00550932
       -2.61316385        0.95321956        0.03420763        0.87644123        0.03530564        0.00726506
       -2.60315384        0.84770705        0.03082002        0.78052082        0.03031949        0.00604672
       -2.59314383        0.93413303        0.03051131        0.86189712        0.03471590        0.00700871
       -2.58313382        1.00693937        0.03154287        0.93112260        0.03665991        0.00761400
