#  aims_uuid : 0687F25D-6A84-437D-A5FB-832801E27E5C                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.13263540        0.01031758        0.02691687        0.09424731        0.00081063        0.00034301
       -9.98998999        0.22981335        0.01463928        0.04490730        0.16797387        0.00172384        0.00056906
       -9.97997998        0.73014557        0.03184973        0.11956190        0.57037177        0.00699565        0.00136652
       -9.96996997        1.48482587        0.06290969        0.20244029        1.20459167        0.01239579        0.00248843
       -9.95995996        1.74489908        0.10317196        0.29195880        1.32701778        0.01879092        0.00395962
       -9.94994995        1.39598933        0.10849617        0.26215137        1.00392616        0.01826257        0.00315306
       -9.93993994        1.71335711        0.13057473        0.49215972        1.06772315        0.01945869        0.00344081
       -9.92992993        2.68363122        0.24049394        0.49490020        1.90414736        0.03708755        0.00700218
       -9.91991992        1.91715283        0.16471136        0.30460380        1.42709383        0.01802431        0.00271952
       -9.90990991        2.78079398        0.29023218        0.53727385        1.92043663        0.02878743        0.00406389
       -9.89989990        2.55482771        0.19474400        0.47924151        1.84812062        0.02906492        0.00365665
       -9.88988989        2.61020469        0.41665455        0.77040665        1.38505953        0.03223304        0.00585092
       -9.87987988        1.17803799        0.26433477        0.19054709        0.69385070        0.02635344        0.00295199
       -9.86986987        1.70534323        0.35836101        0.21120202        1.11111283        0.02068431        0.00398305
       -9.85985986        2.77058385        0.41449934        0.65038296        1.64622379        0.05254209        0.00693567
       -9.84984985        0.59543943        0.10318856        0.13587247        0.34415941        0.01132544        0.00089355
       -9.83983984        0.83590833        0.11605761        0.14841060        0.55340313        0.01665322        0.00138377
       -9.82982983        0.71743456        0.15920083        0.12083330        0.42046371        0.01529730        0.00163942
       -9.81981982        1.78017050        0.23225984        0.38762431        1.12121001        0.03593322        0.00314312
       -9.80980981        1.10070297        0.18544605        0.18469928        0.69957385        0.02901921        0.00196458
       -9.79979980        0.76294224        0.08822194        0.11850782        0.53687573        0.01791445        0.00142230
       -9.78978979        0.96677385        0.13843135        0.13945093        0.66999250        0.01664584        0.00225322
       -9.77977978        1.63760719        0.26960539        0.20952657        1.13377051        0.02126356        0.00344116
       -9.76976977        1.41210863        0.16910963        0.19466181        1.01772732        0.02721644        0.00339343
       -9.75975976        0.25548701        0.04258473        0.03860737        0.16818863        0.00553924        0.00056703
       -9.74974975        0.70237154        0.09396397        0.08610757        0.50564396        0.01492033        0.00173570
       -9.73973974        0.44697773        0.09660330        0.06272717        0.27489672        0.01146597        0.00128457
       -9.72972973        0.76277600        0.21271991        0.08311618        0.44744285        0.01762139        0.00187566
       -9.71971972        0.85378312        0.16165494        0.05939485        0.61766507        0.01335627        0.00171200
       -9.70970971        0.90943701        0.14147574        0.06898747        0.68085018        0.01640901        0.00171460
       -9.69969970        0.77444221        0.09332587        0.05957981        0.60453344        0.01557487        0.00142822
       -9.68968969        0.60647160        0.05797462        0.04597914        0.48843631        0.01297658        0.00110496
       -9.67967968        0.40995877        0.02992260        0.03944071        0.32973597        0.01009367        0.00076584
       -9.66966967        0.48598361        0.04293887        0.05765251        0.37096510        0.01345372        0.00097341
       -9.65965966        0.50645340        0.03236342        0.05693876        0.40135976        0.01499100        0.00080046
       -9.64964965        0.48505899        0.02043132        0.04642045        0.40354906        0.01410529        0.00055287
       -9.63963964        0.77068033        0.14485828        0.05010850        0.56177200        0.01309018        0.00085137
       -9.62962963        0.25711233        0.01256947        0.01522843        0.22432654        0.00463101        0.00035688
       -9.61961962        0.32679562        0.01313471        0.01709968        0.29121208        0.00477611        0.00057304
       -9.60960961        0.36849528        0.01584844        0.01803865        0.32939148        0.00443978        0.00077693
       -9.59959960        0.54944300        0.02009980        0.03773689        0.48198491        0.00847690        0.00114449
       -9.58958959        0.74785591        0.02762956        0.06872354        0.63846630        0.01143424        0.00160228
       -9.57957958        0.62104607        0.03492600        0.04441002        0.53282473        0.00741666        0.00146866
       -9.56956957        0.62859932        0.04394098        0.04217230        0.53418426        0.00677195        0.00152982
       -9.55955956        0.62885836        0.05263333        0.03952561        0.52891769        0.00623322        0.00154851
       -9.54954955        0.64360011        0.06094004        0.04541535        0.52936378        0.00629182        0.00158912
       -9.53953954        0.39395588        0.05020434        0.06897135        0.26714962        0.00675828        0.00087228
       -9.52952953        0.53012558        0.05727370        0.08215912        0.37865252        0.01097116        0.00106908
       -9.51951952        0.67642691        0.06444614        0.07485805        0.51962338        0.01633868        0.00116065
       -9.50950951        0.24036838        0.00064252        0.03249601        0.20020167        0.00660367        0.00042450
       -9.49949950        0.26740943        0.00094961        0.03051466        0.22838251        0.00707528        0.00048737
       -9.48948949        0.28879104        0.00160191        0.02896925        0.25025064        0.00742483        0.00054442
       -9.47947948        0.32820669        0.00386901        0.02836231        0.28753931        0.00778360        0.00065246
       -9.46946947        0.38442596        0.00759845        0.02921195        0.33863576        0.00817228        0.00080751
