#  aims_uuid : 0687F25D-6A84-437D-A5FB-832801E27E5C                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.08078796        0.00619821        0.06801042        0.00597579        0.00056574        0.00003780
       -9.98998999        0.17024724        0.01560812        0.14374786        0.00981679        0.00100482        0.00006966
       -9.97997998        0.60009968        0.05546107        0.50756431        0.03343110        0.00333077        0.00031243
       -9.96996997        1.38819349        0.14549158        1.17270558        0.06217101        0.00715741        0.00066791
       -9.95995996        1.98314903        0.20586924        1.67754225        0.08944975        0.00920453        0.00108325
       -9.94994995        3.44883456        0.37486214        2.93196937        0.12598154        0.01433459        0.00168692
       -9.93993994        1.70843556        0.16415914        1.44359558        0.08934326        0.01058571        0.00075187
       -9.92992993        3.69711272        0.36317626        3.16197813        0.15169796        0.01808901        0.00217136
       -9.91991992        1.42901223        0.10881843        1.22687485        0.08325377        0.00927425        0.00079092
       -9.90990991        2.94601720        0.24007332        2.54064824        0.14482398        0.01881675        0.00165491
       -9.89989990        2.13065261        0.14970324        1.86648349        0.10195389        0.01118214        0.00132984
       -9.88988989        2.34853612        0.18153941        2.02370212        0.12790039        0.01343576        0.00195844
       -9.87987988        1.05881597        0.09690564        0.88961520        0.06330300        0.00749458        0.00149755
       -9.86986987        1.55235891        0.13535589        1.31699312        0.08700489        0.01158649        0.00141852
       -9.85985986        3.66585748        0.30862041        3.14878550        0.18354661        0.02140336        0.00350161
       -9.84984985        0.77456741        0.04741013        0.68638589        0.03632479        0.00370032        0.00074628
       -9.83983984        0.93362752        0.05784555        0.82701385        0.04226201        0.00514594        0.00136017
       -9.82982983        0.89394255        0.07200900        0.76981871        0.04587064        0.00520025        0.00104395
       -9.81981982        3.29647933        0.33438861        2.83315365        0.11449830        0.01271380        0.00172497
       -9.80980981        1.99439543        0.19849884        1.70943057        0.07583543        0.00940671        0.00122388
       -9.79979980        0.92519244        0.07619142        0.80282177        0.04006543        0.00519323        0.00092059
       -9.78978979        0.92566040        0.06992555        0.79614606        0.05158939        0.00699727        0.00100211
       -9.77977978        1.15032103        0.10032514        0.97730971        0.06190784        0.00961113        0.00116720
       -9.76976977        1.28901466        0.11291424        1.10060816        0.06590717        0.00881516        0.00076994
       -9.75975976        0.39432003        0.03743467        0.33268503        0.02117417        0.00279859        0.00022757
       -9.74974975        0.76534737        0.05547786        0.65523005        0.04854686        0.00552938        0.00056322
       -9.73973974        0.49935658        0.03877250        0.42737465        0.02926953        0.00357755        0.00036235
       -9.72972973        0.73799762        0.06193303        0.62829113        0.04131462        0.00576679        0.00069204
       -9.71971972        0.64372128        0.05028002        0.54970696        0.03725405        0.00560834        0.00087191
       -9.70970971        0.82927557        0.06769915        0.71167650        0.04256835        0.00628705        0.00104452
       -9.69969970        0.74629569        0.05539266        0.64818039        0.03641866        0.00523634        0.00106764
       -9.68968969        0.56955522        0.03480773        0.50239679        0.02747227        0.00389600        0.00098244
       -9.67967968        0.41352654        0.02170921        0.36987090        0.01857202        0.00263244        0.00074197
       -9.66966967        0.56183008        0.03427699        0.49856249        0.02476388        0.00344295        0.00078376
       -9.65965966        0.59569013        0.02781355        0.54072361        0.02305257        0.00320273        0.00089766
       -9.64964965        0.58271042        0.02114571        0.53927318        0.01883560        0.00259780        0.00085813
       -9.63963964        0.55857495        0.01655675        0.52049967        0.01781943        0.00277245        0.00092665
       -9.62962963        0.22569216        0.00928100        0.20815288        0.00693981        0.00111304        0.00020542
       -9.61961962        0.24060888        0.00851470        0.22225962        0.00820820        0.00136867        0.00025769
       -9.60960961        0.23624678        0.00792876        0.21702797        0.00939874        0.00159728        0.00029404
       -9.59959960        0.42954398        0.01589136        0.39778048        0.01264628        0.00271311        0.00051275
       -9.58958959        0.66156233        0.03819079        0.59762436        0.02068786        0.00445314        0.00060617
       -9.57957958        0.45768703        0.02293383        0.41285316        0.01782749        0.00354174        0.00053080
       -9.56956957        0.44681550        0.02198251        0.40158925        0.01898901        0.00369951        0.00055522
       -9.55955956        0.43905114        0.02087419        0.39391965        0.01985817        0.00381989        0.00057925
       -9.54954955        0.44911198        0.02023860        0.40261233        0.02159155        0.00405479        0.00061471
       -9.53953954        0.33960308        0.01755260        0.30127959        0.01731954        0.00302603        0.00042532
       -9.52952953        0.47285001        0.01777991        0.42882044        0.02150237        0.00400297        0.00074433
       -9.51951952        0.64571385        0.01662802        0.59881139        0.02401627        0.00504658        0.00121159
       -9.50950951        0.27496704        0.00707343        0.25669162        0.00910040        0.00163181        0.00046979
       -9.49949950        0.34039089        0.01015896        0.31688121        0.01094678        0.00185184        0.00055211
       -9.48948949        0.40175257        0.01223208        0.37383653        0.01298096        0.00205668        0.00064632
       -9.47947948        0.47171724        0.01369497        0.43877023        0.01608592        0.00239541        0.00077070
       -9.46946947        0.55382035        0.01454060        0.51515198        0.02032114        0.00287694        0.00092970
       -9.45945946        0.76343595        0.01583061        0.70968537        0.03244599        0.00390210        0.00157188
       -9.44944945        0.64868708        0.01399535        0.60639645        0.02319672        0.00399062        0.00110794
       -9.43943944        0.63384315        0.01186310        0.59469035        0.02235358        0.00389599        0.00104013
       -9.42942943        0.59296270        0.01021157        0.55672166        0.02137625        0.00370904        0.00094418
       -9.41941942        0.52604574        0.00904076        0.49249038        0.02026474        0.00342976        0.00082009
       -9.40940941        0.35967618        0.00854469        0.33057940        0.01727634        0.00274409        0.00053165
       -9.39939940        0.57931317        0.01097779        0.53668963        0.02682325        0.00398344        0.00083906
       -9.38938939        0.56083326        0.01073448        0.52255934        0.02322373        0.00352147        0.00079425
       -9.37937938        2.06838313        0.03240094        1.95948684        0.06553778        0.00784793        0.00310965
       -9.36936937        0.77113825        0.01617166        0.71657004        0.03360290        0.00364668        0.00114697
       -9.35935936        0.75637159        0.01837990        0.69798537        0.03561074        0.00323098        0.00116460
       -9.34934935        0.82091423        0.02049503        0.76022928        0.03550202        0.00341751        0.00127038
       -9.33933934        0.93276043        0.02239288        0.86903817        0.03611018        0.00375829        0.00146091
       -9.32932933        0.93845433        0.01963552        0.88387482        0.02998720        0.00345376        0.00150305
       -9.31931932        1.04019167        0.02316248        0.96216392        0.04604172        0.00669938        0.00212415
       -9.30930931        0.85715790        0.01987399        0.79202618        0.03783013        0.00562263        0.00180496
       -9.29929930        1.30211477        0.03407187        1.19324666        0.06460174        0.00789344        0.00230106
       -9.28928929        0.79324291        0.02266142        0.72751167        0.03676309        0.00482009        0.00148664
       -9.27927928        1.68723701        0.05100266        1.56813791        0.05771663        0.00777014        0.00260968
       -9.26926927        1.34693533        0.03460113        1.26269357        0.04062442        0.00689353        0.00212267
       -9.25925926        2.41796244        0.07907062        2.21581004        0.10531541        0.01492585        0.00284052
       -9.24924925        2.21795861        0.05683227        2.04923921        0.09114337        0.01720977        0.00353400
       -9.23923924        2.23650571        0.04284405        2.09296072        0.07513714        0.02183417        0.00372963
       -9.22922923        2.40409176        0.03218510        2.25901992        0.08878817        0.02061378        0.00348479
       -9.21921922        0.25244924        0.00174382        0.24413429        0.00486669        0.00141489        0.00028956
       -9.20920921        2.73465149        0.04707853        2.53163567        0.12919165        0.02183288        0.00491276
       -9.19919920        0.93408422        0.01591279        0.86649062        0.03921908        0.01054629        0.00191544
       -9.18918919        4.16648904        0.07037619        3.75318478        0.28398216        0.05115993        0.00778599
       -9.17917918        0.39002943        0.00754515        0.36454941        0.01397841        0.00319093        0.00076553
       -9.16916917        0.73940631        0.01439912        0.69350273        0.02610108        0.00424511        0.00115826
       -9.15915916        0.65029324        0.01646651        0.60699810        0.02271394        0.00309300        0.00102169
       -9.14914915        0.53660433        0.01483763        0.49850677        0.01978577        0.00259241        0.00088175
       -9.13913914        0.43858764        0.01218379        0.40545313        0.01776199        0.00244799        0.00074073
       -9.12912913        0.40855763        0.01073566        0.37670129        0.01753668        0.00286087        0.00072312
       -9.11911912        0.39619791        0.00890826        0.36405857        0.01880772        0.00366302        0.00076034
       -9.10910911        0.92645308        0.01437477        0.85744946        0.04200007        0.01050553        0.00212326
       -9.09909910        0.72332840        0.01185379        0.67028741        0.03388413        0.00599773        0.00130534
       -9.08908909        0.91111195        0.01261110        0.84878045        0.04017031        0.00798273        0.00156735
       -9.07907908        1.52520182        0.02181754        1.42133999        0.06665781        0.01288416        0.00250231
       -9.06906907        0.77568169        0.01027725        0.72038583        0.03639771        0.00723460        0.00138629
       -9.05905906        0.69805910        0.00868725        0.64935164        0.03214896        0.00659831        0.00127294
       -9.04904905        0.63649049        0.00759317        0.59393786        0.02805990        0.00574867        0.00115088
       -9.03903904        0.55501227        0.00646373        0.51763546        0.02497713        0.00495823        0.00097773
       -9.02902903        0.50804954        0.00573347        0.47360674        0.02339664        0.00444218        0.00087051
       -9.01901902        0.47197187        0.00524572        0.43942889        0.02245995        0.00403871        0.00079860
       -9.00900901        0.44087998        0.00487697        0.41051635        0.02123038        0.00353491        0.00072137
       -8.99899900        0.58835032        0.00715652        0.54537806        0.03020825        0.00463537        0.00097213
       -8.98898899        0.49874022        0.00525262        0.46515762        0.02424553        0.00334025        0.00074421
       -8.97897898        0.38628638        0.00386928        0.36112664        0.01842611        0.00232293        0.00054142
       -8.96896897        2.09781600        0.01363864        1.92278474        0.13660851        0.02133175        0.00345237
       -8.95895896        0.66116543        0.01215843        0.60973089        0.03270634        0.00563674        0.00093303
       -8.94894895        0.27881324        0.00201677        0.26296643        0.01166479        0.00180816        0.00035710
       -8.93893894        0.44438712        0.00361178        0.41632744        0.01998502        0.00380423        0.00065866
       -8.92892893        0.52424399        0.00523938        0.47931447        0.03172354        0.00689963        0.00106697
       -8.91891892        0.31120861        0.00305374        0.28899430        0.01583666        0.00285288        0.00047103
       -8.90890891        0.28541428        0.00309861        0.26421268        0.01503013        0.00264615        0.00042670
       -8.89889890        0.26014629        0.00311950        0.24005383        0.01414518        0.00244280        0.00038499
       -8.88888889        0.23540466        0.00311641        0.21651775        0.01318180        0.00224282        0.00034588
       -8.87887888        0.21118938        0.00308933        0.19360445        0.01214000        0.00204620        0.00030939
