#  aims_uuid : 48D6C3B0-351B-4811-A7A2-A456D01F70FA                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.20959427        0.01901892        0.17494391        0.01388146        0.00165842        0.00009156
       -9.98998999        0.45805093        0.04116251        0.38087760        0.03236313        0.00344493        0.00020276
       -9.97997998        1.12932841        0.11082351        0.93441271        0.07517678        0.00843251        0.00048290
       -9.96996997        1.22140297        0.12149642        1.01398554        0.07646903        0.00873925        0.00071274
       -9.95995996        1.44539116        0.11322879        1.24443405        0.07781300        0.00894439        0.00097094
       -9.94994995        2.67930387        0.17204038        2.34954530        0.13967163        0.01624743        0.00179912
       -9.93993994        1.67502520        0.14957026        1.43611327        0.07821110        0.01002842        0.00110215
       -9.92992993        2.29952997        0.20985435        1.96712884        0.10729260        0.01391107        0.00134310
       -9.91991992        2.89716867        0.25202026        2.47467096        0.15289824        0.01604802        0.00153120
       -9.90990991        1.69019009        0.13294086        1.45445954        0.09224441        0.00950960        0.00103567
       -9.89989990        1.46359206        0.09746003        1.27729916        0.08003254        0.00747628        0.00132405
       -9.88988989        1.74833142        0.12949767        1.52278134        0.08664512        0.00799371        0.00141357
       -9.87987988        5.65785345        0.49664473        4.89477746        0.24049039        0.02127239        0.00466849
       -9.86986987        1.61690021        0.11756600        1.40137134        0.08711611        0.00917499        0.00167176
       -9.85985986        2.54315752        0.20544552        2.19247819        0.12927161        0.01349130        0.00247090
       -9.84984985        1.79563103        0.12040860        1.56038924        0.10095022        0.01153246        0.00235051
       -9.83983984        1.70192182        0.11866448        1.47427946        0.09467665        0.01204604        0.00225520
       -9.82982983        0.84534784        0.06079302        0.73277020        0.04553132        0.00529766        0.00095565
       -9.81981982        1.16707372        0.08692399        1.01242173        0.06019221        0.00641691        0.00111887
       -9.80980981        1.48766159        0.12640493        1.27709854        0.07436305        0.00849108        0.00130399
       -9.79979980        1.37449330        0.12665615        1.16839962        0.06947707        0.00868185        0.00127862
