#  aims_uuid : 8C04ADC9-8A82-408B-A9D1-40761BDB0192                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.354306 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.64569351        0.15230770        0.01389103        0.12815222        0.00923148        0.00097416        0.00005882
       -4.63568350        0.40310357        0.03550843        0.34065475        0.02430253        0.00240338        0.00023448
       -4.62567349        0.98341528        0.09538625        0.83178973        0.05019790        0.00550502        0.00053638
       -4.61566348        1.04331603        0.09806245        0.88598881        0.05285848        0.00581470        0.00059158
       -4.60565347        1.29145974        0.13030999        1.08185544        0.07124886        0.00738547        0.00065997
       -4.59564346        9.38715944        1.14855972        7.81538064        0.37259624        0.04893684        0.00168600
       -4.58563345        1.60624562        0.13672278        1.38568489        0.07425941        0.00869661        0.00088192
       -4.57562344        2.38180471        0.22812931        2.02875650        0.10884917        0.01435826        0.00171147
       -4.56561343        2.40622027        0.22275079        2.05840184        0.11114231        0.01255040        0.00137493
       -4.55560342        1.67945686        0.11888403        1.45886248        0.09218201        0.00860089        0.00092745
       -4.54559341        2.29610958        0.14794482        2.01770151        0.11694778        0.01190550        0.00160998
       -4.53558340        1.96821521        0.15582128        1.70464430        0.09621138        0.01039231        0.00114594
       -4.52557339        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.51556338        1.26082198        0.09810278        1.06473626        0.08624424        0.01005396        0.00168475
       -4.50555337        1.88027027        0.16434000        1.61589674        0.08540917        0.01181320        0.00281115
       -4.49554336        1.41888256        0.12647060        1.21098825        0.07075091        0.00906546        0.00160734
       -4.48553335        0.75787267        0.05964224        0.64904811        0.04323966        0.00505386        0.00088879
       -4.47552334        0.88499628        0.08106429        0.74606259        0.05054683        0.00629517        0.00102741
       -4.46551333        1.08660107        0.11122354        0.91051227        0.05658080        0.00723496        0.00104950
       -4.45550332        1.75459181        0.19256129        1.47333644        0.07752598        0.00997697        0.00119113
       -4.44549331        1.60273820        0.18263562        1.34778464        0.06295644        0.00847353        0.00088797
       -4.43548330        0.88570871        0.09913455        0.74763691        0.03359039        0.00479246        0.00055441
       -4.42547329        0.79646298        0.08780824        0.67236072        0.03094331        0.00479176        0.00055896
       -4.41546328        0.68534388        0.07279633        0.57870459        0.02846615        0.00479312        0.00058368
       -4.40545327        4.44054357        0.31262358        3.76354660        0.31136919        0.04670411        0.00630010
       -4.39544326        0.82594215        0.06860739        0.69851612        0.05251503        0.00574352        0.00056009
       -4.38543325        0.42513607        0.03269038        0.36118612        0.02785572        0.00309948        0.00030436
       -4.37542324        0.35934638        0.02718286        0.30617565        0.02287074        0.00282438        0.00029276
       -4.36541323        0.34377207        0.02588202        0.29346372        0.02133171        0.00279385        0.00030076
       -4.35540322        0.17706396        0.01253460        0.15169942        0.01106791        0.00157946        0.00018257
       -4.34539321        0.91406582        0.05335506        0.79222089        0.05821290        0.00844259        0.00183438
       -4.33538320        1.61567900        0.13360986        1.38866840        0.07951769        0.01177158        0.00211147
       -4.32537319        1.22230704        0.05098678        1.10861454        0.05253741        0.00776403        0.00240427
       -4.31536318        0.30360053        0.01947095        0.27050432        0.01144319        0.00178850        0.00039356
       -4.30535317        0.23111722        0.01476390        0.20596544        0.00866545        0.00140149        0.00032094
       -4.29534316        0.91308361        0.05883414        0.81254175        0.03584571        0.00504302        0.00081900
       -4.28533315        0.31788405        0.01618661        0.28932839        0.01039229        0.00162195        0.00035480
       -4.27532314        0.28525474        0.01347150        0.26071801        0.00922169        0.00150753        0.00033602
       -4.26531313        0.29247967        0.01237733        0.26983691        0.00837301        0.00154255        0.00034987
       -4.25530312        0.30459412        0.01263241        0.28204093        0.00796326        0.00160600        0.00035151
       -4.24529311        0.32725117        0.01475667        0.30216495        0.00823470        0.00174631        0.00034854
       -4.23528310        0.36929243        0.01914501        0.33784857        0.00984517        0.00208725        0.00036643
       -4.22527309        0.43685307        0.02506698        0.39498812        0.01359712        0.00276172        0.00043913
       -4.21526308        0.51204148        0.03219215        0.45826823        0.01762000        0.00345659        0.00050451
       -4.20525307        0.38729653        0.01595719        0.35412810        0.01417007        0.00252541        0.00051575
       -4.19524306        0.42306131        0.01584970        0.38842268        0.01550378        0.00270009        0.00058507
       -4.18523305        0.67863926        0.02333155        0.62124087        0.02840474        0.00473113        0.00093097
       -4.17522304        8.59359620        0.19873885        8.10874473        0.19816404        0.07060075        0.01734783
       -4.16521303        0.42422114        0.01492686        0.38848816        0.01728392        0.00288429        0.00063791
       -4.15520302        0.42944853        0.01376919        0.39430500        0.01786487        0.00282329        0.00068618
       -4.14519301        0.48858283        0.01751595        0.44749829        0.01978911        0.00304407        0.00073541
       -4.13518300        0.33279314        0.01504572        0.30132696        0.01366637        0.00228651        0.00046757
       -4.12517299        0.40534341        0.01890519        0.36641695        0.01669061        0.00276371        0.00056696
       -4.11516298        3.68890314        0.06416813        3.37865216        0.21062763        0.02729150        0.00816371
       -4.10515297        0.54867085        0.02377629        0.49499951        0.02419804        0.00460408        0.00109292
       -4.09514296        0.52172154        0.01517372        0.48307575        0.01906532        0.00345089        0.00095587
       -4.08513295        0.57625102        0.01118886        0.53904844        0.02148438        0.00356929        0.00096004
       -4.07512294        0.84588326        0.01096067        0.77217492        0.05533938        0.00596343        0.00144487
       -4.06511293        0.58986629        0.00915100        0.54512943        0.03105108        0.00365828        0.00087650
       -4.05510292        0.71936232        0.01767421        0.66194992        0.03401559        0.00463382        0.00108877
       -4.04509291        0.94055162        0.02375469        0.86470756        0.04516471        0.00543588        0.00148878
       -4.03508290        0.92018969        0.02486461        0.84380682        0.04502574        0.00503467        0.00145785
       -4.02507289        0.91989613        0.02481090        0.84378545        0.04514660        0.00469398        0.00145919
       -4.01506288        0.73876903        0.02188546        0.67302455        0.03886603        0.00375882        0.00123417
       -4.00505287        0.85664182        0.02329251        0.78708441        0.04071996        0.00412197        0.00142296
       -3.99504286        1.06315685        0.02747049        0.98497948        0.04446483        0.00449236        0.00174968
       -3.98503285        0.75299513        0.01640775        0.70515989        0.02707863        0.00305217        0.00129669
       -3.97502284        1.41933412        0.03897678        1.31227551        0.06045947        0.00543553        0.00218684
       -3.96501283        1.11070789        0.03121881        1.02660774        0.04611669        0.00483410        0.00193054
       -3.95500282        0.77369565        0.02135420        0.71660710        0.03040413        0.00381788        0.00151233
       -3.94499281        1.43870402        0.04722882        1.33244397        0.05131918        0.00536958        0.00234247
       -3.93498280        1.19584861        0.02939185        1.11879278        0.03856481        0.00707684        0.00202234
       -3.92497279        0.89024450        0.01972765        0.82593599        0.03702719        0.00606318        0.00149049
       -3.91496278        1.07633011        0.01668038        1.00864243        0.04122647        0.00805877        0.00172206
       -3.90495277        3.65551920        0.10139213        3.39246564        0.13141422        0.02591110        0.00433612
       -3.89494276        1.97745843        0.05495836        1.82340407        0.08162597        0.01463981        0.00283022
       -3.88493275        3.71358675        0.05809751        3.33876066        0.24146906        0.06237639        0.01288313
       -3.87492274        2.01661523        0.05857314        1.83782580        0.10361766        0.01394958        0.00264905
