#  aims_uuid : ABE7C604-ADB4-4A9A-A398-281BE701A176                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.448767 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.55123303        1.19400235        0.01251509        0.16626972        1.00584564        0.00753482        0.00183709
       -4.54122302        1.51289489        0.01708556        0.18010189        1.30449346        0.00862593        0.00258804
       -4.53121301        1.46301124        0.01801311        0.15568780        1.27681453        0.00989206        0.00260373
       -4.52120300        1.12188423        0.01468729        0.13144539        0.96312490        0.01103936        0.00158728
       -4.51119299        1.27051982        0.01359027        0.19400985        1.04914549        0.01169384        0.00208037
       -4.50118298        2.31580019        0.02403708        0.29711253        1.95890448        0.03286509        0.00288100
       -4.49117297        0.30760212        0.01118078        0.04846371        0.24370963        0.00376438        0.00048363
       -4.48116296        0.50736175        0.02108384        0.08697430        0.39220514        0.00623392        0.00086455
       -4.47115295        0.69978067        0.03376732        0.13092249        0.52571921        0.00803706        0.00133459
       -4.46114294        0.93400666        0.04992226        0.18489242        0.68771073        0.00951596        0.00196528
       -4.45113293        1.44039083        0.07406699        0.26881349        1.08151554        0.01295057        0.00304425
       -4.44112292        1.53831275        0.11293952        0.30312385        1.10507981        0.01395082        0.00321875
       -4.43111291        1.38493574        0.11711751        0.27141559        0.97977862        0.01380298        0.00282104
       -4.42110290        0.95600477        0.06573348        0.18085472        0.69685706        0.01083671        0.00172280
       -4.41109289        2.71806247        0.19067303        0.52802311        1.96267662        0.03173829        0.00495142
       -4.40108288        4.12411171        0.44120131        0.78018269        2.84405465        0.05053829        0.00813478
       -4.39107287        2.27445556        0.23428708        0.47299300        1.52610090        0.03692534        0.00414925
       -4.38106286        1.26380363        0.25135815        0.32005911        0.66907563        0.02039273        0.00291800
       -4.37105285        1.93908922        0.46984028        0.38584298        1.05369158        0.02498498        0.00472939
       -4.36104284        1.66328450        0.40417938        0.30613636        0.92957253        0.01905275        0.00434348
       -4.35103283        1.40794397        0.35890009        0.22680686        0.80087693        0.01817379        0.00318630
       -4.34102282        0.69596312        0.14952116        0.13217033        0.40214995        0.01061473        0.00150694
       -4.33101281        1.29657656        0.19375880        0.28091027        0.79538895        0.02418209        0.00233645
       -4.32100280        0.97136162        0.13014746        0.22168735        0.59891870        0.01871571        0.00189239
       -4.31099279        0.60780695        0.10994715        0.15193734        0.33186185        0.01272865        0.00133196
       -4.30098278        1.20962869        0.10759320        0.19898980        0.86932363        0.03224774        0.00147433
       -4.29097277        1.37489361        0.15979030        0.23108634        0.94962838        0.03223912        0.00214948
       -4.28096276        1.42633971        0.20183474        0.21088807        0.98454822        0.02631287        0.00275581
       -4.27095275        1.54785895        0.27980769        0.21318476        1.03036515        0.02088031        0.00362105
       -4.26094274        1.03056119        0.16856563        0.14677107        0.69651446        0.01645151        0.00225853
       -4.25093273        0.84576137        0.07814546        0.10378203        0.64579349        0.01654673        0.00149367
       -4.24092272        0.50276117        0.04294450        0.06197019        0.38650290        0.01043114        0.00091244
       -4.23091271        0.32366479        0.03434830        0.04479824        0.23691024        0.00698278        0.00062524
       -4.22090270        0.29855395        0.03657373        0.04686945        0.20750416        0.00700750        0.00059911
       -4.21089269        0.75002958        0.12798154        0.08363217        0.52488495        0.01181987        0.00171107
       -4.20088268        0.83423049        0.14579182        0.09532934        0.57739839        0.01381206        0.00189888
       -4.19087267        0.71338450        0.11574866        0.08087774        0.50232032        0.01290935        0.00152843
       -4.18086266        0.68583590        0.10411802        0.06886255        0.49922040        0.01225021        0.00138471
       -4.17085265        0.64382177        0.09027866        0.05791087        0.48275741        0.01165568        0.00121915
       -4.16084264        0.58734211        0.07423059        0.04802269        0.45293135        0.01112573        0.00103175
       -4.15083263        0.51639692        0.05597380        0.03919801        0.40974222        0.01066039        0.00082251
       -4.14082262        0.57326957        0.05219628        0.04878528        0.45596103        0.01545605        0.00087093
       -4.13081261        0.47419117        0.02573152        0.04047674        0.39232482        0.01506967        0.00058843
       -4.12080260        1.39026344        0.02589586        0.09900422        1.22080483        0.04333770        0.00122083
       -4.11079259        0.17889207        0.01576699        0.01488133        0.14310426        0.00480247        0.00033702
       -4.10078258        0.20893572        0.01986090        0.01526899        0.16865782        0.00473091        0.00041710
       -4.09077257        0.32953144        0.02509868        0.02325328        0.27341801        0.00716635        0.00059512
