#  aims_uuid : ABE7C604-ADB4-4A9A-A398-281BE701A176                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.448767 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.55123303        1.08189179        0.08393890        0.91467897        0.07552916        0.00754291        0.00020185
       -4.54122302        1.38331053        0.12163745        1.16130805        0.09007456        0.01002438        0.00026610
       -4.53121301        1.31013625        0.11691441        1.10489212        0.07825812        0.00961258        0.00045901
       -4.52120300        0.98907465        0.06005692        0.86755240        0.05500290        0.00588539        0.00057705
       -4.51119299        1.11786900        0.08194658        0.95515629        0.07356565        0.00690179        0.00029869
       -4.50118298        2.55668772        0.16812493        2.26087744        0.11214622        0.01383915        0.00169998
       -4.49117297        0.31202287        0.02068957        0.27558142        0.01393627        0.00153768        0.00027792
       -4.48116296        0.54529535        0.03911930        0.47868685        0.02434566        0.00270944        0.00043410
       -4.47115295        0.78493115        0.06248328        0.68136305        0.03651406        0.00407115        0.00049961
       -4.46114294        1.07698937        0.09487395        0.92204704        0.05364253        0.00594416        0.00048168
       -4.45113293        1.60839140        0.15042956        1.36046632        0.08741516        0.00958594        0.00049442
       -4.44112292        1.68061105        0.15165648        1.42251199        0.09586320        0.00999124        0.00058814
       -4.43111291        1.50345568        0.12892548        1.27876795        0.08633489        0.00876705        0.00066030
       -4.42110290        1.03231810        0.08217690        0.88278745        0.06103608        0.00587799        0.00043967
       -4.41109289        3.04573925        0.25248644        2.59702883        0.17784221        0.01721224        0.00116953
       -4.40108288        4.54986653        0.37592545        3.88954260        0.25495238        0.02678388        0.00266221
       -4.39107287        2.68398594        0.19576021        2.33790061        0.13412644        0.01431669        0.00188200
       -4.38106286        1.56846548        0.13534431        1.34936832        0.07406287        0.00840909        0.00128089
       -4.37105285        1.98077255        0.16624512        1.69057414        0.10828884        0.01339261        0.00227183
       -4.36104284        1.56508710        0.12644317        1.33010080        0.09456145        0.01194024        0.00204144
       -4.35103283        1.35275478        0.12049993        1.14477471        0.07579055        0.01005183        0.00163776
       -4.34102282        0.78396831        0.07247190        0.66774784        0.03822473        0.00483165        0.00069219
       -4.33101281        1.66377722        0.14136470        1.42727698        0.08521940        0.00890438        0.00101175
       -4.32100280        1.34462843        0.12509222        1.14658055        0.06531010        0.00700381        0.00064174
       -4.31099279        0.88197120        0.08859069        0.74909079        0.03923500        0.00457402        0.00048070
       -4.30098278        1.52069106        0.08866049        1.37622712        0.04785097        0.00615202        0.00180046
       -4.29097277        1.70261883        0.12313136        1.50635800        0.06324141        0.00817781        0.00171024
       -4.28096276        1.58071417        0.12314962        1.37504259        0.07134129        0.00957841        0.00160225
       -4.27095275        1.53046693        0.12767415        1.30426673        0.08527936        0.01162039        0.00162629
       -4.26094274        1.19444718        0.10731849        1.01452884        0.06336359        0.00829905        0.00093722
       -4.25093273        1.07976180        0.10161044        0.91638786        0.05452850        0.00673294        0.00050206
       -4.24092272        0.63260830        0.06164595        0.53612626        0.03066305        0.00389954        0.00027350
       -4.23091271        0.42687324        0.04154018        0.36239574        0.02010347        0.00262727        0.00020659
       -4.22090270        0.42566165        0.04222909        0.36171897        0.01896921        0.00253811        0.00020627
