#  aims_uuid : 9C7150D4-24B4-4102-A810-2FB27842AFF0                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.636168 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.36383249       10.81428794        0.12429244        0.85314345        9.66709473        0.16975732
       -5.35382248       10.00022414        0.12202884        0.86479158        8.83577666        0.17762705
       -5.34381247        9.21653284        0.11896962        0.86890181        8.04465574        0.18400567
       -5.33380246        8.46321405        0.11511478        0.86547413        7.29373195        0.18889318
       -5.32379245        7.74026776        0.11046432        0.85450855        6.58300530        0.19228959
       -5.31378244        7.04769397        0.10501823        0.83600506        5.91247579        0.19419488
       -5.30377243        6.38549269        0.09877653        0.80996367        5.28214342        0.19460907
       -5.29376242        5.75366391        0.09173920        0.77638437        4.69200819        0.19353216
       -5.28375241        5.15220764        0.08390626        0.73526716        4.14207009        0.19096413
       -5.27374240        6.27979595        0.08054044        0.71638911        5.20437034        0.27849606
       -5.26373239        5.12952196        0.10071484        0.92373286        3.88130143        0.22377283
       -5.25372238        4.08161317        0.11060934        1.03044901        2.76575363        0.17480119
       -5.24371237        3.13606958        0.11022393        1.03653754        1.85772694        0.13158116
       -5.23370236        2.29289120        0.09955863        0.94199847        1.15722137        0.09411273
       -5.22369235        1.55207801        0.07861342        0.74683179        0.66423690        0.06239590
       -5.21368234       13.14861936        0.74871156        7.14057677        4.66989293        0.58943809
       -5.20367233        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.19366232        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.18365231       30.70300642        0.29778925        0.92154225       29.20521135        0.27846358
       -5.17364230       37.25853124        0.31952657        2.45569185       33.87640192        0.60691090
       -5.16363229       36.07664640        0.67486921        6.66783312       27.90916442        0.82477965
       -5.15362228       25.41593181        1.15818414       10.81130978       12.49123736        0.95520053
       -5.14361227        3.41931035        0.00844215        0.07519191        3.27581193        0.05986436
       -5.13360226        6.31974112        0.01360487        0.11637477        6.05862343        0.13113805
       -5.12359225        9.00310703        0.01845541        0.15087582        8.61434818        0.21942762
       -5.11358224       11.49651985        0.02299672        0.17887823       10.96982876        0.32481614
