#  aims_uuid : 9C7150D4-24B4-4102-A810-2FB27842AFF0                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.42336822        0.00490743        0.03310890        0.37843198        0.00691991
       -9.98998999        0.39398164        0.00479506        0.03324260        0.34877574        0.00716824
       -9.97997998        0.36530889        0.00465471        0.03313342        0.32015315        0.00736761
       -9.96996997        0.33734999        0.00448638        0.03278136        0.29256421        0.00751804
       -9.95995996        0.31010493        0.00429007        0.03218643        0.26600892        0.00761950
       -9.94994995        0.28357371        0.00406579        0.03134862        0.24048728        0.00767201
       -9.93993994        0.25775633        0.00381353        0.03026794        0.21599929        0.00767557
       -9.92992993        0.23265280        0.00353330        0.02894438        0.19254495        0.00763017
       -9.91991992        0.20826310        0.00322508        0.02737794        0.17012426        0.00753581
       -9.90990991        0.25245149        0.00309541        0.02668531        0.21161541        0.01105536
       -9.89989990        0.20508734        0.00389276        0.03475756        0.15755318        0.00888383
       -9.88988989        0.16230942        0.00429275        0.03905161        0.11202379        0.00694127
       -9.87987988        0.12411774        0.00429540        0.03956745        0.07502723        0.00522767
       -9.86986987        0.09051230        0.00390069        0.03630508        0.04656350        0.00374303
       -9.85985986        0.06149310        0.00310862        0.02926450        0.02663261        0.00248736
       -9.84984985        0.59897645        0.03359607        0.34349263        0.19777828        0.02410947
       -9.83983984        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.82982983        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.81981982        1.24739370        0.01197311        0.05576048        1.16822636        0.01143375
       -9.80980981        1.52437267        0.01360123        0.13144787        1.35406189        0.02526168
       -9.79979980        1.45271940        0.02684470        0.27619111        1.11666174        0.03302184
       -9.78978979        0.98031772        0.05110331        0.37679463        0.51502077        0.03739901
       -9.77977978        0.13541023        0.00016443        0.00209668        0.13076442        0.00238470
       -9.76976977        0.25075485        0.00028288        0.00328085        0.24196016        0.00523096
       -9.75975976        0.35751883        0.00040981        0.00430819        0.34404301        0.00875782
       -9.74974975        0.45678665        0.00054536        0.00518602        0.43808667        0.01296861
       -9.73973974        0.55548935        0.00070032        0.00608842        0.53080786        0.01789275
       -9.72972973        0.64499572        0.00088175        0.00705810        0.61354554        0.02351033
       -9.71971972        0.55587460        0.00513211        0.05368627        0.48286390        0.01419232
       -9.70970971        0.87552025        0.00897982        0.09411204        0.75171959        0.02070880
       -9.69969970        1.27600862        0.00811324        0.08816539        1.15241020        0.02731979
       -9.68968969        0.77353857        0.00476948        0.05384784        0.70070344        0.01421781
       -9.67967968        0.82719422        0.00477575        0.05539225        0.75416960        0.01285661
       -9.66966967        0.39945981        0.00466468        0.05404512        0.33139552        0.00935450
       -9.65965966        0.40307995        0.00482231        0.05695680        0.33208836        0.00921248
       -9.64964965        0.40568836        0.00502519        0.06038034        0.33121100        0.00907183
       -9.63963964        0.40728504        0.00527333        0.06431572        0.32876343        0.00893256
       -9.62962963        0.40787001        0.00556673        0.06876294        0.32474567        0.00879467
       -9.61961962        0.40744325        0.00590538        0.07372202        0.31915770        0.00865815
       -9.60960961        0.24355835        0.00228500        0.02763519        0.20883390        0.00480426
       -9.59959960        0.24172004        0.00230767        0.02831888        0.20633374        0.00475975
       -9.58958959        0.23922079        0.00235838        0.02929248        0.20284667        0.00472326
       -9.57957958        0.45252130        0.00245206        0.03280123        0.41118079        0.00608722
       -9.56956957        0.75546151        0.00259768        0.03755444        0.70681862        0.00849077
       -9.55955956        0.82477070        0.00273502        0.03973983        0.77231758        0.00997827
       -9.54954955        0.88543423        0.00289716        0.04182100        0.82882163        0.01189443
       -9.53953954        0.92864215        0.00308327        0.04369723        0.86770636        0.01415528
       -9.52952953        0.58022453        0.00003146        0.00270876        0.56785619        0.00962812
       -9.51951952        0.33646093        0.00006143        0.00251404        0.32934573        0.00453973
       -9.50950951        0.63092717        0.00014906        0.00359435        0.61798340        0.00920037
       -9.49949950        0.59173945        0.00024364        0.00563107        0.57744798        0.00841676
       -9.48948949        0.55169087        0.00032807        0.00738357        0.53631274        0.00766649
       -9.47947948        0.51078143        0.00040235        0.00885184        0.49457768        0.00694956
       -9.46946947        0.46901114        0.00046646        0.01003590        0.45224281        0.00626596
       -9.45945946        0.42637998        0.00052043        0.01093574        0.40930812        0.00561570
       -9.44944945        0.38288798        0.00056423        0.01155135        0.36577362        0.00499877
       -9.43943944        0.38687493        0.00060472        0.01175576        0.36768852        0.00682593
       -9.42942943        0.44296213        0.00064628        0.01243036        0.41999916        0.00988633
       -9.41941942        0.51636485        0.00068507        0.01392392        0.48972900        0.01202686
       -9.40940941        0.49114997        0.00071642        0.01402924        0.46422977        0.01217453
       -9.39939940        0.63848125        0.00075148        0.01792535        0.60703744        0.01276698
       -9.38938939        0.36049715        0.00077933        0.01335389        0.33673378        0.00963015
       -9.37937938        0.36415393        0.00081297        0.01388352        0.33967291        0.00978453
       -9.36936937        0.36680297        0.00084620        0.01432157        0.34163932        0.00999588
       -9.35935936        0.36844427        0.00087901        0.01466805        0.34263299        0.01026421
       -9.34934935        0.36907782        0.00091141        0.01492294        0.34265394        0.01058953
       -9.33933934        0.36870364        0.00094340        0.01508625        0.34170217        0.01097183
       -9.32932933        0.36732172        0.00097497        0.01515798        0.33977766        0.01141110
       -9.31931932        0.29628829        0.00099938        0.01571841        0.27252231        0.00704821
       -9.30930931        0.23000463        0.00107774        0.01756181        0.20500086        0.00636422
       -9.29929930        0.19863170        0.00117466        0.02087147        0.17051833        0.00606725
       -9.28928929        0.17439714        0.00135896        0.02465657        0.14252200        0.00585961
       -9.27927928        0.15302840        0.00156487        0.02797601        0.11784906        0.00563845
       -9.26926927        0.13334749        0.00177214        0.03053283        0.09566819        0.00537433
       -9.25925926        0.28796849        0.00277876        0.04125226        0.23465062        0.00928685
       -9.24924925        0.67675206        0.00758877        0.08524231        0.56390633        0.02001466
       -9.23923924        1.02243566        0.01874762        0.18016540        0.79194828        0.03157436
       -9.22922923        1.05332748        0.02393574        0.21206448        0.78516606        0.03216119
       -9.21921922        1.01076386        0.01335664        0.13213430        0.83888457        0.02638835
       -9.20920921        1.59128935        0.00963716        0.09826815        1.44988811        0.03349594
       -9.19919920        1.49713544        0.00154981        0.03483781        1.43250930        0.02823852
       -9.18918919        1.06297389        0.00145055        0.03514484        1.00656535        0.01981316
       -9.17917918        1.47367898        0.00482153        0.07360052        1.36674578        0.02851114
       -9.16916917        2.24827380        0.01029993        0.14369216        2.05102427        0.04325745
       -9.15915916        1.05681803        0.01735523        0.17318907        0.83873795        0.02753577
       -9.14914915        2.40569566        0.02352851        0.25609005        2.07589626        0.05018084
       -9.13913914        0.45469455        0.01543149        0.13648842        0.28726496        0.01550968
       -9.12912913        0.42220925        0.01200544        0.11069604        0.28621816        0.01328962
       -9.11911912        0.39095025        0.00915243        0.08873790        0.28169894        0.01136097
       -9.10910911        0.36091753        0.00687247        0.07061401        0.27370731        0.00972374
       -9.09909910        0.33211111        0.00516556        0.05632438        0.26224326        0.00837792
       -9.08908909        0.30453098        0.00403169        0.04586899        0.24730679        0.00732351
       -9.07907908        0.27817714        0.00347087        0.03924785        0.22889791        0.00656051
       -9.06906907        0.29249451        0.00316642        0.03911317        0.24342159        0.00679333
       -9.05905906        0.36851835        0.00445628        0.05207388        0.30331132        0.00867688
       -9.04904905        0.39192478        0.00359891        0.04772224        0.33172111        0.00888251
       -9.03903904        0.42373754        0.00294519        0.04468951        0.36680361        0.00929923
       -9.02902903        1.18331039        0.00259928        0.06711307        1.09175015        0.02184789
       -9.01901902        0.40509776        0.00266195        0.04997108        0.33963476        0.01282996
       -9.00900901        0.52401913        0.00378742        0.06690308        0.43723080        0.01609782
       -8.99899900        0.66570314        0.00568504        0.08985239        0.55001847        0.02014723
       -8.98898899        0.46428531        0.00253706        0.05201480        0.39524431        0.01448915
       -8.97897898        0.61082590        0.00249697        0.06167913        0.52891913        0.01773067
       -8.96896897        0.59452251        0.00245624        0.06142683        0.51284890        0.01779053
       -8.95895896        0.58107062        0.00245646        0.06162495        0.49913190        0.01785731
       -8.94894895        0.57047023        0.00249761        0.06227349        0.48776814        0.01793099
       -8.93893894        0.64113536        0.00289108        0.07304902        0.54510264        0.02009264
       -8.92892893        0.68775999        0.00293752        0.08151196        0.58175752        0.02155299
       -8.91891892        0.81883197        0.00385792        0.10065411        0.68903545        0.02528450
       -8.90890891        0.90929214        0.00351637        0.10201829        0.77633682        0.02742066
       -8.89889890        1.13063979        0.00331877        0.11052199        0.98437828        0.03242076
       -8.88888889        1.22709218        0.00299340        0.11184168        1.07752378        0.03473332
       -8.87887888        1.42807824        0.00270951        0.11468785        1.27090294        0.03977794
       -8.86886887        1.71319259        0.00302275        0.14845864        1.51415239        0.04755882
       -8.85885886        1.51449992        0.00152243        0.14595436        1.32086774        0.04615539
       -8.84884885        1.65183347        0.00190506        0.14441711        1.45589742        0.04961388
       -8.83883884        2.04470102        0.00312478        0.22107110        1.76024632        0.06025882
       -8.82882883        1.57142866        0.00441657        0.19029850        1.32825005        0.04846354
       -8.81881882        1.11937634        0.00529869        0.15201878        0.92616044        0.03589843
       -8.80880881        0.68854407        0.00577114        0.10623193        0.55397750        0.02256349
       -8.79879880        0.43015153        0.00624075        0.08083521        0.32801943        0.01505615
       -8.78878879        0.89143277        0.00793743        0.16052645        0.68007119        0.04289770
       -8.77877878        0.88445487        0.01589867        0.15598325        0.67691117        0.03566178
       -8.76876877        0.62539006        0.01299028        0.12104487        0.46706642        0.02428847
       -8.75875876        0.53960977        0.00806443        0.11132698        0.39925936        0.02095900
       -8.74874875        0.60175702        0.00746339        0.12198012        0.44943040        0.02288311
       -8.73873874        0.69657962        0.00860267        0.13459707        0.52719999        0.02617989
       -8.72872873        0.78805946        0.00955902        0.14335073        0.60605006        0.02909965
       -8.71871872        0.70778497        0.01035577        0.14075259        0.52893722        0.02773939
       -8.70870871        0.97850042        0.01135428        0.16777609        0.76384667        0.03552339
       -8.69869870        0.83318843        0.01173962        0.14692876        0.64322343        0.03129663
       -8.68868869        0.70975205        0.00900334        0.13055933        0.54264021        0.02754917
       -8.67867868        0.48785100        0.00308363        0.08902988        0.37549827        0.02023922
       -8.66866867        0.42257857        0.00107291        0.07843644        0.32489243        0.01817679
       -8.65865866        0.54712743        0.00229683        0.11443242        0.40602695        0.02437123
       -8.64864865        0.61850064        0.00236596        0.13169934        0.45582638        0.02860896
       -8.63863864        0.86498837        0.00500470        0.16527783        0.65888432        0.03582152
       -8.62862863        0.79232509        0.00673174        0.18121889        0.56746616        0.03690830
       -8.61861862        0.81534588        0.01005029        0.19936124        0.56743362        0.03850074
       -8.60860861        0.89663895        0.01369887        0.21072700        0.63193064        0.04028244
       -8.59859860        1.37298655        0.03286239        0.33048003        0.95292716        0.05671697
       -8.58858859        0.62784367        0.00282573        0.10901291        0.49590326        0.02010177
       -8.57857858        0.34086696        0.00002189        0.03287619        0.29933892        0.00862996
       -8.56856857        0.31048116        0.00002049        0.00428158        0.29815107        0.00802803
       -8.55855856        0.12788110        0.00000843        0.00380525        0.12083191        0.00323551
       -8.54854855        0.36730058        0.00119676        0.01777922        0.33783483        0.01048977
       -8.53853854        0.22783845        0.00155823        0.02224551        0.19686166        0.00717306
       -8.52852853        0.21844763        0.00214409        0.03091435        0.17776939        0.00761981
       -8.51851852        0.32407048        0.00536260        0.07687701        0.22779021        0.01404066
       -8.50850851        0.42549767        0.00769436        0.11709562        0.28033626        0.02037143
       -8.49849850        0.38523148        0.00500201        0.07857469        0.28453182        0.01712296
       -8.48848849        0.25147096        0.00269841        0.04579361        0.19306411        0.00991483
       -8.47847848        0.24131913        0.00240621        0.04335437        0.18616381        0.00939474
       -8.46846847        0.42502793        0.00221525        0.09827099        0.30434806        0.02019364
       -8.45845846        0.31482242        0.00211781        0.06265328        0.23579372        0.01425762
       -8.44844845        0.41428807        0.00215385        0.09637437        0.29726338        0.01849647
       -8.43843844        0.37230587        0.00211039        0.08287018        0.27046825        0.01685706
       -8.42842843        0.33240062        0.00204707        0.07032027        0.24518207        0.01485120
       -8.41841842        0.38081660        0.00237845        0.08265191        0.27849706        0.01728918
       -8.40840841        0.47220278        0.00354385        0.09979537        0.34724397        0.02161958
       -8.39839840        0.90915509        0.00600072        0.13334932        0.73283192        0.03697313
       -8.38838839        0.66443918        0.00429470        0.10706709        0.52598885        0.02708854
       -8.37837838        0.69332869        0.00659049        0.12316987        0.53396652        0.02960181
       -8.36836837        0.35575773        0.00314377        0.08876055        0.24678031        0.01707310
       -8.35835836        0.33940242        0.00309638        0.08961746        0.22991570        0.01677288
       -8.34834835        0.39093509        0.00309243        0.10138121        0.26786875        0.01859269
       -8.33833834        0.40343402        0.00308926        0.09687089        0.28443277        0.01904109
       -8.32832833        0.40106414        0.00311504        0.08998647        0.28881730        0.01914533
       -8.31831832        0.39875809        0.00313406        0.08767940        0.28858668        0.01935794
       -8.30830831        0.38830097        0.00314437        0.08648798        0.27927603        0.01939259
       -8.29829830        0.36969277        0.00314597        0.08641220        0.26088535        0.01924926
       -8.28828829        0.34293351        0.00313884        0.08745207        0.23341464        0.01892795
       -8.27827828        0.35188042        0.00332933        0.09111764        0.23768714        0.01974631
       -8.26826827        0.34784893        0.00313807        0.09222268        0.23246895        0.02001924
       -8.25825826        0.34343077        0.00295710        0.09339786        0.22677317        0.02030264
       -8.24824825        0.33862593        0.00278640        0.09464319        0.22059981        0.02059653
       -8.23823824        0.33343441        0.00262598        0.09595866        0.21394888        0.02090090
       -8.22822823        0.32785622        0.00247583        0.09734428        0.20682037        0.02121574
       -8.21821822        0.30594936        0.00234030        0.09077343        0.19328686        0.01954878
       -8.20820821        0.36454023        0.00367306        0.10904101        0.22884241        0.02298374
       -8.19819820        0.34952009        0.00319488        0.10840788        0.21583049        0.02208684
       -8.18818819        0.34022713        0.00283358        0.10747871        0.20854707        0.02136777
       -8.17817818        0.35580757        0.00263630        0.11279350        0.21857190        0.02180587
       -8.16816817        0.34872015        0.00254576        0.10310675        0.22234222        0.02072542
       -8.15815816        0.37246884        0.00259211        0.10099712        0.24736889        0.02151071
       -8.14814815        0.37843265        0.00162387        0.09147096        0.26376839        0.02156943
       -8.13813814        0.41799214        0.00142367        0.08765812        0.30548434        0.02342601
       -8.12812813        0.27015713        0.00130844        0.06695034        0.18607620        0.01582215
       -8.11811812        0.24426197        0.00141495        0.06211245        0.16569410        0.01504047
       -8.10810811        0.22849990        0.00165653        0.06085972        0.15125488        0.01472877
       -8.09809810        0.21668912        0.00199997        0.06018924        0.13991666        0.01458325
       -8.08808809        0.21584369        0.00244729        0.06327921        0.13516585        0.01495133
       -8.07807808        0.22168727        0.00299715        0.06808824        0.13501200        0.01558989
       -8.06806807        0.28208568        0.00406746        0.09802163        0.15948213        0.02051446
       -8.05805806        0.25958190        0.00349134        0.09786226        0.13812118        0.02010712
       -8.04804805        0.23699151        0.00292943        0.09634163        0.11813534        0.01958511
       -8.03803804        0.21431450        0.00238172        0.09345975        0.09952461        0.01894842
       -8.02802803        0.19155089        0.00184823        0.08921661        0.08228899        0.01819706
       -8.01801802        0.16870066        0.00132894        0.08361221        0.06642848        0.01733103
       -8.00800801        0.14576382        0.00082387        0.07664655        0.05194307        0.01635033
       -7.99799800        0.14164019        0.00057295        0.07517895        0.04784968        0.01803861
       -7.98798799        0.34943178        0.00351434        0.15630763        0.15666737        0.03294244
       -7.97797798        0.27397532        0.00213752        0.10840475        0.13803044        0.02540260
       -7.96796797        0.63140252        0.00127966        0.19020260        0.39159082        0.04832944
       -7.95795796        0.70033506        0.00052451        0.14068100        0.50837948        0.05075007
       -7.94794795        0.27011577        0.00009121        0.05876414        0.19096284        0.02029758
       -7.93793794        0.22317792        0.00011085        0.09171392        0.11731001        0.01404314
       -7.92792793        0.17099812        0.00009491        0.06074128        0.09948917        0.01067277
       -7.91791792        0.13891551        0.00018931        0.05832065        0.06594897        0.01445659
       -7.90790791        0.26021479        0.00040444        0.09091440        0.13835867        0.03053728
       -7.89789790        0.36002878        0.00020573        0.13081726        0.18764312        0.04136268
       -7.88788789        0.29736861        0.00010741        0.10378513        0.16181817        0.03165789
       -7.87787788        0.29660408        0.00011634        0.09998551        0.16477671        0.03172552
       -7.86786787        0.28732298        0.00012384        0.09645006        0.15929802        0.03145107
       -7.85785786        0.28351859        0.00013621        0.09794534        0.15334531        0.03209173
       -7.84784785        0.20610277        0.00010755        0.07635119        0.10568880        0.02395523
       -7.83783784        0.21871937        0.00010668        0.08625973        0.10635500        0.02599796
       -7.82782783        0.15624568        0.00010473        0.07182824        0.06481004        0.01950266
       -7.81781782        0.18022131        0.00013662        0.08608120        0.07213625        0.02186725
       -7.80780781        0.17819276        0.00012739        0.08354255        0.07274037        0.02178246
       -7.79779780        0.17681437        0.00011854        0.08113562        0.07372041        0.02183979
       -7.78778779        0.39472615        0.00024796        0.17217715        0.17409741        0.04820364
       -7.77777778        0.31011008        0.00015074        0.13420014        0.13743966        0.03831953
       -7.76776777        0.22142830        0.00007145        0.09589308        0.09789279        0.02757098
       -7.75775776        0.20984942        0.00002850        0.09666389        0.08734818        0.02580885
       -7.74774775        0.09088371        0.00000701        0.04032167        0.03979725        0.01075777
       -7.73773774        0.68236218        0.01866815        0.06509323        0.59302876        0.00557204
       -7.72772773        0.73628039        0.01891813        0.06300018        0.64877468        0.00558741
       -7.71771772        0.80423485        0.01915650        0.06231471        0.71647268        0.00629095
       -7.70770771        0.88018561        0.01938292        0.06053958        0.79328429        0.00697882
       -7.69769770        0.96413267        0.01959739        0.05767477        0.87920950        0.00765100
       -7.68768769        0.37393223        0.00755335        0.02337674        0.34056646        0.00243568
       -7.67767768        0.23059435        0.00645819        0.01460243        0.20775927        0.00177447
       -7.66766767        0.39443839        0.01057427        0.02146573        0.35897026        0.00342814
       -7.65765766        0.56669351        0.01383739        0.03058242        0.51683562        0.00543808
       -7.64764765        0.74735973        0.01624757        0.04195251        0.68135535        0.00780431
       -7.63763764        0.50613419        0.01002873        0.03388093        0.45651717        0.00570737
       -7.62762763        0.53426772        0.00951480        0.04000565        0.47820724        0.00654004
       -7.61761762        0.90201396        0.01204592        0.05467267        0.82392094        0.01137442
       -7.60760761        3.08914794        0.04555990        0.29853309        2.70427855        0.04077639
