#  aims_uuid : FEE633DF-569B-4468-A6BF-F5BC4890AA15                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.276370 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.72363010        1.02985643        0.03794453        0.15707503        0.82202739        0.01081545        0.00199404
       -5.71362009        1.42051173        0.05093619        0.22043424        1.13016968        0.01628865        0.00268297
       -5.70361008        2.18581028        0.07711962        0.35738113        1.71946025        0.02882113        0.00302816
       -5.69360007        2.44992032        0.09098682        0.35645786        1.96087613        0.03776684        0.00383268
       -5.68359006        2.14911248        0.13346635        0.37049274        1.61196007        0.02925510        0.00393822
       -5.67358005        2.05893115        0.14927888        0.35860969        1.51492293        0.03218275        0.00393690
       -5.66357004        1.63827358        0.15163417        0.31728362        1.14051822        0.02556549        0.00327209
       -5.65356003        1.82389150        0.20762354        0.41856527        1.16606241        0.02764657        0.00399372
       -5.64355002        1.85291589        0.22402193        0.42002904        1.17562108        0.02931336        0.00393048
       -5.63354001        1.06217794        0.12446639        0.24987074        0.66935617        0.01613802        0.00234662
       -5.62353000        0.39580574        0.05728604        0.09692745        0.23466400        0.00591475        0.00101349
       -5.61351999        0.77076064        0.15966138        0.21694864        0.37916589        0.01277511        0.00220962
       -5.60350998        2.30729384        0.42522905        0.39421079        1.44634312        0.03618467        0.00532621
       -5.59349997        1.72550296        0.39271954        0.30996733        0.99306480        0.02566090        0.00409039
       -5.58348996        1.10982071        0.26788833        0.22319316        0.59795771        0.01811170        0.00266981
       -5.57347995        0.68269751        0.16629495        0.13981454        0.36364886        0.01124372        0.00169544
       -5.56346994        0.59722725        0.11666179        0.12034680        0.34832686        0.01044282        0.00144898
       -5.55345993        0.87243135        0.13710967        0.16882128        0.54868318        0.01575318        0.00206404
       -5.54344992        1.07525431        0.16477447        0.19071255        0.69886514        0.01833804        0.00256410
       -5.53343991        1.32963102        0.21158329        0.21084240        0.88345199        0.02051587        0.00323747
       -5.52342990        1.63616932        0.27850791        0.22827411        1.10305040        0.02225449        0.00408241
       -5.51341989        1.38526655        0.25350874        0.27212062        0.82937192        0.02689259        0.00337267
       -5.50340988        1.76526016        0.19292526        0.26531301        1.26626693        0.03716307        0.00359188
       -5.49339987        0.63164974        0.10161870        0.10452110        0.40981286        0.01438227        0.00131480
       -5.48338986        0.40036685        0.06154572        0.06542097        0.26294652        0.00965354        0.00080009
       -5.47337985        0.30823005        0.03768010        0.04438754        0.21760538        0.00801752        0.00053950
       -5.46336984        0.57625482        0.07582021        0.04724091        0.44193669        0.01009912        0.00115790
       -5.45335983        1.01805162        0.13780276        0.07765845        0.78308141        0.01740382        0.00210517
       -5.44334982        1.08939018        0.13315717        0.09091976        0.84090992        0.02227696        0.00212638
       -5.43333981        1.11555101        0.12146444        0.10785853        0.85662268        0.02756116        0.00204418
       -5.42332980        1.13720286        0.10723825        0.13114311        0.86299733        0.03388278        0.00194139
       -5.41331979        0.60884467        0.08423554        0.08817567        0.41880449        0.01633799        0.00129098
       -5.40330978        0.59178683        0.08338477        0.07569452        0.41850839        0.01276496        0.00143418
       -5.39329977        0.48270015        0.04937807        0.03892495        0.38412728        0.00911500        0.00115485
       -5.38328976        0.20818437        0.00962892        0.01486099        0.17614640        0.00725546        0.00029261
       -5.37327975        0.29609326        0.02124557        0.02303372        0.24122771        0.01008261        0.00050364
       -5.36326974        0.29528503        0.02422906        0.02287551        0.23860424        0.00901321        0.00056302
       -5.35325973        0.28411507        0.02275541        0.01977101        0.23379381        0.00722252        0.00057233
       -5.34324972        0.32778828        0.02792790        0.02211406        0.26942896        0.00761708        0.00070027
       -5.33323971        0.37215340        0.03309136        0.02436962        0.30587345        0.00798653        0.00083243
       -5.32322970        0.41721044        0.03824580        0.02653769        0.34312728        0.00833087        0.00096879
       -5.31321969        0.46295939        0.04339120        0.02861827        0.38119045        0.00865011        0.00110936
       -5.30320968        0.50940026        0.04852758        0.03061135        0.42006296        0.00894423        0.00125414
       -5.29319967        0.51442703        0.05385995        0.02997343        0.42190079        0.00733697        0.00135590
       -5.28318966        0.54734986        0.06095910        0.02750152        0.45051730        0.00690371        0.00146824
       -5.27317965        0.76826281        0.07480864        0.05060114        0.63120100        0.00952393        0.00212810
       -5.26316964        0.81439797        0.05867382        0.06290755        0.67578911        0.01500897        0.00201851
       -5.25315963        0.38012596       -0.00019688        0.05066231        0.31729840        0.01162295        0.00073918
       -5.24314962        0.44362051       -0.00041296        0.05545806        0.37414284        0.01364648        0.00078608
       -5.23313961        0.36679952        0.00002887        0.03124036        0.32249348        0.01254935        0.00048745
       -5.22312960        0.25836065       -0.00001179        0.02135258        0.22790819        0.00878250        0.00032917
       -5.21311959        0.51141462        0.00188240        0.03332627        0.45906248        0.01642841        0.00071506
       -5.20310958        0.47239424        0.00626098        0.03427144        0.41843235        0.01251969        0.00090978
       -5.19309957        0.45139999        0.01195910        0.03468842        0.39414294        0.00952634        0.00108319
       -5.18308956        0.42644520        0.01630510        0.03414015        0.36755181        0.00727457        0.00117357
       -5.17307955        0.39752985        0.01929900        0.03262664        0.33865894        0.00576437        0.00118091
       -5.16306954        0.49238559        0.02094325        0.04244132        0.42088150        0.00663999        0.00147952
       -5.15305953        0.66118069        0.02121608        0.06664715        0.56279212        0.00839582        0.00212952
       -5.14304952        0.84350132        0.02014425        0.10109137        0.70922110        0.01003903        0.00300557
       -5.13303951        0.87915683        0.01818549        0.09651409        0.75102928        0.01038632        0.00304165
       -5.12302950        1.10890342        0.01569567        0.13234328        0.94417942        0.01264976        0.00403530
       -5.11301949        0.89023360        0.01244852        0.09778913        0.76674708        0.01001266        0.00323621
       -5.10300948        0.81487389        0.00956864        0.08858451        0.70453334        0.00919778        0.00298962
       -5.09299947        0.79834871        0.00703012        0.08331833        0.69536597        0.00974396        0.00289033
       -5.08298946        0.80276409        0.00474546        0.08073843        0.70372864        0.01068928        0.00286227
       -5.07297945        0.76741372        0.00270985        0.07619433        0.67357331        0.01232337        0.00261287
       -5.06296944        1.59055561        0.07487130        0.09359614        1.39631726        0.02060727        0.00516365
       -5.05295943        2.10501114        0.05897341        0.13471788        1.87282972        0.03206129        0.00642884
       -5.04294942        2.49504416        0.03881524        0.17435482        2.21872554        0.05613489        0.00701367
       -5.03293941        2.87373308        0.01408384        0.19930226        2.60374574        0.04795283        0.00864841
       -5.02292940        0.90655474        0.00026005        0.09296649        0.80107246        0.00855793        0.00369781
       -5.01291939        1.65348178        0.02101958        0.30932412        1.28850970        0.02880062        0.00582775
       -5.00290938        1.70764308        0.01273524        0.26460916        1.40084950        0.02249577        0.00695341
       -4.99289937        0.72769620        0.00413469        0.25585878        0.45272062        0.01263780        0.00234431
       -4.98288936        4.44948028        0.01416101        0.41798566        3.96343950        0.03177673        0.02211738
       -4.97287935        2.32069767        0.02223994        0.30364782        1.95755760        0.02711710        0.01013521
       -4.96286934        1.83828880        0.00222425        0.09805661        1.71814117        0.01090953        0.00895725
       -4.95285933        2.20546162        0.07351881        0.13432974        1.97279474        0.01557133        0.00924700
       -4.94284932        2.94206710        0.08063708        0.12411141        2.70501609        0.01955807        0.01274444
       -4.93283931        0.65431320        0.00005482        0.07693452        0.57042579        0.00331364        0.00358442
       -4.92282930        0.91465507        0.00110482        0.21309000        0.68878014        0.00649064        0.00518947
       -4.91281929        0.54715392        0.00097210        0.14330454        0.39557917        0.00417865        0.00311945
       -4.90280928        0.35669564        0.00101327        0.11309576        0.23736985        0.00317498        0.00204178
       -4.89279927        0.23198800        0.00083386        0.08635321        0.14116015        0.00228144        0.00135933
       -4.88278926        0.24898969        0.00069828        0.06075678        0.18341429        0.00300565        0.00111468
