#  aims_uuid : FEE633DF-569B-4468-A6BF-F5BC4890AA15                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.276370 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.72363010        1.06955520        0.09413722        0.90132976        0.06629546        0.00732397        0.00046880
       -5.71362009        1.48587404        0.12716050        1.25706145        0.09086499        0.01007649        0.00071060
       -5.70361008        2.24406048        0.15247065        1.91887695        0.15746460        0.01418532        0.00106296
       -5.69360007        2.55944997        0.18064400        2.20781870        0.15272921        0.01655326        0.00170480
       -5.68359006        2.29992831        0.18085090        1.96207583        0.14083080        0.01475698        0.00141379
       -5.67358005        2.22271921        0.16711577        1.91774157        0.12210332        0.01397479        0.00178375
       -5.66357004        1.81687741        0.13884744        1.56555790        0.09987654        0.01107911        0.00151643
       -5.65356003        2.15282697        0.17545452        1.84431758        0.11886655        0.01253874        0.00164958
       -5.64355002        2.15932190        0.17215858        1.85436896        0.11838969        0.01257771        0.00182696
       -5.63354001        1.27495699        0.11210646        1.08390811        0.07052917        0.00751777        0.00089548
       -5.62353000        0.50914980        0.05119855        0.42769254        0.02689652        0.00304258        0.00031961
       -5.61351999        1.06071070        0.10865048        0.89126718        0.05386168        0.00614293        0.00078842
       -5.60350998        2.21128787        0.14897368        1.92288992        0.11981745        0.01607718        0.00352964
       -5.59349997        1.68846606        0.14813198        1.42716803        0.09751000        0.01327318        0.00238287
       -5.58348996        1.19450643        0.11402275        1.00395507        0.06618415        0.00886760        0.00147685
       -5.57347995        0.74652579        0.07291270        0.62474390        0.04226128        0.00570829        0.00089962
       -5.56346994        0.70253890        0.07081918        0.58774003        0.03825114        0.00505919        0.00066937
       -5.55345993        1.08273341        0.11234122        0.90580170        0.05639137        0.00737999        0.00081914
       -5.54344992        1.26014393        0.12810537        1.05452898        0.06747305        0.00900925        0.00102728
       -5.53343991        1.41081396        0.13721654        1.18117872        0.08002724        0.01101822        0.00137324
       -5.52342990        1.53288891        0.13956604        1.28414124        0.09390813        0.01341274        0.00186076
       -5.51341989        1.71354180        0.17635612        1.43747451        0.08657359        0.01169869        0.00143889
       -5.50340988        1.97103766        0.19029255        1.66154027        0.10506674        0.01278125        0.00135685
       -5.49339987        0.95093428        0.09922726        0.79705621        0.04762253        0.00642625        0.00060203
       -5.48338986        0.57593402        0.05635832        0.48743759        0.02794793        0.00376893        0.00042125
       -5.47337985        0.43505489        0.03827419        0.37344581        0.02027420        0.00270780        0.00035289
       -5.46336984        0.51837044        0.03399322        0.44920949        0.02982418        0.00455375        0.00078980
       -5.45335983        0.82607308        0.04754904        0.72146408        0.04781228        0.00776541        0.00148225
       -5.44334982        0.97367415        0.05536422        0.85995154        0.04864542        0.00806295        0.00165003
       -5.43333981        1.14641592        0.06947868        1.01875209        0.04833063        0.00812503        0.00172948
       -5.42332980        1.37365804        0.09272293        1.22236009        0.04859186        0.00820918        0.00177397
       -5.41331979        0.76030946        0.07436545        0.65174350        0.02868021        0.00475397        0.00076632
       -5.40330978        0.64037954        0.06115699        0.54475671        0.02896192        0.00478485        0.00071907
       -5.39329977        0.41514514        0.02570001        0.36248218        0.02247535        0.00381126        0.00067633
       -5.38328976        0.24728456        0.01441805        0.22424099        0.00685193        0.00142680        0.00034679
       -5.37327975        0.38165906        0.02857570        0.33855495        0.01172178        0.00236406        0.00044256
       -5.36326974        0.35512434        0.02538974        0.31477409        0.01210609        0.00241355        0.00044086
       -5.35325973        0.28221197        0.01533272        0.25307913        0.01113621        0.00221952        0.00044439
       -5.34324972        0.30592707        0.01626024        0.27347662        0.01307528        0.00261365        0.00050129
       -5.33323971        0.32855072        0.01722184        0.29274021        0.01501326        0.00301910        0.00055631
       -5.32322970        0.35008291        0.01821753        0.31086990        0.01695017        0.00343587        0.00060944
       -5.31321969        0.37052365        0.01924730        0.32786569        0.01888599        0.00386398        0.00066070
       -5.30320968        0.38987293        0.02031115        0.34372757        0.02082073        0.00430341        0.00071008
       -5.29319967        0.36158973        0.02162864        0.31262230        0.02219034        0.00449038        0.00065806
       -5.28318966        0.34180810        0.01819567        0.29451440        0.02366692        0.00470978        0.00072134
       -5.27317965        0.54545329        0.04032184        0.46365932        0.03358016        0.00708241        0.00080956
       -5.26316964        0.67434725        0.03936576        0.59493424        0.03191209        0.00716293        0.00097222
       -5.25315963        0.48313287        0.03133816        0.43517223        0.01289147        0.00335291        0.00037811
       -5.24314962        0.55019132        0.03297621        0.49773752        0.01538143        0.00361921        0.00047695
       -5.23313961        0.42386909        0.01608929        0.39349550        0.01133656        0.00239067        0.00055707
       -5.22312960        0.29426373        0.00973388        0.27439919        0.00815881        0.00155475        0.00041709
       -5.21311959        0.56019368        0.01523853        0.52590171        0.01536794        0.00275448        0.00093102
       -5.20310958        0.50101921        0.01568276        0.46611181        0.01577581        0.00261440        0.00083443
       -5.19309957        0.44829904        0.01562256        0.41276106        0.01650385        0.00264630        0.00076527
       -5.18308956        0.39288147        0.01468244        0.35827132        0.01657663        0.00265548        0.00069561
       -5.17307955        0.33476652        0.01286241        0.30264259        0.01599415        0.00264194        0.00062543
       -5.16306954        0.37873346        0.01291789        0.34119235        0.02092694        0.00291215        0.00078413
       -5.15305953        0.54277429        0.01738161        0.49270816        0.02816239        0.00337905        0.00114307
       -5.14304952        0.79252755        0.02589031        0.72645853        0.03466083        0.00391008        0.00160780
       -5.13303951        0.80222527        0.02604574        0.73340255        0.03723860        0.00389316        0.00164523
       -5.12302950        1.09755789        0.03716787        1.00877860        0.04479172        0.00459691        0.00222279
       -5.11301949        0.86410313        0.02895871        0.79422360        0.03523052        0.00394237        0.00174793
       -5.10300948        0.78062315        0.02539175        0.71804273        0.03195199        0.00363696        0.00159973
       -5.09299947        0.76257862        0.02327881        0.70343334        0.03075749        0.00354993        0.00155904
       -5.08298946        0.75822374        0.02149258        0.70142353        0.03022008        0.00353518        0.00155236
       -5.07297945        0.74094933        0.01928760        0.68917823        0.02761089        0.00337054        0.00150208
       -5.06296944        1.10937356        0.02753643        1.00728678        0.06111136        0.01082289        0.00261611
       -5.05295943        1.71312576        0.04231560        1.57304957        0.08177068        0.01237903        0.00361088
       -5.04294942        2.36920306        0.04199809        2.22482651        0.08314492        0.01455333        0.00468022
       -5.03293941        2.67154176        0.07199971        2.46424732        0.11625326        0.01386262        0.00517884
       -5.02292940        0.72878043        0.02151388        0.66992646        0.03171714        0.00414142        0.00148153
       -5.01291939        1.93702215        0.08609174        1.75823628        0.07863369        0.01211693        0.00194352
       -5.00290938        1.77749024        0.05926449        1.62725200        0.07343115        0.01527425        0.00226835
       -4.99289937        0.87620925        0.03419126        0.79265732        0.04234871        0.00610971        0.00090223
       -4.98288936        3.73164198        0.07090885        3.47283476        0.14165373        0.04027766        0.00596697
