#  aims_uuid : 42B640BB-4356-47DD-A123-529997437584                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -6.284120 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -3.71588040        0.40867585        0.00301335        0.00278977        0.39623139        0.00664134
       -3.70587039        0.38928046        0.00308889        0.00358074        0.37600165        0.00660918
       -3.69586038        0.36997658        0.00314093        0.00425283        0.35603312        0.00654970
       -3.68585037        0.35076420        0.00316948        0.00480605        0.33632580        0.00646288
       -3.67584036        0.33164333        0.00317453        0.00524038        0.31687970        0.00634872
       -3.66583035        0.31261397        0.00315609        0.00555584        0.29769480        0.00620724
       -3.65582034        0.29367611        0.00311416        0.00575242        0.27877111        0.00603842
       -3.64581033        0.27482975        0.00304873        0.00583012        0.26010863        0.00584227
       -3.63580032        0.25607490        0.00295981        0.00578895        0.24170737        0.00561879
       -3.62579031        0.27659364        0.00285496        0.00544277        0.26075450        0.00754141
       -3.61578030        0.24762720        0.00289792        0.00876921        0.22939351        0.00656656
       -3.60577029        0.22065360        0.00286584        0.01096287        0.20120927        0.00561561
       -3.59576028        0.19567283        0.00275870        0.01202377        0.17620179        0.00468857
       -3.58575027        0.17268489        0.00257650        0.01195190        0.15437106        0.00378543
       -3.57574026        0.15168979        0.00231926        0.01074726        0.13571708        0.00290619
       -3.56573025        0.13268752        0.00198696        0.00840986        0.12023985        0.00205086
       -3.55572024        0.11567809        0.00157961        0.00493968        0.10793937        0.00121943
       -3.54571023        0.15949612        0.00400681        0.03145721        0.12006263        0.00396948
       -3.53570022        1.21109149        0.05428658        0.50537574        0.60647586        0.04495331
       -3.52569021        1.48646499        0.01639220        0.15185831        1.28764211        0.03057237
       -3.51568020        1.62145343        0.00482184        0.04336252        1.54826021        0.02500886
       -3.50567019        0.07381500        0.00091851        0.00626106        0.06583880        0.00079663
       -3.49566018        0.02363155        0.00104258        0.00711664        0.01536784        0.00010449
