#  aims_uuid : 3CF2332E-6643-4320-A62B-EF0CAC77DC9A                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.08716409        0.09559080        0.91595444        0.06771764        0.00740175        0.00049946
       -9.98998999        1.23985808        0.10455776        1.04997030        0.07636222        0.00836080        0.00060700
       -9.97997998        1.32811793        0.10396227        1.13749949        0.07738285        0.00846540        0.00080793
       -9.96996997        2.28366560        0.18627093        1.94395075        0.13718419        0.01494838        0.00131134
       -9.95995996        2.48893007        0.16930031        2.15433526        0.14753797        0.01584455        0.00191197
       -9.94994995        2.19926696        0.15038024        1.89590554        0.13767074        0.01370620        0.00160424
       -9.93993994        1.79827491        0.12258401        1.55720155        0.10655162        0.01056634        0.00137139
       -9.92992993        1.53816215        0.12313218        1.32300219        0.08153318        0.00922893        0.00126568
       -9.91991992        1.38736880        0.12046026        1.18604353        0.07125424        0.00842377        0.00118700
       -9.90990991        2.21542077        0.20293998        1.87892731        0.11771118        0.01380465        0.00203766
       -9.89989990        0.45660690        0.01282285        0.42046946        0.02044648        0.00229099        0.00057713
       -9.88988989        0.75173088        0.03623887        0.68343139        0.02669282        0.00399365        0.00137415
       -9.87987988        2.42146763        0.19321958        2.06023440        0.14576665        0.01897183        0.00327518
       -9.86986987        1.57891683        0.15463869        1.31514395        0.09440931        0.01266707        0.00205781
       -9.85985986        1.10482847        0.11181335        0.92034973        0.06282963        0.00847483        0.00136094
       -9.84984985        0.47591519        0.04801567        0.39517870        0.02799749        0.00403159        0.00069174
       -9.83983984        0.83886963        0.08592373        0.69970767        0.04619290        0.00623956        0.00080576
       -9.82982983        1.01952124        0.10367264        0.85171912        0.05578517        0.00746213        0.00088218
       -9.81981982        1.19164814        0.11947348        0.99665509        0.06567572        0.00881641        0.00102744
       -9.80980981        1.35525032        0.13332624        1.13451558        0.07586454        0.01030241        0.00124155
       -9.79979980        1.51032778        0.14523093        1.26530060        0.08635163        0.01192012        0.00152451
       -9.78978979        1.78348664        0.18286397        1.49433995        0.09248746        0.01236294        0.00143233
       -9.77977978        1.72407363        0.17806460        1.44502880        0.08841330        0.01144375        0.00112319
       -9.76976977        2.05788982        0.19931516        1.73416054        0.11012229        0.01311100        0.00118083
       -9.75975976        0.50612625        0.04941055        0.43098311        0.02225844        0.00304935        0.00042478
       -9.74974975        0.31542689        0.02533971        0.27453844        0.01343574        0.00179789        0.00031511
       -9.73973974        0.59603811        0.03836540        0.51209095        0.03834347        0.00613032        0.00110797
       -9.72972973        0.73290556        0.04254440        0.63933261        0.04262573        0.00701537        0.00138744
       -9.71971972        0.89339480        0.05246167        0.78643438        0.04531942        0.00760267        0.00157666
