#  aims_uuid : 42B640BB-4356-47DD-A123-529997437584                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.24784686        0.00353050        0.22735145        0.01424080        0.00272411
       -9.98998999        0.23833946        0.00326893        0.21906215        0.01337616        0.00263222
       -9.97997998        0.22862118        0.00302239        0.21051485        0.01254547        0.00253847
       -9.96996997        0.21869202        0.00279089        0.20170956        0.01174874        0.00244284
       -9.95995996        0.20855197        0.00257441        0.19264627        0.01098596        0.00234533
       -9.94994995        0.19820104        0.00237296        0.18332499        0.01025713        0.00224595
       -9.93993994        0.18763922        0.00218655        0.17374573        0.00956225        0.00214470
       -9.92992993        0.17686652        0.00201516        0.16390846        0.00890132        0.00204158
       -9.91991992        0.16588294        0.00185881        0.15381321        0.00827434        0.00193659
       -9.90990991        0.19704698        0.00217566        0.18409444        0.00866470        0.00211218
       -9.89989990        0.17862289        0.00237592        0.16549143        0.00878847        0.00196707
       -9.88988989        0.15957957        0.00244402        0.14663017        0.00868588        0.00181951
       -9.87987988        0.13991702        0.00237996        0.12751066        0.00835693        0.00166947
       -9.86986987        0.11963523        0.00218375        0.10813289        0.00780162        0.00151697
       -9.85985986        0.09873421        0.00185537        0.08849688        0.00701996        0.00136200
       -9.84984985        0.07721395        0.00139484        0.06860261        0.00601193        0.00120457
       -9.83983984        0.05507445        0.00080215        0.04845010        0.00477755        0.00104466
       -9.82982983        0.16244732        0.00311028        0.14832461        0.00941778        0.00159465
       -9.81981982        1.81413598        0.04917722        1.62999548        0.12342565        0.01153763
       -9.80980981        1.18988439        0.01943777        1.08548057        0.07466644        0.01029960
       -9.79979980        1.00034161        0.00782966        0.92224500        0.05966788        0.01059907
       -9.78978979        0.04242572        0.00098553        0.03743453        0.00347763        0.00052804
       -9.77977978        0.01467031        0.00111535        0.01125936        0.00208742        0.00020818
       -9.76976977        0.01730058        0.00121075        0.01342446        0.00240127        0.00026411
       -9.75975976        0.14070067        0.00269737        0.12510670        0.01179559        0.00110102
       -9.74974975        0.42586186        0.00593928        0.38658751        0.03022410        0.00311096
       -9.73973974        0.69419360        0.00876517        0.63733254        0.04289546        0.00520044
       -9.72972973        0.94569590        0.01117503        0.87734177        0.04980967        0.00736944
       -9.71971972        0.63219826        0.00840021        0.57552972        0.04263958        0.00562875
       -9.70970971        0.66265447        0.00903281        0.59969445        0.04741696        0.00651025
       -9.69969970        0.69122712        0.00956170        0.62243781        0.05183183        0.00739577
       -9.68968969        0.47470538        0.00493479        0.42483591        0.03859961        0.00633506
       -9.67967968        0.45597597        0.00403353        0.40494981        0.04017740        0.00681522
       -9.66966967        0.28881430        0.00336114        0.25707518        0.02567937        0.00269860
       -9.65965966        0.29293259        0.00309051        0.26085951        0.02622701        0.00275556
       -9.64964965        0.29756326        0.00283366        0.26502179        0.02690603        0.00280178
       -9.63963964        0.30270629        0.00259057        0.26956202        0.02771641        0.00283728
       -9.62962963        0.30836170        0.00236127        0.27448020        0.02865817        0.00286206
       -9.61961962        0.31452948        0.00214574        0.27977634        0.02973130        0.00287610
       -9.60960961        0.32120962        0.00194398        0.28545042        0.03093581        0.00287941
       -9.59959960        0.32840214        0.00175600        0.29150245        0.03227169        0.00287200
       -9.58958959        0.33610703        0.00158180        0.29793243        0.03373894        0.00285386
       -9.57957958        0.47892050        0.00142610        0.42325553        0.04789386        0.00634501
       -9.56956957        0.21549226        0.00072035        0.19189691        0.01837261        0.00450239
       -9.55955956        0.24674783        0.00093966        0.22059461        0.02039244        0.00482112
       -9.54954955        0.28385151        0.00131356        0.25511570        0.02244106        0.00498118
       -9.53953954        0.32680328        0.00184206        0.29546016        0.02451847        0.00498259
       -9.52952953        0.31932092        0.00214574        0.29068181        0.02247016        0.00402320
       -9.51951952        0.14734016        0.00048797        0.13309583        0.01127935        0.00247701
       -9.50950951        0.19574841        0.00046186        0.17728118        0.01479927        0.00320610
       -9.49949950        0.28351088        0.00044338        0.25812042        0.02066780        0.00427927
       -9.48948949        0.26277123        0.00042507        0.23879709        0.01947278        0.00407630
       -9.47947948        0.24247468        0.00040670        0.21995478        0.01825782        0.00385539
       -9.46946947        0.22262123        0.00038827        0.20159349        0.01702292        0.00361655
       -9.45945946        0.20321088        0.00036978        0.18371322        0.01576810        0.00335978
       -9.44944945        0.18960018        0.00040007        0.17150316        0.01457120        0.00312574
       -9.43943944        0.27643129        0.00124190        0.25579111        0.01558469        0.00381359
       -9.42942943        0.34484827        0.00169288        0.32050566        0.01794632        0.00470342
       -9.41941942        0.39485113        0.00175301        0.36564681        0.02165609        0.00579522
       -9.40940941        0.42643986        0.00142229        0.39121457        0.02671401        0.00708899
       -9.39939940        0.23589407        0.00122112        0.21968148        0.01203522        0.00295626
       -9.38938939        0.23745158        0.00119577        0.22101755        0.01221763        0.00302062
       -9.37937938        0.23975419        0.00118624        0.22315379        0.01233622        0.00307795
       -9.36936937        0.24280192        0.00119253        0.22609017        0.01239097        0.00312825
       -9.35935936        0.24659477        0.00121463        0.22982672        0.01238190        0.00317152
       -9.34934935        0.25113272        0.00125255        0.23436341        0.01230899        0.00320777
       -9.33933934        0.25641579        0.00130629        0.23970027        0.01217225        0.00323698
       -9.32932933        0.26244397        0.00137585        0.24583728        0.01197168        0.00325917
       -9.31931932        0.17465309        0.00068155        0.16114583        0.01030739        0.00251831
       -9.30930931        0.20330194        0.00071082        0.18592259        0.01362634        0.00304218
       -9.29929930        0.18016266        0.00073911        0.16420105        0.01281546        0.00240703
       -9.28928929        0.15490787        0.00072942        0.14103134        0.01130214        0.00184497
       -9.27927928        0.12753756        0.00068175        0.11641345        0.00908637        0.00135599
       -9.26926927        0.09805175        0.00059611        0.09034738        0.00616816        0.00094010
       -9.25925926        0.07865911        0.00054698        0.07360651        0.00379606        0.00070955
       -9.24924925        0.22804451        0.00199252        0.20774210        0.01625450        0.00205540
       -9.23923924        0.38654179        0.00382337        0.35027917        0.02898138        0.00345787
       -9.22922923        0.55415096        0.00603953        0.50121773        0.04197671        0.00491698
       -9.21921922        0.73087200        0.00864102        0.66055778        0.05524049        0.00643271
       -9.20920921        1.32615158        0.01343181        1.19709852        0.10116739        0.01445387
       -9.19919920        2.12827844        0.02318223        1.91541161        0.16735520        0.02232940
       -9.18918919        2.00304439        0.02513773        1.80841217        0.14970698        0.01978752
       -9.17917918        3.90302477        0.09323002        3.53422801        0.24318599        0.03238074
       -9.16916917        1.25071324        0.02513260        1.13305438        0.07384590        0.01868036
       -9.15915916        0.29292606        0.01694796        0.26442667        0.00963015        0.00192128
       -9.14914915        0.28836314        0.01541146        0.26023242        0.01082478        0.00189448
       -9.13913914        0.28431593        0.01380697        0.25633307        0.01227760        0.00189829
       -9.12912913        0.28078443        0.01213447        0.25272861        0.01398862        0.00193273
       -9.11911912        0.27776863        0.01039398        0.24941904        0.01595783        0.00199777
       -9.10910911        0.27526853        0.00858549        0.24640436        0.01818524        0.00209344
       -9.09909910        0.28332436        0.00685416        0.25292991        0.02120164        0.00233865
       -9.08908909        0.32245546        0.00748570        0.28837744        0.02384374        0.00274858
       -9.07907908        0.37088762        0.01125698        0.33302558        0.02365988        0.00294517
       -9.06906907        0.37416143        0.01276196        0.33723872        0.02123436        0.00292639
       -9.05905906        0.34524914        0.01135701        0.31213084        0.01889432        0.00286697
       -9.04904905        0.31675429        0.00981574        0.28724773        0.01688096        0.00280986
       -9.03903904        0.28867691        0.00813815        0.26258940        0.01519428        0.00275508
       -9.02902903        0.75680656        0.02127367        0.70436527        0.02410455        0.00706307
       -9.01901902        0.52282979        0.01801031        0.48303720        0.01751314        0.00426914
       -9.00900901        0.53333182        0.01583818        0.49317394        0.01959277        0.00472693
       -8.99899900        0.51295903        0.01542726        0.47460055        0.01859575        0.00433546
       -8.98898899        0.55017176        0.01589403        0.50874689        0.02091916        0.00461168
       -8.97897898        0.59031236        0.01625069        0.54538276        0.02378750        0.00489142
       -8.96896897        0.63338083        0.01649723        0.58450815        0.02720077        0.00517468
       -8.95895896        0.59725268        0.01625984        0.55194776        0.02434930        0.00469578
       -8.94894895        0.60284088        0.01652778        0.55750256        0.02408777        0.00472277
       -8.93893894        0.65593691        0.01992229        0.60693769        0.02418942        0.00488750
       -8.92892893        0.78663258        0.02751610        0.72810891        0.02558311        0.00542446
       -8.91891892        0.90875351        0.03309904        0.84136374        0.02811064        0.00618009
       -8.90890891        1.12334514        0.03695530        1.03967049        0.03845770        0.00826165
       -8.89889890        1.20067142        0.03847439        1.11153682        0.04149798        0.00916223
       -8.88888889        1.42323772        0.03857734        1.31764854        0.05444549        0.01256634
       -8.87887888        1.56268419        0.04596713        1.44658970        0.05735198        0.01277538
       -8.86886887        1.65974504        0.05778311        1.53896750        0.05110154        0.01189289
       -8.85885886        2.34848111        0.09611619        2.18909744        0.04901977        0.01424771
       -8.84884885        2.25775139        0.08928281        2.10323541        0.05128198        0.01395119
       -8.83883884        2.61720284        0.11283525        2.43105111        0.05907104        0.01424544
       -8.82882883        1.83632562        0.09105305        1.71015129        0.02685729        0.00826399
       -8.81881882        1.45194614        0.07321376        1.35494886        0.01735391        0.00642961
       -8.80880881        1.02674029        0.05153673        0.95797423        0.01256692        0.00466241
       -8.79879880        0.65502063        0.03093938        0.60810259        0.01263168        0.00334698
       -8.78878879        1.97910587        0.08950447        1.86340196        0.01714396        0.00905548
       -8.77877878        1.23769843        0.04714236        1.16504417        0.01934633        0.00616556
       -8.76876877        0.84055650        0.03360007        0.77919109        0.02258169        0.00518365
       -8.75875876        0.91536726        0.03512394        0.84720930        0.02701154        0.00602247
       -8.74874875        0.99329828        0.03550145        0.91864026        0.03214844        0.00700812
       -8.73873874        1.41326268        0.03666839        1.30024309        0.06423676        0.01211444
       -8.72872873        1.23002388        0.03402555        1.13539110        0.05038804        0.01021919
       -8.71871872        0.97715871        0.03122550        0.90838580        0.03033464        0.00721277
       -8.70870871        3.43101262        0.15750572        3.21064061        0.04670517        0.01616112
       -8.69869870        0.66464545        0.02412409        0.62451820        0.01195011        0.00405306
       -8.68868869        0.71461566        0.02664383        0.67167471        0.01216388        0.00413324
       -8.67867868        0.76473345        0.02926443        0.71894028        0.01233915        0.00418958
       -8.66866867        0.81499883        0.03198590        0.76631493        0.01247592        0.00422207
       -8.65865866        0.86541179        0.03480824        0.81379865        0.01257420        0.00423070
       -8.64864865        2.26137324        0.07187349        2.10617292        0.06843042        0.01489641
       -8.63863864        2.52019245        0.09596294        2.36392723        0.04687058        0.01343170
       -8.62862863        1.78952876        0.06337793        1.68020914        0.03582606        0.01011563
       -8.61861862        1.58019593        0.02214702        1.47328915        0.06897811        0.01578165
       -8.60860861        0.86562115        0.01736337        0.80238974        0.03851651        0.00735153
       -8.59859860        0.40569582        0.01664810        0.37918105        0.00819184        0.00167483
       -8.58858859        0.43562288        0.01667271        0.40418453        0.01263788        0.00212776
       -8.57857858        0.04058484        0.00046146        0.03741515        0.00232105        0.00038717
       -8.56856857        0.54210785        0.00533387        0.49751166        0.03380113        0.00546119
       -8.55855856        0.54084468        0.00682178        0.49652449        0.03234224        0.00515617
       -8.54854855        0.26350927        0.00347857        0.24192993        0.01559779        0.00250298
       -8.53853854        0.27541717        0.00413461        0.25319993        0.01556527        0.00251736
       -8.52852853        0.28816373        0.00489858        0.26536872        0.01537936        0.00251707
       -8.51851852        0.30174893        0.00577047        0.27843630        0.01504006        0.00250210
       -8.50850851        0.31617278        0.00675029        0.29240267        0.01454737        0.00247246
       -8.49849850        0.33143528        0.00783803        0.30726783        0.01390129        0.00242814
       -8.48848849        0.34753643        0.00903369        0.32303177        0.01310182        0.00236915
       -8.47847848        0.36447623        0.01033729        0.33969451        0.01214895        0.00229548
       -8.46846847        0.66791488        0.02408162        0.62806336        0.01269760        0.00307230
       -8.45845846        0.57271287        0.01877848        0.53951223        0.01177875        0.00264340
       -8.44844845        1.37321640        0.04839035        1.30307967        0.01671949        0.00502689
