#  aims_uuid : 10051BE0-D859-4862-AC20-420E23622864                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.91998171        0.00564807        0.07249314        0.83616770        0.00403144        0.00164135
       -9.98998999        1.04758391        0.01018499        0.10340228        0.92720164        0.00482445        0.00197055
       -9.97997998        1.19839708        0.01769131        0.16920450        1.00388769        0.00525681        0.00235677
       -9.96996997        0.94036375        0.00913117        0.08718923        0.82832192        0.01469056        0.00103087
       -9.95995996        2.50625502        0.00680598        0.24343037        2.21701518        0.03604748        0.00295601
       -9.94994995        1.23145471        0.00777795        0.09695164        1.11442476        0.01125800        0.00104236
       -9.93993994        0.21285760        0.01143206        0.05218666        0.14456900        0.00423652        0.00043337
       -9.92992993        0.39878338        0.02117132        0.09968200        0.26837664        0.00874765        0.00080578
       -9.91991992        0.63254398        0.03508588        0.14995336        0.43496741        0.01119599        0.00134135
       -9.90990991        1.66867177        0.09880336        0.36933131        1.17856177        0.01817262        0.00380271
       -9.89989990        1.55680214        0.09262924        0.31199139        1.13398299        0.01474125        0.00345727
       -9.88988989        1.49430569        0.14100945        0.33841426        0.99657030        0.01473813        0.00357355
       -9.87987988        1.17930225        0.14588438        0.28153894        0.73776669        0.01154861        0.00256363
       -9.86986987        1.08450457        0.08041638        0.21025528        0.77960547        0.01224322        0.00198422
       -9.85985986        2.25432294        0.11469102        0.35508259        1.75499770        0.02562170        0.00392994
       -9.84984985        4.17433411        0.47527423        0.76109905        2.88243810        0.04678851        0.00873422
       -9.83983984        1.96792092        0.25484322        0.42720618        1.25283323        0.02885811        0.00418019
       -9.82982983        3.14255900        0.53727591        0.64624833        1.89338975        0.05946899        0.00617602
       -9.81981982        1.71720239        0.42830510        0.32585103        0.93763362        0.02135997        0.00405267
       -9.80980981        1.40123813        0.32255060        0.26116822        0.79816707        0.01566575        0.00368650
       -9.79979980        5.09113210        1.31584019        0.94196696        2.74703562        0.07526337        0.01102594
       -9.78978979        1.06275829        0.17921093        0.25426372        0.60801882        0.01935424        0.00191058
       -9.77977978        0.94156487        0.13261351        0.22049014        0.56945360        0.01721065        0.00179697
       -9.76976977        0.43862041        0.07966297        0.10817028        0.24139152        0.00846203        0.00093361
       -9.75975976        0.43621911        0.08333033        0.11129600        0.23161835        0.00898407        0.00099037
       -9.74974975        2.08005204        0.29713898        0.45420437        1.27378715        0.05127230        0.00364924
       -9.73973974        1.24336011        0.14355003        0.21514272        0.85314342        0.02943017        0.00209377
       -9.72972973        1.18377337        0.16393187        0.19019888        0.80426300        0.02298855        0.00239106
       -9.71971972        1.70434226        0.33115348        0.21937402        1.12901448        0.02091832        0.00388196
       -9.70970971        0.90567489        0.12999367        0.10398707        0.65608027        0.01374740        0.00186647
       -9.69969970        0.86459177        0.08309423        0.10364542        0.65961682        0.01666644        0.00156886
       -9.68968969        0.93606804        0.07838149        0.10842462        0.72747892        0.02027649        0.00150652
       -9.67967968        0.28362666        0.03373889        0.03846612        0.20481565        0.00604943        0.00055657
       -9.66966967        0.25994484        0.03396523        0.03839267        0.18108877        0.00596547        0.00053271
       -9.65965966        0.73176923        0.12801913        0.07338359        0.51801333        0.01065400        0.00169918
       -9.64964965        1.15299119        0.19903911        0.18074524        0.74461408        0.02598289        0.00260988
       -9.63963964        0.68188538        0.10662871        0.07377723        0.48775726        0.01219363        0.00152855
       -9.62962963        0.65917606        0.09266153        0.06363312        0.48975339        0.01169383        0.00143418
       -9.61961962        0.62500098        0.07813018        0.05432852        0.47999809        0.01124361        0.00130057
       -9.60960961        0.57936015        0.06303466        0.04586343        0.45849135        0.01084297        0.00112774
       -9.59959960        0.52225357        0.04737496        0.03823784        0.42523317        0.01049192        0.00091567
       -9.58958959        0.61556394        0.04849581        0.05278147        0.49731979        0.01600193        0.00096494
       -9.57957958        0.52456928        0.02637201        0.04566141        0.43677776        0.01514112        0.00061697
       -9.56956957        0.38830683        0.01528237        0.03488214        0.32671374        0.01099354        0.00043504
       -9.55955956        0.17043385        0.01499291        0.01719414        0.13384927        0.00408403        0.00031350
       -9.54954955        0.26092360        0.01981952        0.01877259        0.21577885        0.00609561        0.00045703
       -9.53953954        0.35828474        0.02511294        0.02412923        0.30050244        0.00789255        0.00064757
       -9.52952953        0.44714780        0.03086472        0.03234695        0.37400528        0.00905677        0.00087408
       -9.51951952        0.52751278        0.03707485        0.04342574        0.43628736        0.00958825        0.00113658
       -9.50950951        0.59937969        0.04374334        0.05736560        0.48734868        0.00948701        0.00143507
       -9.49949950        0.47785022        0.04954930        0.03068511        0.39030325        0.00613963        0.00117293
       -9.48948949        0.50340190        0.05617456        0.02980415        0.41049267        0.00564779        0.00128273
       -9.47947948        0.53089406        0.06289479        0.02835192        0.43301014        0.00524825        0.00138896
       -9.46946947        0.56032668        0.06970999        0.02632839        0.45785568        0.00494099        0.00149163
       -9.45945946        0.63054988        0.07635090        0.03162593        0.51531521        0.00558888        0.00166896
       -9.44944945        0.26037162       -0.00108025        0.03890830        0.21456869        0.00755579        0.00041909
       -9.43943944        0.50791090       -0.00084327        0.05228406        0.43804507        0.01778739        0.00063765
       -9.42942943        0.21921773       -0.00047480        0.02781902        0.18467960        0.00688823        0.00030567
       -9.41941942        0.22340988       -0.00037350        0.02692024        0.18952737        0.00703495        0.00030082
       -9.40940941        0.22748454       -0.00028861        0.02599418        0.19433941        0.00714099        0.00029856
       -9.39939940        0.24317262        0.00122865        0.02532644        0.20899200        0.00729484        0.00033070
       -9.38938939        0.29033345        0.00631245        0.02573988        0.25017467        0.00765237        0.00045408
       -9.37937938        0.33481022        0.01055986        0.02660216        0.28911075        0.00795950        0.00057796
       -9.36936937        0.64939282        0.01397085        0.03886536        0.57793647        0.01772369        0.00089645
       -9.35935936        0.61832479        0.01655371        0.04110832        0.54533216        0.01423015        0.00110044
       -9.34934935        0.58308413        0.01831617        0.04265587        0.50961248        0.01125016        0.00124944
       -9.33933934        0.54367084        0.01925824        0.04350802        0.47077740        0.00878371        0.00134347
       -9.32932933        0.50008494        0.01937992        0.04366477        0.42882694        0.00683081        0.00138250
       -9.31931932        0.45232641        0.01868121        0.04312610        0.38376109        0.00539145        0.00136656
       -9.30930931        0.68757377        0.01716211        0.06939702        0.59114019        0.00775246        0.00212200
       -9.29929930        1.31156321        0.01482261        0.16091025        1.11717829        0.01428803        0.00436403
