#  aims_uuid : 10051BE0-D859-4862-AC20-420E23622864                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.77806898        0.07468368        0.64577562        0.05124105        0.00620109        0.00016753
       -9.98998999        1.00954801        0.09827948        0.83861857        0.06463417        0.00781279        0.00020300
       -9.97997998        1.27317963        0.13305744        1.04653936        0.08374437        0.00963011        0.00020835
       -9.96996997        1.01960280        0.05631837        0.91371499        0.04299001        0.00571597        0.00086346
       -9.95995996        2.09308730        0.08572398        1.91709577        0.07797790        0.01008588        0.00220378
       -9.94994995        1.06380729        0.05371109        0.96923731        0.03553815        0.00443047        0.00089027
       -9.93993994        0.31515058        0.02646763        0.27161603        0.01511182        0.00173138        0.00022372
       -9.92992993        0.58463828        0.04586355        0.50860959        0.02666791        0.00303239        0.00046483
       -9.91991992        0.86179968        0.07109768        0.74505899        0.04051583        0.00456066        0.00056652
       -9.90990991        2.03447082        0.18626169        1.73319568        0.10284985        0.01137515        0.00078844
       -9.89989990        1.76678350        0.16074129        1.49732416        0.09771610        0.01043496        0.00056699
       -9.88988989        1.67804622        0.13666074        1.42972040        0.10119102        0.00982156        0.00065249
       -9.87987988        1.39886086        0.13362536        1.18830271        0.06887657        0.00730395        0.00075226
       -9.86986987        1.19656402        0.09759634        1.02126739        0.07047133        0.00674182        0.00048713
       -9.85985986        2.45569937        0.21941246        2.07815963        0.14262121        0.01468322        0.00082285
       -9.84984985        4.54073689        0.40728631        3.84866818        0.25458116        0.02765354        0.00254770
       -9.83983984        2.26609306        0.17557815        1.96939828        0.10674348        0.01257629        0.00179684
       -9.82982983        3.58491761        0.25448660        3.15750193        0.14947113        0.01945859        0.00399935
       -9.81981982        1.69173187        0.13977564        1.44248500        0.09570175        0.01176631        0.00200318
       -9.80980981        1.34266226        0.09391207        1.15140190        0.08551492        0.01027005        0.00156332
       -9.79979980        5.35816836        0.47945773        4.53252435        0.30351649        0.03698413        0.00568566
       -9.78978979        1.37187528        0.11526603        1.17235587        0.07611406        0.00732839        0.00081092
       -9.77977978        1.25446789        0.11330655        1.06804667        0.06579318        0.00669855        0.00062294
       -9.76976977        0.59469908        0.05677052        0.50466406        0.02967453        0.00324524        0.00034473
       -9.75975976        0.62451207        0.06319385        0.52909513        0.02853758        0.00333689        0.00034862
       -9.74974975        2.91225658        0.24252867        2.54505060        0.10894188        0.01332832        0.00240711
       -9.73973974        1.59367781        0.12453287        1.40105602        0.05879889        0.00776641        0.00152363
       -9.72972973        1.38680559        0.11634413        1.20172046        0.05927839        0.00812559        0.00133703
       -9.71971972        1.55926183        0.12445979        1.32853613        0.09203633        0.01246588        0.00176370
       -9.70970971        0.93131836        0.08070557        0.79126871        0.05183724        0.00678552        0.00072131
       -9.69969970        1.09777285        0.10403498        0.93117921        0.05510362        0.00693432        0.00052072
       -9.68968969        1.27818752        0.12106495        1.08556950        0.06337869        0.00767396        0.00050042
       -9.67967968        0.39080281        0.03755738        0.33234670        0.01828928        0.00241701        0.00019245
       -9.66966967        0.37136102        0.03615468        0.31623360        0.01653752        0.00225003        0.00018520
       -9.65965966        0.67797183        0.05662799        0.57652230        0.03828398        0.00577518        0.00076238
       -9.64964965        1.51070294        0.14923542        1.28659369        0.06410230        0.00968213        0.00108941
       -9.63963964        0.65383431        0.05382279        0.56127439        0.03289159        0.00505516        0.00079037
       -9.62962963        0.57501590        0.04331159        0.49704283        0.02931943        0.00452331        0.00081874
       -9.61961962        0.50893757        0.03389230        0.44461175        0.02562981        0.00397878        0.00082493
       -9.60960961        0.45559930        0.02556491        0.40398117        0.02182271        0.00342157        0.00080894
       -9.59959960        0.41500109        0.01832942        0.37515108        0.01789815        0.00285167        0.00077077
       -9.58958959        0.69396592        0.04111899        0.62657226        0.02163678        0.00379388        0.00084402
       -9.57957958        0.65015541        0.02679174        0.60448198        0.01519160        0.00290240        0.00078770
       -9.56956957        0.50810531        0.01749085        0.47871808        0.00927323        0.00206329        0.00055987
       -9.55955956        0.22571182        0.01163096        0.20696179        0.00569034        0.00122460        0.00020412
       -9.54954955        0.25358153        0.01229208        0.22958136        0.00958314        0.00175724        0.00036771
       -9.53953954        0.31018360        0.01611405        0.27750999        0.01362202        0.00244759        0.00048996
       -9.52952953        0.37932667        0.02295932        0.33498983        0.01759155        0.00323908        0.00054688
       -9.51951952        0.46101074        0.03282791        0.40202090        0.02149173        0.00413174        0.00053845
       -9.50950951        0.55523580        0.04571980        0.47860320        0.02532256        0.00512554        0.00046469
       -9.49949950        0.34234761        0.02210963        0.29555098        0.02040862        0.00378036        0.00049803
       -9.48948949        0.33620194        0.02116807        0.28872132        0.02178016        0.00401146        0.00052094
       -9.47947948        0.32851431        0.01960466        0.28096870        0.02315559        0.00422960        0.00055575
       -9.46946947        0.31928472        0.01741940        0.27229313        0.02453493        0.00443478        0.00060248
       -9.45945946        0.36831159        0.01990854        0.31478978        0.02794832        0.00500587        0.00065908
       -9.44944945        0.35333551        0.02082994        0.32034136        0.00984062        0.00211221        0.00021139
       -9.43943944        0.60994198        0.01554254        0.57751507        0.01269366        0.00338882        0.00080190
       -9.42942943        0.26815821        0.01019229        0.24939619        0.00678696        0.00149930        0.00028346
       -9.41941942        0.26502360        0.00876947        0.24781082        0.00669384        0.00143857        0.00031090
       -9.40940941        0.26268927        0.00762685        0.24668144        0.00666268        0.00138395        0.00033435
       -9.39939940        0.26663795        0.00696849        0.25067938        0.00719488        0.00142777        0.00036742
       -9.38938939        0.28773197        0.00716936        0.26929150        0.00912115        0.00171458        0.00043538
       -9.37937938        0.31094106        0.00765244        0.28984834        0.01097170        0.00196877        0.00049981
       -9.36936937        0.62410568        0.01123619        0.58892913        0.01949071        0.00338762        0.00106202
       -9.35935936        0.57222248        0.01227939        0.53568305        0.02006273        0.00319790        0.00099942
       -9.34934935        0.52241937        0.01281645        0.48556261        0.02010167        0.00300482        0.00093382
       -9.33933934        0.47469634        0.01284736        0.43856780        0.01960756        0.00280839        0.00086523
       -9.32932933        0.42905339        0.01237213        0.39469864        0.01858038        0.00260861        0.00079364
       -9.31931932        0.38549052        0.01139076        0.35395511        0.01702013        0.00240546        0.00071905
       -9.30930931        0.62570809        0.01886864        0.57653826        0.02616950        0.00294800        0.00118369
       -9.29929930        1.30749489        0.03850129        1.21270536        0.04923425        0.00458091        0.00247309
       -9.28928929        0.82567825        0.02363165        0.76585700        0.03136602        0.00326690        0.00155669
       -9.27927928        0.78866614        0.02215858        0.73189373        0.02997798        0.00314795        0.00148790
       -9.26926927        0.75095332        0.02068478        0.69715810        0.02865086        0.00304008        0.00141950
       -9.25925926        0.71253979        0.01921024        0.66165013        0.02738465        0.00294329        0.00135149
