#  aims_uuid : 77AB665D-E097-4832-AD15-D74F07427DEE                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.383530 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.61647021      105.08063011        5.90179572       93.78694431        4.68675972        0.60569235        0.09943801
       -4.60646020       64.63227562        3.29798980       58.53589008        2.41537861        0.31100504        0.07201208
       -4.59645019       69.32954767        4.09529349       61.14818086        3.62923254        0.40422654        0.05261424
       -4.58644018       47.43248693        3.52679102       40.54095722        3.01114015        0.33067295        0.02292558
       -4.57643017       43.03195012        3.81902790       36.01548830        2.85681584        0.32707323        0.01354485
       -4.56642016       14.84651473        1.42586118       12.42905229        0.88107005        0.10572551        0.00480570
       -4.55641015       21.18363410        2.03408422       17.77169429        1.22545686        0.14530956        0.00708918
       -4.54640014       27.64640635        2.65490708       23.23586910        1.56301343        0.18307622        0.00954052
       -4.53639013       35.05164695        3.36022140       29.49935050        1.95459165        0.22515623        0.01232716
       -4.52638012       57.42027531        5.43973340       48.38385734        3.21699513        0.35949718        0.02019227
       -4.51637011       60.77513394        5.62716077       51.15658800        3.57665003        0.39333712        0.02139802
       -4.50636010       74.68803663        6.61902653       63.17945528        4.39448078        0.46413971        0.03093433
       -4.49635009       74.97324369        6.29536374       63.66843943        4.50919752        0.46521177        0.03503122
       -4.48634008      146.18865290       11.98784475      123.95974109        9.24242410        0.93514313        0.06349982
       -4.47633007      104.21646935        7.28863573       89.78079284        6.50982754        0.58388107        0.05333216
       -4.46632006      137.01231381        8.50915750      121.11109542        6.52008180        0.75359256        0.11838653
       -4.45631005      153.09706838       12.10914275      132.09434037        7.87063322        0.89268143        0.13027061
       -4.44630004       99.33791978        7.75251693       86.38208106        4.57360662        0.54500449        0.08471068
       -4.43629003       41.21391570        2.20466062       36.92268809        1.83256847        0.20906108        0.04493744
       -4.42628002       41.04896208        2.19338689       35.90164513        2.74668615        0.18282909        0.02441482
       -4.41627001       46.10566018        4.33666753       38.96356120        2.46753305        0.29122459        0.04667381
       -4.40626000      104.65211091        8.01748951       90.57813186        5.25991041        0.66003104        0.13654808
       -4.39624999      131.76666390        9.38300582      114.25208854        7.04258813        0.90055780        0.18842363
       -4.38623998       74.42001836        6.95539809       63.09646750        3.79809989        0.48768138        0.08237149
       -4.37622997       55.54308037        5.51158360       46.84692855        2.79023172        0.35085471        0.04348179
       -4.36621996       61.88240499        6.28944121       52.20547150        2.97579339        0.37071027        0.04098861
       -4.35620995       68.10823028        7.02582919       57.48697940        3.16356483        0.39157663        0.04028023
       -4.34619994       67.55046515        6.97270064       57.03655374        3.11166806        0.38953947        0.04000323
       -4.33618993       56.55155037        5.76144676       47.74512340        2.66662176        0.34212979        0.03622866
       -4.32617992       40.65372544        3.99980712       34.32956207        2.02476186        0.26821811        0.03137627
       -4.31616991       59.40718352        5.73732542       50.15515514        3.06451797        0.40742839        0.04275660
       -4.30615990      226.54155052       18.95381116      192.05969754       13.63427307        1.69502995        0.19873879
       -4.29614989       41.71553950        3.98578783       35.30249734        2.14366043        0.26307490        0.02051900
       -4.28613988       17.94950270        1.75122600       15.18479444        0.88572021        0.11690281        0.01085925
       -4.27612987       17.05921338        1.69587867       14.43741828        0.80642635        0.10907172        0.01041836
       -4.26611986       16.16621706        1.64467320       13.68513257        0.72521344        0.10124626        0.00995160
       -4.25610985       15.27051376        1.59760958       12.92793731        0.64208149        0.09342641        0.00945897
       -4.24609984       75.79318967        4.99941902       63.85567779        5.84844402        0.93741689        0.15223195
       -4.23608983       58.97726137        4.22713514       50.91729794        3.23013257        0.51603067        0.08666506
       -4.22607982       63.29878398        3.16175920       56.66701186        2.89852325        0.46781275        0.10367693
       -4.21606981       69.74263151        2.08941763       64.89969678        2.27046220        0.36432837        0.11872652
       -4.20605980       21.80614700        0.83859547       20.01563702        0.78818410        0.12834631        0.03538411
       -4.19604979       40.33791396        3.36519695       35.25954889        1.42780037        0.24784421        0.03752355
       -4.18603978       14.99848699        0.85277721       13.36319614        0.65202544        0.10855500        0.02193319
       -4.17602977       13.30387320        0.72147336       11.88986910        0.57403906        0.09861724        0.01987444
       -4.16601976       11.84521212        0.63528256       10.63454962        0.47305996        0.08532957        0.01699041
       -4.15600975       10.62928326        0.59454547        9.60299178        0.34966480        0.06878501        0.01329620
       -4.14599974       12.04587759        0.71663764       10.80298525        0.42664895        0.08512785        0.01447789
       -4.13598973       13.66566477        0.87730787       12.14359059        0.52362579        0.10555046        0.01559007
       -4.12597972       15.29467975        1.06681212       13.45997255        0.62426953        0.12742199        0.01620355
       -4.11596971       16.93292254        1.28515040       14.75213115        0.72858018        0.15074246        0.01631834
       -4.10595970       14.90146859        1.10081497       12.91345823        0.72461809        0.14596242        0.01661488
       -4.09594969       12.30837291        0.81322887       10.63653298        0.70637513        0.13456471        0.01767123
       -4.08593968       12.35251016        0.80570803       10.61996746        0.76359503        0.14438684        0.01885280
       -4.07592967       25.69016626        1.07807741       23.26238768        1.07813107        0.23185144        0.03971866
       -4.06591966       22.50723005        1.25783614       19.85077864        1.13980005        0.22794546        0.03086976
       -4.05590965       55.20952773        1.99082838       50.88208308        1.83619510        0.42163089        0.07879028
       -4.04589964       31.25503535        1.33384541       28.12531032        1.45862030        0.28930461        0.04795471
       -4.03588963       30.38250060        1.14136791       27.40079261        1.50154811        0.28743643        0.05135554
       -4.02587962       24.47223342        0.78584748       22.36133674        1.08179648        0.20232207        0.04093064
       -4.01586961       16.56929517        0.43964241       15.58357969        0.44337357        0.07943631        0.02326318
       -4.00585960       34.91114048        0.70745278       33.04669904        0.95020155        0.15099288        0.05579422
       -3.99584959       26.74762680        0.68400599       25.08551986        0.82587500        0.10942039        0.04280555
       -3.98583958       18.72893709        0.57228686       17.42494401        0.62778411        0.07453758        0.02938453
       -3.97582957       11.66046504        0.40272197       10.75127073        0.42892229        0.05990119        0.01764887
       -3.96581956       24.30066251        0.82109312       22.22932026        1.07737568        0.12874169        0.04413175
       -3.95580955       46.71902852        1.48383506       42.93297493        1.99302574        0.22073338        0.08845942
       -3.94579954       38.53382008        1.28877697       35.16762438        1.79177658        0.21118322        0.07445894
       -3.93578953       65.46768886        2.14367500       60.17018868        2.74998947        0.27753493        0.12630078
       -3.92577952       41.33233403        1.31673763       37.90279896        1.82476024        0.20807496        0.07996223
       -3.91576951       40.45288820        1.25640426       37.14805355        1.76982918        0.20036923        0.07823198
       -3.90575950       39.54604816        1.19077340       36.36935602        1.71577464        0.19366431        0.07647978
       -3.89574949       36.81594458        1.06047407       33.94831896        1.55834125        0.17777303        0.07103726
       -3.88573948       36.38649190        0.98333166       33.67845735        1.48228538        0.17254744        0.06987008
       -3.87572947       45.96136520        1.18952798       42.72800634        1.75736758        0.20012074        0.08634256
       -3.86571946       53.23102788        1.24473723       49.79355377        1.86088684        0.23361215        0.09823789
       -3.85570945       38.13594239        0.74571170       35.95462268        1.19529146        0.17169356        0.06862299
       -3.84569944      102.20056003        2.51898989       95.26792670        3.78163616        0.45498449        0.17702279
       -3.83568943      146.20465449        5.03562997      134.92368591        5.31372322        0.76403202        0.16758337
