#  aims_uuid : 77AB665D-E097-4832-AD15-D74F07427DEE                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        2.14721564        0.01390819        0.23414813        1.86373013        0.03276123        0.00266796
       -9.98998999        1.22775441        0.00952575        0.14716829        1.04703179        0.02265118        0.00137740
       -9.97997998        1.45951347        0.01236856        0.18481932        1.24226112        0.01826189        0.00180258
       -9.96996997        1.07675305        0.00795563        0.11330263        0.94467917        0.00932383        0.00149178
       -9.95995996        0.99849301        0.01291658        0.10117310        0.87689003        0.00591163        0.00160166
       -9.94994995        0.30290060        0.00852787        0.04251374        0.24935555        0.00190710        0.00059634
       -9.93993994        0.41593647        0.01443466        0.06534170        0.33249693        0.00281301        0.00085017
       -9.92992993        0.52387829        0.02161518        0.09076372        0.40660718        0.00378611        0.00110610
       -9.91991992        0.64601469        0.03025562        0.12064320        0.48876893        0.00495352        0.00139342
       -9.90990991        1.04305778        0.05260097        0.20337936        0.77637492        0.00845881        0.00224372
       -9.89989990        1.16592374        0.05166242        0.19934759        0.90295308        0.00970312        0.00225753
       -9.88988989        1.40228707        0.09352179        0.27352252        1.02041984        0.01212713        0.00269579
       -9.87987988        1.42793661        0.09840291        0.26440992        1.04872204        0.01379985        0.00260189
       -9.86986987        2.85631290        0.12987110        0.43364890        2.25739237        0.03048494        0.00491559
       -9.85985986        1.87455428        0.11916013        0.37474793        1.35229754        0.02543816        0.00291051
       -9.84984985        2.43823773        0.16224051        0.43890862        1.78851779        0.04462260        0.00394821
       -9.83983984        2.75641538        0.35600571        0.57149033        1.78485662        0.03822417        0.00583856
       -9.82982983        1.66946020        0.20330838        0.36445433        1.07055895        0.02763425        0.00350430
       -9.81981982        0.69367842        0.07995786        0.14291400        0.45371418        0.01603475        0.00105763
       -9.80980981        0.63172149        0.07890541        0.17817802        0.36125315        0.01267413        0.00071078
       -9.79979980        0.80079154        0.19549563        0.19412578        0.39769716        0.01141779        0.00205518
       -9.78978979        2.03383594        0.45384163        0.36442045        1.17895760        0.03237980        0.00423646
       -9.77977978        2.76412625        0.57562145        0.46768329        1.67536484        0.03923392        0.00622274
       -9.76976977        1.33235096        0.34545785        0.26876883        0.69317505        0.02198291        0.00296631
       -9.75975976        0.92475405        0.17400237        0.18639556        0.54735198        0.01494598        0.00205816
       -9.74974975        0.96096055        0.16157357        0.20285468        0.57748857        0.01694267        0.00210106
       -9.73973974        1.00235266        0.15858227        0.22175399        0.60087183        0.01896547        0.00217910
       -9.72972973        0.99065226        0.15931061        0.21499294        0.59508187        0.01912127        0.00214558
       -9.71971972        0.86721638        0.13995957        0.17256677        0.53656001        0.01625568        0.00187435
       -9.70970971        0.68236185        0.11609995        0.12119467        0.43182066        0.01173121        0.00151536
       -9.69969970        1.03526965        0.14020229        0.14856496        0.72681080        0.01754897        0.00214263
       -9.68968969        4.43442080        0.60349484        0.52777685        3.22550076        0.06897827        0.00867008
       -9.67967968        0.63565397        0.05901955        0.07894710        0.48335868        0.01325719        0.00107145
       -9.66966967        0.28361452        0.03318758        0.03916514        0.20503516        0.00566079        0.00056586
       -9.65965966        0.26294804        0.03255322        0.03862081        0.18570135        0.00552990        0.00054276
       -9.64964965        0.24182110        0.03194630        0.03827467        0.16571378        0.00536550        0.00052086
       -9.63963964        0.22023371        0.03136682        0.03812670        0.14507245        0.00516757        0.00050017
       -9.62962963        2.56637706        0.39137646        0.16897126        1.97616221        0.02330398        0.00656315
       -9.61961962        1.37800151        0.22018456        0.12729196        1.00569345        0.02179183        0.00303970
       -9.60960961        1.42115582        0.16833859        0.11646687        1.10506817        0.02868897        0.00259322
       -9.59959960        1.37829862        0.07903778        0.10410879        1.15517007        0.03827619        0.00170580
       -9.58958959        0.42952694        0.03416489        0.03689163        0.34659723        0.01123665        0.00063654
       -9.57957958        0.61045445        0.06575978        0.05608854        0.47016414        0.01737869        0.00106329
       -9.56956957        0.30330946        0.03669150        0.02299789        0.23633103        0.00673357        0.00055546
