#  aims_uuid : 77AB665D-E097-4832-AD15-D74F07427DEE                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.383530 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.61647021        2.12513057        0.12004675        1.89628936        0.09457159        0.01218794        0.00203493
       -4.60646020        1.30727599        0.06731108        1.18253831        0.04961327        0.00630338        0.00150996
       -4.59645019        1.36129588        0.07951285        1.20140559        0.07140071        0.00796972        0.00100701
       -4.58644018        0.94380575        0.07021888        0.80646305        0.06007455        0.00660313        0.00044613
       -4.57643017        0.85368598        0.07695468        0.71323631        0.05669667        0.00653919        0.00025912
       -4.56642016        0.29574201        0.02834048        0.24746521        0.01772260        0.00212161        0.00009211
       -4.55641015        0.42277422        0.04045619        0.35462240        0.02464159        0.00291610        0.00013795
       -4.54640014        0.55395481        0.05296336        0.46567149        0.03144993        0.00368206        0.00018798
       -4.53639013        0.70576895        0.06731023        0.59430147        0.03936908        0.00454257        0.00024560
       -4.52638012        1.15837690        0.10921984        0.97675432        0.06474162        0.00725568        0.00040544
       -4.51637011        1.22809027        0.11262991        1.03581289        0.07130794        0.00789814        0.00044139
       -4.50636010        1.52284220        0.13350129        1.29309008        0.08625737        0.00933249        0.00066098
       -4.49635009        1.52104040        0.12672990        1.29528484        0.08895198        0.00934154        0.00073214
       -4.48634008        2.87740920        0.23776698        2.43228386        0.18753948        0.01861797        0.00120091
       -4.47633007        2.07241181        0.14557959        1.78368418        0.13044508        0.01164699        0.00105598
       -4.46632006        2.72368197        0.17076936        2.40671058        0.12857372        0.01522795        0.00240036
       -4.45631005        3.06110405        0.24253713        2.64091859        0.15714649        0.01789054        0.00261131
       -4.44630004        1.98339562        0.15473469        1.72477334        0.09129008        0.01090197        0.00169554
       -4.43629003        0.82406088        0.04404794        0.73827006        0.03666283        0.00418133        0.00089872
       -4.42628002        0.82088094        0.04382733        0.71792458        0.05498308        0.00365780        0.00048815
       -4.41627001        0.93998321        0.08960667        0.79436390        0.04924036        0.00584254        0.00092973
