#  aims_uuid : 77AB665D-E097-4832-AD15-D74F07427DEE                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        2.09914991        0.11713933        1.87493503        0.09302892        0.01206475        0.00198188
       -9.98998999        1.26482172        0.06385568        1.14572097        0.04758747        0.00619656        0.00146104
       -9.97997998        1.41775391        0.08567563        1.24908995        0.07373419        0.00820267        0.00105148
       -9.96996997        0.94929400        0.07099216        0.81070561        0.06049088        0.00664228        0.00046308
       -9.95995996        0.83561403        0.07401753        0.69835603        0.05651452        0.00645081        0.00027514
       -9.94994995        0.29069641        0.02732703        0.24373028        0.01745354        0.00208771        0.00009785
       -9.93993994        0.41747376        0.03951189        0.35059242        0.02434640        0.00287954        0.00014350
       -9.92992993        0.54649316        0.05210021        0.45945165        0.03111452        0.00363507        0.00019170
       -9.91991992        0.69343073        0.06645140        0.58330066        0.03896024        0.00447255        0.00024588
       -9.90990991        1.13746996        0.10825131        0.95749999        0.06417461        0.00714293        0.00040112
       -9.89989990        1.20592560        0.11155953        1.01494232        0.07119392        0.00780305        0.00042678
       -9.88988989        1.50843929        0.13192453        1.27851533        0.08806637        0.00930692        0.00062613
       -9.87987988        1.51259930        0.12576064        1.28642558        0.09036985        0.00933727        0.00070597
       -9.86986987        2.90076163        0.24029703        2.45594606        0.18458945        0.01867078        0.00125831
       -9.85985986        2.08470588        0.14717004        1.79456054        0.13021633        0.01169585        0.00106311
       -9.84984985        2.76010047        0.16705850        2.44388567        0.13182163        0.01495632        0.00237834
       -9.83983984        3.06795353        0.24195992        2.64783841        0.15770556        0.01784142        0.00260822
       -9.82982983        1.98630478        0.15475176        1.72750083        0.09146996        0.01088775        0.00169448
       -9.81981982        0.82440608        0.04407593        0.73857498        0.03667334        0.00418296        0.00089886
       -9.80980981        0.82131433        0.04386838        0.71830792        0.05498903        0.00366034        0.00048866
       -9.79979980        0.93042675        0.08957103        0.78534320        0.04881343        0.00577845        0.00092064
       -9.78978979        2.07833629        0.15475704        1.80118726        0.10634081        0.01329434        0.00275684
       -9.77977978        2.63119025        0.18707097        2.28151412        0.14082960        0.01800546        0.00377009
       -9.76976977        1.49304925        0.13963675        1.26600379        0.07598056        0.00977953        0.00164861
       -9.75975976        1.11314665        0.11050084        0.93894478        0.05580332        0.00702749        0.00087022
       -9.74974975        1.23796806        0.12577483        1.04444971        0.05950981        0.00741333        0.00082039
       -9.73973974        1.36049937        0.14016368        1.14845099        0.06325874        0.00781917        0.00080680
       -9.72972973        1.34263864        0.13783107        1.13396964        0.06228021        0.00775307        0.00080464
       -9.71971972        1.12504357        0.11393483        0.95011866        0.05345067        0.00681262        0.00072679
       -9.70970971        0.81660055        0.08060648        0.68920522        0.04076781        0.00539909        0.00062196
       -9.69969970        1.19074546        0.11613441        1.00423753        0.06133502        0.00819690        0.00084159
       -9.68968969        4.51217380        0.37673192        3.82566395        0.27204397        0.03375598        0.00397799
       -9.67967968        0.83392365        0.07954742        0.70596289        0.04275328        0.00524548        0.00041458
       -9.66966967        0.35845697        0.03500945        0.30336596        0.01753781        0.00232309        0.00022067
       -9.65965966        0.34014908        0.03398646        0.28791917        0.01586762        0.00216383        0.00021200
       -9.64964965        0.32191870        0.03302417        0.27250892        0.01417768        0.00200507        0.00020286
       -9.63963964        0.30376581        0.03212257        0.25713518        0.01246800        0.00184681        0.00019325
       -9.62962963        1.49021698        0.10464154        1.25362762        0.11048722        0.01838405        0.00307654
       -9.61961962        1.18206398        0.08474383        1.02085831        0.06441846        0.01030410        0.00173927
       -9.60960961        1.26383698        0.06369237        1.13118083        0.05757814        0.00930511        0.00208053
       -9.59959960        1.38179948        0.04243309        1.28505952        0.04473682        0.00719258        0.00237746
       -9.58958959        0.42998320        0.01678096        0.39422080        0.01573301        0.00254515        0.00070327
       -9.57957958        0.81323463        0.06681423        0.71151739        0.02914810        0.00500934        0.00074557
       -9.56956957        0.30772206        0.01634804        0.27485824        0.01383827        0.00224767        0.00042986
       -9.55955956        0.27308760        0.01371443        0.24468329        0.01225308        0.00204870        0.00038808
       -9.54954955        0.24116785        0.01221126        0.21689088        0.00997455        0.00175821        0.00033295
       -9.53953954        0.21210283        0.01184476        0.19159987        0.00701537        0.00137809        0.00026474
       -9.52952953        0.23994208        0.01433572        0.21507884        0.00853704        0.00170189        0.00028859
       -9.51951952        0.27246947        0.01755306        0.24199339        0.01049992        0.00211238        0.00031071
       -9.50950951        0.30533312        0.02134771        0.26857805        0.01253258        0.00255173        0.00032305
       -9.49949950        0.33853305        0.02571968        0.29483280        0.01463503        0.00301993        0.00032561
       -9.48948949        0.29839310        0.02203693        0.25853212        0.01456645        0.00292565        0.00033195
       -9.47947948        0.24675510        0.01629304        0.21321058        0.01420033        0.00269780        0.00035336
       -9.46946947        0.24762126        0.01615009        0.21286876        0.01533210        0.00289311        0.00037720
       -9.45945946        0.51424006        0.02160421        0.46559884        0.02160198        0.00464032        0.00079471
       -9.44944945        0.45034094        0.02520730        0.39715107        0.02280523        0.00455934        0.00061800
       -9.43943944        1.10404676        0.03987409        1.01747293        0.03669405        0.00842900        0.00157670
       -9.42942943        0.62462332        0.02675555        0.56203253        0.02909668        0.00577835        0.00096023
       -9.41941942        0.60674006        0.02292415        0.54715362        0.02989853        0.00573533        0.00102844
