#  aims_uuid : 8C9772BB-D0F7-4BAB-A371-7BE2F129B8CE                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.62480994        0.06164821        0.05520004        0.49854996        0.00941174
       -9.99000000        0.69204680        0.07528425        0.06947435        0.53803070        0.00925749
       -9.98000000        0.61130511        0.07149906        0.06877746        0.46304134        0.00798724
       -9.97000000        0.59163051        0.07408017        0.07176632        0.43806735        0.00771667
       -9.96000000        0.52364756        0.07132704        0.06719684        0.37806343        0.00706025
       -9.95000000        0.45101198        0.06568744        0.06103641        0.31790224        0.00638589
       -9.94000000        0.38204672        0.05666851        0.05343096        0.26610377        0.00584349
       -9.93000000        0.33772369        0.04968612        0.04906223        0.23337760        0.00559773
       -9.92000000        0.51253787        0.11355385        0.08315298        0.30751789        0.00831315
       -9.91000000        0.50299662        0.11168635        0.08564504        0.29710550        0.00855973
       -9.90000000        0.49789973        0.09467806        0.09011427        0.30452090        0.00858650
       -9.89000000        0.60644963        0.09374420        0.10849090        0.39491216        0.00930236
       -9.88000000        0.69112980        0.08196718        0.12972793        0.46911322        0.01032148
       -9.87000000        0.58754260        0.05776590        0.12549978        0.39465556        0.00962135
       -9.86000000        0.50602041        0.04172179        0.11439007        0.34204978        0.00785876
       -9.85000000        0.42405730        0.03283240        0.09576622        0.28948002        0.00597867
       -9.84000000        0.35652566        0.03157296        0.07790084        0.24256706        0.00448479
       -9.83000000        0.29721722        0.03211019        0.06044450        0.20146448        0.00319805
       -9.82000000        0.26447253        0.03269843        0.04898723        0.18000531        0.00278156
       -9.81000000        0.27018273        0.03350200        0.04707589        0.18566700        0.00393784
       -9.80000000        0.30540223        0.03728425        0.05695959        0.20588143        0.00527696
       -9.79000000        0.39951464        0.05776406        0.07546926        0.25931796        0.00696337
       -9.78000000        0.59713802        0.10339886        0.09805409        0.38571547        0.00996960
       -9.77000000        0.47704479        0.05761682        0.08278032        0.32622209        0.01042555
       -9.76000000        1.07188790        0.02663584        0.17389687        0.84732142        0.02403377
       -9.75000000        0.56547532        0.07788699        0.11867673        0.35741235        0.01149925
       -9.74000000        0.36429686        0.01462581        0.05368832        0.28720376        0.00877898
       -9.73000000        0.53269021        0.01413216        0.06175687        0.44585834        0.01094284
       -9.72000000        0.42301463        0.01807336        0.04673673        0.34976988        0.00843466
       -9.71000000        0.42585977        0.01898650        0.04263847        0.35591222        0.00832258
       -9.70000000        0.47383810        0.01767873        0.04436339        0.40248719        0.00930879
       -9.69000000        0.53230592        0.01376068        0.04934701        0.45861741        0.01058082
       -9.68000000        0.54658237        0.01285684        0.05116227        0.47291699        0.00964627
       -9.67000000        0.56475099        0.01642355        0.05204846        0.48753293        0.00874605
       -9.66000000        0.47294571        0.02140208        0.05355603        0.39050056        0.00748704
       -9.65000000        0.63851150        0.02468442        0.07392649        0.53053667        0.00936393
       -9.64000000        0.85685566        0.03066902        0.11125805        0.70293787        0.01199073
       -9.63000000        0.90363309        0.01593304        0.07532015        0.80251562        0.00986429
       -9.62000000        1.43583672        0.00943738        0.08770727        1.32194551        0.01674656
       -9.61000000        0.39782571        0.00315102        0.02252226        0.36772333        0.00442909
       -9.60000000        0.15219588        0.02538180        0.01886924        0.10657834        0.00136650
       -9.59000000        1.80128952        0.04283448        0.16980441        1.56798501        0.02066563
       -9.58000000        0.94856955        0.02659635        0.06110433        0.84653401        0.01433485
       -9.57000000        0.56583643        0.01128040        0.06664482        0.48107904        0.00683216
       -9.56000000        1.16767447        0.01996173        0.14713667        0.98818496        0.01239111
       -9.55000000        1.62201804        0.05493359        0.23934618        1.31070856        0.01702972
       -9.54000000        0.91580320        0.02962678        0.19208167        0.68580475        0.00828999
       -9.53000000        1.39117045        0.04671360        0.31391863        1.01789645        0.01264176
       -9.52000000        1.59454394        0.03632877        0.30241785        1.24254328        0.01325404
       -9.51000000        1.57497869        0.03185692        0.21404966        1.31484217        0.01422994
       -9.50000000        1.57527833        0.02261630        0.23527272        1.30117905        0.01621025
       -9.49000000        1.40060932        0.02150516        0.28369129        1.07756548        0.01784739
       -9.48000000        1.26554094        0.04506641        0.23434004        0.96944678        0.01668770
       -9.47000000        1.10176104        0.01227193        0.19893184        0.87538977        0.01516750
       -9.46000000        1.22135157        0.00924097        0.16428909        1.03191015        0.01591135
       -9.45000000        1.10165560        0.00780302        0.13618947        0.94539775        0.01226537
