#  aims_uuid : 8C9772BB-D0F7-4BAB-A371-7BE2F129B8CE                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.59979932        0.01646207        0.56048620        0.01967743        0.00317362
       -9.99000000        0.58947586        0.01852615        0.54448856        0.02267971        0.00378145
       -9.98000000        0.50645211        0.01732735        0.46665640        0.01931711        0.00315125
       -9.97000000        0.48989940        0.01768072        0.45034088        0.01895711        0.00292069
       -9.96000000        0.45836237        0.01715222        0.42107403        0.01759497        0.00254115
       -9.95000000        0.41684588        0.01607193        0.38265610        0.01590155        0.00221630
       -9.94000000        0.36522251        0.01433468        0.33525523        0.01371483        0.00191776
       -9.93000000        0.33309956        0.01325835        0.30579292        0.01229003        0.00175826
       -9.92000000        0.72756303        0.03990805        0.65866644        0.02578607        0.00320246
       -9.91000000        0.74489884        0.04188723        0.67389488        0.02581572        0.00330102
       -9.90000000        0.70881690        0.03845214        0.64324503        0.02395629        0.00316343
       -9.89000000        0.71144457        0.03603325        0.64419286        0.02722275        0.00399571
       -9.88000000        0.75665155        0.03676956        0.68635997        0.02902659        0.00449543
       -9.87000000        0.53328375        0.02565983        0.48116545        0.02281325        0.00364522
       -9.86000000        0.41211859        0.02090717        0.36949873        0.01865862        0.00305408
       -9.85000000        0.31615553        0.01695375        0.28215292        0.01459012        0.00245873
       -9.84000000        0.25042417        0.01410987        0.22236496        0.01195761        0.00199173
       -9.83000000        0.20173298        0.01194066        0.17818231        0.00998162        0.00162839
       -9.82000000        0.18001075        0.01070116        0.15916942        0.00871589        0.00142427
       -9.81000000        0.21009906        0.01050684        0.18972624        0.00843747        0.00142851
       -9.80000000        0.26317622        0.01160676        0.24067664        0.00933311        0.00155972
       -9.79000000        0.33577437        0.01399297        0.30719650        0.01258275        0.00200215
       -9.78000000        0.44205859        0.01778536        0.40203364        0.01932564        0.00291394
       -9.77000000        0.43074286        0.01105980        0.40011423        0.01735100        0.00221783
       -9.76000000        1.30284861        0.02738723        1.21854874        0.05186851        0.00504413
       -9.75000000        0.54454654        0.02011269        0.50020448        0.02091829        0.00331108
       -9.74000000        0.40895612        0.01240821        0.38041219        0.01430883        0.00182689
       -9.73000000        0.53680066        0.01684246        0.49878016        0.01897175        0.00220629
       -9.72000000        0.48423336        0.01696703        0.44632300        0.01875754        0.00218580
       -9.71000000        0.51469481        0.01841839        0.47412090        0.01980641        0.00234910
       -9.70000000        0.56119201        0.01896218        0.51814312        0.02157457        0.00251214
       -9.69000000        0.59113723        0.01784108        0.54813177        0.02263385        0.00253054
       -9.68000000        0.56003998        0.01623878        0.51673891        0.02449774        0.00256455
       -9.67000000        0.54340730        0.01397654        0.49828261        0.02837497        0.00277319
       -9.66000000        0.40503386        0.01161037        0.37094953        0.01980055        0.00267340
       -9.65000000        0.58220071        0.01963688        0.53280541        0.02616423        0.00359419
       -9.64000000        0.78409368        0.02549153        0.71685753        0.03693621        0.00480841
       -9.63000000        0.70067909        0.02305981        0.64609195        0.02762879        0.00389853
       -9.62000000        0.96743820        0.04035090        0.88768922        0.03419786        0.00520022
       -9.61000000        0.29039873        0.00701915        0.27038153        0.01094240        0.00205565
       -9.60000000        0.13753531        0.01111302        0.11868963        0.00633852        0.00139413
       -9.59000000        1.45068128        0.04242531        1.33709952        0.06196344        0.00919301
       -9.58000000        0.61241248        0.02119623        0.56289369        0.02429267        0.00402989
       -9.57000000        0.56678646        0.01957908        0.52783569        0.01640916        0.00296252
       -9.56000000        0.98683667        0.03279372        0.91968059        0.02988022        0.00448214
       -9.55000000        1.06952809        0.02930902        0.98930537        0.04390081        0.00701289
       -9.54000000        0.65851929        0.01542220        0.60948339        0.02918317        0.00443053
       -9.53000000        0.96785351        0.02665591        0.89195520        0.04237704        0.00686535
       -9.52000000        1.10292811        0.03479628        1.01918749        0.04235854        0.00658581
       -9.51000000        1.16637020        0.03185709        1.08420042        0.04388299        0.00642971
       -9.50000000        1.29108166        0.03217517        1.20681717        0.04524476        0.00684456
       -9.49000000        0.99967650        0.02493594        0.92370594        0.04290396        0.00813065
       -9.48000000        0.96660886        0.02219175        0.88743976        0.04735740        0.00961996
       -9.47000000        0.91498462        0.02199379        0.85416090        0.03246116        0.00636878
       -9.46000000        0.97754943        0.02479763        0.90973070        0.03578712        0.00723398
       -9.45000000        0.84474228        0.02467030        0.78310353        0.03067868        0.00628978
       -9.44000000        0.97169926        0.02679891        0.90335540        0.03521985        0.00632511
       -9.43000000        0.76704261        0.02350569        0.70962964        0.02940461        0.00450268
       -9.42000000        0.61992117        0.01859843        0.57267831        0.02457477        0.00406966
       -9.41000000        0.65499962        0.01995506        0.60556082        0.02476849        0.00471524
       -9.40000000        0.86729702        0.02826794        0.79675772        0.03596165        0.00630972
       -9.39000000        1.39880527        0.05048365        1.28198257        0.05464232        0.01169673
       -9.38000000        0.82605867        0.02191751        0.76549097        0.03257624        0.00607394
       -9.37000000        0.96296495        0.02149652        0.90184837        0.03342700        0.00619305
       -9.36000000        0.92543035        0.02419130        0.86708964        0.02808391        0.00606549
       -9.35000000        1.74919442        0.03526284        1.64228469        0.05844274        0.01320416
       -9.34000000        1.14271824        0.02051862        1.07353837        0.03965094        0.00901031
       -9.33000000        0.63629851        0.01061707        0.59853606        0.02233296        0.00481242
       -9.32000000        0.66598021        0.00903075        0.62132430        0.03000952        0.00561563
       -9.31000000        0.54673197        0.00854846        0.50518411        0.02734728        0.00565212
       -9.30000000        0.56892693        0.01148403        0.52373933        0.02690126        0.00680233
       -9.29000000        0.29392079        0.00572590        0.27057900        0.01394477        0.00367112
       -9.28000000        0.35073428        0.00760483        0.32419246        0.01537885        0.00355814
       -9.27000000        0.27026557        0.00786874        0.24710227        0.01240123        0.00289332
       -9.26000000        0.42429021        0.01549084        0.38409371        0.01975015        0.00495552
       -9.25000000        0.38142728        0.01245397        0.35236638        0.01362070        0.00298623
       -9.24000000        0.95192029        0.01467326        0.89302830        0.03711014        0.00710859
       -9.23000000        1.32668004        0.01543971        1.25094758        0.05002518        0.01026757
       -9.22000000        0.62821751        0.00914109        0.58892866        0.02458949        0.00555826
       -9.21000000        1.32273985        0.01694757        1.24692244        0.04877568        0.01009416
       -9.20000000        0.71421454        0.00881025        0.66774644        0.03101094        0.00664690
       -9.19000000        0.76476728        0.00969454        0.71504697        0.03308717        0.00693861
       -9.18000000        0.54914111        0.00984012        0.50917502        0.02463032        0.00549565
       -9.17000000        0.47591900        0.01057474        0.43636627        0.02342027        0.00555772
       -9.16000000        0.53173091        0.01195443        0.48768468        0.02615739        0.00593441
       -9.15000000        0.54721788        0.01237524        0.50207315        0.02697088        0.00579862
       -9.14000000        0.57567628        0.02029154        0.51402934        0.03421093        0.00714446
       -9.13000000        0.45331695        0.00905917        0.41786700        0.02165392        0.00473686
       -9.12000000        2.43638008        0.05190407        2.27657041        0.08339908        0.02450652
       -9.11000000        0.49713116        0.00883559        0.45915460        0.02309875        0.00604221
       -9.10000000        0.09330111        0.00341843        0.08298425        0.00581849        0.00107995
       -9.09000000        0.26152206        0.01260157        0.22884665        0.01639626        0.00367759
       -9.08000000        0.56226309        0.01739538        0.49907044        0.03759426        0.00820301
       -9.07000000        0.66789464        0.01667026        0.60504693        0.03750185        0.00867561
       -9.06000000        0.67197211        0.01500908        0.61468092        0.03439780        0.00788432
       -9.05000000        0.51801652        0.00900698        0.47817508        0.02582281        0.00501165
       -9.04000000        0.55549334        0.01056191        0.51271530        0.02706633        0.00514981
       -9.03000000        0.64417839        0.01129439        0.59935342        0.02742427        0.00610632
       -9.02000000        1.53552647        0.04009812        1.41540137        0.06762029        0.01240668
       -9.01000000        0.93926639        0.02135217        0.86591708        0.04339226        0.00860487
       -9.00000000        0.49723697        0.01185386        0.45874583        0.02186701        0.00477027
       -8.99000000        0.38933068        0.00860345        0.36186684        0.01540618        0.00345421
       -8.98000000        0.75942686        0.01142733        0.71062612        0.03059044        0.00678298
       -8.97000000        1.21840339        0.02057576        1.13474065        0.05204319        0.01104379
       -8.96000000        0.91613914        0.01529441        0.85853065        0.03470925        0.00760482
       -8.95000000        0.49001481        0.00935300        0.45562207        0.02063197        0.00440778
       -8.94000000        0.35691405        0.00682819        0.33074565        0.01597647        0.00336375
       -8.93000000        0.32833829        0.00617351        0.30392782        0.01509283        0.00314414
       -8.92000000        0.30722548        0.00569382        0.28394159        0.01457671        0.00301335
       -8.91000000        0.56040514        0.00993331        0.50943196        0.03402191        0.00701796
       -8.90000000        0.45439726        0.00884656        0.41519049        0.02478988        0.00557032
       -8.89000000        0.45154181        0.00896152        0.40972509        0.02587746        0.00697775
       -8.88000000        0.19550920        0.00289612        0.18153351        0.00831895        0.00276062
       -8.87000000        0.21656298        0.00346782        0.20063012        0.00947320        0.00299183
       -8.86000000        0.29985064        0.00517082        0.27493162        0.01562666        0.00412154
       -8.85000000        0.51198282        0.00937127        0.46068500        0.03457003        0.00735652
       -8.84000000        0.60247538        0.01142869        0.55774565        0.02649131        0.00680973
       -8.83000000        0.33588562        0.00580064        0.30838171        0.01741043        0.00429285
       -8.82000000        0.34440014        0.00548664        0.31524524        0.01898890        0.00467936
       -8.81000000        0.39751789        0.00865881        0.36102382        0.02209114        0.00574413
       -8.80000000        0.53739836        0.01207997        0.48769594        0.02890417        0.00871828
       -8.79000000        0.37686012        0.01041669        0.33997726        0.02123367        0.00523250
       -8.78000000        0.44231233        0.01216319        0.39656931        0.02766832        0.00591151
       -8.77000000        0.42825671        0.01211101        0.37883674        0.03172267        0.00558629
       -8.76000000        0.50714903        0.01542585        0.43435763        0.04954603        0.00781952
       -8.75000000        0.29204036        0.00715015        0.25946646        0.02076290        0.00466086
       -8.74000000        0.04960021        0.00102648        0.04627535        0.00164234        0.00065604
       -8.73000000        0.06006580        0.00130740        0.05595715        0.00203146        0.00076978
       -8.72000000        0.07136523        0.00162320        0.06640093        0.00245641        0.00088468
       -8.71000000        0.08349849        0.00197388        0.07760667        0.00291718        0.00100075
       -8.70000000        0.09646558        0.00235944        0.08957438        0.00341378        0.00111797
       -8.69000000        0.59209199        0.01655778        0.53842554        0.02880346        0.00830521
       -8.68000000        0.21133791        0.00503013        0.19438281        0.00921485        0.00271012
       -8.67000000        0.35035770        0.00824875        0.31926984        0.01861257        0.00422654
       -8.66000000        0.46261905        0.01114190        0.42058272        0.02559876        0.00529566
       -8.65000000        0.52006617        0.01175888        0.47406429        0.02855892        0.00568408
       -8.64000000        0.47672087        0.01034200        0.43421053        0.02682300        0.00534535
       -8.63000000        0.50123185        0.01077961        0.45595249        0.02886615        0.00563361
       -8.62000000        0.44245595        0.00981491        0.39925166        0.02800326        0.00538612
       -8.61000000        0.46394491        0.01028739        0.41859312        0.02937817        0.00568624
       -8.60000000        0.43461942        0.01000795        0.39234607        0.02712535        0.00514006
       -8.59000000        0.45964675        0.01088666        0.41585252        0.02759854        0.00530903
       -8.58000000        0.52811011        0.01389834        0.47982829        0.02863183        0.00575165
       -8.57000000        0.40091107        0.01045037        0.36699498        0.01912711        0.00433861
       -8.56000000        0.44021128        0.01083102        0.40162709        0.02269484        0.00505834
       -8.55000000        0.60856264        0.01423708        0.55777744        0.02976309        0.00678502
       -8.54000000        0.57970771        0.01309452        0.53130144        0.02878072        0.00653103
       -8.53000000        0.57171372        0.01323402        0.52031778        0.03147748        0.00668445
       -8.52000000        0.51700584        0.01358378        0.47247412        0.02532096        0.00562699
       -8.51000000        0.52428806        0.01357510        0.47892550        0.02611940        0.00566806
       -8.50000000        0.50436311        0.01205603        0.46156027        0.02507383        0.00567298
       -8.49000000        0.65308955        0.01415811        0.60510710        0.02664041        0.00718393
       -8.48000000        0.63348250        0.01439821        0.58097761        0.03007543        0.00803125
       -8.47000000        0.55359252        0.01236533        0.50935547        0.02494292        0.00692881
       -8.46000000        0.40331640        0.00851024        0.36578201        0.02299249        0.00603165
       -8.45000000        0.46205444        0.01195218        0.40310032        0.03912945        0.00787248
       -8.44000000        0.35294644        0.00654934        0.31068828        0.02947457        0.00623425
       -8.43000000        0.42668601        0.00733988        0.37694806        0.03501590        0.00738216
       -8.42000000        0.23468771        0.00781189        0.20505166        0.01853276        0.00329140
       -8.41000000        0.22490522        0.00836580        0.19854775        0.01514277        0.00284889
       -8.40000000        0.27407160        0.01077122        0.24427090        0.01584064        0.00318883
       -8.39000000        0.69495077        0.04097401        0.62630160        0.02218828        0.00548688
       -8.38000000        0.96651738        0.05789016        0.86924167        0.03170522        0.00768034
       -8.37000000        1.07817682        0.06217368        0.97422594        0.03372198        0.00805522
       -8.36000000        0.77474447        0.04048283        0.69932022        0.02845242        0.00648900
       -8.35000000        1.68457353        0.07873281        1.52917177        0.06378951        0.01287944
