#  aims_uuid : 90B80174-A4A9-42E6-AC1F-B5ED8E691680                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.061494 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.93850645        0.88049743        0.07477421        0.77613971        0.02392915        0.00565436
       -4.92850645        0.65683856        0.05181973        0.58105721        0.01963746        0.00432416
       -4.91850645        0.58025338        0.04464406        0.51393809        0.01779359        0.00387765
       -4.90850645        0.55510960        0.04080078        0.49290570        0.01766231        0.00374080
       -4.89850645        0.49069298        0.03261891        0.43815973        0.01654021        0.00337413
       -4.88850645        0.43212737        0.02592600        0.38801882        0.01518079        0.00300175
       -4.87850645        0.37376606        0.02009826        0.33759581        0.01347718        0.00259481
       -4.86850645        0.31591627        0.01516892        0.28716477        0.01142723        0.00215535
       -4.85850645        0.47137913        0.01976001        0.42599335        0.02177316        0.00385262
       -4.84850645        0.46427628        0.01702073        0.42135025        0.02227297        0.00363234
       -4.83850645        0.49315059        0.01743359        0.44857615        0.02368184        0.00345901
       -4.82850645        0.76823633        0.04015761        0.69248524        0.03118404        0.00440944
       -4.81850645        0.83931821        0.04447840        0.75884743        0.03155653        0.00443584
       -4.80850645        0.64660935        0.03516170        0.58363617        0.02438375        0.00342772
       -4.79850645        0.49067577        0.02928338        0.43983335        0.01878983        0.00276921
       -4.78850645        0.35170494        0.02350577        0.31326516        0.01289714        0.00203687
       -4.77850645        0.27870837        0.01930107        0.24688968        0.01075486        0.00176276
       -4.76850645        0.21339118        0.01471598        0.18848608        0.00873872        0.00145040
       -4.75850645        0.18468634        0.01289007        0.16274019        0.00773301        0.00132307
       -4.74850645        0.17444176        0.01166394        0.15394011        0.00753155        0.00130616
       -4.73850645        0.17378642        0.01078142        0.15400819        0.00766716        0.00132965
       -4.72850645        0.22337057        0.01165119        0.19938896        0.01050896        0.00182145
       -4.71850645        0.41904111        0.01796736        0.37824682        0.01972083        0.00310610
       -4.70850645        0.43809722        0.01318766        0.40106743        0.02054600        0.00329613
       -4.69850645        0.27695855        0.01111010        0.25466025        0.00947966        0.00170854
       -4.68850645        1.00492089        0.02147991        0.93482416        0.04205522        0.00656159
       -4.67850645        0.27290720        0.00946032        0.25504981        0.00688742        0.00150965
       -4.66850645        0.23413135        0.00753192        0.21915334        0.00616471        0.00128139
       -4.65850645        0.21944788        0.00683657        0.20495193        0.00641801        0.00124137
       -4.64850645        0.21744555        0.00667715        0.20265653        0.00684909        0.00126277
       -4.63850645        0.22689364        0.00697151        0.21120472        0.00738294        0.00133449
       -4.62850645        0.24488563        0.00766016        0.22785038        0.00793582        0.00143926
       -4.61850645        0.27142150        0.00874313        0.25259354        0.00850774        0.00157710
       -4.60850645        0.31926671        0.01158456        0.29650604        0.00937024        0.00180587
       -4.59850645        0.37644909        0.02070966        0.34136082        0.01234117        0.00203744
       -4.58850645        0.51434650        0.03090970        0.46373414        0.01728602        0.00241663
       -4.57850645        0.53866849        0.03110288        0.48661428        0.01845951        0.00249183
       -4.56850645        0.93719449        0.04522216        0.86010242        0.02818189        0.00368803
       -4.55850645        0.51075977        0.02176627        0.46902833        0.01775711        0.00220807
       -4.54850645        0.25196111        0.00718286        0.23493110        0.00885395        0.00099320
       -4.53850645        0.17787919        0.00565596        0.16486348        0.00652018        0.00083958
       -4.52850645        0.66999676        0.02415047        0.61686682        0.02579856        0.00318092
       -4.51850645        0.57695212        0.02242749        0.52648524        0.02521680        0.00282259
       -4.50850645        0.54694598        0.02271575        0.49244401        0.02913610        0.00265011
       -4.49850645        0.43758560        0.01698149        0.40434913        0.01474843        0.00150655
       -4.48850645        0.65564784        0.02008637        0.61351314        0.02002107        0.00202726
       -4.47850645        0.72353176        0.01966227        0.67680961        0.02461994        0.00243994
       -4.46850645        2.99724908        0.09483771        2.78148688        0.10173560        0.01918889
       -4.45850645        1.49210682        0.04764713        1.39310729        0.04368623        0.00766616
       -4.44850645        0.59657900        0.02035084        0.55225783        0.02117177        0.00279854
       -4.43850645        0.47416602        0.01842037        0.42753205        0.02505860        0.00315500
       -4.42850645        1.80914504        0.02574512        1.69621907        0.07993940        0.00724145
       -4.41850645        2.51428356        0.03333527        2.37883009        0.09292388        0.00919431
       -4.40850645        1.33210533        0.02178431        1.26015929        0.04558443        0.00457730
       -4.39850645        2.87050117        0.03680079        2.70873694        0.11254092        0.01242251
       -4.38850645        0.47387192        0.01128958        0.43135946        0.02833754        0.00288534
       -4.37850645        0.48810962        0.01093861        0.44124835        0.03241625        0.00350641
       -4.36850645        0.54649537        0.01175173        0.49196972        0.03863494        0.00413898
       -4.35850645        0.78644156        0.01690161        0.70951130        0.05462755        0.00540111
       -4.34850645        1.16312101        0.01722795        1.08220637        0.05917986        0.00450684
       -4.33850645        1.28415868        0.01654863        1.20621143        0.05703707        0.00436155
       -4.32850645        1.51960373        0.01423814        1.42322027        0.07696773        0.00517759
       -4.31850645        1.06570837        0.01209975        1.00148542        0.04763464        0.00448855
       -4.30850645        0.82476948        0.01070061        0.77570422        0.03453642        0.00382822
       -4.29850645        0.71410384        0.01244618        0.66945530        0.02839065        0.00381171
       -4.28850645        1.34261591        0.02276566        1.25939421        0.05140926        0.00904678
       -4.27850645        0.90762792        0.01437780        0.85344339        0.03374552        0.00606122
       -4.26850645        1.30358910        0.01550421        1.24199067        0.03869236        0.00740186
       -4.25850645        1.62091925        0.01802703        1.54896168        0.04500829        0.00892225
       -4.24850645        1.05215594        0.01420993        0.99922330        0.03218829        0.00653442
       -4.23850645        0.51415776        0.00598843        0.48348658        0.02017359        0.00450915
       -4.22850645        0.34580781        0.00255237        0.32646835        0.01369078        0.00309632
       -4.21850645        0.81815719        0.00681515        0.77425815        0.03028242        0.00680146
       -4.20850645        1.20913016        0.00999062        1.14240962        0.04531843        0.01141149
       -4.19850645        0.89736792        0.00773554        0.84678465        0.03397067        0.00887706
       -4.18850645        0.95128826        0.00835639        0.89997673        0.03351054        0.00944461
       -4.17850645        1.19901509        0.01206924        1.13626851        0.03962081        0.01105654
       -4.16850645        1.04996853        0.01201899        0.98572722        0.04053794        0.01168438
       -4.15850645        0.98480474        0.01327671        0.93001441        0.03073290        0.01078072
       -4.14850645        0.41910316        0.00588309        0.39004348        0.01948008        0.00369651
       -4.13850645        0.47067419        0.00668960        0.43674093        0.02311331        0.00413036
       -4.12850645        0.46130783        0.00716288        0.42561175        0.02449494        0.00403826
       -4.11850645        0.82982477        0.02305338        0.75795108        0.04104278        0.00777754
       -4.10850645        0.54233974        0.00758058        0.49535646        0.03404408        0.00535862
       -4.09850645        0.55745145        0.00917386        0.51252455        0.03062852        0.00512452
       -4.08850645        0.56314621        0.01102805        0.52055696        0.02698113        0.00458007
       -4.07850645        0.71823800        0.02236731        0.65839959        0.03182820        0.00564289
       -4.06850645        0.52660690        0.01132065        0.49021660        0.02132825        0.00374141
       -4.05850645        1.51249162        0.01484641        1.42442853        0.05686976        0.01634693
       -4.04850645        0.58967401        0.00708632        0.55341981        0.02174255        0.00742534
       -4.03850645        0.11701300        0.00092051        0.11104036        0.00384615        0.00120599
       -4.02850645        0.24086251        0.00175505        0.22085160        0.01525652        0.00299934
       -4.01850645        0.70095575        0.00623287        0.63572343        0.05078449        0.00821497
       -4.00850645        0.87525176        0.00908762        0.80517394        0.05052576        0.01046444
       -3.99850645        0.90315257        0.01069232        0.83417835        0.04773142        0.01055048
       -3.98850645        0.56411188        0.00757858        0.52875248        0.02173910        0.00604171
       -3.97850645        0.61082060        0.00923495        0.57019425        0.02476071        0.00663069
       -3.96850645        0.71464393        0.01444131        0.65917773        0.03439194        0.00663296
       -3.95850645        0.77845669        0.01564138        0.71819574        0.03656966        0.00804990
       -3.94850645        0.54256580        0.00729946        0.50018564        0.02654428        0.00853642
       -3.93850645        0.41693176        0.00606228        0.37901043        0.02609225        0.00576680
       -3.92850645        0.34967313        0.00495442        0.31810399        0.02228785        0.00432686
       -3.91850645        1.57710263        0.03190959        1.46409573        0.06024164        0.02085568
       -3.90850645        0.98325761        0.01297270        0.91936601        0.04013637        0.01078254
       -3.89850645        0.68434292        0.00601657        0.63944277        0.03207159        0.00681200
       -3.88850645        0.42472825        0.00505007        0.39113924        0.02410323        0.00443571
       -3.87850645        0.36535563        0.00532402        0.33459186        0.02119956        0.00424019
       -3.86850645        0.37094636        0.00621898        0.33763022        0.02281725        0.00427991
       -3.85850645        0.38007337        0.00711337        0.34406829        0.02464916        0.00424256
       -3.84850645        0.58604568        0.01184430        0.52834792        0.04030921        0.00554425
       -3.83850645        0.76764292        0.01511148        0.70530902        0.04067431        0.00654811
       -3.82850645        0.69211635        0.01195118        0.64630425        0.02835329        0.00550764
       -3.81850645        0.17921954        0.00283808        0.16746859        0.00700249        0.00191039
       -3.80850645        0.19858106        0.00316097        0.18567723        0.00768541        0.00205746
       -3.79850645        0.36744606        0.00638151        0.34398816        0.01265249        0.00442390
       -3.78850645        0.50353588        0.01052882        0.47260265        0.01531746        0.00508695
