#  aims_uuid : 3CAA07D9-5B0F-4208-A8C5-71E43E3C7224                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.73982940        0.01858942        0.69827868        0.02044496        0.00251635
       -9.99000000        0.49080147        0.01038356        0.46623951        0.01216046        0.00201794
       -9.98000000        0.25579377        0.00482019        0.24114109        0.00866004        0.00117244
       -9.97000000        0.41699479        0.00520750        0.40217604        0.00837249        0.00123876
       -9.96000000        0.96971246        0.00992201        0.94026671        0.01676362        0.00276012
       -9.95000000        1.48183250        0.01051014        1.44039508        0.02691143        0.00401585
       -9.94000000        0.79524512        0.01234179        0.76298386        0.01711517        0.00280431
       -9.93000000        1.33980887        0.02701647        1.26944403        0.03780556        0.00554281
       -9.92000000        0.74107475        0.00845067        0.71936719        0.01104636        0.00221053
       -9.91000000        0.24020598        0.00288886        0.23374531        0.00292389        0.00064792
       -9.90000000        2.32133532        0.02100324        2.18605939        0.10272595        0.01154674
       -9.89000000        0.32529573        0.00285993        0.31730965        0.00435112        0.00077503
       -9.88000000        0.02969303        0.00072328        0.02686906        0.00195110        0.00014959
       -9.87000000        0.38080370        0.00630791        0.35672786        0.01644983        0.00131809
       -9.86000000        0.88790302        0.01444361        0.84262733        0.02809379        0.00273830
       -9.85000000        0.45837619        0.01007443        0.42912831        0.01758210        0.00159135
       -9.84000000        0.73643068        0.01687927        0.68479872        0.03241246        0.00234023
       -9.83000000        0.68750754        0.01240496        0.64633220        0.02674145        0.00202894
       -9.82000000        0.61935447        0.00745562        0.59362229        0.01699264        0.00128392
       -9.81000000        0.67515840        0.00633592        0.65369654        0.01394639        0.00117955
       -9.80000000        0.89015408        0.01135665        0.86130883        0.01572554        0.00176306
       -9.79000000        0.58322434        0.00830642        0.56425140        0.00947129        0.00119523
       -9.78000000        0.59124885        0.01357764        0.56511744        0.01115630        0.00139747
       -9.77000000        0.67265228        0.01260089        0.64503145        0.01354617        0.00147377
       -9.76000000        0.66883997        0.01052321        0.64355436        0.01313144        0.00163095
       -9.75000000        0.82262232        0.01249533        0.79179933        0.01599717        0.00233050
       -9.74000000        0.53113530        0.00884902        0.51084869        0.00996579        0.00147180
       -9.73000000        0.38499691        0.00646469        0.37024328        0.00726121        0.00102773
       -9.72000000        0.44984926        0.00680953        0.43395166        0.00794917        0.00113890
       -9.71000000        0.39928315        0.00529696        0.38659083        0.00652805        0.00086731
       -9.70000000        0.65294670        0.00665965        0.63333168        0.01175965        0.00119571
       -9.69000000        0.19873263        0.00123527        0.19376264        0.00344589        0.00028882
       -9.68000000        0.01770067        0.00009762        0.01705730        0.00050222        0.00004352
       -9.67000000        0.11821864        0.00069072        0.11471282        0.00232138        0.00049372
       -9.66000000        0.17598531        0.00147626        0.17029911        0.00340135        0.00080859
       -9.65000000        0.35583042        0.00380684        0.34388789        0.00618970        0.00194599
       -9.64000000        0.47817322        0.00611499        0.46169407        0.00778917        0.00257499
       -9.63000000        0.56091564        0.00788584        0.54172427        0.00844586        0.00285968
       -9.62000000        0.49216309        0.00513796        0.47852260        0.00633755        0.00216497
       -9.61000000        0.29573052        0.00368211        0.28702750        0.00372369        0.00129721
       -9.60000000        0.11803585        0.00184545        0.11413612        0.00151209        0.00054219
       -9.59000000        0.46410135        0.00847319        0.44457358        0.01002219        0.00103239
       -9.58000000        1.00498114        0.01767389        0.96777902        0.01722660        0.00230163
       -9.57000000        0.93180354        0.01698861        0.89654071        0.01554253        0.00273170
       -9.56000000        0.44709667        0.00600329        0.43032093        0.00946682        0.00130563
       -9.55000000        0.11710096        0.00148774        0.11292268        0.00223457        0.00045597
       -9.54000000        0.05009892        0.00084256        0.04792286        0.00107309        0.00026042
       -9.53000000        0.04349962        0.00076915        0.04151123        0.00096362        0.00025562
       -9.52000000        0.03734081        0.00069631        0.03553896        0.00085779        0.00024774
       -9.51000000        0.03162248        0.00062404        0.03000607        0.00075559        0.00023678
       -9.50000000        0.02634465        0.00055234        0.02491256        0.00065701        0.00022274
       -9.49000000        0.05800757        0.00076420        0.05504573        0.00189618        0.00030146
       -9.48000000        0.13262785        0.00185592        0.12536489        0.00475025        0.00065679
       -9.47000000        0.19833472        0.00310387        0.18765450        0.00660042        0.00097593
       -9.46000000        0.26021815        0.00383287        0.24650570        0.00857503        0.00130455
       -9.45000000        0.23528933        0.00338952        0.22294302        0.00777774        0.00117906
       -9.44000000        0.21056503        0.00296565        0.19956347        0.00698668        0.00104923
       -9.43000000        0.18604525        0.00256127        0.17636705        0.00620185        0.00091507
       -9.42000000        0.16441236        0.00222828        0.15582181        0.00556916        0.00079311
       -9.41000000        0.18603053        0.00233746        0.17596771        0.00674713        0.00097822
       -9.40000000        0.24948734        0.00357308        0.23528723        0.00929435        0.00133268
       -9.39000000        0.29361126        0.00475417        0.27608843        0.01119781        0.00157085
       -9.38000000        0.34493288        0.00645563        0.32271471        0.01389296        0.00186958
       -9.37000000        0.35076797        0.00713643        0.32809439        0.01377283        0.00176433
       -9.36000000        0.36023465        0.00720735        0.33769655        0.01373699        0.00159376
       -9.35000000        0.32455433        0.00642580        0.30327327        0.01357522        0.00128005
       -9.34000000        0.31940124        0.00683134        0.29717712        0.01419788        0.00119490
       -9.33000000        0.25800781        0.00636830        0.24180338        0.00894392        0.00089222
       -9.32000000        0.11209164        0.00106084        0.10633071        0.00442471        0.00027537
       -9.31000000        0.10608889        0.00134702        0.09997332        0.00439691        0.00037164
       -9.30000000        0.06350379        0.00230891        0.05692794        0.00373198        0.00053495
       -9.29000000        0.14147286        0.00517577        0.12707934        0.00818650        0.00103125
       -9.28000000        0.23041415        0.00843078        0.20688995        0.01360270        0.00149073
       -9.27000000        0.66793033        0.02011026        0.60059314        0.04288448        0.00434245
       -9.26000000        0.26947013        0.01348946        0.23181609        0.02164153        0.00252306
       -9.25000000        0.17975513        0.01303947        0.14920964        0.01576934        0.00173668
       -9.24000000        0.46971510        0.02235429        0.41560285        0.02864783        0.00311013
       -9.23000000        1.99027436        0.13110525        1.70967945        0.13189752        0.01759214
       -9.22000000        0.65282968        0.04693309        0.56451826        0.03715547        0.00422286
       -9.21000000        0.51368594        0.04655829        0.42813141        0.03464883        0.00434740
       -9.20000000        1.33282271        0.12200341        1.14727816        0.05621264        0.00732849
       -9.19000000        1.48342909        0.10531663        1.30572288        0.06456998        0.00781960
       -9.18000000        2.97272289        0.23633156        2.59429768        0.12792431        0.01416934
       -9.17000000        6.21885861        0.54785793        5.41044010        0.22841516        0.03214542
       -9.16000000        1.86775135        0.11282571        1.66674195        0.07741122        0.01077247
       -9.15000000        1.65357640        0.12910895        1.43635994        0.07712884        0.01097867
       -9.14000000        2.08356234        0.16752682        1.80678353        0.09514565        0.01410634
       -9.13000000        4.82407723        0.44374075        4.19389653        0.16548224        0.02095771
       -9.12000000        2.68926348        0.21859024        2.34259151        0.11138216        0.01669957
       -9.11000000        1.37180614        0.10771447        1.19246609        0.06217287        0.00945271
       -9.10000000        0.92130353        0.07097989        0.80230245        0.04129516        0.00672603
       -9.09000000        1.17046799        0.08653264        1.02049554        0.05539799        0.00804182
       -9.08000000        3.87727058        0.27819745        3.39077545        0.17908448        0.02921320
       -9.07000000        1.66541181        0.14344748        1.44113167        0.06999328        0.01083938
       -9.06000000        0.97689067        0.07372073        0.85447979        0.04316030        0.00552987
       -9.05000000        1.50709438        0.10957986        1.34576725        0.04559497        0.00615229
       -9.04000000        1.07190985        0.09568589        0.93541816        0.03612443        0.00468137
       -9.03000000        2.42739258        0.24278250        2.11549826        0.06057542        0.00853640
       -9.02000000        0.91420396        0.07689974        0.79737172        0.03515955        0.00477294
       -9.01000000        0.42799113        0.03228608        0.37710557        0.01613411        0.00246537
       -9.00000000        1.33828516        0.10204913        1.18068287        0.04628886        0.00926430
       -8.99000000        1.12975390        0.10516641        0.98126890        0.03688458        0.00643401
       -8.98000000        1.03956152        0.09624368        0.89863645        0.03750030        0.00718109
       -8.97000000        0.88636963        0.06517382        0.77403370        0.03819502        0.00896709
       -8.96000000        0.51905673        0.03284458        0.45993220        0.02218022        0.00409972
       -8.95000000        1.00487905        0.05714137        0.90765500        0.03428102        0.00580167
       -8.94000000        0.58112786        0.04232291        0.51772420        0.01763092        0.00344983
       -8.93000000        0.79235577        0.04693152        0.71680978        0.02414542        0.00446905
       -8.92000000        0.95792803        0.05604680        0.86306871        0.03152399        0.00728852
       -8.91000000        0.63920315        0.04146383        0.57538512        0.01788017        0.00447404
       -8.90000000        0.70288908        0.04408031        0.63380249        0.02027598        0.00473031
       -8.89000000        0.58109339        0.03466238        0.52436724        0.01813114        0.00393262
       -8.88000000        0.32307315        0.01947341        0.29053544        0.01068082        0.00238348
       -8.87000000        0.54545805        0.03363333        0.48997004        0.01822257        0.00363212
       -8.86000000        0.34260887        0.02000798        0.30729384        0.01266230        0.00264474
       -8.85000000        0.49562276        0.02801349        0.44590787        0.01824550        0.00345590
       -8.84000000        0.50653575        0.02626385        0.45717061        0.01930177        0.00379952
       -8.83000000        0.60075133        0.03036828        0.54333644        0.02269500        0.00435161
       -8.82000000        0.56760722        0.02826714        0.51288673        0.02224079        0.00421257
       -8.81000000        0.46288880        0.02277424        0.41802088        0.01848602        0.00360767
       -8.80000000        0.38493248        0.01848424        0.34793415        0.01545870        0.00305538
       -8.79000000        0.32127910        0.01479053        0.29131060        0.01270858        0.00246938
       -8.78000000        0.28183788        0.01252084        0.25659446        0.01073872        0.00198386
       -8.77000000        0.44461246        0.01573982        0.40580348        0.01985331        0.00321585
       -8.76000000        0.54143674        0.01692251        0.49651119        0.02402628        0.00397676
       -8.75000000        0.46539943        0.01541043        0.42864220        0.01840866        0.00293814
       -8.74000000        0.40550744        0.01422761        0.37256556        0.01648593        0.00222834
       -8.73000000        0.32885286        0.01228917        0.30097791        0.01396830        0.00161748
       -8.72000000        0.30853046        0.01338577        0.28063177        0.01288052        0.00163240
       -8.71000000        0.37224880        0.01564103        0.33941851        0.01488869        0.00230057
       -8.70000000        0.65184413        0.01993677        0.60418486        0.02394082        0.00378168
       -8.69000000        0.75235970        0.01313317        0.70740472        0.02798298        0.00383883
       -8.68000000        0.48724505        0.00770109        0.45952340        0.01775974        0.00226082
       -8.67000000        0.48397292        0.00992009        0.45596307        0.01573196        0.00235780
       -8.66000000        0.42146943        0.00991213        0.39536180        0.01402476        0.00217073
       -8.65000000        0.43320247        0.01133524        0.40396670        0.01546566        0.00243487
