#  aims_uuid : EA26DAF2-9E47-4B56-AE5D-DBE246750A47                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.571015 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.42898491        0.35614790        0.00524746        0.33624822        0.01263143        0.00202079
       -5.41898491        1.61991151        0.03781699        1.54523331        0.03098651        0.00587469
       -5.40898491        0.99451370        0.02466402        0.94219698        0.02421186        0.00344084
       -5.39898491        0.09869721        0.00091578        0.09597469        0.00151480        0.00029195
       -5.38898491        0.39452458        0.00792248        0.37406887        0.01131726        0.00121596
       -5.37898491        2.22353104        0.13534382        1.99042009        0.08678200        0.01098513
       -5.36898491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.35898491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.34898491        0.01798234        0.00070893        0.01648729        0.00073317        0.00005295
       -5.33898491        0.43888276        0.01687506        0.40203778        0.01816856        0.00180136
       -5.32898491        0.86619100        0.02829144        0.80723202        0.02710192        0.00356562
       -5.31898491        1.38892428        0.03076022        1.32644037        0.02704252        0.00468116
       -5.30898491        1.06587537        0.01931417        1.02228038        0.02098390        0.00329692
       -5.29898491        0.38060191        0.00902881        0.36395636        0.00646265        0.00115410
       -5.28898491        0.32505951        0.01023341        0.30650212        0.00678298        0.00154099
       -5.27898491        0.04072627        0.00382516        0.03468372        0.00169590        0.00052149
       -5.26898491        0.79284412        0.01911471        0.75259485        0.01845884        0.00267573
       -5.25898491        1.68963431        0.04097560        1.61980660        0.02511270        0.00373941
       -5.24898491        0.40318205        0.00861551        0.37932737        0.01420416        0.00103501
       -5.23898491        0.36640666        0.01137398        0.33976723        0.01397023        0.00129523
       -5.22898491        0.60136045        0.01785164        0.56462915        0.01647639        0.00240326
       -5.21898491        0.78936981        0.03376405        0.73364927        0.01809113        0.00386537
       -5.20898491        0.27645310        0.01622260        0.25176312        0.00709448        0.00137290
       -5.19898491        0.69191532        0.03761397        0.61630185        0.03349190        0.00450760
       -5.18898491        0.23411680        0.01524359        0.20462415        0.01271827        0.00153079
       -5.17898491        0.17319780        0.01207623        0.15199119        0.00817669        0.00095369
       -5.16898491        0.40415717        0.02815756        0.36270262        0.01160866        0.00168833
       -5.15898491        0.83960313        0.05458619        0.75927079        0.02171403        0.00403211
       -5.14898491        0.25162467        0.02534916        0.21931410        0.00545102        0.00151038
       -5.13898491        0.11554969        0.00717557        0.10408567        0.00372461        0.00056385
       -5.12898491        0.14429171        0.00843232        0.13089513        0.00430692        0.00065734
       -5.11898491        0.17342701        0.00965207        0.15813795        0.00487868        0.00075831
       -5.10898491        0.20295559        0.01083481        0.18581411        0.00543991        0.00086677
       -5.09898491        0.23287746        0.01198054        0.21392362        0.00599058        0.00098272
       -5.08898491        0.26319262        0.01308927        0.24246648        0.00653072        0.00110615
       -5.07898491        0.29390106        0.01416098        0.27144269        0.00706031        0.00123708
       -5.06898491        0.13935135        0.00669598        0.12803892        0.00385040        0.00076605
       -5.05898491        0.19310861        0.00811473        0.17865500        0.00529617        0.00104271
       -5.04898491        0.15245322        0.00403541        0.14416633        0.00370914        0.00054234
       -5.03898491        0.09014883        0.00134278        0.08662339        0.00198556        0.00019710
       -5.02898491        0.16187368        0.00746928        0.14831893        0.00503687        0.00104860
       -5.01898491        0.29347971        0.01326571        0.26837335        0.00987942        0.00196122
       -5.00898491        0.24599434        0.01075622        0.22511759        0.00847707        0.00164345
       -4.99898491        0.19349200        0.00992722        0.17618699        0.00628431        0.00109348
       -4.98898491        0.20280781        0.01077906        0.18477274        0.00627330        0.00098272
       -4.97898491        0.23140679        0.01161189        0.21180110        0.00697936        0.00101444
       -4.96898491        0.12183726        0.00613736        0.11129485        0.00389413        0.00051093
       -4.95898491        0.12105488        0.00831038        0.10787638        0.00434742        0.00052070
       -4.94898491        0.00447042        0.00003216        0.00421832        0.00018870        0.00003124
       -4.93898491        0.04217930        0.00049250        0.03972603        0.00168694        0.00027384
       -4.92898491        0.07862896        0.00128243        0.07391181        0.00296463        0.00047010
       -4.91898491        0.11381939        0.00240193        0.10677566        0.00402176        0.00062004
       -4.90898491        0.14775061        0.00385103        0.13831759        0.00485834        0.00072364
       -4.89898491        1.21695144        0.04327820        1.12690164        0.04101915        0.00575245
       -4.88898491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.87898491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.86898491        0.12801915        0.00346483        0.11864097        0.00535889        0.00055446
       -4.85898491        0.32356841        0.00777641        0.30277638        0.01155398        0.00146164
       -4.84898491        0.43812050        0.01078311        0.41034413        0.01485680        0.00213646
       -4.83898491        0.34656085        0.00814525        0.32497482        0.01180657        0.00163421
       -4.82898491        0.26387686        0.00586125        0.24785585        0.00894732        0.00121244
       -4.81898491        0.19006853        0.00393110        0.17898724        0.00627904        0.00087115
       -4.80898491        0.09399827        0.00180202        0.08898324        0.00270875        0.00050427
       -4.79898491        0.03051348        0.00054319        0.02896435        0.00073777        0.00026816
       -4.78898491        0.02240433        0.00036582        0.02131070        0.00051475        0.00021307
       -4.77898491        0.01478692        0.00021809        0.01409610        0.00032066        0.00015207
       -4.76898491        0.00766123        0.00009999        0.00732056        0.00015552        0.00008516
       -4.75898491        0.00102727        0.00001153        0.00098408        0.00001932        0.00001234
       -4.74898491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.73898491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.72898491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.71898491        0.46957194        0.02463665        0.42817078        0.01417770        0.00258681
       -4.70898491        0.67098103        0.02761511        0.61711933        0.02282814        0.00341846
       -4.69898491        0.02050454        0.00102272        0.01867923        0.00070924        0.00009334
       -4.68898491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.67898491        2.41334457        0.13612983        2.17863302        0.08610781        0.01247391
       -4.66898491        0.94939604        0.06664669        0.83928075        0.03841908        0.00504952
       -4.65898491        0.05799312        0.00228909        0.05188894        0.00324421        0.00057088
       -4.64898491        0.02613615        0.00050385        0.02374140        0.00163331        0.00025760
       -4.63898491        2.00591886        0.13119605        1.80048093        0.06711870        0.00712318
       -4.62898491        0.89256417        0.05960681        0.78866622        0.03869926        0.00559188
       -4.61898491        0.08942505        0.00632344        0.07718680        0.00521169        0.00070312
       -4.60898491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.59898491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.58898491        3.20249555        0.25155604        2.80459684        0.13136650        0.01497616
       -4.57898491        1.29396374        0.10467297        1.14573360        0.03874866        0.00480851
       -4.56898491        4.54565811        0.35081791        4.01717886        0.15753103        0.02013030
       -4.55898491        5.89405381        0.50014540        5.13675397        0.22633314        0.03082129
       -4.54898491        2.73484542        0.20889265        2.40472928        0.10919596        0.01202753
       -4.53898491        2.15246416        0.12744728        1.94135404        0.07519990        0.00846294
       -4.52898491        3.68454506        0.29453335        3.26221745        0.11222054        0.01557371
       -4.51898491        2.34116881        0.15662800        2.08543997        0.08677792        0.01232292
       -4.50898491        1.48450058        0.08246797        1.32699880        0.06663137        0.00840245
       -4.49898491        4.98410042        0.39759738        4.30415757        0.24713991        0.03520555
       -4.48898491        1.16904667        0.08143512        1.03415283        0.04742741        0.00603131
       -4.47898491        0.87218060        0.06040608        0.76534921        0.04163518        0.00479014
       -4.46898491        1.51346207        0.10029040        1.31973213        0.08400186        0.00943769
       -4.45898491        2.85318775        0.18742902        2.53105163        0.11918110        0.01552600
