#  aims_uuid : CCFD33A2-6804-44BB-A1D9-DBB9C6DE0F90                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.40918276        0.01576354        0.37976023        0.01205505        0.00160394
       -9.99000000        0.37583255        0.01665951        0.34448544        0.01255699        0.00213061
       -9.98000000        0.51442218        0.02223345        0.47206027        0.01691229        0.00321617
       -9.97000000        0.41331987        0.01787228        0.38064516        0.01228870        0.00251373
       -9.96000000        0.45490733        0.01983501        0.42094485        0.01159268        0.00253479
       -9.95000000        0.43618755        0.01800719        0.40552611        0.01040158        0.00225267
       -9.94000000        0.45182943        0.01738309        0.42214030        0.01014809        0.00215794
       -9.93000000        0.44306900        0.01751595        0.41361287        0.00991848        0.00202169
       -9.92000000        0.23266892        0.00759050        0.21860941        0.00524801        0.00122100
       -9.91000000        0.39369858        0.00912830        0.37601922        0.00728704        0.00126402
       -9.90000000        0.43995709        0.01210757        0.41775753        0.00869650        0.00139548
       -9.89000000        0.40836277        0.01209254        0.38572889        0.00908809        0.00145325
       -9.88000000        0.72586772        0.03509954        0.65889536        0.02712662        0.00474620
       -9.87000000        0.56300962        0.02708263        0.51624253        0.01688808        0.00279638
       -9.86000000        0.57045684        0.02860435        0.52189454        0.01709443        0.00286351
       -9.85000000        0.54150583        0.02913177        0.49295795        0.01665978        0.00275633
       -9.84000000        0.43027757        0.02395160        0.39027290        0.01377063        0.00228243
       -9.83000000        0.36019952        0.02016502        0.32624887        0.01175183        0.00203379
       -9.82000000        0.33108811        0.01878983        0.29958199        0.01080221        0.00191409
       -9.81000000        0.29187381        0.01663334        0.26404146        0.00950663        0.00169238
       -9.80000000        0.43021336        0.02734841        0.38908827        0.01159825        0.00217843
       -9.79000000        0.80960637        0.04263253        0.74501556        0.01854320        0.00341507
       -9.78000000        0.71689540        0.03379314        0.66197158        0.01772431        0.00340637
       -9.77000000        0.59342767        0.03013267        0.54355437        0.01647435        0.00326629
       -9.76000000        0.47570455        0.02478591        0.43348252        0.01450986        0.00292627
       -9.75000000        0.29925720        0.01495099        0.27221898        0.01004809        0.00203914
       -9.74000000        0.19955694        0.00986358        0.18082353        0.00736778        0.00150205
       -9.73000000        0.50816196        0.01831573        0.46905294        0.01809427        0.00269902
       -9.72000000        0.56332560        0.02418029        0.51267370        0.02308028        0.00339133
       -9.71000000        0.42196763        0.01963074        0.38093576        0.01873390        0.00266722
       -9.70000000        0.29975741        0.01239069        0.27303442        0.01253913        0.00179317
       -9.69000000        0.34756571        0.01328209        0.31999083        0.01257459        0.00171820
       -9.68000000        0.48662038        0.01781417        0.45101402        0.01569851        0.00209367
       -9.67000000        0.60236462        0.01748989        0.56553181        0.01723716        0.00210576
       -9.66000000        0.69101160        0.02078950        0.64971113        0.01830042        0.00221054
       -9.65000000        0.62350290        0.02190861        0.58547481        0.01436198        0.00175749
       -9.64000000        0.73523500        0.02842909        0.68842196        0.01626112        0.00212283
       -9.63000000        1.03003693        0.04022173        0.96395004        0.02277238        0.00309278
       -9.62000000        1.10804440        0.04878050        1.03083221        0.02486967        0.00356201
       -9.61000000        0.93949969        0.04126100        0.87078008        0.02389717        0.00356144
       -9.60000000        0.75379280        0.02875472        0.69806889        0.02371428        0.00325490
       -9.59000000        1.02931083        0.04359937        0.94751322        0.03376653        0.00443171
       -9.58000000        2.91892809        0.14224403        2.65307556        0.11171534        0.01189315
       -9.57000000        1.06097564        0.04948970        0.97144801        0.03500522        0.00503271
       -9.56000000        0.93911748        0.04404621        0.85397913        0.03613005        0.00496209
       -9.55000000        0.78389306        0.03269384        0.71906300        0.02853927        0.00359695
       -9.54000000        0.80420589        0.03224965        0.74376260        0.02545940        0.00273424
       -9.53000000        1.13439228        0.04184519        1.05676995        0.03224431        0.00353283
       -9.52000000        1.05689918        0.03791376        0.98469960        0.03045585        0.00382998
       -9.51000000        1.25625053        0.04061049        1.15823131        0.05113779        0.00627095
       -9.50000000        0.72320382        0.02438531        0.67507713        0.02110608        0.00263529
       -9.49000000        0.49469412        0.01539535        0.45776813        0.01862546        0.00290518
       -9.48000000        1.14070655        0.03945757        1.06143503        0.03493578        0.00487817
       -9.47000000        0.53429424        0.01881424        0.50012160        0.01339812        0.00196028
       -9.46000000        1.74313946        0.05380516        1.62889174        0.05392842        0.00651413
       -9.45000000        1.15501782        0.04532836        1.07646018        0.02875175        0.00447754
       -9.44000000        1.63755309        0.05739417        1.51434491        0.05723507        0.00857893
       -9.43000000        0.77810379        0.02248052        0.72650507        0.02617503        0.00294317
       -9.42000000        1.12978477        0.03791490        1.03164977        0.05369623        0.00652387
       -9.41000000        0.95571840        0.02856565        0.87631488        0.04555105        0.00528683
       -9.40000000        0.62622583        0.01587061        0.57243045        0.03378686        0.00413791
       -9.39000000        0.67528461        0.02402972        0.61495049        0.03189362        0.00441078
       -9.38000000        1.16724757        0.03790997        1.08443288        0.03977476        0.00512996
       -9.37000000        0.58272407        0.01072218        0.54504836        0.02396022        0.00299330
       -9.36000000        0.48988302        0.01221126        0.45295020        0.02090829        0.00381327
       -9.35000000        0.53357054        0.01380939        0.49649130        0.01964849        0.00362136
       -9.34000000        0.64458704        0.01829741        0.59623845        0.02566915        0.00438202
       -9.33000000        0.47248174        0.01265346        0.43335625        0.02334791        0.00312413
       -9.32000000        1.04960049        0.02633301        0.96461570        0.05185347        0.00679831
       -9.31000000        0.74509738        0.02370067        0.67910583        0.03722941        0.00506147
       -9.30000000        1.17053774        0.03215231        1.07919833        0.05153567        0.00765142
       -9.29000000        0.88896472        0.02850021        0.80659716        0.04608507        0.00778227
       -9.28000000        0.72979824        0.02279383        0.66336809        0.03707073        0.00656559
       -9.27000000        0.67994726        0.02156772        0.62092427        0.03167274        0.00578253
       -9.26000000        0.51183491        0.01613016        0.46680449        0.02463332        0.00426694
       -9.25000000        0.85132732        0.01913451        0.79537756        0.03132400        0.00549125
       -9.24000000        0.64648440        0.02008064        0.59756661        0.02382261        0.00501454
       -9.23000000        0.50346237        0.01725442        0.46341258        0.01865761        0.00413776
       -9.22000000        0.45848132        0.01593298        0.42294212        0.01576337        0.00384285
       -9.21000000        0.57253834        0.01963808        0.52793015        0.01963948        0.00533062
       -9.20000000        0.49988067        0.02014133        0.45963302        0.01548247        0.00462386
       -9.19000000        0.51421693        0.02551358        0.47080071        0.01338000        0.00452264
       -9.18000000        0.49836803        0.02647929        0.45456730        0.01272225        0.00459919
       -9.17000000        0.48387805        0.02725640        0.44018154        0.01166007        0.00478003
       -9.16000000        0.50461255        0.01474108        0.47091968        0.01343170        0.00552009
       -9.15000000        0.41479844        0.01143544        0.38636623        0.01273006        0.00426671
       -9.14000000        0.34873625        0.00978011        0.32316214        0.01246389        0.00333012
       -9.13000000        0.31070561        0.00909304        0.28696404        0.01178399        0.00286454
       -9.12000000        0.29762101        0.00867920        0.27408843        0.01207422        0.00277916
       -9.11000000        0.71813795        0.02283890        0.63803272        0.04740264        0.00986369
       -9.10000000        0.49912892        0.01325383        0.46201120        0.01852690        0.00533700
       -9.09000000        0.56706423        0.01699565        0.52416129        0.02020943        0.00569786
       -9.08000000        0.96322312        0.02783901        0.89816392        0.02850572        0.00871448
       -9.07000000        0.66381274        0.01769570        0.61689685        0.02325313        0.00596706
       -9.06000000        0.56429287        0.01282747        0.52140200        0.02503425        0.00502915
       -9.05000000        0.59058157        0.01392300        0.54306600        0.02855015        0.00504241
       -9.04000000        0.61275724        0.01178560        0.56343742        0.03239644        0.00513779
       -9.03000000        0.53662352        0.01009167        0.49473924        0.02733217        0.00446044
       -9.02000000        0.53141472        0.00880414        0.49005908        0.02824562        0.00430587
       -9.01000000        1.94883220        0.02974661        1.81789177        0.08559013        0.01560369
       -9.00000000        1.03492471        0.02162594        0.95376292        0.05021597        0.00931988
       -8.99000000        0.58081932        0.01346578        0.52911092        0.03312293        0.00511969
       -8.98000000        0.44914943        0.00763612        0.40567060        0.03090977        0.00493293
       -8.97000000        0.71905737        0.01248220        0.66159335        0.03743210        0.00754972
       -8.96000000        0.99138668        0.02097823        0.91764454        0.04313628        0.00962764
       -8.95000000        1.12221000        0.03213321        1.03509869        0.04472053        0.01025757
       -8.94000000        0.71093944        0.02637513        0.64755115        0.03109646        0.00591670
       -8.93000000        0.52519785        0.02223295        0.47054808        0.02779829        0.00461852
       -8.92000000        0.18779478        0.00663052        0.16819726        0.01171412        0.00125288
       -8.91000000        0.09812227        0.00375490        0.08872163        0.00507376        0.00057198
       -8.90000000        1.02913145        0.01648524        0.96228952        0.04167693        0.00867976
       -8.89000000        1.96372877        0.03573121        1.85280066        0.06010968        0.01508722
       -8.88000000        0.26206555        0.00605703        0.24555698        0.00851487        0.00193667
       -8.87000000        0.26128311        0.00440472        0.24770732        0.00730946        0.00186161
       -8.86000000        0.37514650        0.00812602        0.35334476        0.01113865        0.00253706
       -8.85000000        0.79611619        0.01861182        0.75397722        0.01867972        0.00484744
       -8.84000000        0.89590574        0.02208896        0.84888090        0.01948082        0.00545507
       -8.83000000        0.75710179        0.02024934        0.71539098        0.01690520        0.00455628
       -8.82000000        0.50819244        0.01484616        0.47745098        0.01289977        0.00299552
       -8.81000000        0.31970710        0.00857164        0.29796508        0.01073513        0.00243525
       -8.80000000        0.56576699        0.01580708        0.52683329        0.01873748        0.00438913
       -8.79000000        0.68331336        0.01946968        0.63837028        0.02059248        0.00488092
       -8.78000000        0.46018135        0.01407077        0.42927195        0.01348957        0.00334905
       -8.77000000        0.24422541        0.00755296        0.22505296        0.00965499        0.00196450
       -8.76000000        0.23207836        0.00658504        0.21422028        0.00956069        0.00171235
       -8.75000000        0.42568145        0.01212384        0.39509746        0.01544778        0.00301237
       -8.74000000        0.95562936        0.03287027        0.88891852        0.02784074        0.00599982
       -8.73000000        2.14787482        0.08879909        2.00065997        0.04685124        0.01156451
       -8.72000000        0.47903664        0.00907975        0.44978405        0.01704490        0.00312794
       -8.71000000        0.27949743        0.00488088        0.25935102        0.01315513        0.00211041
       -8.70000000        0.21463652        0.00356226        0.19605668        0.01310933        0.00190825
       -8.69000000        0.39626844        0.00688445        0.35899785        0.02672091        0.00366523
       -8.68000000        0.50521024        0.00894229        0.45788332        0.03364156        0.00474308
       -8.67000000        0.51561134        0.01077300        0.46790328        0.03217081        0.00476425
       -8.66000000        0.50934744        0.01236952        0.46291101        0.02947542        0.00459149
       -8.65000000        0.50033080        0.01367051        0.45505499        0.02720387        0.00440143
       -8.64000000        0.49931556        0.01584177        0.45754771        0.02172239        0.00420370
       -8.63000000        0.36484804        0.01360492        0.33946473        0.00921088        0.00256751
       -8.62000000        0.35606511        0.01102976        0.33117533        0.01089914        0.00296087
       -8.61000000        0.57399416        0.01598803        0.53379562        0.01938939        0.00482112
       -8.60000000        0.47154020        0.01148042        0.43809691        0.01798739        0.00397547
       -8.59000000        0.53200375        0.01265764        0.49217577        0.02241488        0.00475546
       -8.58000000        0.70741619        0.01386587        0.65458333        0.03258911        0.00637787
       -8.57000000        0.37784319        0.00988685        0.34788757        0.01650372        0.00356505
       -8.56000000        0.45424646        0.01119822        0.41706976        0.02139479        0.00458369
       -8.55000000        0.59724617        0.01365569        0.54597972        0.03123361        0.00637716
       -8.54000000        0.62429660        0.01493982        0.57067963        0.03217126        0.00650589
       -8.53000000        0.65430204        0.01630537        0.59805564        0.03328109        0.00665995
       -8.52000000        0.58663296        0.01475795        0.53526946        0.03057943        0.00602612
       -8.51000000        0.60288540        0.01558868        0.55000515        0.03116331        0.00612827
       -8.50000000        0.48848211        0.01474932        0.44867960        0.02067645        0.00437674
       -8.49000000        0.57457137        0.01855033        0.52329318        0.02694125        0.00578659
       -8.48000000        0.84221047        0.02697513        0.77197024        0.03527597        0.00798914
       -8.47000000        1.04684482        0.03528989        0.96942216        0.03360441        0.00852836
       -8.46000000        0.98937401        0.03623403        0.91626912        0.02913010        0.00774076
       -8.45000000        0.99648112        0.04030554        0.92520004        0.02397667        0.00699887
       -8.44000000        0.84638596        0.03646109        0.78359667        0.02046317        0.00586503
       -8.43000000        1.94599963        0.11261416        1.79627302        0.02750566        0.00960680
       -8.42000000        1.42376259        0.07306785        1.31428367        0.02828298        0.00812808
       -8.41000000        1.52581376        0.08750939        1.40680882        0.02392630        0.00756925
       -8.40000000        1.76340539        0.11069497        1.61450758        0.02936095        0.00884189
       -8.39000000        1.76010806        0.10809256        1.61032016        0.03259873        0.00909662
       -8.38000000        1.20715922        0.06940186        1.10874731        0.02274294        0.00626710
       -8.37000000        1.03247273        0.05774005        0.94660624        0.02246391        0.00566254
       -8.36000000        1.37469159        0.07158542        1.26030131        0.03464079        0.00816407
       -8.35000000        0.77327839        0.03810005        0.70340419        0.02598988        0.00578428
       -8.34000000        0.83596226        0.04268137        0.76502203        0.02250665        0.00575221
       -8.33000000        0.76344516        0.04195700        0.69768821        0.01881157        0.00498838
       -8.32000000        0.76349717        0.04370607        0.69774645        0.01747041        0.00457424
       -8.31000000        1.01281948        0.05267479        0.92576809        0.02803681        0.00633979
       -8.30000000        0.99629301        0.05168813        0.90790456        0.02997856        0.00672177
       -8.29000000        1.22011006        0.05519105        1.12024695        0.03622932        0.00844275
       -8.28000000        1.07650471        0.04286838        0.98690040        0.03852616        0.00820977
       -8.27000000        0.81786531        0.03666895        0.74287652        0.03164520        0.00667463
       -8.26000000        0.71052452        0.03517365        0.64507903        0.02474862        0.00552322
       -8.25000000        0.95352110        0.03659604        0.87117312        0.03703019        0.00872175
       -8.24000000        0.51538343        0.01081112        0.46806679        0.03003089        0.00647463
       -8.23000000        0.53591360        0.01189305        0.48721456        0.02998479        0.00682120
       -8.22000000        1.52370228        0.05390258        1.40690345        0.05034205        0.01255421
