#  aims_uuid : CCFD33A2-6804-44BB-A1D9-DBB9C6DE0F90                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.571706 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.42829411        0.46292535        0.03636127        0.41369194        0.00998706        0.00288507
       -4.41829411        0.81119400        0.08816614        0.70773965        0.01261184        0.00267637
       -4.40829411        1.04130913        0.11120802        0.90477558        0.02131691        0.00400862
       -4.39829411        0.70069295        0.06632628        0.61389407        0.01753797        0.00293463
       -4.38829411        0.64680899        0.05241791        0.57364651        0.01791745        0.00282713
       -4.37829411        0.59265834        0.04352789        0.52867489        0.01773961        0.00271595
       -4.36829411        0.59418032        0.03979950        0.53284789        0.01874277        0.00279016
       -4.35829411        0.63108663        0.03910542        0.56966789        0.01956556        0.00274776
       -4.34829411        0.40073730        0.02237847        0.36619027        0.01037912        0.00178945
       -4.33829411        0.37707121        0.01893508        0.34729416        0.00887336        0.00196860
       -4.32829411        0.33661858        0.01707109        0.30994241        0.00774249        0.00186259
       -4.31829411        0.29119601        0.01305219        0.26903070        0.00733932        0.00177380
       -4.30829411        0.54936221        0.02809583        0.48751342        0.02842863        0.00532433
       -4.29829411        0.38717289        0.02092172        0.34711182        0.01600307        0.00313628
       -4.28829411        0.39082390        0.02073104        0.34995641        0.01686140        0.00327506
       -4.27829411        0.37361467        0.02053817        0.33270029        0.01723948        0.00313673
       -4.26829411        0.29399607        0.01634120        0.26105066        0.01413260        0.00247160
       -4.25829411        0.24253229        0.01241906        0.21613449        0.01181777        0.00216097
       -4.24829411        0.22523821        0.01106521        0.20106165        0.01106393        0.00204742
       -4.23829411        0.20035026        0.00985879        0.17880268        0.00989392        0.00179487
       -4.22829411        0.24450890        0.01067715        0.21889136        0.01272648        0.00221391
       -4.21829411        0.36877403        0.01306343        0.33291261        0.01929861        0.00349938
       -4.20829411        0.33730834        0.01178348        0.30580720        0.01643537        0.00328229
       -4.19829411        0.31195311        0.00997640        0.28428028        0.01473174        0.00296469
       -4.18829411        0.27870280        0.00780709        0.25518713        0.01307765        0.00263094
       -4.17829411        0.20648177        0.00494971        0.18934658        0.01016619        0.00201929
       -4.16829411        0.16497118        0.00258763        0.15183872        0.00890454        0.00164029
       -4.15829411        0.34876652        0.00695915        0.32105745        0.01783395        0.00291597
       -4.14829411        0.32479956        0.00942019        0.29287283        0.01913290        0.00337363
       -4.13829411        0.25581925        0.00809570        0.23005648        0.01493724        0.00272983
       -4.12829411        0.19570436        0.00672921        0.17612457        0.01103083        0.00181976
       -4.11829411        0.21401367        0.00976936        0.19188482        0.01065573        0.00170377
       -4.10829411        0.30843059        0.01492676        0.27897636        0.01225134        0.00227614
       -4.09829411        0.45245964        0.01594508        0.42065824        0.01303823        0.00281809
