#  aims_uuid : 15BD5D52-8B84-46D2-A2FC-657BA2A964D5                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.36524855        0.01402625        0.33256655        0.01567300        0.00298275
       -9.99000000        0.58828453        0.02754883        0.53243204        0.02435880        0.00394485
       -9.98000000        0.99012635        0.06200376        0.87748588        0.04437916        0.00625755
       -9.97000000        0.66664652        0.03330119        0.60406339        0.02566350        0.00361843
       -9.96000000        0.55113057        0.02347151        0.50459046        0.02022689        0.00284172
       -9.95000000        0.50157107        0.01890397        0.46250627        0.01770137        0.00245947
       -9.94000000        0.56894014        0.02174301        0.52480183        0.01976305        0.00263225
       -9.93000000        0.50008911        0.02563135        0.45138108        0.02044920        0.00262749
       -9.92000000        0.17539634        0.00872302        0.16136857        0.00463157        0.00067318
       -9.91000000        0.46846739        0.01558966        0.43996676        0.01102418        0.00188679
       -9.90000000        0.28700711        0.00969371        0.26898983        0.00709308        0.00123050
       -9.89000000        0.25819489        0.00880175        0.24133216        0.00676511        0.00129586
       -9.88000000        0.60708659        0.02129002        0.54462421        0.03430084        0.00687152
       -9.87000000        0.40860088        0.01366504        0.37282565        0.01846662        0.00364357
       -9.86000000        0.41402242        0.01347286        0.37843310        0.01853986        0.00357660
       -9.85000000        0.41147291        0.01332585        0.37551859        0.01901093        0.00361755
       -9.84000000        0.40338638        0.01305642        0.36682989        0.01976000        0.00374006
       -9.83000000        0.28204615        0.01062839        0.25515996        0.01371559        0.00254221
       -9.82000000        0.25962263        0.00934267        0.23536215        0.01258404        0.00233376
       -9.81000000        0.23822539        0.00812655        0.21649760        0.01147607        0.00212517
       -9.80000000        0.22186649        0.00724783        0.20202819        0.01063123        0.00195924
       -9.79000000        0.56032816        0.02165734        0.50896657        0.02541870        0.00428556
       -9.78000000        0.52686966        0.01878532        0.48236059        0.02195222        0.00377153
       -9.77000000        0.48710545        0.01737097        0.44550246        0.02061947        0.00361256
       -9.76000000        0.38119034        0.01310968        0.34687353        0.01812553        0.00308160
       -9.75000000        0.27093380        0.00889434        0.24576901        0.01396074        0.00230971
       -9.74000000        0.16723483        0.00529235        0.15166160        0.00886325        0.00141763
       -9.73000000        0.11113959        0.00345826        0.10052306        0.00621622        0.00094205
       -9.72000000        0.60826749        0.02447686        0.55704372        0.02251067        0.00423624
       -9.71000000        0.37877834        0.01458932        0.33953322        0.02095725        0.00369854
       -9.70000000        0.23973925        0.00965973        0.21515280        0.01256109        0.00236563
       -9.69000000        0.24327782        0.01182162        0.21984856        0.00982807        0.00177957
       -9.68000000        0.33617324        0.01776942        0.30394239        0.01214647        0.00231497
       -9.67000000        0.44569217        0.02007461        0.40900124        0.01376089        0.00285543
       -9.66000000        0.31189919        0.01174999        0.28691561        0.01132951        0.00190408
       -9.65000000        0.31037095        0.00947538        0.28825553        0.01100666        0.00163337
       -9.64000000        0.28333738        0.00634401        0.26624825        0.00940659        0.00133852
       -9.63000000        0.38622165        0.00843375        0.36372884        0.01215412        0.00190494
       -9.62000000        0.48567862        0.01048420        0.45751693        0.01515940        0.00251810
       -9.61000000        0.58170830        0.01249536        0.54761252        0.01842241        0.00317801
