#  aims_uuid : 26590A03-8ECB-48DB-AAF9-C350649CAC7C                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.050977 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.94902274        1.50779055        0.16675331        0.09064430        1.23680816        0.01315810        0.00042668
       -4.93902274        0.75133040        0.04730538        0.06454718        0.63180016        0.00745081        0.00022688
       -4.92902274        1.75924244        0.05926828        0.22021928        1.46845471        0.01095885        0.00034132
       -4.91902274        0.52070816        0.04003048        0.05780187        0.41778979        0.00494785        0.00013816
       -4.90902274        1.52853612        0.07176784        0.20518546        1.23591123        0.01525808        0.00041351
       -4.89902274        1.40729447        0.01864730        0.24658632        1.12769118        0.01414787        0.00022179
       -4.88902274        1.01662696        0.06421208        0.08274456        0.86243578        0.00697625        0.00025829
       -4.87902274        1.07753095        0.06006591        0.06981513        0.93701747        0.01024496        0.00038749
       -4.86902274        1.16500048        0.10383483        0.10161861        0.94754886        0.01153622        0.00046196
       -4.85902274        0.91441117        0.08972794        0.15550485        0.66189015        0.00694565        0.00034259
       -4.84902274        1.04258623        0.11866003        0.25156585        0.66628188        0.00572006        0.00035841
       -4.83902274        0.74912159        0.04036193        0.27459718        0.43062883        0.00335094        0.00018271
       -4.82902274        0.63509926        0.03048580        0.23988602        0.36140853        0.00314941        0.00016950
       -4.81902274        1.32664387        0.03749902        0.48269365        0.80080310        0.00535629        0.00029182
       -4.80902274        1.05322135        0.06426192        0.28936560        0.69586417        0.00333977        0.00038989
       -4.79902274        1.16545855        0.07300878        0.33625197        0.75181712        0.00392639        0.00045430
       -4.78902274        0.68942901        0.03509887        0.17169725        0.47928133        0.00308708        0.00026448
       -4.77902274        0.48305649        0.01276956        0.11050591        0.35652291        0.00308483        0.00017329
       -4.76902274        1.02089765        0.02735182        0.25068271        0.73843597        0.00408630        0.00034085
       -4.75902274        0.74077139        0.01644242        0.15173614        0.56768791        0.00466703        0.00023790
       -4.74902274        0.98662830        0.02000464        0.22137704        0.73582543        0.00907484        0.00034634
       -4.73902274        0.38447197        0.00554659        0.06455206        0.31077629        0.00344952        0.00014750
       -4.72902274        0.37309776        0.00758007        0.06091755        0.30159556        0.00286103        0.00014355
       -4.71902274        0.35691367        0.00878590        0.05270572        0.29285274        0.00243262        0.00013670
       -4.70902274        0.45535333        0.00975654        0.07779028        0.36354078        0.00408951        0.00017622
       -4.69902274        0.33099891        0.01349831        0.06635653        0.24749103        0.00351503        0.00013802
       -4.68902274        0.49882491        0.02789827        0.10520878        0.35949822        0.00603111        0.00018853
       -4.67902274        0.47818098        0.01870728        0.09222257        0.36240784        0.00466268        0.00018061
       -4.66902274        0.53076044        0.01089920        0.08522964        0.42999232        0.00445704        0.00018223
       -4.65902274        0.57281495        0.00807159        0.08409308        0.47601353        0.00445492        0.00018183
       -4.64902274        0.42428624        0.00500990        0.05382746        0.36182168        0.00349610        0.00013110
       -4.63902274        0.34372592        0.00374462        0.04106679        0.29535403        0.00345671        0.00010378
       -4.62902274        0.27238210        0.00311109        0.03364767        0.23259166        0.00295371        0.00007797
       -4.61902274        0.17857617        0.00259936        0.02089181        0.15293052        0.00209439        0.00006010
       -4.60902274        0.19215023        0.00287538        0.02367452        0.16318229        0.00234906        0.00006898
       -4.59902274        0.23497282        0.00357916        0.04486905        0.18344255        0.00299610        0.00008595
       -4.58902274        0.46524822        0.01271104        0.08597167        0.36112538        0.00522880        0.00021133
       -4.57902274        0.44189134        0.01731078        0.07326695        0.34618510        0.00493087        0.00019764
       -4.56902274        0.42033370        0.02462893        0.06629565        0.32431041        0.00490932        0.00018939
       -4.55902274        0.44159243        0.03257107        0.07418659        0.32922314        0.00540171        0.00020992
       -4.54902274        0.47741420        0.06542297        0.08018523        0.32667593        0.00488853        0.00024154
       -4.53902274        0.37999663        0.05657395        0.05780207        0.26074477        0.00468167        0.00019417
       -4.52902274        0.40715326        0.05719664        0.05796631        0.28596040        0.00581687        0.00021304
       -4.51902274        0.47476530        0.04054512        0.06793993        0.35835131        0.00768742        0.00024153
       -4.50902274        0.29324845        0.01870748        0.03951250        0.23202292        0.00291343        0.00009211
       -4.49902274        1.16294635        0.05372897        0.14106950        0.95468356        0.01309355        0.00037077
       -4.48902274        0.67658711        0.01560277        0.13582406        0.51657871        0.00837119        0.00021037
       -4.47902274        0.22081923        0.00489146        0.03272180        0.18076757        0.00238031        0.00005809
       -4.46902274        0.04729873        0.00056305        0.00554953        0.04070020        0.00047552        0.00001043
       -4.45902274        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.44902274        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.43902274        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.42902274        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.41902274        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.40902274        0.22090762        0.00271465        0.01916626        0.19339443        0.00554708        0.00008519
       -4.39902274        0.38455629        0.00325258        0.03737651        0.33609673        0.00771975        0.00011073
       -4.38902274        0.44930278        0.00406021        0.06917363        0.36667204        0.00927743        0.00011947
       -4.37902274        0.38515618        0.00382411        0.07584448        0.29670905        0.00866567        0.00011288
       -4.36902274        0.29342932        0.00313740        0.06306751        0.22001245        0.00710868        0.00010327
       -4.35902274        0.22119624        0.00252113        0.04856793        0.16433057        0.00568331        0.00009329
       -4.34902274        0.16595346        0.00201578        0.03513925        0.12430392        0.00441418        0.00008033
