#  aims_uuid : A264446E-86E8-414F-AA26-EB5FC6DA7D08                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        1.79828708        0.02188322        1.71180940        0.05992567        0.00466879
       -9.99000000        0.81788901        0.01290375        0.76626589        0.03610688        0.00261249
       -9.98000000        1.49571052        0.01763625        1.44308656        0.02993527        0.00505244
       -9.97000000        0.53934039        0.00608572        0.51822969        0.01367899        0.00134598
       -9.96000000        1.82445255        0.01543651        1.76843288        0.03562547        0.00495769
       -9.95000000        1.62544174        0.01039863        1.58183845        0.02844413        0.00476054
       -9.94000000        1.11232145        0.01617519        1.06581456        0.02773622        0.00259548
       -9.93000000        1.15952560        0.01621509        1.10199699        0.03811846        0.00319506
       -9.92000000        1.79122339        0.03111509        1.68816612        0.06698394        0.00495825
       -9.91000000        1.20500001        0.02239508        1.13289199        0.04646563        0.00324731
       -9.90000000        1.16027743        0.01888146        1.09977985        0.03865479        0.00296133
       -9.89000000        0.88359772        0.01680783        0.84659073        0.01789077        0.00230840
       -9.88000000        0.71574183        0.01764435        0.68099453        0.01509435        0.00200860
       -9.87000000        1.19061924        0.02911361        1.13728907        0.02079418        0.00342237
       -9.86000000        0.55733583        0.01443345        0.52269867        0.01827827        0.00192544
       -9.85000000        0.52460857        0.01616625        0.48589819        0.02060306        0.00194108
       -9.84000000        0.34569864        0.00890821        0.32472874        0.01087027        0.00119142
       -9.83000000        0.30013560        0.00578188        0.28780141        0.00563090        0.00092141
       -9.82000000        0.62548256        0.01266235        0.59562259        0.01555216        0.00164546
       -9.81000000        0.65423407        0.01272392        0.62706125        0.01286735        0.00158155
       -9.80000000        1.13546041        0.01410188        1.09957771        0.01892274        0.00285807
       -9.79000000        0.48343965        0.00555411        0.46839442        0.00835096        0.00114017
       -9.78000000        0.41923680        0.00435414        0.40447638        0.00929475        0.00111153
       -9.77000000        0.36532261        0.00344047        0.35079478        0.00999044        0.00109693
       -9.76000000        0.40501606        0.00545146        0.38481256        0.01296079        0.00179125
       -9.75000000        0.26565659        0.00525084        0.24509012        0.01357620        0.00173943
       -9.74000000        0.43323800        0.00630894        0.40768529        0.01676943        0.00247433
       -9.73000000        0.31583859        0.00653168        0.29659969        0.01076011        0.00194712
       -9.72000000        0.32261448        0.00851737        0.30325193        0.00908914        0.00175603
       -9.71000000        0.32150015        0.00960927        0.30172889        0.00851116        0.00165083
