#  aims_uuid : 37A47CE1-218C-4267-A179-F882D7E95936                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.559228 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.44077191        0.32275354        0.03329241        0.03626074        0.24632461        0.00687579
       -4.43077191        0.74037446        0.04876830        0.13120973        0.55059516        0.00980126
       -4.42077191        0.58184226        0.04725374        0.10585138        0.42139671        0.00734044
       -4.41077191        0.55066344        0.05004389        0.08355662        0.41005940        0.00700353
       -4.40077191        0.48027852        0.04178226        0.07015768        0.36236500        0.00597358
       -4.39077191        0.42842742        0.03352312        0.06004399        0.32943916        0.00542114
       -4.38077191        0.42051931        0.03201572        0.05506496        0.32759252        0.00584611
       -4.37077191        0.41805718        0.03141038        0.05065819        0.32978596        0.00620265
       -4.36077191        0.42104101        0.03170710        0.04682367        0.33601948        0.00649076
       -4.35077191        0.46578773        0.03677749        0.04758628        0.37437576        0.00704820
       -4.34077191        0.50290334        0.03509245        0.05108805        0.40847708        0.00824575
       -4.33077191        0.38332660        0.02587510        0.03925063        0.31107229        0.00712858
       -4.32077191        0.47189751        0.05903161        0.04003595        0.36385729        0.00897266
       -4.31077191        0.57375481        0.06496055        0.05146699        0.44592206        0.01140522
       -4.30077191        0.50141415        0.04173705        0.05428738        0.39489039        0.01049933
       -4.29077191        0.45128402        0.03651029        0.05105990        0.35381103        0.00990280
       -4.28077191        0.48350763        0.03463142        0.05783155        0.37954717        0.01149749
       -4.27077191        0.52385301        0.03265033        0.06731965        0.41109659        0.01278645
       -4.26077191        0.54642600        0.03338002        0.06763489        0.43180314        0.01360795
       -4.25077191        0.46058057        0.03052049        0.04994893        0.36984824        0.01026291
       -4.24077191        0.38892224        0.02620512        0.03945056        0.31478485        0.00848170
       -4.23077191        0.32507614        0.02170987        0.03180374        0.26452564        0.00703690
       -4.22077191        0.29067613        0.01913763        0.02917431        0.23616916        0.00619502
       -4.21077191        0.29163641        0.01782316        0.02887600        0.23859980        0.00633745
       -4.20077191        0.30105287        0.01638576        0.02948424        0.24849450        0.00668838
       -4.19077191        0.30456015        0.01462536        0.03036181        0.25267201        0.00690097
       -4.18077191        0.32477333        0.01259076        0.03284350        0.27193463        0.00740444
       -4.17077191        0.44349669        0.01370541        0.04535857        0.37465991        0.00977280
       -4.16077191        0.50454105        0.01369088        0.05983988        0.41968449        0.01132579
       -4.15077191        0.53182121        0.01694442        0.06786902        0.43509421        0.01191356
       -4.14077191        0.58551798        0.02008173        0.07803903        0.47457779        0.01281943
       -4.13077191        0.59541959        0.01988842        0.08254010        0.48032775        0.01266331
       -4.12077191        0.54690999        0.01599857        0.08151979        0.43781833        0.01157330
       -4.11077191        0.65085943        0.02088375        0.08931864        0.52753296        0.01312408
       -4.10077191        1.01451969        0.03249942        0.11369425        0.84610413        0.02222189
       -4.09077191        0.40644558        0.01257052        0.06379296        0.32115282        0.00892929
       -4.08077191        0.54191571        0.01730415        0.06617021        0.44831601        0.01012533
       -4.07077191        0.88663394        0.02532262        0.08997516        0.75675912        0.01457704
       -4.06077191        0.60360452        0.02523326        0.07191900        0.49489474        0.01155752
       -4.05077191        0.62229769        0.02556641        0.06664329        0.51775389        0.01233410
       -4.04077191        1.31035866        0.04089746        0.14731044        1.10141226        0.02073850
       -4.03077191        0.60470149        0.01351215        0.08965901        0.49155669        0.00997363
       -4.02077191        0.60898575        0.01175993        0.07561421        0.51101942        0.01059220
       -4.01077191        0.36245708        0.00522902        0.04197900        0.30925569        0.00599337
       -4.00077191        1.45070385        0.02571194        0.14517038        1.26189938        0.01792216
       -3.99077191        1.18611405        0.01528369        0.16678127        0.98961823        0.01443086
       -3.98077191        0.82925000        0.01031544        0.17758021        0.63154035        0.00981400
       -3.97077191        0.48027377        0.00679437        0.06116686        0.40621643        0.00609611
       -3.96077191        0.96366134        0.01306401        0.13220827        0.80711174        0.01127732
       -3.95077191        1.44668057        0.02283933        0.27484549        1.13073307        0.01826268
       -3.94077191        0.85245809        0.00997998        0.07101539        0.76470126        0.00676146
       -3.93077191        0.84437884        0.00968776        0.10920568        0.71732306        0.00816235
       -3.92077191        0.78511132        0.01005659        0.10790376        0.65753959        0.00961138
       -3.91077191        0.57982355        0.01061705        0.07574599        0.48515140        0.00830911
       -3.90077191        1.00607260        0.01469235        0.12396627        0.85514114        0.01227283
       -3.89077191        0.83604103        0.01007384        0.09704004        0.71674181        0.01218533
       -3.88077191        0.78012419        0.00663433        0.09006061        0.67028063        0.01314861
       -3.87077191        1.79760770        0.01862280        0.18487213        1.57001871        0.02409406
       -3.86077191        1.43095390        0.01868794        0.11617442        1.27853819        0.01755335
       -3.85077191        1.47143517        0.01717866        0.10831930        1.32932205        0.01661517
       -3.84077191        1.19162028        0.01502900        0.11224302        1.04921473        0.01513354
       -3.83077191        0.94138392        0.01208160        0.09997098        0.81610317        0.01322817
       -3.82077191        0.95550616        0.01226592        0.11794856        0.81192347        0.01336821
       -3.81077191        1.28016782        0.02136649        0.13895815        1.10256886        0.01727432
       -3.80077191        1.10204641        0.01877224        0.10159443        0.96667300        0.01500674
       -3.79077191        1.11975156        0.01877994        0.09040622        0.99689083        0.01367457
       -3.78077191        1.43130885        0.02447660        0.09868872        1.29015910        0.01798443
       -3.77077191        1.53968651        0.01916932        0.10058711        1.40303730        0.01689279
       -3.76077191        1.28596740        0.01884443        0.08326267        1.16906270        0.01479760
       -3.75077191        1.37292650        0.01804075        0.08655460        1.25310260        0.01522855
       -3.74077191        1.12349888        0.01900233        0.08124723        1.01110990        0.01213942
       -3.73077191        1.40933505        0.01923059        0.10513635        1.27078332        0.01418479
       -3.72077191        1.21242245        0.01864114        0.08358578        1.09840811        0.01178742
