#  aims_uuid : 37A47CE1-218C-4267-A179-F882D7E95936                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.46340061        0.06686921        0.05799973        0.33288924        0.00564243
       -9.99000000        0.86878461        0.09042105        0.10318780        0.66611669        0.00905906
       -9.98000000        0.70103658        0.08346760        0.07485571        0.53608593        0.00662734
       -9.97000000        0.63421748        0.08608122        0.06667602        0.47555208        0.00590817
       -9.96000000        0.54783963        0.08114537        0.05650081        0.40515222        0.00504122
       -9.95000000        0.50305252        0.07513242        0.05509126        0.36810931        0.00471953
       -9.94000000        0.51156412        0.07386950        0.05989418        0.37292653        0.00487390
       -9.93000000        0.52240389        0.07251607        0.06499530        0.37986980        0.00502271
       -9.92000000        0.53557182        0.07107213        0.07039462        0.38893912        0.00516595
       -9.91000000        0.60055814        0.07755042        0.08348014        0.43389091        0.00563667
       -9.90000000        0.63719161        0.07369876        0.08877937        0.46847279        0.00624069
       -9.89000000        0.50921484        0.04983164        0.06810145        0.38620487        0.00507688
       -9.88000000        0.72166754        0.05741759        0.08634392        0.57123872        0.00666730
       -9.87000000        0.93709440        0.07847324        0.12389184        0.72629912        0.00843020
       -9.86000000        0.85196457        0.07006394        0.12925288        0.64512500        0.00752276
       -9.85000000        0.86832347        0.06771231        0.12230326        0.67106227        0.00724564
       -9.84000000        1.00310187        0.06954796        0.12412610        0.80098441        0.00844340
       -9.83000000        1.15442118        0.07034409        0.12982457        0.94408747        0.01016505
       -9.82000000        1.19907184        0.07241763        0.13035079        0.98468103        0.01162239
       -9.81000000        0.96474902        0.06562218        0.10330487        0.78688090        0.00894106
       -9.80000000        0.78021444        0.05368442        0.08265585        0.63653058        0.00734359
       -9.79000000        0.63842933        0.04282601        0.06741508        0.52229964        0.00588860
       -9.78000000        0.56281011        0.03637283        0.06131265        0.45990760        0.00521702
       -9.77000000        0.52075932        0.03494105        0.05816377        0.42268336        0.00497114
       -9.76000000        0.49024116        0.03489863        0.05656794        0.39398276        0.00479182
       -9.75000000        0.46817159        0.03498862        0.05647503        0.37209104        0.00461691
       -9.74000000        0.48310688        0.03548782        0.06022949        0.38271232        0.00467725
       -9.73000000        0.69662994        0.04434963        0.09219997        0.55405699        0.00602334
       -9.72000000        0.96721879        0.05745786        0.13752747        0.76515465        0.00707881
