#  aims_uuid : 37A47CE1-218C-4267-A179-F882D7E95936                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.559228 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.44077191        0.45063878        0.02297200        0.40872305        0.01605359        0.00289014
       -4.43077191        0.87594926        0.05387052        0.78758126        0.03011525        0.00438223
       -4.42077191        0.58871814        0.03117007        0.53262475        0.02174251        0.00318081
       -4.41077191        0.55892238        0.03160174        0.50399872        0.02036531        0.00295661
       -4.40077191        0.49087395        0.02796025        0.44218004        0.01819335        0.00254031
       -4.39077191        0.45228525        0.02479159        0.40811294        0.01698191        0.00239881
       -4.38077191        0.44135904        0.02328392        0.39856856        0.01700905        0.00249751
       -4.37077191        0.42899837        0.02182440        0.38753595        0.01704623        0.00259179
       -4.36077191        0.41520324        0.02041304        0.37501511        0.01709343        0.00268165
       -4.35077191        0.43585190        0.02139184        0.39299703        0.01839074        0.00307229
       -4.34077191        0.47344013        0.02367332        0.42802930        0.01852321        0.00321429
       -4.33077191        0.32446355        0.01531003        0.29298016        0.01389398        0.00227939
       -4.32077191        0.36451133        0.01732752        0.32608752        0.01799618        0.00310011
       -4.31077191        0.50975374        0.02452181        0.45907603        0.02211828        0.00403761
       -4.30077191        0.46788775        0.02168364        0.42182814        0.02062331        0.00375265
       -4.29077191        0.43156948        0.01829836        0.38900330        0.02097401        0.00329381
       -4.28077191        0.47736951        0.01732630        0.43179718        0.02475392        0.00349210
       -4.27077191        0.54806464        0.01773750        0.49728931        0.02925501        0.00378283
       -4.26077191        0.60794625        0.01856501        0.55316060        0.03223199        0.00398865
       -4.25077191        0.51329716        0.01608373        0.46646207        0.02745527        0.00329608
       -4.24077191        0.42954904        0.01358288        0.39035844        0.02280446        0.00280326
       -4.23077191        0.34298782        0.01084158        0.31156695        0.01820004        0.00237926
       -4.22077191        0.30954447        0.01001213        0.28099855        0.01635099        0.00218281
       -4.21077191        0.29988676        0.00914775        0.27328392        0.01536950        0.00208560
       -4.20077191        0.29351135        0.00811843        0.26893958        0.01446095        0.00199239
       -4.19077191        0.28376481        0.00705577        0.26128378        0.01354453        0.00188073
       -4.18077191        0.29457554        0.00613141        0.27357015        0.01301357        0.00186041
       -4.17077191        0.39462597        0.00651672        0.37023180        0.01553639        0.00234107
       -4.16077191        0.45952537        0.00766839        0.43063928        0.01854791        0.00266979
       -4.15077191        0.45992217        0.00689780        0.42959463        0.02061350        0.00281624
       -4.14077191        0.52424538        0.00780518        0.48890279        0.02438040        0.00315702
       -4.13077191        0.56372824        0.00839846        0.52675552        0.02547321        0.00310104
       -4.12077191        0.51707370        0.00813101        0.48415897        0.02190832        0.00287540
       -4.11077191        0.54413458        0.00972884        0.50894633        0.02248297        0.00297644
       -4.10077191        0.56637987        0.01062888        0.52353856        0.02832428        0.00388815
