#  aims_uuid : 7ABDCD09-6FF7-4F21-A393-BA9FC824A2D0                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.23692235        0.05761987        0.16784328        1.00409956        0.00680594        0.00055370
       -9.99000000        0.94337697        0.08869458        0.10797394        0.73840873        0.00783048        0.00046925
       -9.98000000        0.97476652        0.08867497        0.08574211        0.79117196        0.00875131        0.00042617
       -9.97000000        1.37899751        0.10655760        0.11456834        1.14460832        0.01274035        0.00052290
       -9.96000000        0.55539519        0.03611389        0.07594914        0.43810778        0.00507070        0.00015369
       -9.95000000        3.65719449        0.22313042        0.67877519        2.72523776        0.02897860        0.00107252
       -9.94000000        0.35780072        0.02228056        0.08648286        0.24625367        0.00267514        0.00010848
       -9.93000000        0.24258215        0.01133983        0.06087148        0.16839045        0.00190984        0.00007056
       -9.92000000        0.48331093        0.03673855        0.05914752        0.38270597        0.00459519        0.00012369
       -9.91000000        0.77145321        0.05331035        0.07487381        0.63598080        0.00708471        0.00020354
       -9.90000000        1.01809868        0.07346178        0.10578528        0.83024230        0.00832957        0.00027975
       -9.89000000        1.02183350        0.07019335        0.10784760        0.83541884        0.00801981        0.00035390
       -9.88000000        0.81741479        0.07566121        0.10365964        0.63100935        0.00686187        0.00022272
       -9.87000000        0.74420004        0.05924921        0.10834150        0.57070960        0.00565612        0.00024360
       -9.86000000        1.01015306        0.08068122        0.14946086        0.77203643        0.00764003        0.00033452
       -9.85000000        0.51947796        0.03040963        0.07721550        0.40755413        0.00414189        0.00015680
       -9.84000000        0.62473116        0.01765553        0.09184880        0.50977917        0.00522408        0.00022359
       -9.83000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.82000000        0.48349788        0.02233254        0.10480067        0.35287417        0.00334298        0.00014751
       -9.81000000        0.82247116        0.01637230        0.21361609        0.58621737        0.00592902        0.00033638
       -9.80000000        0.98493247        0.00590210        0.23632379        0.73371449        0.00858629        0.00040579
       -9.79000000        0.28344730        0.00820354        0.05980662        0.21328008        0.00204042        0.00011663
       -9.78000000        0.84435340        0.02079191        0.19146962        0.62551072        0.00628271        0.00029844
       -9.77000000        1.16011864        0.03254806        0.23929488        0.87977300        0.00819374        0.00030895
       -9.76000000        0.35101855        0.01234412        0.09122433        0.24407853        0.00326072        0.00011086
