#  aims_uuid : 7ABDCD09-6FF7-4F21-A393-BA9FC824A2D0                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.047218 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.95278159        1.03952324        0.01839591        0.97972345        0.03761767        0.00378621
       -4.94278159        1.61827431        0.02403571        1.53056067        0.05910110        0.00457684
       -4.93278159        1.44894759        0.01696952        1.36696920        0.06010755        0.00490131
       -4.92278159        1.87197696        0.03515607        1.73891732        0.09044210        0.00746147
       -4.91278159        0.73832334        0.01311934        0.69386683        0.02886268        0.00247449
       -4.90278159        4.21453265        0.06248570        4.02604446        0.11345455        0.01254794
       -4.89278159        0.44941950        0.00852421        0.42572182        0.01398974        0.00118373
       -4.88278159        0.28632410        0.00628445        0.26989881        0.00932411        0.00081673
       -4.87278159        0.61040624        0.01378984        0.57109479        0.02367652        0.00184508
       -4.86278159        0.89297241        0.02674710        0.83525218        0.02851060        0.00246253
       -4.85278159        1.16005283        0.03351066        1.09350826        0.02971364        0.00332026
       -4.84278159        1.07100264        0.03270561        1.00685673        0.02809579        0.00334451
       -4.83278159        0.75733010        0.02712119        0.70596616        0.02176757        0.00247519
       -4.82278159        0.82620388        0.02276068        0.78062210        0.02017630        0.00264481
       -4.81278159        1.02381596        0.03198695        0.96034448        0.02834628        0.00313825
       -4.80278159        0.54145274        0.01520026        0.50902583        0.01558086        0.00164579
       -4.79278159        0.61591780        0.01569382        0.57912247        0.01885866        0.00224286
       -4.78278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.77278159        0.61778194        0.02037197        0.57931161        0.01630773        0.00179063
       -4.76278159        1.04885853        0.02372050        0.98640698        0.03449615        0.00423490
       -4.75278159        0.98810743        0.02251650        0.92210907        0.03877114        0.00471071
       -4.74278159        0.26210812        0.00437209        0.24736871        0.00949109        0.00087623
       -4.73278159        0.70388068        0.01096157        0.67047122        0.01988178        0.00256610
       -4.72278159        0.89501787        0.01405649        0.84822914        0.02928900        0.00344325
       -4.71278159        0.30958759        0.00500151        0.29484488        0.00859554        0.00114566
       -4.70278159        0.42762534        0.00789652        0.40808029        0.01027725        0.00137128
       -4.69278159        0.58286770        0.01254935        0.55190628        0.01643534        0.00197672
       -4.68278159        0.66638529        0.01452489        0.62765538        0.02189445        0.00231057
       -4.67278159        0.56589799        0.00692720        0.53990343        0.01755866        0.00150870
       -4.66278159        0.38236923        0.00369688        0.36662235        0.01112614        0.00092386
       -4.65278159        0.38132747        0.00381172        0.36687973        0.00979999        0.00083603
       -4.64278159        0.42304701        0.00407069        0.40795301        0.01013174        0.00089158
       -4.63278159        0.41677387        0.00394870        0.40251855        0.00942233        0.00088429
       -4.62278159        0.33660654        0.00295441        0.32559371        0.00732771        0.00073071
       -4.61278159        0.25343720        0.00204749        0.24551504        0.00532199        0.00055268
       -4.60278159        0.45733363        0.00352138        0.44777980        0.00523021        0.00080224
       -4.59278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.58278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.57278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.56278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.55278159        0.46998278        0.00523047        0.45836019        0.00521846        0.00117366
       -4.54278159        1.90941990        0.01764954        1.85967616        0.02720470        0.00488950
       -4.53278159        1.25513473        0.01297901        1.21857092        0.02091449        0.00267031
       -4.52278159        0.26569998        0.00452663        0.25855668        0.00213168        0.00048498
       -4.51278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.50278159        0.36240528        0.00098714        0.34765522        0.01314710        0.00061582
