#  aims_uuid : 7ABDCD09-6FF7-4F21-A393-BA9FC824A2D0                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        1.20683298        0.04226643        1.11962629        0.04178983        0.00315043
       -9.99000000        1.23413505        0.01474865        1.19323999        0.02420030        0.00194611
       -9.98000000        1.44729840        0.01864355        1.38751041        0.03824578        0.00289866
       -9.97000000        1.57136902        0.02402648        1.50002943        0.04459132        0.00272179
       -9.96000000        0.54746132        0.01366795        0.51806342        0.01462525        0.00110470
       -9.95000000        2.07192924        0.14428630        1.82461205        0.09164603        0.01138486
       -9.94000000        0.25141305        0.02244876        0.21636775        0.01167039        0.00092614
       -9.93000000        0.15646799        0.01673694        0.12940890        0.00957643        0.00074572
       -9.92000000        0.54732393        0.01440935        0.51519754        0.01621750        0.00149954
       -9.91000000        0.71312805        0.01431964        0.66919466        0.02702705        0.00258670
       -9.90000000        0.69816503        0.00833625        0.65706262        0.02981461        0.00295156
       -9.89000000        0.77477949        0.00824063        0.72974892        0.03375349        0.00303645
       -9.88000000        0.50661965        0.00931200        0.47424254        0.02097059        0.00209453
       -9.87000000        0.54941097        0.01317127        0.50890111        0.02497514        0.00236344
       -9.86000000        0.84928283        0.02707417        0.76015489        0.05685050        0.00520327
       -9.85000000        0.38582877        0.01186385        0.35097613        0.02112928        0.00185951
       -9.84000000        0.40724626        0.00848333        0.37702414        0.01984815        0.00189064
       -9.83000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.82000000        0.41938558        0.01401645        0.38366517        0.02001456        0.00168940
       -9.81000000        0.60639561        0.01726761        0.55807291        0.02868869        0.00236641
       -9.80000000        0.70246110        0.02416489        0.63997506        0.03567025        0.00265089
       -9.79000000        0.35158922        0.01505881        0.32100371        0.01353485        0.00199186
       -9.78000000        1.20407978        0.06998446        1.08544553        0.04249659        0.00615321
       -9.77000000        2.29670794        0.15183566        2.06030476        0.07320873        0.01135878
       -9.76000000        0.57253828        0.03633194        0.51871111        0.01528789        0.00220734
       -9.75000000        0.51744634        0.03041940        0.47077352        0.01435329        0.00190014
       -9.74000000        0.66734043        0.03473713        0.60849257        0.02108476        0.00302596
       -9.73000000        0.73203809        0.03587314        0.66719540        0.02532333        0.00364622
       -9.72000000        0.43655305        0.02538481        0.39140240        0.01724491        0.00252093
       -9.71000000        0.29163501        0.01492853        0.26438550        0.01082705        0.00149394
       -9.70000000        0.26447823        0.00930611        0.24474633        0.00929099        0.00113480
       -9.69000000        0.30618580        0.00922468        0.28639616        0.00938335        0.00118160
       -9.68000000        0.33636973        0.00914416        0.31758081        0.00852644        0.00111832
       -9.67000000        0.30466301        0.00825194        0.28935105        0.00616347        0.00089655
       -9.66000000        0.25000222        0.00689626        0.23825182        0.00418098        0.00067317
       -9.65000000        0.39598073        0.00570462        0.38532083        0.00328529        0.00166999
       -9.64000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.63000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.62000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.61000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.60000000        0.39012707        0.00721856        0.37625195        0.00573129        0.00092527
       -9.59000000        1.47757909        0.02913107        1.41911966        0.02503645        0.00429192
       -9.58000000        1.19111398        0.03306374        1.13291368        0.02182981        0.00330674
       -9.57000000        0.25430014        0.01013582        0.23999065        0.00349427        0.00067940
       -9.56000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.55000000        0.21217251        0.01426622        0.18884626        0.00759973        0.00146030
       -9.54000000        0.33325823        0.01869155        0.30205325        0.01047978        0.00203365
       -9.53000000        0.55389347        0.01968291        0.52133175        0.01053481        0.00234400
       -9.52000000        1.35441989        0.03937200        1.28021157        0.02838908        0.00644723
       -9.51000000        0.54545674        0.00965858        0.52921318        0.00517477        0.00141022
       -9.50000000        0.36331725        0.00470654        0.35517417        0.00263112        0.00080543
       -9.49000000        0.00129097        0.00000130        0.00128084        0.00000604        0.00000279
       -9.48000000        0.02647930        0.00025255        0.02601950        0.00016307        0.00004418
       -9.47000000        0.55923783        0.02209482        0.52766980        0.00841707        0.00105615
       -9.46000000        1.14433389        0.04606556        1.07974728        0.01634633        0.00217472
       -9.45000000        1.48077242        0.05602279        1.39952806        0.02243683        0.00278474
       -9.44000000        1.30747800        0.04842371        1.23683889        0.01989309        0.00232230
       -9.43000000        0.53969958        0.01955960        0.51115294        0.00808372        0.00090331
       -9.42000000        0.16197838        0.00467152        0.15513955        0.00196458        0.00020273
