#  aims_uuid : E27DB50C-B735-4754-A4A3-B87AF8ECA843                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.047218 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.95278159        0.90921051        0.02383142        0.85969565        0.02318198        0.00250146
       -4.94278159        0.60944747        0.01433918        0.55967825        0.03257338        0.00285666
       -4.93278159        0.69929306        0.01701178        0.64985828        0.02947721        0.00294579
       -4.92278159        1.04891641        0.02662851        0.97811845        0.04054497        0.00362448
       -4.91278159        0.53008749        0.01616074        0.49985609        0.01263665        0.00143401
       -4.90278159        4.45349582        0.07504872        4.30628330        0.06197282        0.01019098
       -4.89278159        0.52124368        0.00408371        0.50974671        0.00626527        0.00114798
       -4.88278159        0.30998915        0.00198631        0.30312791        0.00411624        0.00075869
       -4.87278159        0.40570217        0.00454714        0.38783285        0.01181003        0.00151215
       -4.86278159        0.62786109        0.00956230        0.59832037        0.01772054        0.00225787
       -4.85278159        0.76149084        0.01164255        0.72688872        0.02011419        0.00284539
       -4.84278159        0.70872362        0.01201710        0.67339299        0.02050228        0.00281125
       -4.83278159        0.51870897        0.00801929        0.49298406        0.01596459        0.00174103
       -4.82278159        0.28930780        0.00700699        0.26571290        0.01505829        0.00152962
       -4.81278159        0.39804661        0.01217097        0.36085191        0.02323727        0.00178645
       -4.80278159        0.27658951        0.00749852        0.25680051        0.01125357        0.00103690
       -4.79278159        0.42912231        0.00945851        0.40392787        0.01420240        0.00153353
       -4.78278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.77278159        0.34832507        0.00872025        0.32243077        0.01547864        0.00169540
       -4.76278159        0.85856937        0.01500946        0.82079759        0.01925836        0.00350397
       -4.75278159        1.21719725        0.01777354        1.16990601        0.02450517        0.00501253
       -4.74278159        0.29970070        0.00452970        0.28275344        0.01131348        0.00110408
       -4.73278159        0.87348767        0.01461727        0.82699807        0.02875409        0.00311823
       -4.72278159        0.97751979        0.01537797        0.92033166        0.03821675        0.00359341
       -4.71278159        0.36428549        0.00276631        0.34822832        0.01208135        0.00120950
       -4.70278159        0.41958505        0.00360385        0.39819563        0.01610038        0.00168518
       -4.69278159        0.56656710        0.00554702        0.53657568        0.02198040        0.00246400
       -4.68278159        0.57011318        0.00703289        0.53672879        0.02362423        0.00272727
       -4.67278159        0.40041572        0.00596218        0.38194733        0.01102027        0.00148594
       -4.66278159        0.25716974        0.00420122        0.24575455        0.00638611        0.00082785
       -4.65278159        0.24189788        0.00427719        0.23048374        0.00632353        0.00081342
       -4.64278159        0.26859404        0.00462131        0.25638985        0.00667730        0.00090558
       -4.63278159        0.26871928        0.00464853        0.25692365        0.00623727        0.00090983
       -4.62278159        0.20862552        0.00399179        0.19922978        0.00466043        0.00074352
       -4.61278159        0.15201188        0.00314712        0.14510667        0.00320359        0.00055451
       -4.60278159        0.21996379        0.00769124        0.20637084        0.00495579        0.00094592
       -4.59278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.58278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.57278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.56278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.55278159        0.26516879        0.00528199        0.25492822        0.00354269        0.00141589
       -4.54278159        1.15910477        0.01970413        1.12049546        0.01467348        0.00423170
       -4.53278159        0.60739171        0.00885940        0.58649218        0.00920090        0.00283923
       -4.52278159        0.14603772        0.00119251        0.14258808        0.00179222        0.00046490
       -4.51278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.50278159        0.16270869        0.00159685        0.15764056        0.00253485        0.00093642
       -4.49278159        0.24984865        0.00284971        0.24130919        0.00457241        0.00111734
       -4.48278159        0.42448079        0.00490310        0.41100901        0.00702109        0.00154759
       -4.47278159        1.16772289        0.01578320        1.12717220        0.02034602        0.00442147
       -4.46278159        0.22362829        0.00370449        0.21485931        0.00410284        0.00096166
       -4.45278159        0.12038749        0.00178256        0.11582608        0.00224699        0.00053186
       -4.44278159        0.00040058        0.00000302        0.00038861        0.00000703        0.00000193
       -4.43278159        0.01117819        0.00025807        0.01039229        0.00048778        0.00004005
       -4.42278159        0.26324401        0.00817632        0.24657181        0.00752325        0.00097264
       -4.41278159        0.44221151        0.00947686        0.41997194        0.01145110        0.00131161
       -4.40278159        0.54186277        0.00995444        0.51669288        0.01376106        0.00145438
       -4.39278159        0.50360074        0.00766396        0.48340816        0.01139551        0.00113310
       -4.38278159        0.21746082        0.00343324        0.20865259        0.00489858        0.00047642
       -4.37278159        0.06044538        0.00140369        0.05776637        0.00107621        0.00019911
       -4.36278159        0.03872376        0.00103326        0.03683294        0.00070494        0.00015261
       -4.35278159        0.03062332        0.00084563        0.02908243        0.00056812        0.00012714
       -4.34278159        0.02305953        0.00066005        0.02186197        0.00043650        0.00010101
       -4.33278159        0.01603238        0.00047654        0.01517156        0.00031006        0.00007421
       -4.32278159        0.04719402        0.00055143        0.04490276        0.00153716        0.00020267
       -4.31278159        0.14394799        0.00198589        0.13717462        0.00421193        0.00057556
       -4.30278159        0.25148743        0.00454603        0.23930436        0.00663626        0.00100078
       -4.29278159        0.48348864        0.00814578        0.45771490        0.01556557        0.00206239
       -4.28278159        0.46334867        0.01061652        0.43627471        0.01409682        0.00236062
       -4.27278159        0.18170242        0.00396745        0.16979949        0.00674894        0.00118654
       -4.26278159        0.19040525        0.00584258        0.17695920        0.00669355        0.00090992
       -4.25278159        0.29268970        0.00872907        0.27061385        0.01193733        0.00140946
       -4.24278159        0.36316596        0.00891888        0.33681822        0.01587771        0.00155115
       -4.23278159        0.32953154        0.00749856        0.30682389        0.01375245        0.00145665
       -4.22278159        0.35584610        0.00818782        0.33192947        0.01400091        0.00172791
       -4.21278159        0.13483494        0.00315288        0.12546485        0.00544432        0.00077289
       -4.20278159        0.28348110        0.01008852        0.25998629        0.01193301        0.00147328
       -4.19278159        0.36657475        0.02360119        0.32433043        0.01678811        0.00185503
       -4.18278159        1.07393712        0.06479467        0.96363441        0.04071512        0.00479292
       -4.17278159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.16278159        3.56279707        0.27423885        3.17624103        0.09666714        0.01565004
       -4.15278159        2.86757088        0.17993604        2.59271265        0.08353600        0.01138620
