#  aims_uuid : A95675A7-7FBB-4E21-AB4D-34EC62766B57                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.970859 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.02914092        0.37811419        0.02776984        0.11416658        0.23432077        0.00172436        0.00013264
       -5.01913091        0.50979505        0.01643692        0.14041960        0.35066953        0.00215088        0.00011812
       -5.00912090        2.16045611        0.18614168        0.46251421        1.50276559        0.00823484        0.00079979
       -4.99911089        0.96548139        0.09476359        0.14539473        0.72123721        0.00380679        0.00027906
       -4.98910088        1.46058218        0.18125416        0.17715841        1.09558580        0.00598330        0.00060052
       -4.97909087        2.36802667        0.17768416        0.58184506        1.59650992        0.01121631        0.00077123
       -4.96908086        0.83933576        0.06666539        0.19544187        0.57303573        0.00392262        0.00027014
       -4.95907085        0.91609959        0.06974852        0.22466705        0.61753100        0.00385816        0.00029486
       -4.94906084        1.93589010        0.17734318        0.45078424        1.30015695        0.00700422        0.00060151
       -4.93905083        1.94958005        0.29981717        0.17689251        1.46300894        0.00942367        0.00043776
       -4.92904082        0.72848840        0.05883325        0.06731216        0.59583652        0.00631955        0.00018691
       -4.91903081        0.45320845        0.05155771        0.06506049        0.33467171        0.00178780        0.00013074
       -4.90902080        0.48601620        0.06658673        0.07127691        0.34568178        0.00233769        0.00013308
       -4.89901079        0.28060521        0.04128496        0.05351393        0.18454787        0.00116768        0.00009079
       -4.88900078        0.25647087        0.03844638        0.05830312        0.15862749        0.00099980        0.00009408
       -4.87899077        0.23257851        0.03509538        0.06225982        0.13429119        0.00083531        0.00009681
       -4.86898076        0.23030554        0.03341849        0.08112575        0.11489157        0.00074254        0.00012720
       -4.85897075        0.75536131        0.03876638        0.19877315        0.51441977        0.00302303        0.00037897
       -4.84896074        0.72385244        0.04717342        0.23033439        0.44278166        0.00313263        0.00043035
       -4.83895073        0.26887512        0.00098723        0.03543218        0.23040592        0.00193429        0.00011550
       -4.82894072        0.24628015        0.00095705        0.03174197        0.21145117        0.00202292        0.00010703
       -4.81893071        0.46635460        0.01709336        0.09701932        0.34914666        0.00291696        0.00017831
       -4.80892070        0.42881422        0.01396440        0.08948528        0.32195954        0.00324130        0.00016370
       -4.79891069        0.55117972        0.01157197        0.13990499        0.39316368        0.00633259        0.00020649
       -4.78890068        0.74325683        0.00959671        0.15798807        0.56633369        0.00905669        0.00028167
       -4.77889067        0.24944302        0.00576988        0.08078390        0.16023862        0.00255827        0.00009234
       -4.76888066        0.26262847        0.00400192        0.08571379        0.16975107        0.00306365        0.00009806
       -4.75887065        0.30531671        0.00253749        0.09222996        0.20649524        0.00393293        0.00012110
       -4.74886064        0.33843881        0.00134053        0.09800334        0.23438582        0.00457486        0.00013426
       -4.73885063        0.37761594        0.00042125        0.10416250        0.26768981        0.00519535        0.00014704
       -4.72884062        0.23815566       -0.00034677        0.03640014        0.19992738        0.00209102        0.00008389
       -4.71883061        0.28882938       -0.00028266        0.04230941        0.24423000        0.00247958        0.00009305
       -4.70882060        0.34459637       -0.00020418        0.04879992        0.29301697        0.00288237        0.00010130
       -4.69881059        0.40545663       -0.00011134        0.05587167        0.34628828        0.00329938        0.00010864
