#  aims_uuid : A95675A7-7FBB-4E21-AB4D-34EC62766B57                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.40168068        0.00622543        0.38696361        0.00690801        0.00158363
       -9.98998999        0.51704052        0.00567378        0.50176589        0.00786636        0.00173449
       -9.97997998        1.79239439        0.02699672        1.71048516        0.04776219        0.00715031
       -9.96996997        0.63342066        0.00593730        0.59897224        0.02607869        0.00243243
       -9.95995996        0.90204036        0.01282769        0.83951081        0.04535945        0.00434242
       -9.94994995        1.95310043        0.03849878        1.84718453        0.05943656        0.00798056
       -9.93993994        0.64565883        0.01450870        0.60928855        0.01920681        0.00265478
       -9.92992993        0.60506728        0.01530008        0.56833455        0.01882523        0.00260743
       -9.91991992        0.90703062        0.02379089        0.83890626        0.03997197        0.00436150
       -9.90990991        1.22164924        0.01341039        1.14888867        0.05467927        0.00467092
       -9.89989990        0.58436675        0.00895424        0.55641467        0.01704233        0.00195551
       -9.88988989        0.22822342        0.00448439        0.21398171        0.00856429        0.00119303
       -9.87987988        0.28906542        0.00386309        0.27316358        0.01075220        0.00128655
       -9.86986987        0.16161313        0.00227680        0.15200591        0.00659795        0.00073248
       -9.85985986        0.14995983        0.00212503        0.14084308        0.00631799        0.00067372
       -9.84984985        0.13721860        0.00197730        0.12865329        0.00597262        0.00061540
       -9.83983984        0.13946204        0.00212466        0.13065985        0.00606367        0.00061385
       -9.82982983        0.40334652        0.00499684        0.38387079        0.01212522        0.00235366
       -9.81981982        0.40407044        0.00640011        0.38098821        0.01431943        0.00236270
       -9.80980981        0.15576660        0.00232127        0.14900552        0.00341931        0.00102051
       -9.79979980        0.15525327        0.00252465        0.14841121        0.00337431        0.00094309
       -9.78978979        0.27664048        0.00482613        0.26190783        0.00832557        0.00158095
       -9.77977978        0.27974930        0.00514987        0.26533831        0.00777089        0.00149024
       -9.76976977        0.44420854        0.01094601        0.42030719        0.01082650        0.00212883
       -9.75975976        0.63047700        0.01355919        0.60022780        0.01388979        0.00280022
       -9.74974975        0.20761742        0.00424944        0.19731591        0.00514300        0.00090906
       -9.73973974        0.23882662        0.00483152        0.22766529        0.00533844        0.00099137
       -9.72972973        0.29405788        0.00609241        0.28063543        0.00611009        0.00121995
       -9.71971972        0.33946676        0.00688311        0.32458330        0.00662723        0.00137312
       -9.70970971        0.38750862        0.00759723        0.37120127        0.00717903        0.00153108
