#  aims_uuid : 233591B3-A35E-40A5-A1CC-C5F057FAE564                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.387874 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.61212638        0.76806715        0.04170198        0.70075275        0.02293147        0.00268095
       -4.60212638        0.72006840        0.03788834        0.65779080        0.02183873        0.00255053
       -4.59212638        0.67761321        0.03398239        0.62013647        0.02103820        0.00245615
       -4.58212638        0.66549396        0.03268098        0.60917863        0.02111205        0.00252230
       -4.57212638        1.14021659        0.05918340        1.03887602        0.03779370        0.00436347
       -4.56212638        0.91331994        0.05106037        0.82825919        0.03012580        0.00387458
       -4.55212638        1.04386669        0.06100765        0.94338936        0.03470000        0.00476968
       -4.54212638        0.89093370        0.05446586        0.80357840        0.02865475        0.00423469
       -4.53212638        0.86647009        0.05323539        0.78290983        0.02620703        0.00411783
       -4.52212638        0.89100597        0.05418569        0.80734013        0.02522773        0.00425241
       -4.51212638        0.91920324        0.05513521        0.83538351        0.02427711        0.00440740
       -4.50212638        0.95083371        0.05599839        0.86666312        0.02359264        0.00457956
       -4.49212638        0.52844021        0.03301612        0.47894247        0.01385354        0.00262808
       -4.48212638        1.32612700        0.10737157        1.18643507        0.02726483        0.00505553
       -4.47212638        1.78952393        0.10201496        1.62949099        0.04985650        0.00816149
       -4.46212638        0.68485681        0.04527045        0.60955985        0.02643713        0.00358939
       -4.45212638        0.35169652        0.02250058        0.31287999        0.01443101        0.00188494
       -4.44212638        0.25246576        0.01540882        0.22435187        0.01126490        0.00144017
       -4.43212638        0.21605798        0.01260061        0.19342568        0.00876212        0.00126957
       -4.42212638        0.27753702        0.01663424        0.24967167        0.00969746        0.00153365
       -4.41212638        0.38784567        0.02369801        0.35052662        0.01168142        0.00193962
       -4.40212638        0.54629835        0.03375647        0.49537560        0.01468714        0.00247915
       -4.39212638        0.79663447        0.04969456        0.72409222        0.01956870        0.00327899
       -4.38212638        1.50356329        0.09798529        1.36606318        0.03387120        0.00564361
       -4.37212638        1.29547826        0.08109606        1.18152438        0.02817477        0.00468305
       -4.36212638        1.47722507        0.09084886        1.35044221        0.03092513        0.00500888
       -4.35212638        1.79040774        0.10871809        1.63844741        0.03728076        0.00596147
       -4.34212638        2.53122545        0.15074774        2.31809680        0.05368704        0.00869388
       -4.33212638        1.52364758        0.08848450        1.39765912        0.03259800        0.00490596
       -4.32212638        1.46164084        0.08318557        1.34215754        0.03160499        0.00469274
       -4.31212638        1.50926019        0.07934655        1.38983930        0.03538993        0.00468441
       -4.30212638        1.12315172        0.05459105        1.03371701        0.03088297        0.00396070
       -4.29212638        0.89792302        0.03884563        0.82554205        0.02977940        0.00375595
       -4.28212638        0.69013157        0.02592878        0.63281972        0.02778477        0.00359831
       -4.27212638        0.54356647        0.01567595        0.50305074        0.02180047        0.00303931
       -4.26212638        0.44744918        0.01903907        0.40843836        0.01732287        0.00264887
       -4.25212638        0.74382971        0.03134313        0.68135872        0.02702657        0.00410129
       -4.24212638        0.62379449        0.02456713        0.57310768        0.02311722        0.00300246
       -4.23212638        0.59974445        0.02569118        0.54614953        0.02474406        0.00315968
       -4.22212638        0.70374463        0.03149697        0.63533917        0.03244805        0.00446045
       -4.21212638        1.80475345        0.07291974        1.65617506        0.06653518        0.00912348
       -4.20212638        0.87255016        0.05006077        0.79310164        0.02488333        0.00450442
       -4.19212638        0.76475489        0.02943636        0.70083321        0.02932511        0.00516021
       -4.18212638        1.03903439        0.04537913        0.95434726        0.03391399        0.00539401
       -4.17212638        0.58713973        0.03269869        0.53163614        0.01975313        0.00305177
       -4.16212638        2.25806376        0.09649111        2.05704783        0.09250959        0.01201522
       -4.15212638        0.91022810        0.04794371        0.82220371        0.03436894        0.00571174
       -4.14212638        0.77597862        0.04490296        0.69667127        0.02958051        0.00482387
       -4.13212638        1.08865391        0.04848765        0.99757747        0.03696837        0.00562041
       -4.12212638        1.35714429        0.05498039        1.24995963        0.04581746        0.00638681
       -4.11212638        0.48751018        0.01948486        0.44158130        0.02329751        0.00314650
       -4.10212638        0.71933470        0.02437448        0.65369141        0.03592829        0.00534051
       -4.09212638        0.50436616        0.01963731        0.45499032        0.02600483        0.00373371
       -4.08212638        0.59240593        0.02094171        0.54158387        0.02621735        0.00366301
       -4.07212638        0.62932284        0.02330218        0.57517837        0.02725289        0.00358940
       -4.06212638        1.62775932        0.05153503        1.50118903        0.06779501        0.00724026
       -4.05212638        0.96513083        0.03185692        0.88943365        0.03863311        0.00520715
       -4.04212638        1.22002779        0.03305196        1.13344149        0.04756264        0.00597170
       -4.03212638        1.06494427        0.02695698        0.98749669        0.04473702        0.00575358
       -4.02212638        1.07794508        0.03042250        0.99397511        0.04718676        0.00636070
       -4.01212638        0.91427311        0.02601881        0.83804388        0.04460905        0.00560137
       -4.00212638        1.00952285        0.03170519        0.91852655        0.05271459        0.00657652
       -3.99212638        0.87057642        0.02476927        0.79717191        0.04304888        0.00558637
       -3.98212638        0.73302073        0.02379255        0.66900932        0.03546018        0.00475869
       -3.97212638        1.00790556        0.03647004        0.91616734        0.04844504        0.00682313
       -3.96212638        0.65562140        0.01992326        0.59773035        0.03228427        0.00568352
       -3.95212638        0.60273592        0.01916958        0.54890992        0.02946044        0.00519598
       -3.94212638        0.58573320        0.01845157        0.53331880        0.02890696        0.00505587
       -3.93212638        0.49503658        0.01823217        0.44628580        0.02566343        0.00485519
       -3.92212638        0.37226582        0.01312157        0.33656669        0.01906408        0.00351348
       -3.91212638        0.26673404        0.00851979        0.24212695        0.01381985        0.00226745
       -3.90212638        0.26237733        0.00755921        0.23872548        0.01402150        0.00207113
       -3.89212638        0.34718650        0.00947545        0.31788800        0.01737984        0.00244322
       -3.88212638        0.18055339        0.00320069        0.16637620        0.00970956        0.00126694
       -3.87212638        0.86281907        0.03072315        0.79683050        0.03084785        0.00441758
       -3.86212638        1.15654508        0.02652043        1.08549987        0.03656465        0.00796013
       -3.85212638        0.43372736        0.00737534        0.40884022        0.01502307        0.00248873
       -3.84212638        0.82896682        0.02440114        0.77800936        0.02199712        0.00455920
