#  aims_uuid : 233591B3-A35E-40A5-A1CC-C5F057FAE564                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.31966696        0.01620619        0.28679062        0.01412246        0.00254769
       -9.99000000        0.29831862        0.01455567        0.26762850        0.01365384        0.00248061
       -9.98000000        0.27697436        0.01312899        0.24848724        0.01299294        0.00236519
       -9.97000000        0.27148398        0.01266284        0.24386847        0.01267116        0.00228151
       -9.96000000        0.42141904        0.01656470        0.38216222        0.01964574        0.00304638
       -9.95000000        0.36931406        0.01537637        0.33357978        0.01759918        0.00275873
       -9.94000000        0.40893946        0.01553437        0.37069590        0.01963476        0.00307443
       -9.93000000        0.36466760        0.01231009        0.33292109        0.01670369        0.00273273
       -9.92000000        0.35928573        0.01078037        0.33012439        0.01573418        0.00264678
       -9.91000000        0.37245641        0.01018464        0.34418480        0.01539696        0.00269000
       -9.90000000        0.38937866        0.00968864        0.36199273        0.01496520        0.00273209
       -9.89000000        0.40752494        0.00912906        0.38127087        0.01434801        0.00277700
       -9.88000000        0.21774162        0.00547257        0.20287988        0.00799370        0.00139548
       -9.87000000        0.45619452        0.00702795        0.41952485        0.02521179        0.00442993
       -9.86000000        0.99783869        0.01355171        0.92061929        0.05525653        0.00841117
       -9.85000000        0.45992740        0.00797935        0.42523049        0.02326342        0.00345414
       -9.84000000        0.24790930        0.00515049        0.22839375        0.01244388        0.00192117
       -9.83000000        0.20350454        0.00443378        0.18763561        0.00984387        0.00159128
       -9.82000000        0.18470598        0.00396692        0.17089071        0.00841118        0.00143716
       -9.81000000        0.22063452        0.00464228        0.20463223        0.00969265        0.00166737
       -9.80000000        0.25583250        0.00523192        0.23770308        0.01103098        0.00186653
       -9.79000000        0.28934762        0.00573363        0.26921345        0.01237122        0.00202933
       -9.78000000        0.32799266        0.00632115        0.30544922        0.01403016        0.00219213
       -9.77000000        0.44092683        0.00878422        0.40892899        0.02012713        0.00308650
       -9.76000000        0.34815187        0.00759765        0.32194241        0.01619562        0.00241619
       -9.75000000        0.36653952        0.00876375        0.33814555        0.01719289        0.00243732
       -9.74000000        0.43782716        0.01115208        0.40350356        0.02038746        0.00278406
       -9.73000000        0.57731410        0.01583727        0.52988574        0.02766354        0.00392756
       -9.72000000        0.55334314        0.01730109        0.50929291        0.02389223        0.00285691
       -9.71000000        0.49368655        0.01501355        0.45320489        0.02267815        0.00278996
       -9.70000000        0.57909149        0.01560434        0.53349440        0.02658731        0.00340544
       -9.69000000        0.65325644        0.01687424        0.60749283        0.02546889        0.00342048
       -9.68000000        0.77979761        0.01815299        0.73275206        0.02511098        0.00378158
       -9.67000000        0.78631138        0.02851674        0.72704788        0.02718125        0.00356550
       -9.66000000        0.73523703        0.02061013        0.68771991        0.02382782        0.00307916
       -9.65000000        0.61546167        0.01463655        0.57800674        0.02062912        0.00218927
       -9.64000000        0.92851622        0.02117545        0.86930435        0.03455491        0.00348152
       -9.63000000        0.51979433        0.01588238        0.47759660        0.02383689        0.00247846
       -9.62000000        0.59431539        0.02130526        0.54932189        0.02141031        0.00227793
       -9.61000000        0.52020973        0.01639480        0.48139007        0.01983880        0.00258605
       -9.60000000        1.19866410        0.03677679        1.10316417        0.05304710        0.00567604
       -9.59000000        0.71008383        0.02536810        0.65430491        0.02725089        0.00315992
       -9.58000000        0.90850662        0.02456952        0.84244972        0.03781299        0.00367439
       -9.57000000        1.26695805        0.02318684        1.18655692        0.05201116        0.00520313
       -9.56000000        0.65212430        0.01683895        0.60720734        0.02569219        0.00238582
       -9.55000000        2.32529520        0.04699356        2.16294416        0.10499130        0.01036618
       -9.54000000        1.26231001        0.02268541        1.17922893        0.05510680        0.00528887
       -9.53000000        0.76359604        0.01901436        0.70404846        0.03657264        0.00396058
       -9.52000000        1.04368986        0.02220713        0.97471251        0.04193923        0.00483100
       -9.51000000        1.40779246        0.03328682        1.32220368        0.04641257        0.00588939
       -9.50000000        0.77137536        0.02147197        0.72150381        0.02539561        0.00300396
       -9.49000000        1.19813724        0.02797910        1.12302223        0.04242421        0.00471170
       -9.48000000        0.78768739        0.01993550        0.73777312        0.02700644        0.00297234
       -9.47000000        1.03558133        0.02859236        0.97021954        0.03275239        0.00401704
       -9.46000000        0.84875033        0.02686153        0.78839577        0.02974714        0.00374589
       -9.45000000        1.54409548        0.03451125        1.44686155        0.05506897        0.00765371
       -9.44000000        0.99027598        0.02134822        0.92799460        0.03595529        0.00497787
       -9.43000000        1.42222663        0.02755237        1.33852713        0.05007699        0.00607014
       -9.42000000        1.34937195        0.02498040        1.26760826        0.05047546        0.00630784
       -9.41000000        1.24657982        0.02115368        1.17148479        0.04731453        0.00662682
       -9.40000000        1.04708776        0.01642253        0.98094338        0.04390858        0.00581327
       -9.39000000        1.27967339        0.01709933        1.20354082        0.05190388        0.00712935
       -9.38000000        1.11390750        0.01365669        1.04921755        0.04443337        0.00659988
       -9.37000000        0.91894733        0.01155274        0.86488693        0.03625679        0.00625087
       -9.36000000        1.34436031        0.01862957        1.26736646        0.04807305        0.01029123
       -9.35000000        1.12001630        0.01181031        1.06043380        0.03890388        0.00886831
       -9.34000000        1.01740124        0.01352209        0.95913349        0.03638817        0.00835749
       -9.33000000        0.97209210        0.01532846        0.91306967        0.03526779        0.00842618
       -9.32000000        0.90340491        0.01866044        0.84268416        0.03403608        0.00802424
       -9.31000000        0.60412559        0.01167834        0.56103557        0.02563743        0.00577424
       -9.30000000        0.32689523        0.00574694        0.30169294        0.01570530        0.00375005
       -9.29000000        0.30512860        0.00604042        0.28030558        0.01494731        0.00383529
       -9.28000000        0.36994177        0.00720202        0.33797887        0.01983271        0.00492818
