#  aims_uuid : 8A7BD6C0-65A6-4196-A95D-D19BE4A3DD7C                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.38120232        0.04275892        0.06001702        0.27253830        0.00588808
       -9.99000000        0.36909391        0.04486870        0.05741485        0.26114432        0.00566603
       -9.98000000        0.35473230        0.04599764        0.05563487        0.24764625        0.00545354
       -9.97000000        0.33190717        0.04352408        0.05421124        0.22890507        0.00526678
       -9.96000000        0.32060343        0.04438120        0.05223578        0.21872120        0.00526526
       -9.95000000        0.69340339        0.09877602        0.06665038        0.51898411        0.00899289
       -9.94000000        0.46018304        0.07345927        0.04621613        0.33342497        0.00708266
       -9.93000000        0.41680228        0.06281920        0.03358723        0.31371945        0.00667640
       -9.92000000        0.38416537        0.04996271        0.02930237        0.29822001        0.00668028
       -9.91000000        0.39745014        0.04439131        0.03158410        0.31394730        0.00752743
       -9.90000000        0.41005595        0.03727907        0.03426233        0.33005252        0.00846203
       -9.89000000        0.42452035        0.02867524        0.03749817        0.34880155        0.00954539
       -9.88000000        0.22299563        0.01634148        0.02588170        0.17576876        0.00500369
       -9.87000000        0.41990941        0.03411136        0.03945432        0.33241295        0.01393079
       -9.86000000        0.69721248        0.05429163        0.08905595        0.53336874        0.02049616
       -9.85000000        0.50580386        0.05108120        0.05958265        0.38419751        0.01094250
       -9.84000000        0.31720452        0.03992752        0.04285655        0.22806040        0.00636005
       -9.83000000        0.18917242        0.02834675        0.01854658        0.13923096        0.00304813
       -9.82000000        0.22599982        0.02686927        0.01664490        0.17932803        0.00315762
       -9.81000000        0.27990899        0.02440227        0.01681216        0.23440863        0.00428593
       -9.80000000        0.33171864        0.02112041        0.01758965        0.28751046        0.00549812
       -9.79000000        0.37421855        0.01702371        0.01860081        0.33204795        0.00654608
       -9.78000000        0.40926166        0.01212669        0.02010437        0.36958189        0.00744872
       -9.77000000        0.44637645        0.01118896        0.02284510        0.40402065        0.00832174
       -9.76000000        0.49233022        0.01544736        0.02686983        0.44080517        0.00920785
       -9.75000000        0.43876306        0.01546641        0.02473407        0.39038724        0.00817534
       -9.74000000        0.48229630        0.01973160        0.02860474        0.42516785        0.00879211
       -9.73000000        0.59466073        0.02629825        0.03613202        0.52184904        0.01038141
       -9.72000000        0.50843612        0.02008133        0.03161749        0.44814013        0.00859717
       -9.71000000        0.60059326        0.02291127        0.03772197        0.52995715        0.01000287
       -9.70000000        0.76746913        0.02423208        0.04589455        0.68483037        0.01251213
       -9.69000000        1.00283548        0.01899851        0.05216745        0.91637954        0.01528998
       -9.68000000        1.33520817        0.01324723        0.09264768        1.20700796        0.02230529
       -9.67000000        1.00547532        0.01368806        0.11135253        0.86482587        0.01560886
       -9.66000000        0.48186431        0.00541476        0.10770079        0.36095576        0.00779300
       -9.65000000        0.96217190        0.01071983        0.18856553        0.74113064        0.02175590
       -9.64000000        0.13672399        0.00860974        0.03598667        0.09023675        0.00189082
       -9.63000000        0.35219105        0.02312499        0.07652854        0.24767390        0.00486362
       -9.62000000        1.30279131        0.07149642        0.18278003        1.02901471        0.01950016
       -9.61000000        0.17623846        0.00546835        0.05488409        0.11358346        0.00230256
       -9.60000000        0.36954616        0.00873855        0.09395727        0.26200931        0.00484103
       -9.59000000        0.61474785        0.01402838        0.15441940        0.43836615        0.00793393
       -9.58000000        1.58566644        0.03939615        0.43508756        1.09040213        0.02078060
       -9.57000000        0.43987315        0.00860830        0.06193982        0.36461287        0.00471216
       -9.56000000        0.94628763        0.03020594        0.10707083        0.79865959        0.01035127
       -9.55000000        1.30842486        0.05506016        0.14814838        1.09010699        0.01510933
       -9.54000000        2.11926990        0.01361409        0.32589250        1.75164136        0.02812196
       -9.53000000        1.37069506        0.01449544        0.38839343        0.94659474        0.02121145
       -9.52000000        2.39831094        0.03350497        0.47465668        1.85929761        0.03085167
       -9.51000000        0.50969154        0.00897986        0.08222394        0.41271594        0.00577180
       -9.50000000        1.16096654        0.02024834        0.21132487        0.91712389        0.01226943
       -9.49000000        1.09304862        0.01396098        0.23798658        0.83056161        0.01053944
       -9.48000000        0.94999241        0.01325217        0.14356476        0.78184380        0.01133169
       -9.47000000        0.69193545        0.01182657        0.11459462        0.55631317        0.00920109
       -9.46000000        0.86355667        0.01358764        0.12557300        0.71363139        0.01076463
       -9.45000000        0.83537243        0.01746676        0.13107054        0.67595983        0.01087530
       -9.44000000        0.71329808        0.01704364        0.10985223        0.57738531        0.00901690
       -9.43000000        1.53064026        0.05360906        0.25372462        1.20390658        0.01940000
       -9.42000000        0.94280734        0.03225935        0.11787601        0.77988534        0.01278665
       -9.41000000        0.98515267        0.03406059        0.11141328        0.82769289        0.01198591
       -9.40000000        1.40762657        0.06524396        0.12448648        1.19644934        0.02144680
       -9.39000000        1.33246998        0.05367702        0.09171862        1.16957929        0.01749506
       -9.38000000        1.24453796        0.03969395        0.07443361        1.11640520        0.01400521
       -9.37000000        1.83308610        0.05895684        0.11313048        1.64420014        0.01679864
       -9.36000000        1.72210858        0.03607438        0.11135846        1.55960998        0.01506577
       -9.35000000        1.60322810        0.02601117        0.08192733        1.48075774        0.01453186
       -9.34000000        1.22619723        0.01900897        0.05179814        1.14484850        0.01054163
       -9.33000000        1.56764337        0.01862868        0.05109888        1.48679800        0.01111782
       -9.32000000        1.11504307        0.01351954        0.03305502        1.06124192        0.00722659
       -9.31000000        0.72639726        0.01194880        0.02640462        0.68284543        0.00519841
       -9.30000000        0.40105541        0.01243185        0.02671615        0.35842806        0.00347935
       -9.29000000        0.43185723        0.01504997        0.03072984        0.38231437        0.00376306
       -9.28000000        0.49228842        0.01651264        0.03016084        0.44168214        0.00393280
       -9.27000000        2.05614036        0.01809866        0.10215357        1.90905282        0.02683531
       -9.26000000        1.21117886        0.00391197        0.04291803        1.15358290        0.01076597
       -9.25000000        0.70361671        0.00588073        0.02038438        0.67101224        0.00633936
       -9.24000000        0.34979067        0.01050940        0.01561876        0.31957982        0.00408269
       -9.23000000        0.55595290        0.01246553        0.01726828        0.51951898        0.00670011
       -9.22000000        1.99287575        0.02524455        0.04222092        1.90806122        0.01734905
       -9.21000000        2.02188524        0.00806258        0.04221830        1.95450217        0.01710219
       -9.20000000        0.50850779        0.00140507        0.00422680        0.49613866        0.00673727
       -9.19000000        1.47938991        0.00660418        0.02639232        1.42485838        0.02153503
       -9.18000000        1.53875549        0.02222868        0.08631177        1.39472215        0.03549289
       -9.17000000        0.75080770        0.00856870        0.02688318        0.69981068        0.01554515
       -9.16000000        0.99517708        0.00582840        0.02599350        0.94583725        0.01751794
       -9.15000000        0.25700632        0.00241539        0.00862815        0.23877584        0.00718694
       -9.14000000        0.06421542        0.00048264        0.00373084        0.05941232        0.00058962
       -9.13000000        0.50317440        0.00613489        0.01449728        0.47741908        0.00512315
       -9.12000000        0.98338228        0.00994147        0.06519027        0.89851883        0.00973171
       -9.11000000        1.59750345        0.01463292        0.07020955        1.49898655        0.01367443
       -9.10000000        1.49049097        0.01488824        0.05498018        1.40803120        0.01259135
       -9.09000000        1.45415236        0.01996723        0.04558903        1.37654532        0.01205078
       -9.08000000        1.13657357        0.01563471        0.03007654        1.08115442        0.00970790
       -9.07000000        0.83659624        0.01232862        0.01800655        0.79885578        0.00740528
       -9.06000000        0.97461177        0.01249233        0.01477423        0.93860796        0.00873726
       -9.05000000        0.77019630        0.01067297        0.01264273        0.74005624        0.00682436
       -9.04000000        0.59810925        0.00949881        0.01125666        0.57229296        0.00506082
       -9.03000000        0.45893271        0.00866975        0.00989379        0.43644728        0.00392189
       -9.02000000        0.33402211        0.00794355        0.00795756        0.31528424        0.00283677
       -9.01000000        0.49483728        0.01718730        0.01047653        0.46320953        0.00396393
       -9.00000000        2.08858308        0.10124847        0.04222774        1.92092258        0.02418429
       -8.99000000        1.25653985        0.03575389        0.09974038        1.09573785        0.02530774
       -8.98000000        1.06216074        0.03018412        0.12544644        0.89044276        0.01608742
       -8.97000000        0.89467637        0.02608063        0.11413295        0.74253162        0.01193116
       -8.96000000        1.53489193        0.04365516        0.30217122        1.16618795        0.02287760
       -8.95000000        0.65808861        0.01380051        0.10051774        0.52814827        0.01562208
       -8.94000000        0.80201495        0.01242655        0.12987409        0.63397942        0.02573489
       -8.93000000        0.79728265        0.01027810        0.11466836        0.64660709        0.02572909
       -8.92000000        0.70266801        0.00722178        0.05782082        0.61691250        0.02071291
       -8.91000000        0.19424512        0.00477186        0.02619204        0.16060780        0.00267342
       -8.90000000        0.22019296        0.00529077        0.02506196        0.18663800        0.00320223
       -8.89000000        0.24840527        0.00597651        0.02292324        0.21573908        0.00376644
       -8.88000000        0.27850058        0.00674793        0.01954562        0.24785278        0.00435425
       -8.87000000        0.31047892        0.00760502        0.01492912        0.28297911        0.00496567
       -8.86000000        0.50099304        0.00878053        0.01176034        0.47279346        0.00765872
       -8.85000000        0.41531538        0.00534131        0.01095981        0.38750093        0.01151333
       -8.84000000        0.03572135        0.00165229        0.00474420        0.02870447        0.00062039
       -8.83000000        0.10598660        0.00187716        0.00789695        0.09472727        0.00148522
       -8.82000000        0.20786005        0.00227610        0.01463540        0.18791185        0.00303670
       -8.81000000        0.33009135        0.00270626        0.02083130        0.30175073        0.00480305
       -8.80000000        0.43835190        0.00311408        0.02610840        0.40256222        0.00656720
       -8.79000000        0.53264172        0.00349956        0.03046670        0.49034632        0.00832914
       -8.78000000        0.62426774        0.00390792        0.03640219        0.57368738        0.01027025
       -8.77000000        2.28253269        0.00830868        0.05973247        2.17118353        0.04330800
       -8.76000000        0.61817976        0.00415439        0.04344621        0.56002199        0.01055718
       -8.75000000        0.70339378        0.00504173        0.04931801        0.63702547        0.01200858
       -8.74000000        0.58804623        0.00552020        0.05596978        0.51684247        0.00971378
       -8.73000000        0.64875930        0.00637255        0.06477886        0.56712844        0.01047944
       -8.72000000        0.64514311        0.00707484        0.06321130        0.56559828        0.00925869
       -8.71000000        0.58830797        0.00819284        0.04616422        0.52683226        0.00711865
       -8.70000000        0.68746080        0.01017324        0.04957264        0.61934464        0.00837027
       -8.69000000        0.79742145        0.01136703        0.05231498        0.72405588        0.00968357
       -8.68000000        0.84217664        0.01215471        0.05661911        0.76430226        0.00910055
       -8.67000000        1.13259870        0.01579924        0.05964171        1.04609552        0.01106224
       -8.66000000        0.57743304        0.00707462        0.02535868        0.53799390        0.00700583
       -8.65000000        0.59233064        0.00679418        0.03119814        0.54628981        0.00804851
       -8.64000000        0.62722862        0.00662279        0.03802946        0.57340724        0.00916914
       -8.63000000        0.63098724        0.00658842        0.04138330        0.57295451        0.01006102
       -8.62000000        0.57537756        0.00595416        0.04144667        0.51815455        0.00982218
       -8.61000000        0.46365190        0.00392403        0.04177364        0.41047531        0.00747891
       -8.60000000        0.46919171        0.00392629        0.03791326        0.42075785        0.00659431
       -8.59000000        0.31737249        0.00280618        0.01674320        0.29323225        0.00459086
       -8.58000000        0.20851735        0.00264279        0.00946769        0.19308307        0.00332381
       -8.57000000        0.22722610        0.00272393        0.01007513        0.21080847        0.00361857
       -8.56000000        0.24550596        0.00275914        0.01054478        0.22825221        0.00394983
       -8.55000000        0.26362466        0.00275001        0.01090634        0.24561838        0.00434992
       -8.54000000        0.28777940        0.00273318        0.01175577        0.26786369        0.00542676
       -8.53000000        0.31290478        0.00267802        0.01244696        0.29133972        0.00644009
       -8.52000000        0.34638077        0.00265803        0.01301879        0.32317117        0.00753278
       -8.51000000        0.42317548        0.00376595        0.01366638        0.39721135        0.00853180
       -8.50000000        0.53638329        0.00445447        0.01807796        0.50219668        0.01165417
       -8.49000000        1.14375653        0.00759290        0.04973827        1.05361960        0.03280576
       -8.48000000        0.69696593        0.00577171        0.02547455        0.65757806        0.00814162
       -8.47000000        0.67336945        0.00381597        0.02526051        0.63670813        0.00758485
       -8.46000000        0.48905320        0.00219507        0.02165147        0.45805668        0.00714999
       -8.45000000        0.30823090        0.00208701        0.02051439        0.27834439        0.00728511
       -8.44000000        0.51416413        0.00304277        0.03001250        0.47175663        0.00935223
       -8.43000000        0.79505999        0.00440086        0.04197691        0.73494975        0.01373247
       -8.42000000        0.49909736        0.00537442        0.03546612        0.44948303        0.00877379
       -8.41000000        0.26362781        0.00687633        0.03428777        0.21649042        0.00597330
       -8.40000000        0.36104265        0.00974309        0.05622948        0.28723519        0.00783489
       -8.39000000        0.73967917        0.02751551        0.12992720        0.56609956        0.01613690
       -8.38000000        1.40960828        0.03409295        0.30134292        1.04907456        0.02509785
       -8.37000000        1.59478871        0.02969488        0.24282211        1.29880683        0.02346489
       -8.36000000        1.02608460        0.01085926        0.11093008        0.89189954        0.01239571
       -8.35000000        0.49954979        0.00213444        0.05201984        0.44073803        0.00465748
       -8.34000000        0.69438872        0.01370792        0.17123131        0.49500983        0.01443965
       -8.33000000        1.10898820        0.02005657        0.24533480        0.81654814        0.02704869
       -8.32000000        0.80947892        0.01187605        0.16178031        0.61968862        0.01613394
       -8.31000000        1.22746437        0.00590628        0.08563946        1.12348662        0.01243202
       -8.30000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -8.29000000        0.46178229        0.00332542        0.04980836        0.39684328        0.01180523
       -8.28000000        0.94865259        0.00933253        0.12150971        0.80174249        0.01606786
       -8.27000000        0.95790087        0.00620313        0.08911840        0.84760696        0.01497239
       -8.26000000        1.15518741        0.00651511        0.15740789        0.97036029        0.02090412
       -8.25000000        0.61926605        0.00309340        0.09855693        0.50399804        0.01361768
       -8.24000000        0.41504127        0.00187898        0.08084830        0.32047750        0.01183649
       -8.23000000        1.05919780        0.00270958        0.09413003        0.93980481        0.02255338
       -8.22000000        2.01377741        0.02372860        0.25817290        1.69167298        0.04020293
       -8.21000000        1.26875998        0.00501698        0.19710666        1.04065484        0.02598149
       -8.20000000        1.55498300        0.00781161        0.26169609        1.24955480        0.03592051
       -8.19000000        1.02424978        0.00436961        0.12885840        0.86856100        0.02246077
       -8.18000000        1.02406435        0.00577075        0.12987359        0.86656669        0.02185332
       -8.17000000        0.73401416        0.00285879        0.08564794        0.62999481        0.01551261
       -8.16000000        1.17991417        0.00916048        0.12327155        1.02069605        0.02678610
       -8.15000000        0.87872792        0.00558463        0.10009817        0.75663623        0.01640889
       -8.14000000        1.47358177        0.00923931        0.17656163        1.26093772        0.02684311
       -8.13000000        1.16354283        0.00617230        0.13039391        1.00810292        0.01887370
       -8.12000000        1.02812983        0.00479693        0.09845082        0.90563775        0.01924433
       -8.11000000        1.17995286        0.00508765        0.10065760        1.05107086        0.02313675
       -8.10000000        0.85615777        0.00350156        0.06973745        0.76965048        0.01326828
       -8.09000000        1.96319940        0.00426790        0.11141292        1.81402211        0.03349647
       -8.08000000        1.89312610        0.00558790        0.17516162        1.68563656        0.02674001
       -8.07000000        1.00496151        0.00242535        0.08590845        0.90189591        0.01473181
