#  aims_uuid : 59088280-6A0E-4D18-A4A4-3B4FB7D94D59                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.24646125        0.00617948        0.23433338        0.00524568        0.00070272
       -9.99000000        0.89295363        0.02145274        0.83331562        0.03555045        0.00263482
       -9.98000000        0.75361205        0.02191527        0.70424886        0.02541664        0.00203128
       -9.97000000        0.78273384        0.02588428        0.73163375        0.02335499        0.00186082
       -9.96000000        1.04342024        0.03853367        0.97493715        0.02765081        0.00229860
       -9.95000000        0.82823364        0.02670042        0.77159362        0.02770263        0.00223697
       -9.94000000        3.55974395        0.11374451        3.31729835        0.11933591        0.00936517
       -9.93000000        0.74552985        0.03054321        0.68670950        0.02624377        0.00203337
       -9.92000000        0.35224863        0.01215209        0.32885854        0.01034108        0.00089691
       -9.91000000        0.64979311        0.01858321        0.60678384        0.02267600        0.00175005
       -9.90000000        0.24199373        0.00731467        0.22484584        0.00906899        0.00076423
       -9.89000000        0.20189483        0.00585324        0.18682109        0.00848477        0.00073573
       -9.88000000        0.42251411        0.00916238        0.39779429        0.01411844        0.00143901
       -9.87000000        0.45772071        0.00873009        0.43194865        0.01538807        0.00165389
       -9.86000000        0.57894005        0.00940949        0.54929268        0.01822058        0.00201729
       -9.85000000        0.42585467        0.00707816        0.39949196        0.01734200        0.00194254
       -9.84000000        0.62334580        0.00980087        0.58851691        0.02213655        0.00289148
       -9.83000000        0.50224060        0.00768482        0.48407187        0.00892070        0.00156321
       -9.82000000        0.75987458        0.01460078        0.71368304        0.02824600        0.00334476
       -9.81000000        0.72301219        0.01253669        0.69073062        0.01721500        0.00252988
       -9.80000000        0.79141021        0.01337872        0.75859677        0.01679158        0.00264314
       -9.79000000        0.38475299        0.00812146        0.36580528        0.00937806        0.00144819
       -9.78000000        0.40471181        0.00866740        0.38605442        0.00853497        0.00145502
       -9.77000000        0.49072817        0.00998235        0.47005415        0.00906779        0.00162389
       -9.76000000        0.51935923        0.01067953        0.49809409        0.00889076        0.00169485
       -9.75000000        0.25721612        0.00453161        0.24531099        0.00645049        0.00092303
       -9.74000000        0.29574482        0.00521568        0.28269760        0.00676090        0.00107064
       -9.73000000        0.33305254        0.00591716        0.31897080        0.00694047        0.00122412
       -9.72000000        0.40480042        0.00883601        0.38682995        0.00748763        0.00164683
       -9.71000000        0.45414429        0.01003430        0.43464319        0.00758808        0.00187873
       -9.70000000        0.23919272        0.00563560        0.22874647        0.00386252        0.00094813
       -9.69000000        0.23514887        0.00547091        0.22525014        0.00350962        0.00091819
       -9.68000000        0.23246352        0.00523739        0.22309760        0.00324212        0.00088641
       -9.67000000        0.33096086        0.00950927        0.31579411        0.00423778        0.00141971
       -9.66000000        0.41078151        0.01155714        0.39214467        0.00533890        0.00174080
       -9.65000000        0.50348402        0.01304476        0.48144680        0.00694311        0.00204935
       -9.64000000        0.37383532        0.00877138        0.35868431        0.00494958        0.00143006
       -9.63000000        0.27445023        0.00600007        0.26393933        0.00350238        0.00100845
       -9.62000000        0.17862457        0.00360054        0.17211865        0.00226819        0.00063720
       -9.61000000        0.07219432        0.00141173        0.06939940        0.00110513        0.00027806
       -9.60000000        0.04340339        0.00089857        0.04149924        0.00081410        0.00019148
       -9.59000000        0.03971414        0.00084093        0.03791537        0.00077397        0.00018388
       -9.58000000        0.03615705        0.00078354        0.03446531        0.00073248        0.00017572
       -9.57000000        0.03273211        0.00072642        0.03114907        0.00068963        0.00016699
       -9.56000000        0.02943932        0.00066956        0.02796663        0.00064541        0.00015770
       -9.55000000        0.19499714        0.00393118        0.18665605        0.00369314        0.00071676
       -9.54000000        0.23038494        0.00564656        0.21911123        0.00463966        0.00098750
       -9.53000000        0.21682470        0.00554115        0.20596270        0.00437359        0.00094726
       -9.52000000        0.20320446        0.00539513        0.19280471        0.00410149        0.00090314
