#  aims_uuid : 59088280-6A0E-4D18-A4A4-3B4FB7D94D59                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.876834 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.12316591        0.30877878        0.00254237        0.29926123        0.00649639        0.00047879
       -5.11316591        0.51447215        0.00353310        0.48019942        0.02858106        0.00215857
       -5.10316591        0.56001023        0.00461588        0.52840731        0.02495857        0.00202846
       -5.09316591        0.66705744        0.00673836        0.63169841        0.02646645        0.00215422
       -5.08316591        0.90414643        0.00889536        0.85841618        0.03388078        0.00295411
       -5.07316591        0.62224177        0.01063065        0.57776088        0.03132251        0.00252772
       -5.06316591        3.26239342        0.07058347        3.03867214        0.14256547        0.01057234
       -5.05316591        0.94522079        0.02214759        0.87552433        0.04412471        0.00342416
       -5.04316591        0.42099912        0.01086267        0.38899267        0.01953057        0.00161321
       -5.03316591        0.98656957        0.02286953        0.92198589        0.03909972        0.00261444
       -5.02316591        0.40250994        0.01469361        0.37141185        0.01526449        0.00113999
       -5.01316591        0.38777755        0.01735225        0.35589804        0.01350565        0.00102160
       -5.00316591        0.80799086        0.02276070        0.76484194        0.01903210        0.00135611
       -4.99316591        0.89257508        0.03255316        0.83910955        0.01934179        0.00157058
       -4.98316591        1.04739133        0.04377762        0.98043815        0.02123509        0.00194047
       -4.97316591        0.99873463        0.05194698        0.92410533        0.02078556        0.00189675
       -4.96316591        1.39911419        0.07391761        1.29418999        0.02816020        0.00284639
       -4.95316591        0.70360586        0.02181553        0.66921347        0.01105437        0.00152250
       -4.94316591        1.72673602        0.10818086        1.57667392        0.03816508        0.00371615
       -4.93316591        1.11873130        0.05163747        1.04327293        0.02121132        0.00260958
       -4.92316591        1.09879432        0.04536757        1.03086196        0.01991117        0.00265362
       -4.91316591        0.60135138        0.03309261        0.55476113        0.01202374        0.00147390
       -4.90316591        0.58222326        0.02742269        0.54272339        0.01064491        0.00143227
       -4.89316591        0.63626746        0.02355358        0.60088941        0.01031940        0.00150508
       -4.88316591        0.65607931        0.01976832        0.62499052        0.00980365        0.00151682
       -4.87316591        0.31371118        0.01237266        0.29409054        0.00646988        0.00077810
       -4.86316591        0.34971696        0.01244553        0.32963204        0.00675476        0.00088463
       -4.85316591        0.38434837        0.01224425        0.36417431        0.00693663        0.00099318
       -4.84316591        0.52995603        0.01247543        0.50821237        0.00788240        0.00138583
       -4.83316591        0.58786678        0.01193402        0.56627521        0.00809577        0.00156178
       -4.82316591        0.31757742        0.00643729        0.30601416        0.00425789        0.00086809
       -4.81316591        0.30788306        0.00559085        0.29753375        0.00391588        0.00084257
       -4.80316591        0.29819508        0.00482199        0.28892664        0.00363925        0.00080720
       -4.79316591        0.52468497        0.00586389        0.51220202        0.00524499        0.00137407
       -4.78316591        0.64295599        0.00633697        0.62850840        0.00650596        0.00160466
       -4.77316591        0.73847364        0.00681069        0.72187620        0.00806826        0.00171850
       -4.76316591        0.50569337        0.00484562        0.49414423        0.00553014        0.00117338
       -4.75316591        0.35219585        0.00351956        0.34407622        0.00378383        0.00081624
       -4.74316591        0.21846155        0.00227305        0.21332403        0.00236889        0.00049557
       -4.73316591        0.09655805        0.00083557        0.09439515        0.00115132        0.00017601
       -4.72316591        0.06815654        0.00045556        0.06674376        0.00086279        0.00009444
       -4.71316591        0.06575464        0.00042446        0.06442740        0.00081755        0.00008523
       -4.70316591        0.06311236        0.00039374        0.06187092        0.00077122        0.00007647
       -4.69316591        0.06022969        0.00036340        0.05907432        0.00072381        0.00006815
       -4.68316591        0.05710664        0.00033345        0.05603760        0.00067532        0.00006028
       -4.67316591        0.28796871        0.00548620        0.27826970        0.00361762        0.00059519
       -4.66316591        0.40512671        0.00661730        0.39248340        0.00519420        0.00083181
       -4.65316591        0.38630424        0.00602309        0.37450434        0.00499433        0.00078248
       -4.64316591        0.36631865        0.00545422        0.35536044        0.00477209        0.00073190
       -4.63316591        0.34585686        0.00491683        0.33571746        0.00454080        0.00068178
       -4.62316591        0.32491887        0.00441093        0.31557539        0.00430045        0.00063210
       -4.61316591        0.31282860        0.00410313        0.30396030        0.00416072        0.00060445
       -4.60316591        0.34155586        0.00454768        0.33182565        0.00450590        0.00067663
       -4.59316591        0.36761908        0.00496310        0.35704473        0.00484935        0.00076190
       -4.58316591        0.39101826        0.00534941        0.37961752        0.00519107        0.00086026
       -4.57316591        0.41175340        0.00570660        0.39954405        0.00553105        0.00097169
       -4.56316591        0.52311685        0.00678041        0.50804782        0.00689658        0.00139204
       -4.55316591        0.68518348        0.00863736        0.66534672        0.00910670        0.00209271
       -4.54316591        0.59106926        0.00824840        0.57285370        0.00810876        0.00185841
       -4.53316591        0.43655912        0.00710341        0.42169483        0.00620790        0.00155297
       -4.52316591        0.36232688        0.00660510        0.34902169        0.00536635        0.00133373
       -4.51316591        0.24273129        0.00548617        0.23240487        0.00380441        0.00103585
       -4.50316591        0.18745644        0.00483274        0.17865681        0.00312321        0.00084368
       -4.49316591        0.13756899        0.00405601        0.13039570        0.00246398        0.00065330
