#  aims_uuid : 7A538F84-8899-400C-ACDC-067A1C8895BB                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.907595 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.09240473        0.34542458        0.00341592        0.03353405        0.30553353        0.00279307        0.00014801
       -5.08240473        0.86422760        0.03326537        0.04504957        0.77771886        0.00768785        0.00050594
       -5.07240473        0.61053280        0.02892494        0.02808722        0.54706869        0.00604356        0.00040839
       -5.06240473        0.58113537        0.03592103        0.02713487        0.51207389        0.00553483        0.00047075
       -5.05240473        0.64207073        0.04538953        0.02877698        0.56074906        0.00659279        0.00056236
       -5.04240473        1.95022142        0.07023006        0.10827049        1.75069090        0.01962799        0.00140198
       -5.03240473        0.69166992        0.03829394        0.05971728        0.58520360        0.00808922        0.00036588
       -5.02240473        3.06308968        0.13596718        0.17512465        2.72257541        0.02768748        0.00173496
       -5.01240473        0.38276681        0.00857229        0.00902964        0.36221254        0.00274878        0.00020355
       -5.00240473        0.46736460        0.01773783        0.01371875        0.43198556        0.00366140        0.00026106
       -4.99240473        0.56447318        0.02551522        0.02290949        0.51117877        0.00455292        0.00031677
       -4.98240473        0.64890499        0.03084434        0.03563176        0.57694052        0.00513474        0.00035364
       -4.97240473        0.72066004        0.03372516        0.05188556        0.62927082        0.00540685        0.00037166
       -4.96240473        0.77973832        0.03415771        0.07167089        0.66816965        0.00536924        0.00037084
       -4.95240473        0.61263003        0.04881695        0.03448279        0.52462009        0.00440999        0.00030021
       -4.94240473        0.83790205        0.08235142        0.04151555        0.70783797        0.00580297        0.00039415
       -4.93240473        1.08959976        0.10965443        0.05510999        0.91691356        0.00741766        0.00050413
       -4.92240473        0.28865609        0.00116027        0.04926313        0.23613167        0.00202605        0.00007497
       -4.91240473        0.32277171        0.00073977        0.05691023        0.26269644        0.00235116        0.00007411
       -4.90240473        1.15915117        0.09518470        0.08874488        0.96488935        0.00989595        0.00043628
       -4.89240473        1.05692196        0.06750067        0.09854355        0.88090557        0.00961913        0.00035304
       -4.88240473        0.96674625        0.04375311        0.10594942        0.80729516        0.00946416        0.00028440
       -4.87240473        0.59701018        0.02394197        0.06157629        0.50464255        0.00666949        0.00017988
       -4.86240473        0.53457184        0.00801672        0.05788688        0.46207570        0.00644795        0.00014459
       -4.85240473        0.19058471        0.00000000        0.02427356        0.16420565        0.00204745        0.00005804
       -4.84240473        0.20856953        0.00000000        0.02676014        0.17946859        0.00227547        0.00006532
       -4.83240473        0.22619820        0.00000000        0.02921513        0.19440405        0.00250615        0.00007287
       -4.82240473        0.24347072        0.00000000        0.03163851        0.20901204        0.00273949        0.00008069
