#  aims_uuid : 7A538F84-8899-400C-ACDC-067A1C8895BB                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.907595 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.09240473        0.47862800        0.00392135        0.46341196        0.01037871        0.00091598
       -5.08240473        0.46745579        0.00313033        0.43415040        0.02810798        0.00206709
       -5.07240473        0.42401764        0.00318541        0.39824692        0.02089291        0.00169240
       -5.06240473        0.41837750        0.00428548        0.39141998        0.02099329        0.00167875
       -5.05240473        0.52184008        0.00557277        0.49102054        0.02328416        0.00196261
       -5.04240473        1.43508500        0.02387927        1.34104692        0.06478409        0.00537471
       -5.03240473        0.70096284        0.02532952        0.63894887        0.03397041        0.00271404
       -5.02240473        3.37936452        0.07369396        3.17545146        0.12112410        0.00909499
       -5.01240473        0.28280998        0.00348388        0.26832462        0.01041761        0.00058387
       -5.00240473        0.38775773        0.00968006        0.36219694        0.01490600        0.00097473
       -4.99240473        0.50561944        0.01525396        0.46995758        0.01906182        0.00134608
       -4.98240473        0.61220024        0.01957712        0.56941274        0.02161220        0.00159818
       -4.97240473        0.70750015        0.02264954        0.66056242        0.02255714        0.00173105
       -4.96240473        0.79151915        0.02447123        0.74340660        0.02189665        0.00174467
       -4.95240473        0.60121168        0.03059127        0.55251376        0.01673060        0.00137605
       -4.94240473        0.82531933        0.05084040        0.75171025        0.02095284        0.00181583
       -4.93240473        1.09916593        0.06963412        1.00195480        0.02522808        0.00234892
       -4.92240473        0.35985658        0.00297353        0.35153304        0.00456455        0.00078546
       -4.91240473        0.40876775        0.00340873        0.40015759        0.00431138        0.00089005
       -4.90240473        1.23871458        0.06689944        1.14301037        0.02604604        0.00275873
       -4.89240473        1.15328250        0.05197727        1.07745554        0.02120138        0.00264832
       -4.88240473        1.07849093        0.03930478        1.01948661        0.01714391        0.00255563
       -4.87240473        0.62638536        0.02819890        0.58591560        0.01062674        0.00164412
       -4.86240473        0.55790021        0.02007341        0.52840051        0.00787378        0.00155250
       -4.85240473        0.18138284        0.00480520        0.17407021        0.00199900        0.00050841
       -4.84240473        0.20400281        0.00494506        0.19619631        0.00229032        0.00057112
       -4.83240473        0.22737133        0.00500567        0.21913022        0.00260000        0.00063544
       -4.82240473        0.25148840        0.00498702        0.24287195        0.00292804        0.00070138
       -4.81240473        0.27635402        0.00488913        0.26742150        0.00327446        0.00076894
       -4.80240473        0.30196819        0.00471199        0.29277886        0.00363923        0.00083811
       -4.79240473        0.59162864        0.00618604        0.57797652        0.00588953        0.00157655
       -4.78240473        0.65310974        0.00574218        0.64014091        0.00557776        0.00164889
       -4.77240473        0.84105062        0.00764491        0.82348789        0.00793414        0.00198369
       -4.76240473        0.99294875        0.00960375        0.97051066        0.01072105        0.00211329
       -4.75240473        0.56048677        0.00702485        0.54575824        0.00634141        0.00136227
       -4.74240473        0.40923005        0.00616247        0.39703945        0.00496214        0.00106598
       -4.73240473        0.28122944        0.00497872        0.27180550        0.00366748        0.00077774
       -4.72240473        0.17648497        0.00347362        0.17005640        0.00245742        0.00049753
       -4.71240473        0.09499662        0.00164716        0.09179214        0.00133197        0.00022536
       -4.70240473        0.05692317        0.00032173        0.05587440        0.00066514        0.00006191
       -4.69240473        0.05528376        0.00029228        0.05429816        0.00063624        0.00005709
       -4.68240473        0.05354324        0.00026424        0.05261943        0.00060711        0.00005245
       -4.67240473        0.05170161        0.00023762        0.05083822        0.00057776        0.00004801
       -4.66240473        0.04975887        0.00021241        0.04895452        0.00054819        0.00004375
       -4.65240473        0.04771503        0.00018862        0.04696833        0.00051840        0.00003968
       -4.64240473        0.27016104        0.00539376        0.26091668        0.00327555        0.00057505
       -4.63240473        0.38391983        0.00616582        0.37226286        0.00469404        0.00079711
       -4.62240473        0.36805988        0.00561738        0.35715254        0.00452541        0.00076455
       -4.61240473        0.35178696        0.00509810        0.34160785        0.00434984        0.00073117
       -4.60240473        0.33510105        0.00460798        0.32562879        0.00416731        0.00069697
       -4.59240473        0.31800216        0.00414703        0.30921536        0.00397783        0.00066194
       -4.58240473        0.30940997        0.00387177        0.30101601        0.00387859        0.00064361
       -4.57240473        0.32805198        0.00410945        0.31915528        0.00409522        0.00069203
       -4.56240473        0.34467360        0.00433943        0.33528608        0.00430178        0.00074632
       -4.55240473        0.35927484        0.00456170        0.34940840        0.00449825        0.00080648
       -4.54240473        0.37185569        0.00477628        0.36152225        0.00468465        0.00087251
       -4.53240473        0.38241616        0.00498314        0.37162764        0.00486097        0.00094441
       -4.52240473        0.39095624        0.00518231        0.37972455        0.00502720        0.00102218
       -4.51240473        0.80445847        0.00738504        0.78507124        0.00952313        0.00247906
       -4.50240473        0.68360132        0.00732126        0.66585806        0.00832860        0.00209340
       -4.49240473        0.45116125        0.00607526        0.43793174        0.00556595        0.00158830
       -4.48240473        0.36146828        0.00582716        0.34969047        0.00466542        0.00128522
       -4.47240473        0.27982680        0.00541224        0.26958887        0.00381610        0.00100959
       -4.46240473        0.20497420        0.00483042        0.19637606        0.00300664        0.00076109
       -4.45240473        0.13691048        0.00408168        0.13005206        0.00223703        0.00053972
       -4.44240473        0.07563564        0.00316604        0.07061684        0.00150728        0.00034548
       -4.43240473        0.32236472        0.00707655        0.30677315        0.00731238        0.00120264
       -4.42240473        0.36529601        0.00872604        0.34566701        0.00964380        0.00125915
       -4.41240473        0.39276980        0.00992688        0.36966973        0.01181988        0.00135331
       -4.40240473        0.40478610        0.01067907        0.37878131        0.01384061        0.00148511
       -4.39240473        0.62926225        0.01728593        0.58561352        0.02393859        0.00242421
       -4.38240473        0.31505615        0.00888522        0.28969449        0.01483327        0.00164317
       -4.37240473        0.07684447        0.00226122        0.06949919        0.00454148        0.00054258
       -4.36240473        1.50906011        0.09068149        1.33196644        0.07590193        0.01051026
       -4.35240473        1.24182095        0.07545110        1.12734989        0.03473576        0.00428419
       -4.34240473        1.17808126        0.05496481        1.03459259        0.07766147        0.01086239
       -4.33240473        0.62366918        0.05286050        0.52582897        0.03929536        0.00568434
       -4.32240473        1.29625253        0.10610956        1.13836401        0.04429393        0.00748502
       -4.31240473        0.70615790        0.05215244        0.61612474        0.03252353        0.00535719
       -4.30240473        1.19702832        0.05221689        1.05900477        0.07630159        0.00950507
       -4.29240473        0.55226361        0.04160760        0.47993251        0.02566886        0.00505464
       -4.28240473        0.72170060        0.04477290        0.64124348        0.03099296        0.00469127
       -4.27240473        1.60636753        0.10595974        1.42978812        0.06174784        0.00887183
       -4.26240473        1.45830500        0.08303498        1.32503320        0.04340342        0.00683339
       -4.25240473        0.55979060        0.02561251        0.51178693        0.01956989        0.00282127
       -4.24240473        1.49284749        0.11567381        1.32964439        0.04226858        0.00526071
       -4.23240473        2.10034953        0.14024926        1.86194400        0.08876577        0.00939050
       -4.22240473        3.25560278        0.26788858        2.81168915        0.15901722        0.01700783
       -4.21240473        0.89824733        0.05583204        0.79372588        0.04487912        0.00381029
       -4.20240473        1.08879917        0.06800451        0.95809615        0.05758637        0.00511213
       -4.19240473        1.80839633        0.13324069        1.57394696        0.09159400        0.00961468
       -4.18240473        1.13520200        0.08174903        0.99401641        0.05219626        0.00724030
       -4.17240473        0.59080235        0.04811650        0.51078846        0.02816270        0.00373470
       -4.16240473        1.67375873        0.12475341        1.44751337        0.08813202        0.01335992
       -4.15240473        1.26624927        0.08291822        1.11454335        0.06063565        0.00815205
       -4.14240473        0.97114713        0.06158965        0.85950701        0.04444434        0.00560613
       -4.13240473        0.03181225        0.00021881        0.03085645        0.00045311        0.00028388
       -4.12240473        0.08932821        0.00152130        0.08375224        0.00345278        0.00060189
       -4.11240473        0.18764664        0.00374571        0.17420239        0.00848181        0.00121673
       -4.10240473        0.29126435        0.00585127        0.27026169        0.01320500        0.00194640
       -4.09240473        0.59051402        0.02556255        0.53736578        0.02406131        0.00352437
       -4.08240473        1.50122610        0.08326884        1.35701123        0.05386779        0.00707824
       -4.07240473        0.95935909        0.06059497        0.85939488        0.03482428        0.00454496
       -4.06240473        0.96452294        0.05249485        0.86901538        0.03712983        0.00588289
       -4.05240473        0.95267432        0.04819087        0.85924375        0.03826742        0.00697228
       -4.04240473        0.33935900        0.00424583        0.32578472        0.00766600        0.00166245
       -4.03240473        0.61893673        0.01109794        0.59258083        0.01314357        0.00211439
       -4.02240473        0.40644584        0.01331728        0.37784231        0.01304391        0.00224235
       -4.01240473        0.30569725        0.01129773        0.28084548        0.01163008        0.00192396
       -4.00240473        0.37436994        0.01786069        0.32610329        0.02675166        0.00365431
       -3.99240473        0.38302481        0.01909570        0.33153245        0.02859104        0.00380562
       -3.98240473        0.41242820        0.02278199        0.35549239        0.03009915        0.00405466
       -3.97240473        0.55073887        0.03547267        0.47629694        0.03384203        0.00512723
       -3.96240473        0.57332884        0.03950796        0.49697216        0.03175488        0.00509384
       -3.95240473        0.52972548        0.03847941        0.46039267        0.02631646        0.00453694
       -3.94240473        0.50305089        0.03653118        0.43910372        0.02326433        0.00415166
       -3.93240473        0.40030287        0.02703483        0.35082335        0.01910108        0.00334361
       -3.92240473        0.38934983        0.02511429        0.34156096        0.01937235        0.00330223
       -3.91240473        0.38018892        0.02317705        0.33441783        0.01937447        0.00321956
       -3.90240473        0.37282014        0.02122313        0.32939395        0.01910745        0.00309561
       -3.89240473        0.85630580        0.04458910        0.77343152        0.03259525        0.00568994
       -3.88240473        0.89970104        0.03673748        0.82640786        0.03120574        0.00534996
       -3.87240473        0.89081817        0.03043965        0.82404048        0.03124479        0.00509325
       -3.86240473        0.48234736        0.01410114        0.44181556        0.02302101        0.00340965
       -3.85240473        0.36913812        0.01030139        0.33288585        0.02276243        0.00318845
       -3.84240473        0.35169300        0.00891056        0.31448481        0.02479162        0.00350602
       -3.83240473        0.35167904        0.00941538        0.31289722        0.02554797        0.00381847
       -3.82240473        0.41804220        0.01369679        0.36633907        0.03297200        0.00503435
       -3.81240473        0.31481239        0.01033712        0.27732269        0.02370435        0.00344823
       -3.80240473        0.32556208        0.01159755        0.28639632        0.02413972        0.00342849
       -3.79240473        0.35517835        0.01327033        0.31410591        0.02444217        0.00335995
       -3.78240473        0.39032568        0.01505365        0.34756140        0.02451176        0.00319886
       -3.77240473        0.31156333        0.01055690        0.28414260        0.01481866        0.00204518
       -3.76240473        0.29671950        0.01002333        0.27372224        0.01129117        0.00168275
       -3.75240473        0.29020028        0.00937217        0.27061046        0.00879055        0.00142711
       -3.74240473        0.30955898        0.00869316        0.29174802        0.00775954        0.00135826
       -3.73240473        0.33484806        0.00780539        0.31820962        0.00747448        0.00135857
       -3.72240473        0.36606753        0.00670886        0.34999527        0.00793536        0.00142804
       -3.71240473        0.41164690        0.00739847        0.39376224        0.00890708        0.00157911
