#  aims_uuid : 2BF1F072-6066-44E6-A1FE-8462609C4A7E                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.82734621        0.07579703        0.72043616        0.02649118        0.00462182
       -9.99000000        0.85505452        0.08018689        0.74408427        0.02578982        0.00499354
       -9.98000000        0.50071061        0.04443078        0.43720415        0.01602732        0.00304836
       -9.97000000        0.43784994        0.03686714        0.38326928        0.01494156        0.00277196
       -9.96000000        0.80735968        0.06745812        0.70550166        0.02884512        0.00555478
       -9.95000000        0.73161591        0.05835750        0.64161923        0.02634184        0.00529733
       -9.94000000        0.66001532        0.05102897        0.57984715        0.02413190        0.00500729
       -9.93000000        0.41610663        0.02700192        0.36795853        0.01772317        0.00342301
       -9.92000000        0.18218496        0.00969101        0.16203602        0.00881170        0.00164624
       -9.91000000        0.07504581        0.00267135        0.06809475        0.00359962        0.00068009
       -9.90000000        0.06941647        0.00203882        0.06344215        0.00334007        0.00059543
       -9.89000000        0.16828421        0.00685317        0.15249401        0.00762046        0.00131657
       -9.88000000        0.18010254        0.00783222        0.16314261        0.00775758        0.00137013
       -9.87000000        0.16453206        0.00683514        0.14949034        0.00698902        0.00121756
       -9.86000000        0.14681184        0.00593256        0.13369358        0.00612575        0.00105995
       -9.85000000        0.12694188        0.00512448        0.11575234        0.00516777        0.00089729
       -9.84000000        0.23356449        0.00937498        0.21567339        0.00738877        0.00112736
       -9.83000000        0.36608467        0.01434786        0.33875378        0.01138496        0.00159808
       -9.82000000        0.45971886        0.01791122        0.42442308        0.01531091        0.00207364
       -9.81000000        0.40284771        0.01544187        0.37171205        0.01383023        0.00186357
       -9.80000000        0.28751491        0.01062802        0.26546102        0.00992526        0.00150061
       -9.79000000        0.26168988        0.00944247        0.24162803        0.00915915        0.00146024
       -9.78000000        0.37590031        0.01490055        0.34333197        0.01528089        0.00238690
       -9.77000000        0.49370999        0.01851572        0.44915153        0.02239959        0.00364315
       -9.76000000        0.48481442        0.01654574        0.44273857        0.02195163        0.00357847
       -9.75000000        0.47485203        0.01479708        0.43546392        0.02114257        0.00344845
       -9.74000000        0.42845611        0.01185526        0.39466924        0.01891953        0.00301208
       -9.73000000        0.39721811        0.00940480        0.36771680        0.01751003        0.00258648
       -9.72000000        0.43642255        0.00925385        0.40588377        0.01866659        0.00261833
       -9.71000000        0.47204030        0.00931535        0.44029500        0.01977257        0.00265739
       -9.70000000        0.50407137        0.00958931        0.47095048        0.02082796        0.00270363
       -9.69000000        0.53971730        0.01055065        0.50409404        0.02221951        0.00285309
       -9.68000000        0.44354828        0.00911665        0.41395732        0.01814624        0.00232807
       -9.67000000        0.32176158        0.00709258        0.29991135        0.01299064        0.00176701
       -9.66000000        0.28585667        0.00674677        0.26589209        0.01162440        0.00159341
       -9.65000000        0.36502120        0.00904705        0.33906047        0.01479983        0.00211385
       -9.64000000        0.37795989        0.00956012        0.35114982        0.01520453        0.00204541
       -9.63000000        0.65222969        0.01548877        0.60644629        0.02691929        0.00337533
       -9.62000000        1.07100840        0.02624509        0.99788498        0.04249680        0.00438153
       -9.61000000        0.62189743        0.01478715        0.58245105        0.02239747        0.00226176
       -9.60000000        1.52870816        0.02926351        1.41463294        0.07814967        0.00666204
       -9.59000000        0.43609295        0.01289751        0.39871069        0.02201063        0.00247413
       -9.58000000        0.38299023        0.01155081        0.35090554        0.01838067        0.00215321
       -9.57000000        0.54831296        0.01587330        0.50338394        0.02629577        0.00275996
       -9.56000000        9.06844614        0.29732679        8.31879943        0.41507908        0.03724085
       -9.55000000        1.56175332        0.05957451        1.41990820        0.07162171        0.01064889
       -9.54000000        0.57367408        0.02299189        0.51825441        0.02856238        0.00386540
       -9.53000000        0.47426438        0.01871774        0.42796662        0.02435022        0.00322980
       -9.52000000        1.13669754        0.05132119        1.02839074        0.05099449        0.00599112
       -9.51000000        0.64354598        0.02194483        0.58590242        0.03231952        0.00337921
       -9.50000000        0.57892986        0.01367204        0.53143784        0.03062464        0.00319533
       -9.49000000        0.08800382        0.00371624        0.08064011        0.00313735        0.00051012
       -9.48000000        0.49313538        0.01527619        0.45197009        0.02316727        0.00272183
       -9.47000000        0.75908438        0.02086296        0.70412214        0.03084112        0.00325817
       -9.46000000        1.21171892        0.02495581        1.13622981        0.04563116        0.00490214
       -9.45000000        0.59747776        0.01440746        0.55348046        0.02716071        0.00242913
       -9.44000000        0.99442584        0.02686790        0.91719427        0.04559143        0.00477223
       -9.43000000        0.92905198        0.02626001        0.85843782        0.04032453        0.00402960
       -9.42000000        1.30102949        0.03355603        1.21184570        0.05043768        0.00519008
       -9.41000000        1.24640102        0.02761660        1.17233358        0.04224085        0.00421000
       -9.40000000        0.54472256        0.01192984        0.51119326        0.01944239        0.00215707
       -9.39000000        0.56896156        0.01559645        0.52531402        0.02540594        0.00264514
       -9.38000000        1.04949013        0.02554436        0.97367391        0.04572653        0.00454534
       -9.37000000        0.83802916        0.02152345        0.78279746        0.03040425        0.00330399
       -9.36000000        0.82480439        0.02142578        0.77245904        0.02717138        0.00374820
       -9.35000000        0.98363558        0.02237547        0.92094410        0.03511427        0.00520172
       -9.34000000        1.13744951        0.02164411        1.06887215        0.04145942        0.00547384
       -9.33000000        0.65352941        0.01607563        0.60769287        0.02636571        0.00339521
       -9.32000000        0.71949915        0.01525594        0.67240444        0.02810701        0.00373176
       -9.31000000        0.96993114        0.01742510        0.91107041        0.03621545        0.00522018
       -9.30000000        1.86367085        0.03281858        1.75905221        0.06379163        0.00800844
       -9.29000000        0.89268011        0.01530651        0.83947684        0.03408856        0.00380819
       -9.28000000        1.34474322        0.02032146        1.26576879        0.05312221        0.00553076
       -9.27000000        1.43355955        0.02643622        1.34394631        0.05569020        0.00748682
       -9.26000000        0.85673128        0.01677855        0.80237392        0.03267430        0.00490451
       -9.25000000        1.41475701        0.02680371        1.32081047        0.05851705        0.00862579
       -9.24000000        0.86588841        0.01802384        0.80710525        0.03450046        0.00625886
       -9.23000000        0.88978476        0.01650390        0.83181514        0.03473141        0.00673431
       -9.22000000        0.79762877        0.01444175        0.74580982        0.03166691        0.00571029
       -9.21000000        0.62751706        0.01226852        0.58681366        0.02361271        0.00482216
       -9.20000000        0.47077990        0.00988313        0.43997224        0.01723110        0.00369342
       -9.19000000        0.55559022        0.01523650        0.51536914        0.02091792        0.00406666
       -9.18000000        0.76549366        0.01858431        0.70874582        0.03133075        0.00683279
       -9.17000000        0.44454228        0.00956888        0.41345946        0.01688545        0.00462849
       -9.16000000        2.49025669        0.04841850        2.34276411        0.07896215        0.02011194
       -9.15000000        0.69340360        0.01453724        0.64477576        0.02694254        0.00714805
       -9.14000000        0.77897765        0.01307877        0.71798237        0.04028200        0.00763450
       -9.13000000        0.78060096        0.01046002        0.72082825        0.04265344        0.00665925
       -9.12000000        0.30630042        0.00429011        0.28508895        0.01414568        0.00277568
       -9.11000000        0.44559522        0.00695030        0.41364079        0.02041324        0.00459089
       -9.10000000        0.94854807        0.01556150        0.87961152        0.04227855        0.01109650
       -9.09000000        1.18005239        0.02147450        1.08705088        0.05957858        0.01194843
       -9.08000000        0.64719302        0.00933304        0.59396749        0.03650066        0.00739183
       -9.07000000        0.22645441        0.00393844        0.20679242        0.01288806        0.00283549
       -9.06000000        4.85325124        0.06967758        4.54298787        0.19578116        0.04480462
       -9.05000000        0.31210112        0.00620633        0.28683480        0.01541306        0.00364693
       -9.04000000        0.18801695        0.00413593        0.17272095        0.00882426        0.00233581
       -9.03000000        0.86181114        0.03218487        0.79712316        0.02730748        0.00519563
       -9.02000000        0.45525662        0.01656124        0.41518775        0.01908792        0.00441971
       -9.01000000        0.57400543        0.02096758        0.52526804        0.02214106        0.00562874
       -9.00000000        0.66735362        0.01615521        0.62077391        0.02448346        0.00594104
