#  aims_uuid : 5C5B5B2E-B7ED-4BF3-A3FF-CE530C337ACE                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.571015 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.42898491        0.88451071        0.08051842        0.08411452        0.71280345        0.00663991        0.00043440
       -5.41898491        1.73276290        0.11544137        0.19493382        1.40908786        0.01231031        0.00098953
       -5.40898491        1.11268536        0.07653536        0.10338164        0.92430610        0.00791800        0.00054426
       -5.39898491        0.08223996        0.00791994        0.00746190        0.06614806        0.00064856        0.00006149
       -5.38898491        0.76814480        0.07579111        0.06731313        0.61895952        0.00571530        0.00036574
       -5.37898491        4.91557577        0.34133001        0.61752015        3.91405017        0.04023142        0.00244402
       -5.36898491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.35898491        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.34898491        0.03604515        0.00221226        0.00306888        0.03051383        0.00023909        0.00001108
       -5.33898491        0.85482569        0.05711551        0.06473581        0.72498513        0.00765983        0.00032942
       -5.32898491        1.20860498        0.07746712        0.09006441        1.02727466        0.01324163        0.00055716
       -5.31898491        1.14352521        0.06485262        0.09361713        0.97065866        0.01371674        0.00068007
       -5.30898491        0.87806601        0.05947184        0.06914560        0.73799797        0.01091661        0.00053399
       -5.29898491        0.38537125        0.02804177        0.03862262        0.31402854        0.00441625        0.00026206
       -5.28898491        0.44975364        0.02374731        0.05774580        0.36332220        0.00461729        0.00032105
       -5.27898491        0.10920432        0.00490999        0.01781452        0.08515239        0.00124964        0.00007779
       -5.26898491        1.27147645        0.08462587        0.12449128        1.04493106        0.01660549        0.00082276
       -5.25898491        1.46744755        0.10138623        0.13083808        1.21295277        0.02120784        0.00106263
       -5.24898491        0.58400902        0.03806844        0.04337943        0.49615720        0.00608854        0.00031542
       -5.23898491        0.60243175        0.03833765        0.04650039        0.51046615        0.00678753        0.00034003
       -5.22898491        0.86411728        0.05268332        0.07800019        0.72326809        0.00963396        0.00053172
       -5.21898491        1.03631238        0.05488527        0.11470058        0.85527927        0.01079134        0.00065591
       -5.20898491        0.48887953        0.02335922        0.04273057        0.41660107        0.00578493        0.00040375
       -5.19898491        1.95206437        0.12438110        0.10128578        1.70130809        0.02348578        0.00160361
       -5.18898491        0.83512828        0.04682856        0.03665430        0.74106399        0.00984727        0.00073415
       -5.17898491        0.57748338        0.02822907        0.02464194        0.51771008        0.00638810        0.00051419
       -5.16898491        0.84061330        0.05230942        0.05188942        0.72596548        0.00987255        0.00057644
       -5.15898491        1.57614217        0.09467774        0.13456818        1.32919388        0.01640731        0.00129507
       -5.14898491        0.50838707        0.03295573        0.05249769        0.41707618        0.00541873        0.00043873
       -5.13898491        0.20658964        0.01239783        0.02257607        0.16953682        0.00191484        0.00016408
       -5.12898491        0.23299138        0.01301255        0.02454605        0.19304302        0.00220721        0.00018256
       -5.11898491        0.25814278        0.01322566        0.02652423        0.21568915        0.00250389        0.00019984
