#  aims_uuid : 5C5B5B2E-B7ED-4BF3-A3FF-CE530C337ACE                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.84080935        0.01593897        0.78356163        0.03847391        0.00283484
       -9.99000000        1.45285138        0.02007719        1.37360403        0.05359570        0.00557446
       -9.98000000        0.99225218        0.01285794        0.93100619        0.04442659        0.00396145
       -9.97000000        0.10528154        0.00099494        0.10037826        0.00357910        0.00032924
       -9.96000000        0.52142521        0.00748305        0.48256798        0.02880908        0.00256510
       -9.95000000        5.20344937        0.10038763        4.85278363        0.23081092        0.01946719
       -9.94000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.93000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.92000000        0.02954690        0.00075693        0.02707490        0.00159556        0.00011951
       -9.91000000        0.79444099        0.02621184        0.73169669        0.03398702        0.00254544
       -9.90000000        1.28714507        0.04605092        1.19146235        0.04578542        0.00384638
       -9.89000000        1.36803315        0.05010083        1.26884226        0.04489273        0.00419733
       -9.88000000        1.03594264        0.03454639        0.96397869        0.03437380        0.00304375
       -9.87000000        0.42992130        0.01366550        0.40034934        0.01455574        0.00135072
       -9.86000000        0.43657722        0.01477127        0.40818104        0.01233966        0.00128525
       -9.85000000        0.09064276        0.00288627        0.08645802        0.00106059        0.00023787
       -9.84000000        1.15909133        0.05500979        1.06309460        0.03695624        0.00403071
       -9.83000000        1.29258859        0.04857806        1.19347277        0.04455836        0.00597940
       -9.82000000        0.52167221        0.01591997        0.48825863        0.01582882        0.00166480
       -9.81000000        0.48465696        0.01730791        0.45083479        0.01504092        0.00147334
       -9.80000000        0.64925794        0.02539413        0.60229324        0.01953150        0.00203906
       -9.79000000        0.74909000        0.02097254        0.70833313        0.01722447        0.00255986
       -9.78000000        0.37987124        0.01335644        0.35756027        0.00789727        0.00105725
       -9.77000000        1.34654238        0.05144572        1.26104594        0.03000891        0.00404180
       -9.76000000        0.56459375        0.01905912        0.53102580        0.01272383        0.00178500
       -9.75000000        0.38382038        0.01201156        0.36177967        0.00873521        0.00129394
       -9.74000000        0.56744825        0.01346123        0.53870932        0.01327714        0.00200056
       -9.73000000        1.15771972        0.02884621        1.09153688        0.03310988        0.00422676
       -9.72000000        0.38378484        0.01043697        0.36047254        0.01166539        0.00120994
       -9.71000000        0.18507227        0.00385345        0.17540550        0.00527043        0.00054289
       -9.70000000        0.20850847        0.00440387        0.19775975        0.00574153        0.00060333
       -9.69000000        0.23185355        0.00495572        0.22012340        0.00611105        0.00066338
       -9.68000000        0.25510750        0.00550901        0.24249646        0.00637900        0.00072303
       -9.67000000        0.27827032        0.00606373        0.26487892        0.00654538        0.00078229
       -9.66000000        0.30134201        0.00661988        0.28727079        0.00661018        0.00084115
       -9.65000000        0.32432257        0.00717748        0.30967206        0.00657341        0.00089962
       -9.64000000        0.19463475        0.00411267        0.18669574        0.00327102        0.00055531
       -9.63000000        0.27354437        0.00594774        0.26227534        0.00442493        0.00089636
       -9.62000000        0.17580896        0.00409406        0.16742399        0.00352783        0.00076307
       -9.61000000        0.08629130        0.00215619        0.08155823        0.00210126        0.00047562
       -9.60000000        0.29224992        0.00382690        0.28333034        0.00425588        0.00083680
       -9.59000000        0.53406128        0.00838274        0.51717367        0.00704360        0.00146128
       -9.58000000        0.45084682        0.00792551        0.43596932        0.00579951        0.00115248
       -9.57000000        0.38018425        0.00553417        0.36834244        0.00536718        0.00094046
       -9.56000000        0.41056589        0.00546767        0.39809727        0.00601093        0.00099002
       -9.55000000        0.46784954        0.00642984        0.45351135        0.00681365        0.00109471
       -9.54000000        0.23438396        0.00280890        0.22760619        0.00341524        0.00055364
       -9.53000000        0.25202010        0.00262116        0.24496099        0.00390388        0.00053406
       -9.52000000        0.00517631        0.00021520        0.00491856        0.00003316        0.00000939
       -9.51000000        0.05038283        0.00201663        0.04789307        0.00037178        0.00010134
       -9.50000000        0.09689614        0.00373275        0.09214338        0.00080655        0.00021346
       -9.49000000        0.14471626        0.00536356        0.13766950        0.00133745        0.00034574
       -9.48000000        0.19384317        0.00690906        0.18447143        0.00196450        0.00049818
       -9.47000000        1.83946735        0.05141236        1.76734098        0.01719479        0.00351922
       -9.46000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.45000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.44000000        0.20789318        0.00448898        0.20008932        0.00284118        0.00047370
       -9.43000000        0.47272591        0.01367927        0.45109966        0.00667796        0.00126903
       -9.42000000        0.63222250        0.01986611        0.60133920        0.00926480        0.00175239
       -9.41000000        0.49895614        0.01653653        0.47281485        0.00814984        0.00145493
       -9.40000000        0.37770478        0.01332202        0.35639708        0.00681202        0.00117366
       -9.39000000        0.26846840        0.01022259        0.25208589        0.00525136        0.00090857
       -9.38000000        0.13167379        0.00541500        0.12330271        0.00243007        0.00052602
       -9.37000000        0.04285167        0.00187773        0.04009245        0.00063112        0.00025037
       -9.36000000        0.03163074        0.00145168        0.02949189        0.00048314        0.00020403
       -9.35000000        0.02099462        0.00100973        0.01950311        0.00033284        0.00014895
       -9.34000000        0.01094333        0.00055189        0.01012610        0.00018022        0.00008512
       -9.33000000        0.00147687        0.00007815        0.00136086        0.00002529        0.00001256
       -9.32000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.31000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.30000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.29000000        0.74491438        0.03392050        0.68830114        0.01910670        0.00358604
       -9.28000000        1.16487156        0.05382932        1.07883687        0.02723158        0.00497378
       -9.27000000        0.04681178        0.00059059        0.04558806        0.00053708        0.00009606
       -9.26000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.25000000        2.68323660        0.18886282        2.39147127        0.08812967        0.01477284
       -9.24000000        0.90092705        0.07890360        0.78532366        0.03177074        0.00492906
       -9.23000000        0.12988286        0.00821555        0.11644058        0.00439177        0.00083496
       -9.22000000        0.06524865        0.00400462        0.05875517        0.00209122        0.00039764
       -9.21000000        2.47160743        0.17733873        2.21768085        0.06893238        0.00765547
       -9.20000000        1.43615013        0.11558273        1.27229634        0.04159868        0.00667238
       -9.19000000        0.13222361        0.01200409        0.11511499        0.00428527        0.00081927
       -9.18000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.17000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.16000000        2.48093360        0.19021822        2.18722299        0.09280157        0.01069081
       -9.15000000        0.64273787        0.05330786        0.56212975        0.02374598        0.00355428
       -9.14000000        2.91055424        0.23513292        2.55800298        0.10440727        0.01301107
       -9.13000000        3.12497764        0.22020611        2.75764918        0.12865267        0.01846968
       -9.12000000        2.10710896        0.13844115        1.87570121        0.08184583        0.01112078
       -9.11000000        2.20418439        0.16487791        1.95054572        0.07754936        0.01121140
       -9.10000000        4.14267347        0.30087740        3.67307594        0.14744568        0.02127444
       -9.09000000        2.62518079        0.15281687        2.37229997        0.08877667        0.01128727
       -9.08000000        1.44278145        0.07232966        1.30021120        0.06235276        0.00788783
       -9.07000000        5.07867241        0.29085326        4.60006786        0.16979459        0.01795670
       -9.06000000        1.08270988        0.06759445        0.96795440        0.04145604        0.00570500
       -9.05000000        1.09827272        0.05139201        1.00442699        0.03788553        0.00456818
       -9.04000000        1.71815059        0.10279700        1.55149887        0.05795574        0.00589898
       -9.03000000        3.29499088        0.23524585        2.93328020        0.11337729        0.01308755
       -9.02000000        1.22131207        0.06976759        1.11339738        0.03364715        0.00449995
       -9.01000000        0.72542292        0.04418563        0.65336142        0.02479849        0.00307738
       -9.00000000        1.68834029        0.11224033        1.50890483        0.06010416        0.00709097
       -8.99000000        1.29467167        0.07888882        1.15394792        0.05542109        0.00641384
       -8.98000000        0.43838817        0.02110104        0.39669604        0.01850752        0.00208357
       -8.97000000        1.00109280        0.04454456        0.90526709        0.04584598        0.00543516
       -8.96000000        1.92417224        0.07920688        1.74652023        0.08791370        0.01053143
       -8.95000000        0.96613327        0.05103844        0.87148488        0.03901019        0.00459975
