#  aims_uuid : E123CC80-C448-4B62-A41B-07A84CB845B0                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.772348 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.22765161        1.04214192        0.01876951        0.15613893        0.86217101        0.00460890        0.00045358
       -5.21765161        0.56082582        0.01793008        0.10379188        0.43407206        0.00479665        0.00023515
       -5.20765161        0.67845554        0.01285840        0.10505435        0.55528608        0.00498830        0.00026841
       -5.19765161        2.75548577        0.01786432        0.36590537        2.35412037        0.01661528        0.00098044
       -5.18765161        0.90685507        0.06183277        0.13625685        0.70553121        0.00287487        0.00035938
       -5.17765161        2.19618578        0.06457723        0.51623224        1.60396792        0.01020979        0.00119860
       -5.16765161        0.04079504        0.00259586        0.00774322        0.03019163        0.00025619        0.00000814
       -5.15765161        0.15996497        0.00975839        0.02945495        0.11973627        0.00097932        0.00003604
       -5.14765161        0.26231997        0.01509086        0.04661028        0.19899310        0.00155884        0.00006688
       -5.13765161        0.40502500        0.01913543        0.06554921        0.31780145        0.00242901        0.00010991
       -5.12765161        0.59497911        0.02276423        0.08726143        0.48116615        0.00361641        0.00017088
       -5.11765161        0.71893727        0.02273863        0.09737710        0.59431446        0.00427635        0.00023074
       -5.10765161        1.69790666        0.04776274        0.23527328        1.40632125        0.00788833        0.00066105
       -5.09765161        0.57619480        0.01518646        0.06648174        0.49028904        0.00408737        0.00015018
       -5.08765161        0.49158346        0.01326718        0.05940808        0.41533164        0.00337798        0.00019858
       -5.07765161        0.07077659        0.00733194        0.01034744        0.05228015        0.00077945        0.00003762
       -5.06765161        0.28319103        0.00930875        0.05168064        0.22001883        0.00212055        0.00006226
       -5.05765161        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.04765161        0.12024554        0.00066990        0.01794548        0.10073014        0.00088143        0.00001858
       -5.03765161        1.06841917        0.01568562        0.12669453        0.91362688        0.01208743        0.00032472
       -5.02765161        0.49830840        0.00686980        0.07515110        0.41081224        0.00532059        0.00015467
       -5.01765161        0.49203951        0.00618913        0.08793483        0.39262219        0.00513989        0.00015348
