#  aims_uuid : 2499A0C5-8CAF-42C4-AD8E-AA1760032A43                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.47404670        0.03727233        0.12109429        1.30543684        0.00984240        0.00040084
       -9.98998999        2.62461089        0.07514050        0.44264660        2.08448085        0.02173398        0.00060896
       -9.97997998        0.20648982        0.00306032        0.00816665        0.19415788        0.00099843        0.00010653
       -9.96996997        1.24700524        0.03055921        0.11795886        1.09114100        0.00688646        0.00045971
       -9.95995996        1.13649075        0.02589029        0.07526522        1.02819670        0.00680240        0.00033614
       -9.94994995        0.48814405        0.02332793        0.03979983        0.42062331        0.00429524        0.00009775
       -9.93993994        0.45787742        0.02106413        0.03652043        0.39614758        0.00403336        0.00011192
       -9.92992993        0.51703742        0.02314357        0.04053891        0.44864664        0.00455763        0.00015067
       -9.91991992        0.57391105        0.02459129        0.04362823        0.50042941        0.00506696        0.00019516
       -9.90990991        0.43105638        0.00964541        0.03609190        0.38120884        0.00395970        0.00015054
       -9.89989990        0.91262128        0.01488190        0.08155548        0.80808230        0.00782724        0.00027436
       -9.88988989        0.58072708        0.02631078        0.06866007        0.48036269        0.00521722        0.00017632
       -9.87987988        0.60616434        0.01876353        0.06803248        0.51395133        0.00522828        0.00018871
       -9.86986987        0.77062291        0.01676292        0.07912613        0.66757066        0.00691682        0.00024638
       -9.85985986        0.67181602        0.00773956        0.07395848        0.58308857        0.00682599        0.00020343
       -9.84984985        0.73280746        0.00687387        0.07317258        0.64527847        0.00728905        0.00019350
       -9.83983984        0.49839052        0.00417849        0.04654612        0.44285233        0.00469643        0.00011715
       -9.82982983        0.25987399        0.00182976        0.03059077        0.22472015        0.00267659        0.00005672
       -9.81981982        0.14021469        0.00071424        0.02279782        0.11489351        0.00178337        0.00002576
       -9.80980981        0.39738843        0.00909557        0.02028228        0.36398729        0.00394379        0.00007950
       -9.79979980        0.28907120        0.00695033        0.01468330        0.26461489        0.00276149        0.00006119
       -9.78978979        0.33870824        0.00677604        0.02649629        0.30145879        0.00390275        0.00007437
       -9.77977978        0.34752395        0.00613018        0.02911124        0.30830279        0.00390800        0.00007174
