#  aims_uuid : 2499A0C5-8CAF-42C4-AD8E-AA1760032A43                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.268961 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.73103886        1.12328219        0.02610799        1.03767724        0.05513480        0.00436217
       -4.72102885        2.02377370        0.03583021        1.93226077        0.04823919        0.00744353
       -4.71101884        0.07257058        0.00114235        0.06603507        0.00483007        0.00056308
       -4.70100883        0.51416992        0.01503730        0.47281776        0.02421874        0.00209612
       -4.69099882        0.54593494        0.01053094        0.51142840        0.02227762        0.00169797
       -4.68098881        0.33781342        0.00642042        0.31799354        0.01215223        0.00124723
       -4.67097880        0.34483567        0.00553871        0.32679216        0.01143441        0.00107040
       -4.66096879        0.42450266        0.00574508        0.40481152        0.01284291        0.00110314
       -4.65095878        0.51123500        0.00573796        0.49005928        0.01435107        0.00108669
       -4.64094877        0.47203720        0.00267640        0.45697613        0.01153374        0.00085093
       -4.63093876        0.87079253        0.00570935        0.84116717        0.02224051        0.00167550
       -4.62092875        0.54689849        0.00474644        0.52584080        0.01518774        0.00112352
       -4.61091874        0.53402676        0.00676442        0.51188505        0.01410213        0.00127517
       -4.60090873        0.75993215        0.01138649        0.72980304        0.01677959        0.00196304
       -4.59089872        0.83604340        0.01147643        0.80865754        0.01371359        0.00219584
       -4.58088871        0.87393484        0.01380209        0.84657117        0.01111716        0.00244443
       -4.57087870        0.43293030        0.00919517        0.41625067        0.00595577        0.00152869
       -4.56086869        0.34429472        0.00647433        0.33467630        0.00220606        0.00093802
       -4.55085868        0.22792361        0.00412929        0.22190619        0.00128282        0.00060532
       -4.54084867        0.20701092        0.00334884        0.20077870        0.00200914        0.00087424
       -4.53083866        0.12604688        0.00185183        0.12179284        0.00172639        0.00067582
       -4.52082865        0.24966805        0.00265889        0.24296177        0.00303044        0.00101695
       -4.51081864        0.24946173        0.00268075        0.24271529        0.00303307        0.00103262
       -4.50080863        0.24857448        0.00271346        0.24175218        0.00305997        0.00104887
       -4.49079862        0.24700631        0.00275702        0.24007245        0.00311115        0.00106569
       -4.48078861        0.24475722        0.00281142        0.23767611        0.00318660        0.00108309
       -4.47077860        0.32840120        0.00426240        0.31799945        0.00464300        0.00149635
       -4.46076859        0.31569753        0.00425855        0.30530997        0.00464680        0.00148221
       -4.45075858        0.29872491        0.00422344        0.28838925        0.00465269        0.00145953
       -4.44074857        0.13635932        0.00181610        0.13195356        0.00201772        0.00057194
       -4.43073856        0.14950017        0.00193555        0.14453157        0.00246057        0.00057249
       -4.42072855        0.14579301        0.00190895        0.14084295        0.00249210        0.00054901
       -4.41071854        0.16262927        0.00394807        0.15491582        0.00308893        0.00067645
       -4.40070853        0.33070321        0.00794593        0.31536447        0.00594059        0.00145221
       -4.39069852        0.27768118        0.00502325        0.26600102        0.00543579        0.00122111
       -4.38068851        0.07997866        0.00225886        0.07534374        0.00212195        0.00025412
       -4.37067850        0.16124542        0.00357546        0.15293951        0.00427720        0.00045325
       -4.36066849        0.23561235        0.00485807        0.22380901        0.00625021        0.00069507
       -4.35065848        0.29703052        0.00610644        0.28215307        0.00783695        0.00093406
       -4.34064847        0.36122016        0.00745721        0.34306658        0.00948201        0.00121436
       -4.33063846        0.32644792        0.00632818        0.31053122        0.00841808        0.00117045
       -4.32062845        0.29910570        0.00399139        0.28743623        0.00663692        0.00104116
       -4.31061844        0.35918586        0.00444730        0.34575215        0.00766542        0.00132099
       -4.30060843        0.43185848        0.00516234        0.41584903        0.00916397        0.00168315
       -4.29059842        0.30619190        0.00348591        0.29525742        0.00629608        0.00115249
       -4.28058841        0.18572595        0.00201535        0.17938667        0.00365065        0.00067328
       -4.27057840        0.07672211        0.00086786        0.07411148        0.00147341        0.00026936
       -4.26056839        0.04678831        0.00062933        0.04508940        0.00091335        0.00015624
       -4.25055838        0.04579940        0.00062241        0.04417698        0.00086003        0.00013997
       -4.24054837        0.04438632        0.00060873        0.04284912        0.00080404        0.00012443
       -4.23053836        0.04254908        0.00058829        0.04110580        0.00074538        0.00010961
       -4.22052835        0.04028767        0.00056110        0.03894703        0.00068404        0.00009550
       -4.21051834        0.12061778        0.00133236        0.11724588        0.00175692        0.00028262
       -4.20050833        0.28788422        0.00358903        0.28009219        0.00350155        0.00070145
       -4.19049832        0.39154605        0.00530526        0.38057471        0.00469858        0.00096751
       -4.18048831        0.35595713        0.00489810        0.34577620        0.00435899        0.00092383
       -4.17047830        0.32122446        0.00449384        0.31184086        0.00401467        0.00087508
       -4.16046829        0.28734804        0.00409248        0.27876870        0.00366559        0.00082127
       -4.15045828        0.25432788        0.00369401        0.24655972        0.00331177        0.00076238
       -4.14044827        0.22216398        0.00329843        0.21521391        0.00295321        0.00069843
       -4.13043826        0.19085633        0.00290575        0.18473127        0.00258989        0.00062941
       -4.12042825        0.50215910        0.00900014        0.48453576        0.00699374        0.00162947
