#  aims_uuid : C2783C18-B03F-49E8-AAD8-3B4BA98F78A7                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.31217395        0.02180996        0.02915084        0.25610007        0.00511308
       -9.99000000        0.26806579        0.02008719        0.02157482        0.22245710        0.00394668
       -9.98000000        0.42868616        0.03845665        0.03923103        0.34222072        0.00877776
       -9.97000000        0.29612781        0.03256263        0.02704037        0.23047612        0.00604869
       -9.96000000        0.30062457        0.03679746        0.02451386        0.23402378        0.00528947
       -9.95000000        0.30007471        0.03985614        0.02196841        0.23365679        0.00459338
       -9.94000000        0.29447824        0.04173865        0.01940404        0.22937515        0.00396040
       -9.93000000        0.28383515        0.04244500        0.01682073        0.22117887        0.00339055
       -9.92000000        0.37728743        0.04812750        0.02681505        0.29720082        0.00514407
       -9.91000000        0.52075374        0.04025657        0.04479703        0.42745949        0.00824066
       -9.90000000        0.79488865        0.04907604        0.07258242        0.66131720        0.01191299
       -9.89000000        0.78407690        0.04250832        0.07959454        0.65107269        0.01090134
       -9.88000000        0.62010581        0.04248162        0.05947119        0.51075856        0.00739444
       -9.87000000        0.52783266        0.05145388        0.03441292        0.43679902        0.00516684
       -9.86000000        0.44907696        0.04141581        0.03398393        0.36895492        0.00472230
       -9.85000000        0.40940149        0.03371659        0.03621220        0.33463538        0.00483732
       -9.84000000        0.38796046        0.02859655        0.03528705        0.31895990        0.00511697
       -9.83000000        0.35364651        0.02498404        0.02828336        0.29521635        0.00516276
       -9.82000000        0.31292283        0.02148863        0.02105637        0.26537714        0.00500069
       -9.81000000        0.27184872        0.01806513        0.01514104        0.23392805        0.00471449
       -9.80000000        0.23042416        0.01471355        0.01053734        0.20086910        0.00430417
       -9.79000000        0.67979724        0.07659595        0.05254231        0.53816861        0.01249037
       -9.78000000        0.29599363        0.01918854        0.01880823        0.25145835        0.00653851
       -9.77000000        0.26991930        0.01795912        0.01864736        0.22790380        0.00540902
       -9.76000000        0.65142436        0.05645434        0.03918666        0.54573974        0.01004363
       -9.75000000        0.38876296        0.02624285        0.02567084        0.33043690        0.00641238
       -9.74000000        0.34372596        0.02323455        0.02531188        0.28968602        0.00549351
       -9.73000000        0.30771453        0.01989772        0.02480800        0.25798956        0.00501924
       -9.72000000        0.28993823        0.01698509        0.02475475        0.24304912        0.00514927
       -9.71000000        0.28870124        0.01531591        0.02592184        0.24200179        0.00546169
       -9.70000000        0.30167841        0.01435893        0.02877354        0.25271881        0.00582713
       -9.69000000        0.31441911        0.01340490        0.03192165        0.26293822        0.00615434
       -9.68000000        0.32692334        0.01245384        0.03536620        0.27266001        0.00644330
       -9.67000000        0.33919111        0.01150574        0.03910716        0.28188418        0.00669403
       -9.66000000        0.35122241        0.01056060        0.04314454        0.29061075        0.00690652
       -9.65000000        0.36301724        0.00961841        0.04747835        0.29883969        0.00708078
       -9.64000000        0.74259006        0.02913720        0.08188803        0.61926444        0.01230039
       -9.63000000        0.54939470        0.03339473        0.07583901        0.43126254        0.00889841
       -9.62000000        0.81601110        0.03959403        0.12845363        0.63373803        0.01422541
       -9.61000000        0.87804537        0.01979407        0.14793988        0.69305573        0.01725569
       -9.60000000        1.02689950        0.03768630        0.17924454        0.79056355        0.01940511
       -9.59000000        0.42022554        0.00518134        0.06347693        0.34285867        0.00870860
       -9.58000000        0.70743214        0.01121841        0.11235948        0.57080413        0.01305012
       -9.57000000        0.49772942        0.00864603        0.08683233        0.39529962        0.00695144
       -9.56000000        1.42841076        0.03936146        0.18757363        1.18078072        0.02069494
       -9.55000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.54000000        1.21403978        0.05856598        0.13449310        1.00847896        0.01250174
       -9.53000000        1.86169019        0.07040131        0.27147872        1.50169879        0.01811137
       -9.52000000        0.87246672        0.02658873        0.17075323        0.66468423        0.01044053
       -9.51000000        0.83745570        0.01857309        0.17890867        0.62725865        0.01271530
       -9.50000000        1.22661423        0.02455047        0.25357461        0.93396214        0.01452702
       -9.49000000        1.39714830        0.05889652        0.18523543        1.14117352        0.01184283
       -9.48000000        1.09984891        0.03238403        0.11749146        0.93815306        0.01182036
       -9.47000000        1.25757418        0.04602657        0.11491939        1.08208049        0.01454772
       -9.46000000        0.73336925        0.03271418        0.07294153        0.62038349        0.00733005
       -9.45000000        0.62925680        0.02461307        0.07255190        0.52567593        0.00641590
       -9.44000000        1.18198228        0.06187519        0.14300186        0.96267579        0.01442944
       -9.43000000        0.57033005        0.02524638        0.07036382        0.46750952        0.00721033
       -9.42000000        0.98265124        0.02891924        0.11985698        0.82062912        0.01324590
       -9.41000000        0.87683723        0.02310914        0.09984600        0.74028486        0.01359723
       -9.40000000        0.73709508        0.02714593        0.07670032        0.62089197        0.01235686
       -9.39000000        1.08475852        0.03919029        0.10855831        0.92173784        0.01527209
       -9.38000000        1.97729259        0.03374452        0.19693289        1.72083814        0.02577704
       -9.37000000        1.09020368        0.01892210        0.12883599        0.92760366        0.01484194
       -9.36000000        0.63884979        0.00702622        0.06090443        0.56112230        0.00979684
       -9.35000000        0.73768878        0.00428225        0.06239362        0.65715382        0.01385909
       -9.34000000        1.08817695        0.00656709        0.10903452        0.95442955        0.01814579
       -9.33000000        1.30994832        0.00924016        0.13284518        1.14780305        0.02005993
       -9.32000000        1.13640730        0.00866112        0.10761517        1.00455571        0.01557530
       -9.31000000        0.88415669        0.00767058        0.08122887        0.78445681        0.01080043
       -9.30000000        0.71540910        0.00762986        0.06249883        0.63715545        0.00812495
       -9.29000000        0.59157566        0.00524634        0.04786927        0.53166160        0.00679844
       -9.28000000        0.97192105        0.00825362        0.09436899        0.85847987        0.01081857
       -9.27000000        1.14455913        0.01395940        0.09845902        1.01913106        0.01300964
       -9.26000000        2.08527614        0.02126600        0.15081167        1.88537611        0.02782236
       -9.25000000        0.75021335        0.00650862        0.04108321        0.69390813        0.00871339
       -9.24000000        0.81283598        0.01262582        0.04662908        0.74332949        0.01025160
       -9.23000000        0.96867198        0.03069530        0.04514968        0.88291413        0.00991287
       -9.22000000        1.10352712        0.03118972        0.04300423        1.01960760        0.00972557
       -9.21000000        0.93432795        0.02257172        0.03864312        0.86569125        0.00742186
       -9.20000000        0.92293934        0.01976648        0.03812950        0.85825439        0.00678897
       -9.19000000        0.96463250        0.01725809        0.04460970        0.89521470        0.00755002
       -9.18000000        0.95205850        0.01405960        0.04867175        0.88174131        0.00758584
       -9.17000000        1.13623972        0.01019347        0.06200904        1.05529128        0.00874594
       -9.16000000        0.10571307        0.00079733        0.00635030        0.09576208        0.00280336
