#  aims_uuid : C2783C18-B03F-49E8-AAD8-3B4BA98F78A7                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.444259 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.55574064        0.29139836        0.01013471        0.26713752        0.01234453        0.00178160
       -4.54574064        0.24710876        0.00706360        0.22706121        0.01144833        0.00153561
       -4.53574064        0.49763583        0.01669177        0.45708448        0.02132880        0.00253078
       -4.52574064        0.32972980        0.01293026        0.30101126        0.01402486        0.00176341
       -4.51574064        0.29376866        0.01199882        0.26689230        0.01311080        0.00176674
       -4.50574064        0.26044024        0.01099288        0.23550323        0.01220572        0.00173841
       -4.49574064        0.22974455        0.00991245        0.20684407        0.01130962        0.00167841
       -4.48574064        0.20168158        0.00875752        0.18091480        0.01042251        0.00158675
       -4.47574064        0.31001249        0.02188318        0.27364481        0.01239715        0.00208734
       -4.46574064        0.49704682        0.04424594        0.43578296        0.01418789        0.00283003
       -4.45574064        0.66538737        0.05396560        0.58663315        0.02030590        0.00448272
       -4.44574064        0.59958797        0.04397534        0.53048400        0.02046225        0.00466638
       -4.43574064        0.42702483        0.02652959        0.37841949        0.01815814        0.00391760
       -4.42574064        0.29167974        0.01344509        0.25905538        0.01602726        0.00315202
       -4.41574064        0.27655832        0.01430165        0.24594562        0.01358887        0.00272218
       -4.40574064        0.28562837        0.01592421        0.25472749        0.01243347        0.00254320
       -4.39574064        0.29156101        0.01604163        0.26144588        0.01168571        0.00238779
       -4.38574064        0.26748142        0.01336883        0.24164165        0.01038943        0.00208151
       -4.37574064        0.23582038        0.01050451        0.21462517        0.00894114        0.00174955
       -4.36574064        0.20499829        0.00812223        0.18787113        0.00756081        0.00144411
       -4.35574064        0.17501515        0.00622199        0.16137953        0.00624843        0.00116519
       -4.34574064        0.57804681        0.00915204        0.53930210        0.02511542        0.00447724
       -4.33574064        0.25902724        0.00593250        0.24192985        0.00947170        0.00169319
       -4.32574064        0.23870989        0.00493123        0.22238296        0.00973258        0.00166312
       -4.31574064        0.43349517        0.00701591        0.40214177        0.02055104        0.00378645
       -4.30574064        0.28256393        0.00505823        0.26229794        0.01291205        0.00229570
       -4.29574064        0.25769558        0.00440934        0.23926826        0.01195292        0.00206505
       -4.28574064        0.24069970        0.00417940        0.22396279        0.01073436        0.00182315
       -4.27574064        0.23745384        0.00464007        0.22169634        0.00950392        0.00161351
       -4.26574064        0.24567342        0.00531077        0.22982676        0.00901720        0.00151869
       -4.25574064        0.26605905        0.00592315        0.24905785        0.00950954        0.00156851
       -4.24574064        0.28479836        0.00644061        0.26671742        0.01002378        0.00161656
       -4.23574064        0.30189137        0.00686314        0.28280548        0.01055990        0.00166285
       -4.22574064        0.31733806        0.00719074        0.29732202        0.01111791        0.00170738
       -4.21574064        0.33113844        0.00742343        0.31026705        0.01169781        0.00175015
       -4.20574064        0.34329250        0.00756119        0.32164057        0.01229959        0.00179115
       -4.19574064        0.79351227        0.01278412        0.74757416        0.02948607        0.00366792
       -4.18574064        0.55306507        0.00990605        0.51864865        0.02150575        0.00300462
       -4.17574064        0.86438181        0.01664738        0.81019469        0.03302299        0.00451675
       -4.16574064        0.97021774        0.02141340        0.90890279        0.03509788        0.00480366
       -4.15574064        1.03043751        0.03146180        0.94976476        0.04284907        0.00636188
       -4.14574064        0.56829106        0.01384163        0.53128109        0.02106233        0.00210601
       -4.13574064        0.94198159        0.02435185        0.87787058        0.03629786        0.00346130
       -4.12574064        0.55677769        0.01377066        0.51691002        0.02408099        0.00201602
       -4.11574064        1.27918255        0.03404167        1.17847177        0.06062606        0.00604305
       -4.10574064        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.09574064        0.85852352        0.01848888        0.78302305        0.05127079        0.00574081
       -4.08574064        1.65768845        0.03373779        1.53882636        0.07589745        0.00922684
       -4.07574064        0.92614127        0.01807335        0.86178251        0.04217136        0.00411406
