#  aims_uuid : 6F4109FE-46B1-4A93-AA1C-8C5FE2D3F413                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.931008 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.06899166        0.21524454        0.01441939        0.18973541        0.00890521        0.00218453
       -5.05899166        0.33142220        0.01924161        0.29622424        0.01357387        0.00238248
       -5.04899166        0.45820155        0.03513544        0.40466368        0.01565130        0.00275113
       -5.03899166        0.32466859        0.02406980        0.28843876        0.01043231        0.00172773
       -5.02899166        0.30233287        0.02142347        0.26913025        0.01008888        0.00169028
       -5.01899166        0.27911773        0.01865849        0.24909697        0.00972437        0.00163791
       -5.00899166        0.25502317        0.01577486        0.22833891        0.00933877        0.00157064
       -4.99899166        0.23004919        0.01277258        0.20685608        0.00893208        0.00148845
       -4.98899166        0.20419580        0.00965166        0.18464847        0.00850432        0.00139135
       -4.97899166        0.34840539        0.01583525        0.30894140        0.01951866        0.00411008
       -4.96899166        0.80334946        0.03455067        0.73452121        0.02964616        0.00463142
       -4.95899166        0.48429974        0.02089684        0.44298752        0.01780108        0.00261431
       -4.94899166        0.39882893        0.01705052        0.36600337        0.01393094        0.00184411
       -4.93899166        0.73227591        0.04835192        0.65849546        0.02196691        0.00346161
       -4.92899166        0.54560062        0.03803937        0.48850323        0.01635439        0.00270363
       -4.91899166        0.43918930        0.03001135        0.39367783        0.01322580        0.00227432
       -4.90899166        0.37336662        0.02386473        0.33639203        0.01111301        0.00199685
       -4.89899166        0.31987953        0.01898521        0.28973971        0.00938027        0.00177435
       -4.88899166        0.27095857        0.01472302        0.24684622        0.00782693        0.00156240
       -4.87899166        0.22660374        0.01107816        0.20771157        0.00645302        0.00136099
       -4.86899166        0.18681504        0.00805064        0.17233576        0.00525851        0.00117014
       -4.85899166        0.36314265        0.00802990        0.34506329        0.00797329        0.00207617
       -4.84899166        0.64829972        0.01292071        0.60434930        0.02685468        0.00417503
       -4.83899166        0.22129560        0.00790369        0.20473590        0.00721946        0.00143655
       -4.82899166        0.59392176        0.02095554        0.54849199        0.02107309        0.00340114
       -4.81899166        0.28147361        0.01121217        0.25834410        0.01023204        0.00168530
       -4.80899166        0.26329594        0.01096785        0.24111700        0.00969775        0.00151334
       -4.79899166        0.24723017        0.01025350        0.22668902        0.00892580        0.00136185
       -4.78899166        0.23626467        0.00911920        0.21785076        0.00803290        0.00126181
       -4.77899166        0.23106924        0.00767532        0.21501584        0.00720031        0.00117777
       -4.76899166        0.24324720        0.00813118        0.22621778        0.00762284        0.00127540
       -4.75899166        0.25673776        0.00865586        0.23857215        0.00813659        0.00137316
       -4.74899166        0.27062774        0.00912945        0.25137160        0.00866678        0.00145991
       -4.73899166        0.28491713        0.00955195        0.26461614        0.00921340        0.00153563
       -4.72899166        0.29960593        0.00992336        0.27830577        0.00977646        0.00160034
       -4.71899166        0.31469415        0.01024367        0.29244048        0.01035596        0.00165404
       -4.70899166        0.33018177        0.01051289        0.30702028        0.01095189        0.00169671
       -4.69899166        1.29986156        0.03696732        1.20567296        0.05119243        0.00602885
       -4.68899166        0.46977264        0.01434137        0.43239750        0.02021005        0.00282373
       -4.67899166        0.72093794        0.02685635        0.66115976        0.02933727        0.00358457
       -4.66899166        1.21643492        0.04911750        1.11328094        0.04862203        0.00541444
       -4.65899166        1.38596685        0.07147071        1.26057252        0.04877074        0.00515288
       -4.64899166        0.08454861        0.00642907        0.07597966        0.00188209        0.00025780
       -4.63899166        0.54347295        0.03167417        0.49122921        0.01863615        0.00193341
       -4.62899166        0.94724349        0.03624227        0.86176320        0.04532591        0.00391211
       -4.61899166        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.60899166        0.40486402        0.01315870        0.36637318        0.02346520        0.00186694
       -4.59899166        1.53679266        0.04364841        1.39378463        0.09021033        0.00914929
       -4.58899166        1.64111638        0.02312320        1.53055187        0.08272795        0.00471337
       -4.57899166        0.85825345        0.04612992        0.76459812        0.04125711        0.00626829
       -4.56899166        0.78324190        0.02159492        0.70806497        0.04793208        0.00564993
       -4.55899166        1.29289398        0.03881984        1.18618386        0.06020552        0.00768476
       -4.54899166        1.13503844        0.08818864        1.00750742        0.03103217        0.00831021
       -4.53899166        0.40292153        0.02212143        0.36342418        0.01463834        0.00273758
       -4.52899166        1.01070406        0.02388202        0.93119744        0.04899164        0.00663296
       -4.51899166        1.31724066        0.01664168        1.22908287        0.06362910        0.00788700
       -4.50899166        2.68021163        0.02148583        2.55136092        0.09635448        0.01101041
       -4.49899166        1.54908927        0.02168926        1.46207008        0.06187471        0.00345521
       -4.48899166        1.46060158        0.01870755        1.38283375        0.05499247        0.00406780
       -4.47899166        1.68469390        0.02795920        1.58986624        0.05930872        0.00755974
       -4.46899166        1.39951297        0.01686316        1.33047116        0.04718647        0.00499218
       -4.45899166        0.91961929        0.01249734        0.87014077        0.03289658        0.00408460
       -4.44899166        2.16166250        0.01944073        2.03748165        0.08959075        0.01514938
