#  aims_uuid : 6F4109FE-46B1-4A93-AA1C-8C5FE2D3F413                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.21533674        0.01442143        0.18982887        0.00890284        0.00218360
       -9.99000000        0.33281892        0.01929692        0.29756972        0.01357113        0.00238114
       -9.98000000        0.45827314        0.03514672        0.40473069        0.01564483        0.00275090
       -9.97000000        0.32468949        0.02407213        0.28845934        0.01043021        0.00172781
       -9.96000000        0.30234139        0.02142223        0.26914145        0.01008729        0.00169041
       -9.95000000        0.27911749        0.01865420        0.24910187        0.00972331        0.00163810
       -9.94000000        0.25501781        0.01576804        0.22834060        0.00933827        0.00157089
       -9.93000000        0.23004232        0.01276373        0.20685764        0.00893218        0.00148877
       -9.92000000        0.20419105        0.00964129        0.18465298        0.00850502        0.00139175
       -9.91000000        0.34836481        0.01583765        0.30891176        0.01950680        0.00410861
       -9.90000000        0.80342367        0.03455698        0.73464435        0.02959704        0.00462529
       -9.89000000        0.48336288        0.02082383        0.44217979        0.01775089        0.00260837
       -9.88000000        0.39805342        0.01698875        0.36533279        0.01389228        0.00183961
       -9.87000000        0.73149349        0.04827611        0.65781822        0.02194115        0.00345801
       -9.86000000        0.54517240        0.03798531        0.48815645        0.01633072        0.00269991
       -9.85000000        0.43930743        0.03001637        0.39379468        0.01322280        0.00227358
       -9.84000000        0.37354419        0.02387997        0.33654944        0.01111764        0.00199714
       -9.83000000        0.32006349        0.01900517        0.28989154        0.00939124        0.00177553
       -9.82000000        0.27115569        0.01474742        0.24700089        0.00784308        0.00156430
       -9.81000000        0.22682081        0.01110671        0.20787749        0.00647315        0.00136346
       -9.80000000        0.18705884        0.00808304        0.17252135        0.00528145        0.00117300
       -9.79000000        0.36359230        0.00806625        0.34544712        0.00799905        0.00207987
       -9.78000000        0.64884422        0.01296511        0.60482139        0.02687917        0.00417855
       -9.77000000        0.22163808        0.00793371        0.20501876        0.00724606        0.00143955
       -9.76000000        0.59443585        0.02100723        0.54893742        0.02108844        0.00340277
       -9.75000000        0.28171469        0.01122805        0.25854338        0.01025540        0.00168786
       -9.74000000        0.26348510        0.01097991        0.24127411        0.00971596        0.00151512
       -9.73000000        0.24733499        0.01026060        0.22677511        0.00893688        0.00136241
       -9.72000000        0.23628160        0.00912139        0.21786365        0.00803531        0.00126126
       -9.71000000        0.23105939        0.00768148        0.21500208        0.00719901        0.00117682
       -9.70000000        0.24326371        0.00813907        0.22622888        0.00762139        0.00127436
       -9.69000000        0.25678762        0.00866480        0.23861537        0.00813535        0.00137210
       -9.68000000        0.27071659        0.00913905        0.25145262        0.00866604        0.00145888
       -9.67000000        0.28505060        0.00956183        0.26474062        0.00921346        0.00153470
       -9.66000000        0.29978967        0.00993313        0.27847938        0.00977760        0.00159956
       -9.65000000        0.31493379        0.01025295        0.29266890        0.01035847        0.00165346
       -9.64000000        0.33048296        0.01052130        0.30730918        0.01095607        0.00169641
       -9.63000000        1.35250817        0.03688597        1.25218377        0.05679234        0.00664610
       -9.62000000        0.45734126        0.01440534        0.42139285        0.01886889        0.00267419
       -9.61000000        0.70964864        0.02693773        0.65113924        0.02812404        0.00344763
       -9.60000000        1.21493732        0.04916846        1.11198250        0.04839823        0.00538814
       -9.59000000        1.88463871        0.11723048        1.71535902        0.04583913        0.00621008
       -9.58000000        0.08581178        0.00648342        0.07714889        0.00191933        0.00026014
       -9.57000000        0.54318136        0.03167184        0.49095733        0.01861957        0.00193262
       -9.56000000        0.94648971        0.03622840        0.86107108        0.04528087        0.00390935
       -9.55000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.54000000        0.40413438        0.01314363        0.36561990        0.02350369        0.00186717
       -9.53000000        1.54010699        0.04384731        1.39691206        0.09019050        0.00915713
       -9.52000000        1.64204239        0.02318734        1.53177397        0.08246454        0.00461655
       -9.51000000        0.86143864        0.04657880        0.76708930        0.04144775        0.00632279
       -9.50000000        0.78332399        0.02135967        0.70830921        0.04795275        0.00570236
       -9.49000000        1.29144152        0.03876015        1.18486125        0.06013975        0.00768038
       -9.48000000        1.14154607        0.08824398        1.01419054        0.03095139        0.00816016
       -9.47000000        0.39280125        0.02135923        0.35366013        0.01490551        0.00287637
       -9.46000000        0.97707968        0.02148812        0.89863733        0.04983767        0.00711655
       -9.45000000        1.31554933        0.01657963        1.22747357        0.06361710        0.00787904
       -9.44000000        2.68830408        0.02152847        2.55936669        0.09639171        0.01101722
       -9.43000000        1.54952915        0.02174816        1.46246160        0.06186246        0.00345693
       -9.42000000        1.46187375        0.01873015        1.38406442        0.05500871        0.00407047
       -9.41000000        1.68736907        0.02797225        1.59247616        0.05936053        0.00756013
       -9.40000000        1.39896144        0.01692395        1.32991129        0.04714126        0.00498493
       -9.39000000        0.91909985        0.01253458        0.86961726        0.03286447        0.00408354
       -9.38000000        2.17953917        0.01731823        2.05749809        0.08926178        0.01546107
       -9.37000000        1.15648640        0.01238989        1.09396541        0.04253522        0.00759588
       -9.36000000        0.91664873        0.00472219        0.87385524        0.03294623        0.00512508
       -9.35000000        1.09467492        0.00852442        1.03654311        0.04167833        0.00792906
       -9.34000000        0.93534988        0.00957321        0.88833471        0.03069844        0.00674352
       -9.33000000        1.07779970        0.01361939        1.01883109        0.03658231        0.00876691
       -9.32000000        0.84033112        0.01003957        0.79419663        0.02787418        0.00822074
       -9.31000000        0.79299025        0.00782480        0.75111071        0.02618433        0.00787041
       -9.30000000        0.56904573        0.00468413        0.53819593        0.02121846        0.00494721
       -9.29000000        0.59320269        0.00703702        0.55386036        0.02582626        0.00647905
       -9.28000000        0.52154834        0.00538194        0.48655225        0.02357951        0.00603464
       -9.27000000        0.66849395        0.00467726        0.62511354        0.03154566        0.00715749
       -9.26000000        0.49036730        0.00359039        0.45753962        0.02376179        0.00547549
       -9.25000000        0.36686034        0.00322891        0.34097175        0.01828427        0.00437541
       -9.24000000        0.29921866        0.00348715        0.27566948        0.01597750        0.00408452
       -9.23000000        0.28317405        0.00426703        0.25781215        0.01673394        0.00436093
       -9.22000000        0.35944568        0.00566645        0.32512539        0.02291393        0.00573991
       -9.21000000        0.53772757        0.00817227        0.48518151        0.03443176        0.00994204
       -9.20000000        0.42235359        0.00588402        0.38267023        0.02785248        0.00594686
       -9.19000000        1.01407638        0.01439466        0.93438700        0.05592795        0.00936678
       -9.18000000        0.34947519        0.00445914        0.32147335        0.02011954        0.00342317
       -9.17000000        0.92632183        0.01166932        0.85920713        0.04773951        0.00770588
       -9.16000000        0.05121252        0.00079514        0.04779552        0.00215509        0.00046678
       -9.15000000        0.06732013        0.00111064        0.06320578        0.00238606        0.00061765
       -9.14000000        0.08503189        0.00147561        0.08025483        0.00251678        0.00078467
       -9.13000000        0.27163904        0.00479470        0.25444700        0.00879506        0.00360227
       -9.12000000        0.24478392        0.00381625        0.23070055        0.00713543        0.00313169
       -9.11000000        0.21324944        0.00293099        0.20208014        0.00559945        0.00263886
       -9.10000000        1.05120738        0.01012115        0.96533658        0.05580137        0.01994828
       -9.09000000        0.46740600        0.00715361        0.43055345        0.02245463        0.00724432
       -9.08000000        0.88713565        0.02345842        0.81344385        0.04027575        0.00995763
       -9.07000000        0.70434241        0.02397430        0.63818460        0.03453975        0.00764376
       -9.06000000        0.59711333        0.02354111        0.53347405        0.03354657        0.00655160
       -9.05000000        0.77368972        0.01937424        0.69712441        0.04718643        0.01000465
       -9.04000000        1.37824832        0.01640523        1.26267553        0.08049326        0.01867430
       -9.03000000        0.61976564        0.00405409        0.56061455        0.04632660        0.00877040
       -9.02000000        0.32719727        0.00317985        0.29863822        0.02124149        0.00413771
       -9.01000000        0.42493767        0.00718295        0.38734875        0.02603266        0.00437331
       -9.00000000        0.54881303        0.01631857        0.49688680        0.03037394        0.00523372
       -8.99000000        0.39441027        0.01126451        0.35876938        0.02055649        0.00381989
       -8.98000000        0.64521004        0.01132319        0.59844795        0.02902052        0.00641838
       -8.97000000        0.60539623        0.00911376        0.56061231        0.02946111        0.00620905
       -8.96000000        0.54734429        0.00708500        0.50384076        0.03048004        0.00593849
       -8.95000000        0.84882512        0.00740991        0.77890504        0.05257309        0.00993707
       -8.94000000        0.47945287        0.00476199        0.42659173        0.04134135        0.00675780
       -8.93000000        0.25109666        0.00201222        0.22950160        0.01520115        0.00438169
       -8.92000000        0.26708185        0.00198306        0.24675933        0.01342490        0.00491455
       -8.91000000        0.52268608        0.00434352        0.47938402        0.03009235        0.00886619
       -8.90000000        0.15996283        0.00094559        0.15026627        0.00571264        0.00303833
       -8.89000000        0.21573663        0.00118333        0.20356093        0.00785254        0.00313984
       -8.88000000        0.33716970        0.00214227        0.31948021        0.01188016        0.00366706
       -8.87000000        0.53198174        0.00492215        0.49748471        0.02436301        0.00521186
       -8.86000000        0.50452202        0.00563858        0.46934586        0.02440067        0.00513691
       -8.85000000        0.48400174        0.00646506        0.44740572        0.02493808        0.00519288
       -8.84000000        0.46775749        0.00710253        0.42989557        0.02552029        0.00523909
       -8.83000000        0.45877123        0.00757962        0.41963382        0.02626014        0.00529765
       -8.82000000        0.45057935        0.00780664        0.41084476        0.02663868        0.00528927
       -8.81000000        0.44776318        0.00781959        0.40776370        0.02690877        0.00527112
       -8.80000000        0.41612656        0.00592915        0.38088543        0.02451486        0.00479713
       -8.79000000        0.44613881        0.00599073        0.40904609        0.02603407        0.00506792
       -8.78000000        0.39087468        0.00488771        0.35724509        0.02468275        0.00405914
       -8.77000000        0.50358796        0.00543477        0.46078279        0.03256894        0.00480145
       -8.76000000        0.57154080        0.00626686        0.52854123        0.03142153        0.00531119
       -8.75000000        0.48630842        0.00531035        0.45445662        0.02202386        0.00451759
       -8.74000000        0.37002452        0.00332321        0.34543005        0.01779172        0.00347955
       -8.73000000        0.40864811        0.00372418        0.38185222        0.01925103        0.00382067
       -8.72000000        0.44650403        0.00413162        0.41762290        0.02060334        0.00414616
       -8.71000000        0.12221116        0.00233605        0.10681454        0.01075701        0.00230357
       -8.70000000        0.15705924        0.00265416        0.13880640        0.01279506        0.00280362
       -8.69000000        0.40837107        0.00768116        0.31943181        0.07072343        0.01053468
       -8.68000000        0.35412276        0.00628715        0.30607139        0.03470894        0.00705528
       -8.67000000        0.19422208        0.00073017        0.17605436        0.01462084        0.00281672
       -8.66000000        0.21310030        0.00058733        0.19546406        0.01421422        0.00283469
       -8.65000000        0.22413435        0.00050391        0.20653975        0.01430799        0.00278271
       -8.64000000        0.11148966        0.00039690        0.10316411        0.00653698        0.00139167
       -8.63000000        0.10194578        0.00045376        0.09474858        0.00562512        0.00111832
       -8.62000000        0.11607073        0.00059263        0.10820427        0.00611448        0.00115934
       -8.61000000        0.12897043        0.00077806        0.12030758        0.00665875        0.00122604
       -8.60000000        0.20519751        0.00179259        0.19043237        0.01106264        0.00190992
       -8.59000000        0.28306308        0.00320324        0.26097561        0.01621892        0.00266531
       -8.58000000        0.36256713        0.00501001        0.33193730        0.02212760        0.00349223
       -8.57000000        0.23184351        0.00323700        0.21153575        0.01443223        0.00263854
       -8.56000000        0.21151421        0.00337540        0.19131036        0.01406228        0.00276617
       -8.55000000        0.42222723        0.00532686        0.38463039        0.02566875        0.00660122
       -8.54000000        0.15346569        0.00200150        0.13825460        0.01057904        0.00263055
       -8.53000000        0.18846089        0.00258845        0.17175136        0.01109898        0.00302210
       -8.52000000        0.21515469        0.00299388        0.19647225        0.01217040        0.00351816
       -8.51000000        0.23354711        0.00321778        0.21241728        0.01379331        0.00411874
       -8.50000000        0.35786068        0.00680945        0.32885292        0.01644198        0.00575633
       -8.49000000        0.50193780        0.01091188        0.46370415        0.01976898        0.00755279
       -8.48000000        0.58924352        0.01425391        0.55177110        0.01636321        0.00685530
       -8.47000000        0.33887192        0.00680585        0.31083668        0.01635217        0.00487722
       -8.46000000        0.32166009        0.00628249        0.29454417        0.01638515        0.00444828
       -8.45000000        0.30335090        0.00571825        0.27796439        0.01564352        0.00402473
       -8.44000000        0.28394433        0.00511313        0.26109736        0.01412726        0.00360658
       -8.43000000        0.26344039        0.00446712        0.24394305        0.01183639        0.00319383
       -8.42000000        0.25522475        0.00465959        0.23705243        0.01040101        0.00311172
       -8.41000000        0.26888535        0.00582147        0.24840352        0.01134769        0.00331267
       -8.40000000        0.29358074        0.00746476        0.27043802        0.01222503        0.00345294
       -8.39000000        0.43837342        0.01000440        0.39790747        0.02319831        0.00726324
       -8.38000000        0.49607019        0.01293039        0.45331394        0.02406153        0.00576434
       -8.37000000        0.30318103        0.01469339        0.27983810        0.00689937        0.00175016
       -8.36000000        0.21545574        0.00788483        0.20054323        0.00550352        0.00152417
       -8.35000000        0.39602363        0.00979063        0.36489940        0.01769474        0.00363886
       -8.34000000        0.33900029        0.00838815        0.30564563        0.02158054        0.00338596
       -8.33000000        0.28643565        0.00735923        0.26178947        0.01473940        0.00254754
       -8.32000000        1.30597433        0.03829605        1.21632517        0.03896244        0.01239066
       -8.31000000        1.98735262        0.06341276        1.81393624        0.09306687        0.01693675
       -8.30000000        1.28482700        0.05049662        1.17385653        0.05183984        0.00863401
       -8.29000000        1.46598761        0.05640379        1.33075874        0.06595210        0.01287298
       -8.28000000        1.07592631        0.03644204        0.97881711        0.05024923        0.01041793
       -8.27000000        0.69448014        0.02220922        0.62939529        0.03482978        0.00804586
       -8.26000000        0.36329739        0.00835617        0.32697141        0.02230423        0.00566558
       -8.25000000        0.15923354        0.00230061        0.14178866        0.01186830        0.00327596
       -8.24000000        0.01465690        0.00001034        0.01289283        0.00128147        0.00047226
       -8.23000000        1.08746746        0.04012039        1.00667425        0.03238528        0.00828753
       -8.22000000        0.32673903        0.01302406        0.29476594        0.01571164        0.00323739
       -8.21000000        0.24427137        0.00820337        0.22246222        0.01132042        0.00228537
       -8.20000000        0.16875317        0.00449057        0.15529485        0.00749288        0.00147487
       -8.19000000        0.72904169        0.02980223        0.66383086        0.02907101        0.00633759
       -8.18000000        1.03111414        0.03754121        0.94058539        0.04345857        0.00952897
       -8.17000000        0.80505671        0.03995773        0.73753548        0.02206844        0.00549506
       -8.16000000        0.47760357        0.02275821        0.43698960        0.01475840        0.00309737
       -8.15000000        0.71420083        0.02286024        0.64830702        0.03565774        0.00737583
       -8.14000000        1.18390436        0.04275287        1.08772515        0.04120655        0.01221980
       -8.13000000        1.14187195        0.04690357        1.04919683        0.03423342        0.01153812
       -8.12000000        1.54358922        0.06574924        1.41905019        0.04230947        0.01648031
       -8.11000000        3.15335023        0.18576583        2.92152243        0.03105174        0.01501023
       -8.10000000        2.04482294        0.12938724        1.89638033        0.01092766        0.00812770
       -8.09000000        1.56383232        0.09468527        1.45112220        0.01086418        0.00716068
       -8.08000000        2.27736130        0.11354603        2.13556479        0.01701305        0.01123744
       -8.07000000        1.12789360        0.05508085        1.04905611        0.01629603        0.00746060
       -8.06000000        1.51200094        0.06623518        1.39456235        0.03452781        0.01667560
       -8.05000000        0.76972282        0.03292673        0.70862099        0.02113497        0.00704013
       -8.04000000        1.19490425        0.04570600        1.10258921        0.03687124        0.00973779
       -8.03000000        0.91631458        0.03556962        0.83958371        0.03252843        0.00863282
       -8.02000000        0.69858959        0.02400680        0.64565975        0.02258608        0.00633696
       -8.01000000        0.63336160        0.01960488        0.58451213        0.02309190        0.00615269
       -8.00000000        0.91734496        0.01814730        0.85411246        0.03642737        0.00865784
       -7.99000000        0.87447391        0.02720696        0.80493214        0.03345194        0.00888286
       -7.98000000        0.78872189        0.02102934        0.72517519        0.03348358        0.00903378
       -7.97000000        0.75182061        0.01898315        0.68844475        0.03498913        0.00940358
